区市町村名,平成21年／全体／件数（件）,平成21年／全体／面積（m2）,平成21年／法人関与／件数（件）,平成21年／法人関与／面積（m2）,平成21年／法人関与率／件数（%）,平成21年／法人関与率／面積（%）,平成22年／全体／件数（件）,平成22年／全体／面積（m2）,平成22年／法人関与／件数（件）,平成22年／法人関与／面積（m2）,平成22年／法人関与率／件数（%）,平成22年／法人関与率／面積（%）,平成23年／全体／件数（件）,平成23年／全体／面積（m2）,平成23年／法人関与／件数（件）,平成23年／法人関与／面積（m2）,平成23年／法人関与率／件数（%）,平成23年／法人関与率／面積（%）,平成24年／全体／件数（件）,平成24年／全体／面積（m2）,平成24年／法人関与／件数（件）,平成24年／法人関与／面積（m2）,平成24年／法人関与率／件数（%）,平成24年／法人関与率／面積（%）,平成25年／全体／件数（件）,平成25年／全体／面積（m2）,平成25年／法人関与／件数（件）,平成25年／法人関与／面積（m2）,平成25年／法人関与率／件数（%）,平成25年／法人関与率／面積（%）,平成26年／全体／件数（件）,平成26年／全体／面積（m2）,平成26年／法人関与／件数（件）,平成26年／法人関与／面積（m2）,平成26年／法人関与率／件数（%）,平成26年／法人関与率／面積（%）,平成27年／全体／件数（件）,平成27年／全体／面積（m2）,平成27年／法人関与／件数（件）,平成27年／法人関与／面積（m2）,平成27年／法人関与率／件数（%）,平成27年／法人関与率／面積（%）,平成28年／全体／件数（件）,平成28年／全体／面積（m2）,平成28年／法人関与／件数（件）,平成28年／法人関与／面積（m2）,平成28年／法人関与率／件数（%）,平成28年／法人関与率／面積（%）,平成29年／全体／件数（件）,平成29年／全体／面積（m2）,平成29年／法人関与／件数（件）,平成29年／法人関与／面積（m2）,平成29年／法人関与率／件数（%）,平成29年／法人関与率／面積（%）,平成30年／全体／件数（件）,平成30年／全体／面積（m2）,平成30年／法人関与／件数（件）,平成30年／法人関与／面積（m2）,平成30年／法人関与率／件数（%）,平成30年／法人関与率／面積（%）
大田区,4663,570244,1412,293574,30.3,51.5,4928,602740,1658,323140,33.6,53.6,5121,615323,1627,287332,31.8,46.7,5466,491343,1834,281237,33.6,57.2,6050,566815,2108,338915,34.8,59.8,6165,593096,2179,360556,35.3,60.8,6844,716974,2693,476348,39.3,66.4,6881,656023,2700,412031,39.2,62.8,7291,635779,3106,380249,42.6,59.8,6636,599049,2751,380519,41.5,63.5
世田谷区,7308,979108,1967,478699,26.9,48.9,7255,1816859,2463,1307511,33.9,72.0,7899,1032811,2300,442934,29.1,42.9,8670,812316,2679,421171,30.9,51.8,10500,937549,3410,497144,32.5,53.0,9847,973788,3269,533777,33.2,54.8,10079,916462,3492,492768,34.6,53.8,9779,872246,3520,472246,36.0,54.1,9856,921170,3584,499177,36.4,54.2,9534,867422,3498,479581,36.7,55.3
渋谷区,1662,222763,720,122573,43.3,55.0,1859,212701,898,128982,48.3,60.6,1831,260682,847,131536,46.3,50.5,2386,220230,1075,152920,45.1,69.4,2915,246931,1481,172907,50.8,70.0,2679,247549,1364,173992,50.9,70.3,2440,259397,1285,186916,52.7,72.1,2543,259136,1284,175011,50.5,67.5,2929,294620,1647,224824,56.2,76.3,2407,224167,1317,166418,54.7,74.2
中野区,2270,214110,595,83697,26.2,39.1,2273,227638,746,88742,32.8,39.0,2921,308131,1028,137907,35.2,44.8,3138,236277,1100,130757,35.1,55.3,3299,262718,1199,140802,36.3,53.6,3365,272843,1251,157120,37.2,57.6,3842,337292,1458,174847,37.9,51.8,3274,237079,1243,130312,38.0,55.0,3625,302833,1494,180636,41.2,59.6,3209,262264,1455,164389,45.3,62.7
杉並区,4545,487869,1194,181050,26.3,37.1,5049,580544,1569,225310,31.1,38.8,5435,652325,1597,277117,29.4,42.5,6248,551843,1743,237926,27.9,43.1,7238,673463,2514,335051,34.7,49.8,6365,557558,2052,244140,32.2,43.8,7392,680861,2705,341510,36.6,50.2,6613,553605,2388,279369,36.1,50.5,6513,554060,2408,310046,37.0,56.0,6449,536026,2418,300493,37.5,56.1
豊島区,2179,200086,811,102078,37.2,51.0,2283,249780,1070,156159,46.9,62.5,2076,238157,739,100262,35.6,42.1,2515,188838,924,105157,36.7,55.7,2796,207100,1081,115919,38.7,56.0,2779,191369,1025,110377,36.9,57.7,2784,205791,1178,126418,42.3,61.4,2993,213789,1248,125620,41.7,58.8,3108,227369,1325,142735,42.6,62.8,2876,192430,1306,122778,45.4,63.8
北区,1918,187050,622,71368,32.4,38.2,2049,225654,704,133814,34.4,59.3,2183,217036,738,99387,33.8,45.8,2462,227444,757,90310,30.7,39.7,2512,206281,850,108969,33.8,52.8,2617,319664,924,225806,35.3,70.6,3195,249882,1209,133197,37.8,53.3,3179,228256,1202,130910,37.8,57.4,2900,249606,1088,146495,37.5,58.7,3210,297451,1466,215603,45.7,72.5
荒川区,1520,344948,669,278086,44.0,80.6,1355,146203,557,80919,41.1,55.3,1547,125361,526,57286,34.0,45.7,1862,118847,778,67256,41.8,56.6,2103,128528,797,63112,37.9,49.1,1737,135891,651,78110,37.5,57.5,1855,130577,769,77927,41.5,59.7,2017,152709,760,81779,37.7,53.6,2022,141783,851,85940,42.1,60.6,2250,153572,949,97189,42.2,63.3
板橋区,3060,401362,946,218744,30.9,54.5,3546,493095,1297,260277,36.6,52.8,3848,425669,1308,202180,34.0,47.5,4431,401777,1548,232588,34.9,57.9,4577,430947,1614,245615,35.3,57.0,4578,402267,1728,241107,37.7,59.9,4799,415561,1779,252074,37.1,60.7,4604,406028,1855,255242,40.3,62.9,4439,403592,1859,257219,41.9,63.7,4519,413728,1896,253800,42.0,61.3
練馬区,5711,624318,1648,231352,28.9,37.1,6045,686561,1933,304027,32.0,44.3,7053,817218,2036,327934,28.9,40.1,7386,671793,2202,321979,29.8,47.9,8645,734746,2707,366483,31.3,49.9,8359,733983,2648,372399,31.7,50.7,8686,729383,2789,361837,32.1,49.6,8998,813923,3106,423483,34.5,52.0,8335,728923,3013,401513,36.1,55.1,8370,763387,3124,425921,37.3,55.8
足立区,5610,467350,2017,217670,36.0,46.6,6080,550782,2368,297397,38.9,54.0,7117,689400,2721,391437,38.2,56.8,8408,656554,3508,327456,41.7,49.9,9263,727986,4071,402958,43.9,55.4,8922,716422,3995,397207,44.8,55.4,8585,756061,3365,416901,39.2,55.1,7609,668910,3208,395852,42.2,59.2,8900,697243,4029,403147,45.3,57.8,8009,734913,3706,455463,46.3,62.0
葛飾区,3630,524590,1241,262003,34.2,49.9,4031,356210,1668,187160,41.4,52.5,4517,424160,1744,208978,38.6,49.3,4809,390641,1727,194148,35.9,49.7,5658,410017,2120,209615,37.5,51.1,4969,356968,1915,188116,38.5,52.7,5532,390008,2079,202936,37.6,52.0,4999,397938,2074,220869,41.5,55.5,5837,412123,2692,231017,46.1,56.1,5632,415745,2456,249645,43.6,60.0
江戸川区,5024,463218,1602,221002,31.9,47.7,5292,500773,1880,248794,35.5,49.7,4873,524883,1745,271548,35.8,51.7,5949,467968,2289,263880,38.5,56.4,6959,521646,2709,294592,38.9,56.5,6182,500351,2403,268484,38.9,53.7,6477,537036,2654,321027,41.0,59.8,6045,506943,2505,315994,41.4,62.3,6605,579614,2879,335720,43.6,57.9,6531,739739,2881,518566,44.1,70.1
区部計,64468,8844823,22125,4116243,34.3,46.5,68771,9524792,27046,5744149,39.3,60.3,73356,9333053,26706,4676493,36.4,50.1,83353,7222910,31102,4088737,37.3,56.6,93884,8272224,36773,4898447,39.2,59.2,89957,8159826,36033,4950931,40.1,60.7,94605,8460060,38899,5121268,41.1,60.5,91418,8255646,38737,5138953,42.4,62.2,95100,8267327,42289,5201102,44.5,62.9,92505,8272109,41974,5397457,45.4,65.2
