区分,昭和63年（％）,平成4年（％）,平成9年（％）,平成15年（％）,平成16年（％）,平成17年（％）,平成18年（％）,平成19年（％）,平成20年（％）,平成21年（％）,平成22年（％）,平成23年（％）,平成24年（％）,平成25年（％）,平成26年（％）,平成27年（％）,平成28年（％）,平成29年（％）
品川区＿概算容積率A,107.4,120.6,141.7,156.5,161.3,165.1,165.6,166.9,180.6,183.4,185.9,187.3,190.0,193.5,193.5,198.3,201.6,198.1
品川区＿指定平均容積率B,271.0,275.4,276.1,276.1,277.3,277.3,277.3,277.3,277.3,277.7,277.7,277.7,277.8,277.8,277.8,277.8,278.4,278.4
品川区＿充足率C＝A/B×100,39.6,43.8,51.3,56.7,58.2,59.5,59.7,60.2,65.1,66.1,66.9,67.5,68.4,69.7,69.7,71.4,72.4,71.2
目黒区＿概算容積率A,94.9,102.5,119.7,133.0,133.9,135.0,134.3,135.5,136.7,137.6,139.3,140.7,141.7,143.1,144.6,145.0,145.3,146.0
目黒区＿指定平均容積率B,202.0,207.1,206.7,207.1,207.1,207.1,207.1,207.1,207.1,207.3,207.3,207.3,207.3,207.3,207.3,207.4,207.4,207.4
目黒区＿充足率C＝A/B×100,47.0,49.5,57.9,64.2,64.7,65.2,64.8,65.4,66.0,66.4,67.2,67.9,68.4,69.0,69.7,69.9,70.0,70.4
大田区＿概算容積率A,89.5,99.4,113.7,123.6,125.3,128.0,129.1,130.7,132.2,133.4,134.8,135.6,137.2,138.4,138.6,140.4,140.5,141.4
大田区＿指定平均容積率B,213.0,213.0,216.1,216.5,216.6,216.6,216.8,216.8,216.8,216.8,216.8,216.8,216.8,216.8,216.8,216.8,216.8,216.8
大田区＿充足率C＝A/B×100,42.0,46.7,52.6,57.1,57.8,59.1,59.6,60.3,61.0,61.6,62.2,62.5,63.3,63.8,63.9,64.8,64.8,65.2
世田谷区＿概算容積率A,67.7,73.2,83.9,93.3,94.7,96.4,96.4,97.8,99.3,100.4,101.5,102.8,105.1,105.0,105.4,106.4,107.3,108.6
世田谷区＿指定平均容積率B,162.0,162.0,167.5,168.2,168.3,168.3,168.5,168.5,168.5,168.5,168.5,168.5,168.5,168.5,168.5,168.5,168.5,169.0
世田谷区＿充足率C＝A/B×100,41.8,45.2,50.1,55.5,56.3,57.3,57.2,58.0,58.9,59.6,60.2,61.0,62.3,62.3,62.6,63.2,63.7,64.3
渋谷区＿概算容積率A,149.2,162.9,191.0,220.5,223.8,226.9,225.8,227.0,229.7,232.2,236.0,236.6,239.2,241.7,243.9,245.7,246.7,247.7
渋谷区＿指定平均容積率B,310.0,323.0,327.4,327.4,327.4,327.4,327.4,327.4,327.4,327.4,327.4,327.7,327.7,327.7,327.7,327.7,327.7,327.7
渋谷区＿充足率C＝A/B×100,48.1,50.4,58.3,67.4,68.3,69.3,69.0,69.3,70.2,70.9,72.1,72.2,73.0,73.7,74.4,75.0,75.3,75.6
中野区＿概算容積率A,89.3,92.9,108.1,119.6,120.8,121.8,121.0,121.9,122.8,123.4,124.4,125.6,126.5,127.4,130.2,131.2,132.5,133.1
中野区＿指定平均容積率B,192.0,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,214.9,215.2,215.5,216.4
中野区＿充足率C＝A/B×100,46.5,43.2,50.3,55.6,56.2,56.7,56.3,56.7,57.1,57.4,57.9,58.4,58.9,59.3,60.6,61.0,61.5,61.5
杉並区＿概算容積率A,70.5,76.1,87.6,94.3,95.6,96.5,96.5,97.4,98.5,99.2,100.3,100.9,101.6,102.0,102.6,103.5,104.2,104.8
杉並区＿指定平均容積率B,145.0,154.3,155.0,155.0,155.2,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.4,155.8
杉並区＿充足率C＝A/B×100,48.6,49.3,56.5,60.9,61.6,62.1,62.1,62.7,63.4,63.8,64.5,65.0,65.4,65.6,66.1,66.6,67.1,67.3
豊島区＿概算容積率A,126.3,145.8,166.4,180.6,181.8,182.7,187.5,190.4,195.2,196.1,198.2,194.3,196.3,198.2,199.7,201.5,203.8,204.6
豊島区＿指定平均容積率B,346.0,351.4,351.5,352.2,352.5,352.5,352.5,352.5,352.9,352.9,352.9,352.9,352.9,352.9,352.9,352.9,354.3,354.6
豊島区＿充足率C＝A/B×100,36.5,41.5,47.3,51.3,51.6,51.8,53.2,54.0,55.3,55.6,56.2,55.1,55.6,56.2,56.6,57.1,57.5,57.7
北区＿概算容積率A,99.7,110.9,123.3,132.0,133.4,134.8,134.1,135.3,137.2,138.5,139.4,139.1,140.2,142.0,142.8,143.8,144.6,146.4
北区＿指定平均容積率B,239.0,249.1,250.6,251.3,251.3,251.3,251.3,251.3,251.3,251.5,251.5,251.5,251.5,251.5,252.2,252.7,253.0,253.0
北区＿充足率C＝A/B×100,41.7,44.5,49.2,52.5,53.1,53.6,53.4,53.8,54.6,55.1,55.4,55.3,55.8,56.5,56.6,56.9,57.1,57.9
荒川区＿概算容積率A,106.6,118.5,131.0,145.3,146.7,148.1,148.2,150.3,152.1,155.7,158.0,160.0,162.0,162.9,164.0,165.1,166.8,168.4
荒川区＿指定平均容積率B,304.0,318.0,325.1,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8,325.8
荒川区＿充足率C＝A/B×100,35.1,37.3,40.3,44.6,45.0,45.5,45.5,46.1,46.7,47.8,48.5,49.1,49.7,50.0,50.4,50.7,51.2,51.7
板橋区＿概算容積率A,84.9,93.2,104.1,113.4,114.6,115.4,115.6,117.0,118.2,119.5,120.7,120.6,121.8,122.8,123.7,124.8,126.3,127.4
板橋区＿指定平均容積率B,225.0,230.7,234.5,234.9,235.0,235.0,235.0,235.6,235.6,235.6,235.6,235.6,235.6,235.6,235.6,235.6,235.6,235.6
板橋区＿充足率C＝A/B×100,37.7,40.4,44.4,48.3,48.7,49.1,49.2,49.7,50.2,50.7,51.2,51.2,51.7,52.1,52.5,53.0,53.6,54.1
練馬区＿概算容積率A,59.2,67.2,77.0,85.0,86.2,87.2,87.2,88.2,89.1,89.7,90.6,91.3,92.1,92.8,93.4,94.1,95.0,95.6
練馬区＿指定平均容積率B,143.0,160.7,160.7,160.8,162.1,162.1,162.2,162.3,162.6,162.7,162.7,162.7,162.7,162.7,162.7,162.7,164.1,164.1
練馬区＿充足率C＝A/B×100,41.4,41.8,47.9,52.8,53.1,53.8,53.8,54.4,54.8,55.2,55.7,56.1,56.6,57.1,57.4,57.8,57.9,58.3
足立区＿概算容積率A,65.7,72.9,80.0,85.0,86.3,87.2,87.2,88.1,89.8,91.7,92.8,93.4,94.1,95.3,95.8,96.1,97.3,98.4
足立区＿指定平均容積率B,211.0,228.0,230.0,234.5,241.6,241.9,241.9,242.2,242.2,242.2,242.2,242.2,242.2,242.2,242.4,242.5,242.5,242.6
足立区＿充足率C＝A/B×100,31.1,32.0,34.8,36.3,35.7,36.0,36.0,36.4,37.1,37.8,38.3,38.6,38.9,39.3,39.5,39.6,40.1,40.6
葛飾区＿概算容積率A,70.1,78.7,87.0,93.7,94.6,95.0,95.1,96.9,97.9,99.1,99.7,100.9,101.5,102.2,103.1,104.1,105.1,106.3
葛飾区＿指定平均容積率B,208.0,211.4,211.6,211.9,212.1,212.1,212.1,212.1,212.3,212.3,212.6,212.6,212.6,212.5950413,212.5950413,212.6,212.6,212.6
葛飾区＿充足率C＝A/B×100,33.7,37.2,41.1,44.2,44.6,44.8,44.9,45.7,46.1,46.7,46.9,47.5,47.8,48.1,48.5,49.0,49.4,50.0
江戸川区＿概算容積率A,62.9,74.5,88.6,99.1,100.4,101.9,102.5,103.5,104.5,105.3,106.4,107.2,107.6,108.2,109.0,110.0,110.8,111.9
江戸川区＿指定平均容積率B,186.0,222.4,224.7,228.6,230.4,230.5,231.0,231.8,231.9,232.2,232.2,233.0,233.1,233.1,233.6,233.6,233.6,233.6
江戸川区＿充足率C＝A/B×100,33.8,33.5,39.4,43.4,43.6,44.2,44.4,44.6,45.1,45.4,45.8,46.0,46.2,46.4,46.7,47.1,47.4,47.9
区部＿概算容積率A,99.3,110.8,126.1,137.9,140.3,142.5,143.1,145.1,147.7,149.5,151.1,152.0,153.5,154.6,155.7,157.2,158.5,159.7
区部＿指定平均容積率B,243.0,252.3,253.5,254.6,256.0,256.1,256.2,256.3,256.4,256.4,256.4,256.5,256.5,256.5,256.6,256.6,256.8,257.0
区部＿充足率C＝A/B×100,40.9,43.9,49.8,54.2,54.8,55.6,55.8,56.6,57.6,58.3,58.9,59.3,59.8,60.3,60.7,61.3,61.7,62.1

