区市町村名：用途　/　昭和・平成　年,53年,54年,55年,56年,57年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年
文京区：住宅地,3.1,8.6,17.3,12,8.3,―,5,7.4,11.5,101.2,14.2,-3.9,0,-0.1,-12.3,-16.9,-18.4,-12.5,-13.4,-7.3,-3.3,-3.4,-2.2,-2.1,-1.1,-0.4,-0.1,0.3,18.5,16.5,-9.5,-8.5,-2.9,-1.2,-0.1,2.1,2.5,3.5,4.1,5.5
文京区：商業地,0.5,4.1,13.7,8.2,5.2,5.3,8.3,8.4,29.9,130.8,7.8,-2.7,0.9,-0.1,-10.6,-19.8,-19.7,-16.1,-25,-21,-12.4,-10.3,-8.5,-7.7,-5.9,-3.5,-1.8,-0.8,18.4,23.5,-9.3,-9.7,-3.9,-1.9,-0.2,3,3.9,5.3,5.8,6.3
文京区：全用途平均(林地を含む。）,1.8,6.3,16,10.5,7.4,5.3,6.4,7.8,19.8,109.9,11.3,-3.4,0.4,-0.1,-11.5,-18.1,-18.9,-14.1,-18.6,-12.8,-7.4,-6.4,-5,-4.5,-3.2,-2.2,-1.1,-0.3,18.4,20.7,-9.4,-9.1,-3.5,-1.6,-0.2,2.6,3.3,4.6,5,5.9
台東区：住宅地,1.3,9.7,18.4,11.9,6,―,1.1,6.8,13,99.1,5.6,-4.2,0,0,-12.1,-18.1,-17.5,-12.2,-11.5,-8.2,-3.8,-3.8,-2,-1.9,-1.3,-0.7,-0.4,0.1,13.7,15.5,-7.7,-8.7,-2.9,-1.6,-0.2,1.8,2,2.7,3.6,4.9
台東区：商業地,1.5,5.4,12.7,9.1,5.9,4.3,6.8,13,21.5,83.4,15.9,-2.4,0.3,-0.1,-9.5,-16.6,-17.9,-16.1,-25.1,-19.4,-13.1,-10.6,-8.1,-7.1,-6.6,-6,-5,-2.8,13.9,19.5,-9.9,-9.4,-3.6,-2.9,-0.1,2,2.2,3.8,5.7,7.3
台東区：全用途平均(林地を含む。）,1.5,5.7,13.5,9.7,5.9,4.3,6,12.1,20.2,86,13.9,-2.7,0.3,-0.1,-10,-16.8,-17.8,-15.4,-22.7,-17.4,-11.4,-9.3,-7.1,-6.2,-5.6,-5.4,-4.4,-2.5,13.9,19.1,-9.6,-9.4,-3.5,-2.7,-0.1,2,2.2,3.6,5.5,7
墨田区：住宅地,―,―,―,―,7.1,2.7,2.6,2.2,2.2,10.6,86.3,-0.9,5.2,0,-4.9,-11.6,-12.3,-6.4,-9.7,-6.6,-5.1,-5.3,-2.8,-2.3,-1.7,-0.7,-1.4,-0.9,6.6,7,-4.4,-6.4,-1.4,-1.9,-0.4,1.4,1.5,2.1,2.5,3.9
墨田区：商業地,0.6,5.2,13.9,9.9,6.3,2.1,2.8,4.4,8.8,82.3,72.4,2.6,3.1,0.9,-11.2,-21.9,-16.7,-21.5,-22.2,-16.8,-7.9,-9.2,-8.4,-8,-6.8,-3.4,-1.1,-0.6,14.7,15.9,-6.7,-7,-1.3,-1,0.4,2.3,2,2.6,3.3,5.1
墨田区：全用途平均(林地を含む。）,1.2,6.7,16.1,10.6,6.4,2.4,2.5,3.2,6.1,58.6,75.9,0.1,3.3,0.4,-10.3,-20.6,-14,-17.9,-16.8,-13.1,-6.4,-7.5,-6.7,-6.1,-5.2,-2.8,-1,-0.6,11.1,12.2,-5.8,-6.7,-1.4,-1.4,0,2,1.8,2.4,2.9,4.5
江東区：住宅地,2.6,9.8,19.4,14.7,7,3.1,2.9,1.8,3.3,25.8,62,4.6,4.8,1.9,-8.8,-16.1,-12.5,-10.4,-11.7,-6.6,-2.8,-5.8,-4.8,-3.3,-2.5,-1,-0.4,-0.2,7.4,6.7,-4.4,-4.3,-1.1,-1.5,-0.1,2.5,2.3,2.6,3,4.1
江東区：商業地,1.3,8.2,16.1,13.8,6.1,3.2,5.3,4.2,9.1,80.6,55.9,2,4.6,1.5,-10.5,-22.4,-15.8,-19.9,-23.3,-16.4,-8,-9.6,-10,-8.9,-7.4,-2.5,-0.8,-0.1,15.3,14.4,-5.7,-6.8,-2,-2.1,-0.3,2.7,2.4,2.6,3.2,6
江東区：全用途平均(林地を含む。）,1.8,8.5,18.4,14.4,6.8,3.3,4,2.9,5.6,52,62.2,3.7,4.4,1.6,-9.9,-19.2,-14.2,-16.2,-17.5,-10.7,-5.2,-7.1,-6.8,-5.4,-4.4,-1.6,-0.6,-0.1,10.9,10.5,-5,-5.5,-1.5,-1.8,-0.2,2.5,2.3,2.6,3.1,4.7
品川区：住宅地,3.8,8.3,19.8,11.8,4.5,6.6,3.9,6.6,16.2,72.5,15.3,-4.7,0.5,-1.7,-14.7,-20.9,-15.3,-7.8,-6.4,-4.9,-3,-3.7,-4.1,-2.9,-2.1,-1.4,-0.8,-0.2,15.8,11,-11.8,-8.3,-1.4,-0.8,0,2,4.2,4.3,3.5,5.5
品川区：商業地,1.6,2.7,11.8,7.8,4.7,7.5,9.6,13.5,26.6,97.7,10.1,-1.6,1.7,0,-9.2,-22.5,-22.3,-21.1,-17.4,-15.7,-9.5,-6.2,-6.5,-4.9,-3.4,-2.3,-1.7,-0.5,19.3,15.9,-11.9,-8.9,-2.1,-1.5,-0.1,2.1,4.3,4.8,4.6,6.7
品川区：全用途平均(林地を含む。）,2.6,5.5,15.6,10.2,4.9,6.9,6.2,9.7,20.4,84.3,13.7,-3,1,-0.8,-12,-21.4,-18.4,-13.7,-10.9,-9.6,-5.5,-4.6,-5,-3.8,-2.8,-2,-1.4,-0.4,17.3,13.6,-11.7,-8.5,-1.9,-1.1,0,2.1,4.3,4.6,4.1,6
目黒区：住宅地,3.6,8.9,19.7,10.7,7.7,8,6.2,10,21.8,103.3,10.2,-6.8,-0.6,-0.3,-17,-24.4,-21.8,-10.4,-7,-4.7,-2.2,-3.6,-3.4,-2.5,-1.6,-1.1,-0.7,0,17.6,12.7,-11.7,-8.5,-1.5,-1,0,2.5,2.9,6.9,4.5,3.8
目黒区：商業地,1.6,3.4,14.1,8.9,9.2,8,11.5,14.7,35,110.5,9.7,-2.6,-0.4,-0.8,-13.3,-21.7,-25.5,-24.7,-19.5,-14.8,-8.8,-6.7,-6.2,-5.1,-3.7,-2.2,-1.6,-0.4,18.6,17.5,-10,-8.4,-2.7,-1.6,0.1,2.6,2.7,6.4,4.7,4.5
目黒区：全用途平均(林地を含む。）,3,7.3,18.1,10.3,8.1,8,7.6,11.1,24.5,103.9,10,-5.6,-0.5,-0.4,-15.9,-23.7,-22.5,-14,-10.4,-7.5,-4.1,-4.5,-4.3,-3.2,-2.2,-1.5,-1,-0.2,17.8,14.3,-11.1,-8.4,-1.9,-1.2,0,2.6,2.8,6.7,4.6,4
大田区：住宅地,3.6,8.9,20.8,11.2,5.2,3.8,2.6,3.5,15.7,129.5,20.5,-8.9,-1.3,-1.4,-16.8,-23,-15.7,-5.1,-5.1,-8.5,-5.4,-5.1,-5.6,-4.2,-1.7,-1,-0.6,0,10.6,8.4,-8.7,-7.2,-1.9,-1,-0.4,1.7,1.8,2.9,2.7,2.6
大田区：商業地,0.6,3.3,12.32,9,4.8,5.8,4.9,8.2,18.7,95.6,24.6,-3.3,0.3,0,-9.9,-23.8,-22.6,-13.4,-9.7,-14.4,-8.7,-6.5,-7.9,-5.2,-3,-1.7,-0.7,-0.2,10.6,11.5,-5,-5.7,-2.8,-1.4,-0.5,1.5,1.9,3.4,3,3.2
大田区：全用途平均(林地を含む。）,2.4,6.6,17,10.4,5.1,4.2,3.3,4.8,16.2,114.7,22.6,-6.4,-0.6,-0.9,-13.9,-23,-17.5,-7.1,-6.2,-10,-6.4,-5.6,-6.7,-4.6,-2.2,-1.4,-0.9,-0.3,9.7,9.1,-6.9,-6.3,-2.2,-1.1,-0.4,1.7,1.9,3.3,2.9,2.9
世田谷区：住宅地,4.2,10.1,20.7,12.1,5.5,4.2,2.6,4.2,15.3,109.2,30.3,-9.3,-1,-0.6,-17.6,-25.5,-13.7,-4.3,-5,-2.1,-1.1,-3.4,-3,-1.8,-1.6,-1.4,-0.8,-0.3,12.4,10.9,-10.7,-7,-1.4,-1.3,-0.3,1.4,1.5,2.7,3,3.9
世田谷区：商業地,0.8,4.7,14.2,9.5,4.5,4.2,5.2,6.5,12.3,92.6,41.6,-1.6,1.1,-0.2,-13.3,-28.8,-22.2,-13.4,-14.6,-8.8,-5.8,-8.8,-7.3,-3.8,-2.2,-1.9,-0.8,0.2,14.4,15.4,-8.6,-7.6,-3.5,-1.7,-0.2,1.4,1.9,3.3,4.5,6.4
世田谷区：全用途平均(林地を含む。）,3.6,9.2,19.9,11.7,5.4,4.2,3,4.5,14.9,106.9,31.7,-8.5,-0.7,-0.6,-17.1,-25.8,-15,-5.7,-6.5,-3.1,-1.9,-4.3,-3.7,-2.1,-1.7,-1.5,-0.8,-0.2,12.8,11.9,-10.2,-7.2,-1.9,-1.4,-0.3,1.4,1.6,2.9,3.3,4.5
渋谷区：住宅地,3.3,8.9,18.5,10,6.8,5.3,6.4,13.6,23.7,97.2,20.4,-9.7,-0.8,-0.2,-17.7,-28.9,-26.9,-15.7,-12.5,-5.2,-0.7,-4.5,-2.8,-0.2,0,0.2,0.3,2.5,24.8,13.4,-11.8,-9.4,-1.6,-1.5,-0.2,2.8,2.6,3.4,3.5,4.2
渋谷区：商業地,2.4,5.2,15.1,9.7,9.1,9.7,13.4,24.3,47.1,61,13.7,-0.3,2.6,1.4,-8.4,-23,-31.8,-28.2,-26.1,-12.4,-3.4,-9.6,-5.6,-1.9,-0.3,0.3,0.8,2,29.3,21.1,-9.9,-12.3,-6.1,-3.4,-0.7,3.4,4.6,7.6,8.7,9.2
渋谷区：全用途平均(林地を含む。）,2.9,7.2,17,9.9,7.6,6.9,9.2,17,31.5,80.9,17.1,-5.8,0.4,0.4,-14.1,-26.5,-29,-20.6,-17.9,-8,-1.8,-6.6,-3.9,-0.8,-0.1,0.2,0.5,2.3,27.2,17.6,-10.8,-10.9,-4.3,-2.6,-0.5,3.2,3.9,5.9,6.3,7
中野区：住宅地,3.7,10.1,19.3,11.8,5.4,4.4,3.3,3.1,10.5,120.2,14.8,-11.7,-0.8,-1.2,-15.4,-22.7,-18.7,-3.9,-7.9,-2.5,-0.3,-1.6,-2.1,-1,-1,-1.3,-0.9,-0.3,6.6,11.9,-9.2,-8.9,-0.9,-0.7,-0.4,1.8,1.6,2.1,2.9,3.6
中野区：商業地,0.7,4.3,11.3,8.6,6.8,6.1,5.1,7.3,20.6,88.7,19.5,-4.5,1,-0.6,-10.6,-23.4,-24,-13.7,-18.8,-10.7,-3.9,-5.3,-5.4,-3,-3.3,-3.1,-2.2,-0.9,9.4,19.2,-9.7,-8.9,-1.5,-2.1,-0.9,1.9,1.9,3.4,5.3,6.4
中野区：全用途平均(林地を含む。）,2.8,8.2,16.9,10.9,5.7,5,3.9,4.4,13.3,111.4,16.2,-9.5,-0.2,-1,-14.2,-22.9,-20.3,-7,-11.3,-5,-1.4,-2.7,-3.1,-1.6,-1.7,-1.9,-1.4,-0.5,7.7,14.6,-9.4,-8.9,-1.2,-1.3,-0.6,1.9,1.8,2.8,4,4.9
杉並区：住宅地,3.5,10.1,19.5,12.3,5.5,4.1,3.7,2.6,14.3,124.7,21.8,-9,-0.2,-1.8,-16.1,-23.3,-15.8,-5.2,-8.1,-2.2,-1.2,-3.2,-2.7,-1.3,-1.4,-1.3,-0.9,0,8.1,10.4,-10,-7.7,-0.2,-0.7,-0.1,1.7,2,2.7,3.1,3.2
杉並区：商業地,0.6,4.1,11.9,6.9,7.3,5.1,4.8,6.1,22.8,74.5,21.2,-1.5,0.2,0,-7.8,-22.5,-25.5,-18.9,-19.8,-11,-7.3,-9.6,-7.5,-5.4,-3.6,-2.3,-1.2,0,10.1,11,-10.8,-7.5,-0.5,-0.8,-0.1,1.6,2.8,4.4,6.1,6.9
杉並区：全用途平均(林地を含む。）,2.8,8.7,18.2,11.4,5.7,4.3,3.9,3.2,16,115.2,21.7,-7.5,-0.2,-1.5,-14.8,-23.2,-17.8,-8,-10.2,-3.8,-2.5,-4.5,-3.8,-2.1,-1.9,-1.5,-1,0,8.6,10.5,-10.2,-7.6,-0.3,-0.7,-0.1,1.6,2.3,3.2,3.9,4.2
豊島区：住宅地,3.3,9.2,18.1,12.3,5.8,6.5,5.6,4.8,8.5,73.6,16.1,-1.1,1,0.5,-13.6,-27.4,-17.4,-6.6,-5.3,-3.8,-3.8,-5.2,-6.3,-5.5,-5.2,-4.1,-2.2,-0.6,12.8,15.2,-7.2,-7.1,-1.7,-1.3,-0.2,2.2,2.5,3.5,3.6,5.2
豊島区：商業地,0.2,4.7,12.5,8.9,6.6,4.1,10.5,16.3,24.9,106.6,11.9,0,3.2,2.8,-6.8,-25.6,-24.9,-21.1,-18.7,-15.2,-10.2,-11.1,-10.3,-8.6,-8.6,-6.7,-4.8,-1.8,16,20.9,-10.7,-7.7,-1.4,-2.1,-0.4,3.2,3.5,4.9,5.5,6.7
豊島区：全用途平均(林地を含む。）,1.8,7.1,14.7,10.6,6.1,6,7.9,10.3,15.6,86.2,14,-0.6,2.1,1.5,-10.4,-26.6,-20.9,-13.4,-11.5,-9.1,-6.7,-8,-8.1,-6.9,-6.8,-5.6,-3.7,-1.3,14.7,18.6,-9.2,-7.5,-1.5,-1.8,-0.3,2.8,3.1,4.3,4.7,6.1
北区：住宅地,3.2,9.5,21,12.5,5.7,1.8,2.2,2.8,3.3,52.8,45.6,-2,0.2,0.2,-9,-18.4,-10.4,-7,-6.1,-5.6,-4.4,-5.1,-5.1,-4.4,-3.9,-3.2,-2.5,-1.5,5.8,6.4,-4.2,-4.4,-1.7,-0.7,-0.1,1.1,1.3,2.4,3.5,5.6
北区：商業地,0.7,6,13.1,6.5,2.7,2,3.7,4.2,5.4,65.3,46.8,-0.4,0.7,0,-8.1,-18.8,-16.7,-14.5,-14.8,-12.9,-8.5,-8.9,-9,-7,-6.2,-5,-4.1,-2,12.1,13.2,-6.7,-7.4,-2.4,-0.9,-0.2,1.2,1.4,2.6,3.9,6.7
北区：全用途平均(林地を含む。）,2,8,18.3,10.6,4.4,1.9,2.7,3.3,4,57.2,47,-1.2,0.4,0.1,-8.7,-18.5,-12.7,-9.8,-9,-8.1,-5.8,-6.3,-6.3,-5.3,-4.6,-4,-3.3,-1.8,8.7,9.5,-5.4,-5.8,-2,-0.8,-0.1,1.1,1.3,2.5,3.7,6.1
荒川区：住宅地,2.6,9.8,18.5,13,6.7,4.7,3.6,3.4,3,40.3,39.1,0,3.2,0,-5.2,-17.5,-8.7,-4.7,-6.1,-5.8,-4.8,-5.4,-4.7,-4.1,-3.6,-2.7,-2.5,-1.2,7.1,9.3,-6.6,-6.1,-2.5,-1,-0.1,1,1.3,2.5,3.9,6.1
荒川区：商業地,1,6.5,12.8,8.2,5.5,1.5,4.8,4.1,6.4,68.8,45.8,-0.6,2,0.9,-6.9,-19.1,-17.6,-15.2,-14.8,-12.9,-8.1,-8.6,-8.4,-6.7,-5.5,-4.4,-3.4,-1.6,13.2,15.2,-6.3,-6.5,-2.4,-1.1,-0.1,1.4,1.6,3,4.6,6.7
荒川区：全用途平均(林地を含む。）,2.1,7.8,16,10.5,6.1,3,4,3.5,4.6,51.8,47.7,-0.6,1.8,0.3,-7.5,-18.5,-13.2,-10.9,-9.6,-8.4,-5.9,-6.5,-6.2,-5.5,-4.7,-3.9,-3.3,-1.8,9.2,10.7,-6,-5.6,-2.4,-1,-0.1,1.2,1.4,2.8,4.2,6.3
板橋区：住宅地,4.3,9.8,19.4,11.8,4,2.2,2.2,1.7,2.9,78.9,36.5,-2.4,-0.1,0.2,-10.5,-22,-12.9,-5.5,-3.8,-2.2,-1.5,-3.7,-4.7,-4,-4.3,-3.5,-2.7,-1,9.8,9.2,-6.4,-5.9,-1.6,-1.3,-0.5,1,1.1,2,2.8,4.1
板橋区：商業地,1.5,6.3,15.1,8.3,3,2.2,3.1,4,7.1,93.5,37.4,0.3,0.6,0,-8.7,-20.9,-17.5,-12.9,-13.7,-9.8,-7,-8.1,-7.5,-6.1,-6.2,-5.1,-3.9,-1.5,9.9,12.7,-8.1,-6.8,-2,-1.7,-0.5,1,1.3,2.3,3.8,5.3
板橋区：全用途平均(林地を含む。）,3.6,8.2,18.6,11.1,3.9,2.2,2.3,2.4,3.9,79.6,37,-1.8,0,0.1,-10,-21.7,-14,-7.2,-5.6,-3.6,-2.7,-4.5,-5.2,-4.4,-4.7,-3.9,-3,-1.2,9.4,10,-6.8,-6.1,-1.7,-1.4,-0.5,1,1.1,2.1,3.1,4.4
練馬区：住宅地,4.6,9.4,19.4,12.6,6.4,3.4,1.5,2.2,4.9,71.8,69.2,-10.5,-0.2,-0.3,-14.2,-20.4,-7.2,-4.8,-2.6,-2.9,-2,-5.7,-5.4,-5.1,-4.2,-2.3,-1.6,-0.5,6.5,10.2,-9.5,-5.1,-0.7,-0.6,0,1.9,1.2,1.5,1.8,2.8
練馬区：商業地,2.4,6.3,13.6,7,5.9,4.4,2.5,4.1,9.2,94.6,68.4,-0.5,3.7,0,-8.8,-22.8,-19.5,-15.3,-11.2,-10.7,-7.7,-8.1,-7.7,-5.8,-3.4,-2,-1.3,-0.2,9.8,16.5,-9.9,-5.4,-0.8,-0.9,-0.1,2,0.9,2.1,4.5,4.7
練馬区：全用途平均(林地を含む。）,4.2,8.8,18.9,12.3,6.4,3.5,1.6,2.4,5.2,73.4,68.9,-9.8,0,-0.3,-13.8,-20.5,-8.4,-5.8,-3.5,-3.6,-2.6,-5.9,-5.6,-5.1,-4.1,-2.3,-1.5,-0.5,6.9,11,-9.6,-5.1,-0.7,-0.6,0,1.9,1.1,1.6,2.2,3.1
足立区：住宅地,3.5,9.5,19.9,12.5,4.2,2.9,2.1,1.1,1.4,9.4,90.1,2.7,3.9,3.9,-7.5,-17.5,-6.6,-5.1,-6.6,-5.8,-4,-7.5,-7.4,-7.5,-5.6,-2.7,-2.4,-0.5,13.7,7.4,-2.7,-4.7,-2.9,-0.8,-0.4,0.7,0.5,1.1,2.3,4.1
足立区：商業地,1.4,5.6,12.3,8.4,3,2.8,2.9,3.1,4.8,37.4,90.9,2,2.7,2.5,-5.9,-20.6,-12.8,-13.8,-12.9,-11.9,-8.2,-11.1,-10.1,-8.3,-5.2,-3,-1.9,-0.6,15.6,8.8,-2.1,-4.4,-2,-0.1,0.1,1.1,1.2,1.5,3.1,5.6
足立区：全用途平均(林地を含む。）,2.9,8.5,18.2,11.6,4,2.9,2.3,1.4,2,14.6,89.2,2.7,3.6,3.7,-7.1,-18,-7.8,-6.9,-7.9,-7.4,-5.1,-8.3,-8.1,-8.1,-5.8,-2.9,-2.3,-0.6,14.2,7.9,-2.5,-4.6,-2.7,-0.7,-0.3,0.8,0.8,1.2,2.5,4.5
葛飾区：住宅地,3.4,8.3,20.4,12.8,6.5,3,1.3,0.1,0.7,25.4,74.2,2.6,2.7,4.4,-5.7,-20,-9.1,-4.7,-2.1,-3.1,-3.1,-7.7,-8.8,-5,-4,-3.1,-2.2,-0.9,7,6.4,-4.5,-4,-0.8,-0.7,-0.3,0.7,0.6,0.9,1.5,2.7
葛飾区：商業地,0.9,5.6,13.8,10.5,5.6,3.9,4.5,2.6,2.3,60.6,55.5,2.1,0.8,3.9,-5.5,-17.9,-16,-13.9,-13.2,-11.2,-9.2,-10.9,-12.4,-8.9,-7.7,-6.2,-4.3,-2.3,8.3,9.7,-4.2,-4,-1.2,-0.5,-0.3,1.4,1.3,1.6,2.6,4.2
葛飾区：全用途平均(林地を含む。）,2.6,7.7,19.2,12.3,6.3,3.1,1.9,0.6,0.9,31.9,71.4,2.4,2.3,4.3,-5.6,-19.6,-10.3,-6.5,-4.2,-4.6,-4.2,-8.4,-9.5,-5.7,-4.8,-3.9,-2.8,-1.3,7.1,7,-4.5,-4,-0.9,-0.7,-0.3,1,0.8,1.1,1.8,3.1
江戸川区：住宅地,3,9.8,22.1,14.9,6.1,4.1,2.8,1.7,3.7,40.1,90.3,2.5,3.2,3.6,-6.7,-20.4,-14.8,-3.3,-3.5,-4.1,-6.5,-7.6,-8.4,-5.5,-4.6,-3.6,-2.1,-1.1,9.8,7,-5.3,-6.4,-0.7,-1.4,-0.3,0.9,1.1,1.7,2.4,3.8
江戸川区：商業地,2,6.7,14,8.1,7.5,5,4.5,3.3,4.5,68.8,90.8,1.8,3,5,-3.5,-22.1,-22.6,-19.4,-16.8,-13.2,-11.5,-13.1,-11.2,-9.8,-7,-4.4,-3.4,-1.6,12.2,11.7,-5.1,-7.4,-1.7,-1.9,-0.5,1.3,1.4,2.2,2.8,4.4
江戸川区：全用途平均(林地を含む。）,2.7,9.2,20.7,14.1,6.3,4.1,3.1,1.9,3.7,42.5,90.2,2.6,3.3,3.7,-6.3,-20.6,-16.1,-5.9,-5.4,-5.5,-7.2,-8.6,-9,-6.4,-5.1,-3.9,-2.4,-1.3,10.1,7.7,-5.2,-6.5,-0.9,-1.5,-0.3,1,1.1,1.8,2.4,3.8
区部：住宅地,3.2,9.3,19.6,12.3,5.8,3.9,3.2,3.9,10,76.8,44.1,-5.2,0.4,0.3,-13.3,-22.2,-14.6,-6.8,-6.6,-4.4,-2.7,-4.8,-4.7,-3.4,-2.8,-1.9,-1.3,-0.3,11.4,10.4,-8.3,-6.8,-1.3,-1,-0.2,1.8,1.9,2.8,3,3.9
区部：商業地,1.1,5.1,12.9,9.3,6.3,5.5,9.3,12.4,22.3,76.2,28.7,-0.9,1.9,0.6,-8.7,-22.5,-23.7,-20,-20.3,-14.8,-7.5,-8.5,-7.8,-6.1,-5.1,-3.4,-2.2,-0.5,15.9,17.3,-8.1,-9.8,-3,-2.1,-0.4,2.7,3.4,4.8,5.5,6.4
区部：全用途平均(林地を含む。）,2.4,7.6,17,11.2,6,4.4,5,6.2,13,74.4,40.2,-3.6,1,0.4,-11.7,-22.2,-17.4,-11.2,-11,-7.9,-4.4,-6.1,-5.9,-4.4,-3.7,-2.6,-1.7,-0.4,13.1,13.1,-8,-7.9,-2,-1.5,-0.3,2.2,2.6,3.7,4,4.9
八王子市：住宅地,4.5,10.6,19.6,14.9,7,4.5,3.3,1.3,2.2,8.7,92.1,-4.7,-0.8,-0.3,-3.5,-11.2,-6.8,-4.1,-2.3,-2.3,-3.2,-10.1,-10.8,-9.4,-10.4,-10.1,-7.1,-4.1,2.8,6.1,-3.7,-6.9,-2.7,-1.4,-0.5,0.2,0.4,0.1,0,0.1
八王子市：商業地,1.3,5.5,12,8.1,6.6,5.6,5.4,5.1,6.7,52.5,124.9,-0.3,0,0.9,-2.2,-16.7,-16.3,-19.1,-20.7,-14.5,-8.1,-11.9,-11.6,-10.6,-9.4,-9.1,-6.7,-3,6.6,10.5,-3.8,-7.7,-2.6,-1.9,-1.1,0.4,0.9,0.9,0.8,0.8
