区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年
大田区,100,104.7,120.2,188.6,361.4,346.2,338.2,340.6,338.6,272.2,198.4,161.9,143.8,128.8,108.1,99.3,92,86.2,82.3,80.4,79.4,79.2,82.1,94.6,97.6,90.7,87.1,85.5,84.9,85,86.7,88.5,92,94.9
世田谷区,100,104.1,115.2,187.1,387.9,369.3,369.3,374.8,371.1,292.4,211.7,170.8,143.8,127.7,116.8,109.3,97.9,92.8,89.9,88,86.5,86.4,95.4,113.4,119.1,102.3,98.3,96.8,96.1,96.8,98.8,101.1,105.9,111.4
渋谷区,100,118.1,137.7,209.3,329.4,322.8,319.9,326.9,325.3,271.3,194.8,129.5,94.9,77.1,70.6,67.1,60.3,57.6,56.8,56.6,56.3,56.5,65.8,84.2,83.6,73.9,68.3,64.3,63.4,64.3,67.2,71.3,76,82.5
中野区,100,105,113.1,155.3,272.9,272.1,259.9,262.8,254.1,220.8,166.7,140.5,118.4,100.6,95.6,91.9,84.6,81.5,79.8,76.1,73.4,72,74.6,86.6,91.4,79.7,76,74.4,73.6,74.3,75.6,77.7,80.7,85.6
杉並区,100,104.9,113.8,149.4,312.2,331.9,330.2,332.8,332.8,278.9,206.1,168.6,138.3,119.2,105.7,95.7,88.5,82.7,78.9,76.4,74.7,74.4,79,88.5,88.5,77.9,75.4,74.8,74.5,74.7,76.3,79.2,83,89.6
豊島区,100,107.4,119.8,183.7,306.4,305.2,306.1,315.3,313.7,267.9,207.1,147,112.5,89.3,78,70.7,63.7,58.2,53.9,50.1,47.4,45.8,49.8,61.2,64.8,56.3,54.8,53.1,52.8,53.6,55.4,57.8,60.2,63.9
北区,100,104,110.9,144.1,309.4,317.1,317.1,329.8,322.5,279.9,222.8,184,157.3,134.5,119.2,108.7,98.6,91.1,85.5,80.8,77.2,74.5,79.8,92.7,95.7,84.7,82.2,80.9,80.5,80.6,81.8,83.5,86.2,90.4
荒川区,100,105.6,109.2,141,279.2,300.4,300.4,308.5,304.2,265,210.7,175.3,147.8,127,114.9,106.7,97.6,90,84.1,80,77.2,74.9,80.9,95.8,99,90.2,87.7,85.7,85.5,85.9,87.1,88.9,91.9,96.4
板橋区,100,102.7,107.9,131.5,256,257,257,258.3,257.5,221.5,173.9,146.8,130.5,116.1,106.5,100.3,90.9,85.4,81.9,78.1,75.1,73,76.2,85.7,89.2,80.1,77.5,75.8,75.3,75.3,76.7,78.3,80.6,84.1
練馬区,100,103,106.8,139.6,295.4,309.6,308.4,317,317,267.5,207,167,147,131.7,118.1,110.2,100.7,91.7,88.3,86,84.8,84.3,87,101,106.8,94.8,92.4,91.1,90.7,90.9,93.1,93.9,98.5,103
足立区,100,102.6,105.8,115.7,192.3,270.8,275.1,291.9,291.6,252.8,208.1,175.2,156.8,136.6,124.6,114,102,92.4,85.3,81.5,78.5,77.4,85.4,93.8,97.9,92.5,89.2,88.4,88.7,89.1,90.5,92,94.3,98.4
葛飾区,100,101.9,104.3,121.2,255.5,263.9,267.6,274,274,244.7,196.7,156.2,129.3,114.9,102.5,89.8,76.9,69.2,63.4,57.8,54.8,52.2,53,60.1,62.9,59.2,57.4,56.9,57.3,57.8,59,60.1,61.2,63.5
江戸川区,100,103.5,106.5,115.3,255.5,309.9,309.9,329.4,334.7,312.6,235.7,188.8,157.1,130.6,113.9,98.6,87.3,77.4,69.8,66.2,63,61.4,64,73.5,76,69.1,67.1,66.1,65.2,65.4,66.4,67.3,68.8,71.4
区部,100,108.8,124.2,174.5,297.2,305.5,304.9,311.9,307.5,260.5,195.9,149.5,117.1,95.3,84.7,78.6,71.7,66.7,63.1,60.4,58.5,57.7,62.9,75.5,79.3,69.7,65.9,64.2,63.7,64.2,66.3,68.9,72.3,76.5
八王子市,100,105,111,128,315.9,407.5,404.2,413.5,408.5,378.7,317.7,255.7,215.3,176.1,157.3,143.9,127.8,113.5,103.6,95.8,87.4,83.7,84.2,93.2,98.3,91,87.5,85.5,84.6,84.3,84.6,85,85.6,86.1
立川市,100,104.6,109.7,123.1,281.3,324.3,324.3,335,331.3,282.6,202.1,153.6,129.5,110.3,99.2,93.7,87.3,82.9,81.4,77.8,75.6,73.9,77.3,91.4,98.1,90.2,84.9,83.4,83.2,84.4,87,91.8,97.5,102.3
武蔵野市,100,107.8,117.6,161.8,427.5,410.8,396.4,397.6,392,322.2,254.5,196,170.5,148.5,138.8,127.4,116.4,110.3,105.9,103.3,100.9,100.6,106.9,120,124.9,116.3,113.7,112.7,112.5,113.9,118.1,122.6,130.3,137.9
三鷹市,100,105.3,112.2,163.1,450.5,437.4,437.4,448.8,434.9,383.6,304.2,240.3,204,180.5,168,147.5,133,124.8,118.4,114.7,112,111.4,115,125.1,126.7,116,112.4,110.7,110.2,110.8,113.5,116.7,121.8,127.7
青梅市,100,101.3,103.1,105.6,163.8,261.3,261.3,265,265,245.1,212.5,188.3,164.8,147.7,139.9,130.9,114.3,107.4,97.9,86.5,77.7,73,71.4,77.3,78,72.3,67.9,66.4,65.2,65.1,65.4,66,66.1,66.2
府中市,100,103.5,107.4,141.3,346.2,345.5,344.1,350.3,349.6,322,252.8,202.5,183.3,165,151.5,140.3,128.5,120,113.4,105.7,102.5,99.7,101.2,111.5,116.4,105.3,101.5,100.2,99.9,100.5,102.9,104.2,105.9,107.9
昭島市,100,104,108,118.8,239.3,254.6,254.6,259.4,255,236.4,181.3,145.9,138.3,123.8,116.4,110.1,101.1,92.8,87.1,78.6,70.8,65.9,64.4,70.4,72.8,65.8,63.1,61.4,60.9,61.4,62.2,62.9,64.1,65.2
調布市,100,105.1,110,145,362.5,364.3,372.7,388.7,386.8,342.7,265.6,210.6,180.7,159.4,147,131.3,120.5,109.8,102,96.8,91.3,88.5,91.3,100.3,104.6,95.1,91.9,90.9,90.5,91.3,93.7,95.5,97.5,100.8
町田市,100,106.1,115.3,146.1,358.7,381.7,383.2,384.7,384.7,350.1,286,220.8,180.2,141.3,123.9,113.1,99.1,88.7,80.4,71.8,66,63.4,63,69,72.8,69,67.6,66.8,66.7,67.2,68.1,68.7,69.3,70.1
小金井市,100,103.7,108.7,148.2,376.9,358.8,344.8,344.8,335.1,280.8,230.3,188.4,163,142.1,132.2,122.7,110.9,103.6,98.4,93.5,89.4,86.2,85.2,98.7,103,95.6,94.3,92.8,92.7,93.2,95,96.3,98.9,101.8
小平市,100,103.1,106.5,120.9,271.7,272.2,267,267,263.3,240.7,183.4,158.1,144,127.9,121.5,110.8,98.4,89.8,84.6,78.4,75,72.1,72,76.9,76.8,71.6,68.3,66.5,65.7,65.8,66.5,66.9,67.4,68.2
日野市,100,103.7,107.4,113.8,208.7,230.8,230.8,238.4,238.4,218.9,192,174.9,159,141,131.8,124.4,111.7,104,97,92,85.8,80.9,80.1,85,86.5,77.5,73.7,72,71.4,72.1,73.2,73.8,74.6,75.6
東村山市,100,102,104.6,110.6,237.2,247.6,251.6,255.4,254.6,231.9,173.9,150.2,139.2,124,112,102.8,88.3,81.9,77.4,72.5,68.1,65.3,64.8,72.6,74.6,67.2,65.3,64.6,64.4,64.6,65.3,65.9,66.7,67.2
国分寺市,100,104,108.8,144.8,368.1,356.3,358.1,367.8,367.8,331.4,259.5,197,166.5,146.7,133.8,123.8,111.9,106.5,102.9,100.2,97.3,94.5,93.7,102.1,102.5,98.7,96.6,94.9,94.9,98,100.6,103.3,106,108.8
国立市,100,104.7,109,134.3,355.9,337.4,337.4,352.6,352.6,281,220,168.7,148.8,131.5,126.1,118.7,107.5,100,95.2,90.4,84.8,80.4,78,83.4,87.1,78.4,76.1,75.1,74.7,74.5,74.5,74.5,74.5,74.5
福生市,100,101.6,103.2,108.1,243.9,308.5,308.5,308.5,308.5,292.5,252.7,227.9,196.2,176.4,167.9,154.5,131.3,118.3,111.2,109.1,97.6,86.8,84.7,89.3,91.3,84.6,79.4,77.8,76.7,76.7,77.7,79,79.9,80.6
狛江市,100,102.9,106.4,142,356,356,368.5,386.9,382.6,343.6,261.1,207.6,187,163.4,156.2,142.8,131.9,122.4,114,106.8,96.5,91.6,89.3,94.7,98.4,88.3,83.8,82.8,82.2,82,82,82.2,82.4,82.6
東大和市,100,102.7,106.2,114.9,223.1,220.6,220.6,220.6,218.6,205.7,169.5,155.8,147.7,138.4,131.2,122.4,103.8,95.6,90.8,85.6,81.2,77.5,76,81.2,80.4,75,72.2,70.1,69.3,69.3,70,70.4,70.8,71.4
清瀬市,100,101.6,103.7,115.1,297.6,300.6,298.1,298.1,298.1,272.5,203,173,150.9,124.5,107.9,92.7,74.1,69,63.3,58.6,54.8,52.5,52.4,57.4,60,54.4,52,51.3,51.3,52,52.6,53.2,54,54.6
東久留米市,100,101.7,103.7,111.2,254.8,250,250,252.5,252.5,226.7,177.8,160.2,150.1,132.5,119.4,108.1,92.3,85.3,78.1,72.5,67.9,64.5,63.9,69.9,72.4,65.9,63,62.4,62.3,62.8,63.1,63.7,64.2,65
武蔵村山市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多摩市,100,112.2,124.4,152.4,341.4,471.8,471.8,471.8,469.4,422,305.1,260.3,214,180.4,167.4,156.7,134.4,119.2,108.6,101,92.3,87.4,87,93,96.5,90.1,87.6,86.5,85.9,86.2,86.5,86.6,86.7,87
稲城市,100,100,102.5,122.5,305.9,305.9,305.9,305.9,305.9,296.7,255.2,225.3,225.3,214,195.4,181.1,168.2,156.6,143.8,130,113.7,106.4,102.1,105.2,105.1,100.6,98.8,97.6,97.6,98,99.6,100.9,102.3,104.1
羽村市,100,102.6,103.4,106,193.9,203,203,203,203,192.9,171.5,153.1,131.8,113.9,108.2,102,89.7,85,79.3,76,72.6,69.5,68.3,72.1,75.3,68.5,63.2,61.8,60.9,60.9,61.4,62.1,62.4,62.8
あきる野市,100,102,103.4,106.3,123.4,178.4,178.4,184.6,186.8,185.9,172.1,159.4,153,138.8,133.9,127.6,109.5,98.1,88.7,82.1,71.5,64.6,63.1,66.2,68,63.7,60.3,59.5,59,59,59.2,59.5,59.5,59.5
西東京市,100,103.6,106.6,119.4,282.9,282.2,282.2,282.2,282.2,264.3,195.5,161.8,143.3,121.3,111.5,99.8,84.1,75.7,70.5,64.8,60.5,58.2,58.7,65.1,68.2,61.6,59.7,59,59,59.6,60.5,61.5,62.5,64
瑞穂町,100,101.4,102.8,105.6,138.8,192,192,201,203.8,202.4,196.9,190.6,185.1,172.7,165.8,148.4,121.8,110.6,104.6,97.9,83.9,77.4,74.9,76.2,76.2,72.3,68.3,68.3,68.3,,,,,
日の出町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
檜原村,100,101.5,102.7,104.2,120.8,217.4,209.8,209.8,208.3,208.3,202.3,198.9,194.9,191,190.6,186.6,167,159.3,151.4,140.6,129.6,118.4,110.4,108.9,107.4,104.3,96.5,96.5,96.5,87.1,84.2,82.3,80.9,79.6
奥多摩町,100,101.9,104.5,107.1,132.4,173.4,176,177.6,177.6,177.6,171,166.9,162.9,158,154.7,152.2,140.8,130.2,121,113.1,102.7,93.2,88.3,87.1,86.2,83.2,76.6,72.5,67.8,65.1,63,61.7,60.8,60.1
多摩地域,100,104.2,108.9,129,290.8,324,323,328.2,325.9,294.6,237.2,196.6,172.6,150.2,138.5,127.4,113,103.4,96.3,89.7,83.4,79.8,80,87.3,90.5,83.7,80.6,75.2,74.6,74.9,75.9,76.9,78.2,79.6
大島町,100,100.6,101,101.2,101.2,101.2,102.6,103.3,103.3,103.8,103.8,103.8,103.8,103,102.5,102.5,101,101,101,100,98.9,98.9,98,96.9,93.7,90.7,86.1,86.1,79.9,76.3,70.5,67.4,67,67
新島村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神津島村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三宅村,100,101.2,102.1,102.1,103.7,105.4,105.4,107.1,108.8,111.3,111.3,111.3,111.3,111.3,111.3,111.3,111.3,111.3,,,,,,,,,,,,,,,,
八丈町,100,101.1,101.1,101.1,101.3,101.6,101.6,105,105,105,105,105,105,105,105,105,105,105,105,103.4,103.4,103.4,101,101,101,98.1,92.6,91.2,85,80.6,79.7,79.3,79,79
小笠原村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,100,107.6,120.1,161.4,288.9,301.3,300.7,307,303.3,260.5,199.3,155.7,125.2,103.8,93.2,86.5,78.5,72.8,68.8,65.4,62.8,61.6,65.8,77.1,80.6,71.9,68.3,68.3,67.8,68.2,70.1,72.4,75.3,79
