都市名/用途　平成・令和　年,住宅地　25,住宅地　26,住宅地　27,住宅地　28,住宅地　29,住宅地　30,住宅地　31,住宅地　2,住宅地　3,商業地　25,商業地　26,商業地　27,商業地　28,商業地　29,商業地　30,商業地　31,商業地　2,商業地　3
岡山市　*1*2,-1.5,-0.7,-0.3,0.0,0.1,0.3,0.4,0.8,-0.1,-1.9,0.0,0.7,1.3,1.6,2.2,2.4,2.8,0.3
広島市　*1*2,-1.5,-0.4,0.2,1.4,1.9,2.2,2.7,3.1,0.4,-1.6,0.4,2.2,4.1,4.7,4.7,5.8,7.7,-0.4
北九州市　*2,-2.2,-1.6,-1.2,-0.9,-0.5,-0.3,-0.1,0.1,-0.1,-2.8,-2.2,-1.5,-1.0,0.4,0.6,1.0,1.3,0.1
福岡市　*1*2,0.7,1.8,2.2,2.7,3.5,4.3,5.3,6.8,3.3,0.7,2.9,3.8,5.9,8.5,10.6,12.3,16.5,6.6
熊本市　*1*2,-0.7,0.1,0.3,0.6,0.3,1.0,1.3,1.5,0.7,-1.5,-0.7,-0.1,1.1,1.1,4.1,6.2,6.3,0.8
政令市平均,-0.4,1.0,1.0,1.3,1.4,1.9,2.5,2.8,0.3,-0.4,2.1,2.4,4.2,4.9,5.8,7.3,7.9,-0.8
青森市,-6.2,-4.4,-2.9,-1.9,-1.2,-0.6,-0.4,-0.4,-0.8,-6.4,-4.7,-3.1,-2.3,-1.3,-0.4,0.1,0.2,-1.2
盛岡市,-4.6,-0.9,-0.1,0.6,1.0,0.4,0.4,0.7,0.2,-4.5,-2.6,-0.4,-0.1,-0.1,0.1,1.2,1.0,-1.5
秋田市*2,-5.0,-4.8,-3.8,-3.0,-1.9,-0.8,-0.1,0.2,0.0,-5.9,-5.2,-4.5,-3.7,-2.4,-0.9,-0.3,0.2,-0.2
山形市,-3.5,-0.7,-0.1,1.4,1.7,2.1,2.6,3.1,2.5,-4.0,-2.5,-1.3,-0.4,-0.2,0.2,0.6,1.6,1.0
福島市,-2.0,1.9,2.7,3.4,3.2,2.7,2.3,1.7,0.7,-3.6,-0.5,0.7,1.2,1.5,2.1,2.3,2.1,0.2
水戸市,-5.5,-3.8,-2.5,-1.6,-0.8,-0.6,-0.5,-0.4,-0.6,-6.2,-4.6,-3.1,-2.0,-1.1,-0.6,-0.3,-0.2,-0.6
宇都宮市*2,-3.1,-1.7,-0.7,-0.2,0.0,0.2,0.3,0.4,0.1,-3.5,-1.9,-0.7,0.0,0.5,0.6,0.7,0.9,0.2
前橋市*2,-3.2,-1.8,-0.9,-0.5,-0.3,-0.3,-0.3,-0.3,-0.6,-3.7,-2.1,-1.4,-0.8,-0.5,-0.4,-0.2,-0.2,-1.0
（新潟市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
富山市*2,-1.1,-0.3,0.2,0.3,0.1,0.1,0.8,0.8,0.1,-1.5,-0.6,0.6,0.7,0.4,0.6,0.7,0.7,-0.1
金沢市*2,-2.3,-0.6,0.0,0.6,0.8,1.1,2.0,4.3,1.0,-2.8,-0.7,1.3,5.4,4.5,3.2,4.5,5.5,-1.7
福井市,-3.5,-2.0,-1.4,-1.0,-0.8,-0.6,-0.5,-0.5,-0.6,-2.9,-1.7,-1.0,-0.3,0.0,0.3,0.5,0.6,0.3
甲府市,-2.8,-2.2,-1.8,-1.5,-1.4,-1.1,-0.9,-0.6,-0.6,-3.7,-2.7,-2.0,-1.2,-0.8,-0.2,-0.1,0.0,-0.6
長野市*2,-2.8,-1.9,-1.2,-0.7,-0.4,0.0,0.1,-0.3,-0.3,-3.1,-2.4,-1.3,-0.6,-0.2,0.1,0.4,0.4,-0.7
岐阜市*2,-2.4,-1.4,-1.0,-0.6,-0.6,-0.5,-0.6,-0.6,-1.3,-2.8,-1.4,-1.0,-0.6,-0.4,-0.2,-0.3,-0.1,-1.6
（静岡市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
津市,-1.7,-1.5,-1.4,-1.3,-1.3,-1.3,-0.9,-0.6,-1.1,-2.1,-1.7,-1.6,-1.4,-1.2,-1.0,-0.6,-0.4,-1.1
大津市*2,-0.5,0.2,0.1,-0.2,-0.7,-0.6,-0.5,-0.5,-1.0,0.2,2.4,1.8,1.5,1.5,1.6,1.9,1.9,-0.1
奈良市*2,-0.3,0.7,0.9,0.9,0.5,0.4,0.5,0.4,-0.2,-0.5,0.9,1.4,2.0,2.1,2.9,5.1,7.7,-5.2
和歌山市*2,-3.9,-2.9,-2.0,-1.2,-1.0,-0.9,-0.7,-0.6,-0.8,-2.7,-1.1,0.0,0.6,0.3,0.2,0.3,0.3,-0.1
鳥取市,-5.0,-3.4,-2.3,-1.7,-1.4,-0.9,-0.6,-0.3,-0.5,-6.6,-5.4,-3.7,-2.3,-2.0,-1.4,-1.1,-0.9,-1.8
松江市,-3.0,-2.4,-1.9,-1.2,-0.7,-0.4,-0.1,0.1,0.1,-5.4,-3.9,-2.8,-1.5,-1.0,-0.6,-0.3,-0.1,-0.4
（岡山市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
山口市,-3.9,-2.8,-1.5,-0.7,-0.4,0.0,0.3,0.5,0.4,-4.8,-3.7,-2.5,-0.8,-0.3,-0.2,0.0,0.4,0.1
徳島市,-5.6,-2.6,-0.9,-0.4,-0.1,0.1,0.2,0.3,-0.6,-6.0,-3.9,-1.7,-0.8,-0.3,0.1,0.2,0.3,-1.0
高松市*2,-4.3,-3.0,-1.5,-0.8,-0.2,0.2,0.4,0.6,-0.4,-4.7,-3.4,-1.7,-0.6,-0.2,0.5,0.7,1.1,-0.6
松山市*2,-2.0,-1.7,-1.4,-1.0,-0.9,-0.3,-0.2,0.0,-0.3,-2.6,-2.1,-1.2,-0.7,-0.5,0.2,0.6,0.8,0.1
高知市*2,-6.5,-3.4,-2.1,-1.5,-1.1,-0.8,-0.4,-0.4,-0.8,-6.6,-3.9,-2.5,-1.4,-1.2,-0.6,-0.2,0.2,-0.8
佐賀市,-4.8,-3.7,-2.6,-1.7,-0.8,0.7,1.1,1.4,0.7,-6.0,-4.9,-2.7,-1.4,0.1,2.3,2.6,3.2,1.7
長崎市*2,-2.6,-1.8,-1.3,-0.8,0.0,0.9,1.0,1.3,-0.2,-1.4,-0.2,1.1,1.6,2.9,6.5,5.9,5.3,0.0
（熊本市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
大分市*2,-2.2,-1.5,-0.9,-0.3,0.1,0.7,1.6,2.4,1.6,-3.2,-2.2,-1.3,-0.1,0.3,1.0,1.6,2.1,0.6
宮崎市*2,-1.6,-1.4,-1.0,-0.6,-0.1,0.0,0.2,0.3,0.0,-3.1,-2.6,-2.1,-1.1,-0.5,-0.2,0.2,0.4,-0.4
鹿児島市*2,-2.9,-1.9,-1.8,-1.2,-0.8,-0.3,0.1,0.2,-0.1,-2.8,-1.6,-1.3,-0.6,-0.3,0.4,0.9,0.9,-0.2
那覇市*2,-0.2,0.7,1.4,2.9,3.5,6.3,10.6,9.9,0.6,0.8,1.9,2.0,3.8,5.0,8.0,17.5,20.1,-0.6
県庁所在地平均,-2.8,-1.2,-0.8,-0.7,-0.4,-0.4,-0.4,-0.4,-0.6,-3.0,-1.6,-0.5,0.0,-0.1,0.0,0.0,0.3,-1.0
旭川市,-1.7,1.4,3.8,3.2,2.8,2.1,2.2,1.5,0.4,-2.2,0.9,3.0,2.7,2.2,1.7,1.9,1.7,-1.2
郡山市,0.7,4.0,7.3,6.7,4.3,2.6,1.1,0.0,-0.2,-2.0,1.4,3.3,2.8,1.9,1.1,1.1,0.2,0.2
いわき市,-3.3,-1.7,-0.7,-0.3,-0.2,0.0,0.1,0.2,-0.3,-4.9,-3.1,-1.5,-0.7,0.2,0.9,1.8,2.3,0.0
高崎市,-0.6,1.0,-0.1,0.1,0.3,0.7,0.9,0.8,-1.0,-0.3,2.2,0.2,1.7,1.7,2.2,2.5,2.2,-1.4
川越市,-0.5,0.2,0.9,0.2,0.4,1.1,1.5,4.3,1.0,-0.5,0.2,1.2,0.9,1.5,2.1,3.3,6.0,0.3
川口市,-0.5,1.6,0.6,0.3,0.4,1.1,1.2,1.0,-1.3,-0.2,1.2,0.6,0.7,1.1,1.2,1.6,1.2,-1.5
所沢市,-1.5,-0.1,-0.1,0.0,0.3,1.1,1.1,0.7,-0.8,-2.0,-0.6,0.0,0.0,0.0,0.3,0.3,0.0,0.0
越谷市,-1.0,1.0,0.5,0.4,0.4,1.0,1.3,1.8,0.4,-2.7,1.7,1.8,2.1,3.4,4.6,9.3,12.1,1.8
市川市,0.0,1.3,0.8,0.7,0.6,0.9,1.3,1.6,0.2,-0.2,1.8,1.7,1.7,2.3,3.2,5.0,7.3,0.3
船橋市,-1.9,0.2,0.1,0.3,0.4,0.4,0.7,0.8,0.3,-2.0,0.8,1.0,1.1,2.2,2.2,5.2,4.5,0.3
松戸市,-2.3,-1.3,-1.1,-0.9,-0.9,-0.7,-0.5,-0.4,-0.3,-1.1,0.2,0.3,0.6,1.2,1.0,1.4,1.0,0.0
柏市,-0.5,0.2,0.4,0.1,0.0,0.1,0.2,0.2,-0.7,-1.1,0.4,0.9,0.9,0.8,0.8,0.9,1.6,-1.1
八王子市,-0.1,0.6,0.2,0.0,0.0,0.0,0.1,0.1,-0.6,-0.2,1.4,1.0,1.4,1.5,1.3,1.6,1.9,-1.0
町田市,-1.6,-1.2,-1.4,-1.8,-2.6,-2.6,-2.4,-2.4,-2.6,-1.5,-1.0,-0.9,-0.8,-0.7,-0.7,-0.4,-0.2,-1.1
横須賀市,-0.2,0.6,0.5,0.4,0.0,0.0,0.1,0.2,-0.7,-0.4,0.1,0.2,0.3,0.3,0.2,0.4,0.6,-0.4
藤沢市,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
（相模原市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
（浜松市）,-0.2,0.2,0.0,-0.2,-0.4,-0.3,-0.2,0.0,-0.3,-0.2,0.1,-0.1,-0.1,-0.4,-0.3,0.3,1.0,-0.4
豊橋市,1.3,1.7,0.9,0.9,0.8,0.8,1.8,1.8,-0.8,0.3,0.8,0.4,0.6,0.5,0.3,0.6,0.5,-0.8
岡崎市,0.0,0.7,0.7,0.7,0.5,0.5,1.3,0.9,-0.7,0.6,0.9,1.0,1.6,1.9,1.9,1.8,2.0,-1.2
一宮市,0.0,1.2,0.6,0.7,0.7,1.4,2.2,2.1,-1.0,0.0,0.5,0.2,0.4,1.0,1.7,2.3,2.2,-1.3
春日井市,1.1,2.6,2.1,3.0,2.7,3.1,3.3,2.9,-1.3,0.7,1.3,1.2,1.7,1.6,2.9,3.8,3.4,-1.7
豊田市,-1.5,-0.6,-0.5,-0.5,-0.4,-0.3,-0.1,0.1,-0.4,-1.3,0.1,0.1,0.2,0.2,0.4,0.8,1.2,-0.5
四日市市,－,,－,－,－,－,－,－,－,－,,－,－,－,－,－,－,－
（堺市）,-0.1,0.2,0.4,0.4,0.7,1.0,1.0,1.3,0.0,0.0,1.6,1.4,2.1,2.3,3.1,5.6,7.1,0.2
豊中市,0.0,0.5,0.3,0.4,0.5,0.6,1.1,1.5,-0.2,0.3,3.2,2.3,3.0,3.2,3.5,12.0,9.3,-2.0
吹田市,-0.5,0.3,0.4,0.1,-0.3,-0.3,0.0,0.2,-0.2,-0.2,0.4,1.0,1.1,1.2,1.4,2.4,2.6,0.9
高槻市,-1.0,0.0,0.1,0.1,0.2,0.1,0.1,0.3,-0.3,-0.5,0.3,0.9,0.6,0.9,1.4,2.4,2.5,0.1
枚方市,-0.9,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.5,-1.2,-0.3,-0.2,-0.2,0.0,0.3,0.8,0.7,-0.3
東大阪市,-1.6,-1.4,-1.3,-1.2,-1.3,-1.2,-0.9,-0.7,-0.9,-1.8,-1.0,-0.7,-0.4,0.0,0.4,1.4,1.6,-0.2
姫路市,-0.3,0.3,0.2,0.2,0.0,-0.1,-0.1,0.1,-0.2,-1.0,0.2,0.4,0.8,1.1,1.1,1.5,2.7,0.2
尼崎市,0.4,1.3,1.5,1.8,1.1,0.5,0.9,0.9,-0.2,-0.3,1.4,2.1,2.7,2.9,2.6,3.0,4.1,0.3
西宮市,-1.9,-1.1,-0.8,-0.7,-0.6,-0.4,-0.8,0.1,-0.4,-2.1,-1.2,-0.8,-0.3,-0.3,0.1,0.6,0.9,0.1
倉敷市,-3.0,-2.6,-2.1,-1.7,-1.1,-0.3,0.1,0.4,-1.0,-3.9,-3.0,-2.6,-1.9,-0.8,1.0,1.8,3.0,-1.4
福山市,-1.5,0.0,0.2,0.3,0.3,0.6,0.6,1.2,0.4,-2.4,-0.5,0.1,0.5,0.9,1.7,2.2,2.8,1.4
久留米市,-1.6,-0.4,0.3,0.7,0.6,0.8,1.3,2.3,0.7,-1.9,-0.4,0.7,2.1,2.1,2.7,3.6,5.0,0.8
30万人以上都市平均（三大都市圏除く）,-0.8,0.4,0.5,0.8,0.9,1.2,1.7,2.0,0.0,-0.9,1.2,1.6,3.0,3.6,4.3,5.6,6.1,-0.7
30万人以上都市平均（三大都市圏含む）,-1.6,-0.6,-0.4,-0.2,0.0,0.3,0.6,0.8,-0.4,-2.1,-0.5,0.0,0.9,1.4,1.9,2.8,3.1,-0.8
全国平均,-1.6,-0.6,-0.4,-0.2,0.0,0.3,0.6,0.8,-0.4,-2.1,-0.5,0.0,0.9,1.4,1.9,2.8,3.1,-0.8
