区市町村名,合計／令和4年(千m2),合計／令和3年(千m2),合計／令和4年-令和3年(千m2),住宅地区／令和4年(千m2),住宅地区／令和3年(千m2),住宅地区／令和4年-令和3年(千m2),商業地区／令和4年(千m2),商業地区／令和3年(千m2),商業地区／令和4年-令和3年(千m2),工業地区／令和4年(千m2),工業地区／令和3年(千m2),工業地区／令和4年-令和3年(千m2),その他／令和4年(千m2),その他／令和3年(千m2),その他／令和4年-令和3年(千m2)
市部／東久留米市,6790,6766,24,6201,6177,23,321,321,0,212,212,0,56,56,0
市部／武蔵村山市,5517,5487,30,4391,4371,20,336,337,-1,789,778,11,0,0,0
市部／多摩市,8227,8197,30,7051,7027,24,1176,1170,5,0,0,0,0,0,0
市部／稲城市,5082,5041,41,4784,4743,41,179,179,0,105,105,0,15,15,0
市部／羽村市,5481,5467,14,3583,3569,14,189,189,0,1700,1701,-1,8,8,0
市部／あきる野市,8444,8392,21,7064,7038,26,99,99,0,422,394,28,859,862,-3
市部／西東京市,8971,8934,33,8549,8509,40,265,264,0,157,160,-3,0,0,0
市部計,247361,246887,474,216474,215727,748,8442,8437,5,15569,15569,0,7138,7155,-17
西多摩郡／瑞穂町,5169,5037,132,2502,2381,121,360,358,3,1741,1732,9,566,566,0
西多摩郡／日の出町,2490,2486,4,1362,1360,3,110,110,0,189,189,0,828,827,1
西多摩郡／檜原村,420,418,2,0,0,0,0,0,0,0,0,0,420,418,2
西多摩郡／奥多摩町,836,841,-5,126,128,-2,0,0,0,0,0,0,710,713,-3
西多摩郡計,8914,8782,132,3990,3869,121,471,468,3,1930,1921,9,2523,2524,-1
多摩地域計,256276,255669,606,220464,219595,869,8913,8905,8,17499,17490,9,9661,9679,-18
区部･多摩計,572512,571750,762,502318,501310,1009,29134,29089,45,31660,31672,-11,9661,9679,-18
