区市町村名　/　昭和・平成・令和　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年,31年
江戸川区,561,593,611,663,1716,2119,2439,2830,2920,2718,2160,1701,1340,1066,914,785,648,574,520,496,474,464,480,578,603,542,523,518,510,475,495,503,515,563,597,655
区部,1299,1576,2292,5016,7586,7783,7860,8183,8137,7021,4950,3512,2595,2049,1835,1732,1588,1486,1440,1386,1359,1359,1587,2036,2198,1901,1760,1697,1678,1676,1768,1896,2085,2244,2419,"2,654"
八王子市,365,405,430,512,1443,1850,1852,1923,1909,1779,1451,1147,949,771,613,553,480,423,387,358,330,313,327,372,397,379,364,354,349,348,351,358,364,369,373,378
立川市,506,529,560,665,1473,1696,1790,1934,1924,1643,1479,1063,861,703,624,592,711,676,670,642,604,595,631,759,823,762,721,711,709,720,745,1401,1500,1571,1641,"1,706"
武蔵野市,1247,1377,1526,2234,5808,5615,5101,5114,5080,4316,3416,2591,2203,1916,1780,1591,1449,1367,1329,1310,1293,1307,1408,1551,1610,1487,1453,1437,1435,1457,1473,1540,1663,1778,1902,"2,083"
三鷹市,700,737,784,1140,3150,3060,4673,4673,4563,4110,3300,2567,2140,1880,1723,1483,1330,1247,1178,1141,1114,1110,1177,1273,1300,1190,1154,1134,1130,1133,1159,1193,1246,1310,1373,"1,457"
青梅市,285,289,295,303,464,680,767,775,775,753,602,536,466,418,393,368,320,282,257,218,195,183,180,195,196,182,171,175,171,171,172,174,174,174,174,174
府中市,439,479,498,663,1500,1498,1553,1541,1664,1547,1221,974,876,784,678,623,590,550,519,483,468,455,463,511,535,484,466,460,458,461,473,481,495,509,526,540
昭島市,427,444,461,507,1020,1085,1210,1233,1223,1137,872,700,651,580,547,518,476,437,410,370,334,311,305,334,344,311,299,291,288,290,294,295,302,308,313,319
調布市,545,574,602,807,2116,1884,2052,2140,2130,1887,1448,1148,984,865,761,679,617,561,520,495,468,406,419,460,480,435,421,416,536,541,557,569,583,606,629,651
町田市,707,769,836,1081,2873,2910,2367,2374,2374,2236,2345,1790,1439,1042,752,689,657,600,553,503,471,456,491,539,578,542,528,519,517,487,498,508,520,534,547,562
小金井市,763,791,831,1142,2940,2845,2785,2785,2735,2375,1900,1505,1303,1125,1033,948,1220,822,780,742,705,670,664,765,800,748,739,730,729,815,833,846,874,907,944,"1,005"
小平市,447,461,477,541,1213,1206,1227,1227,1206,1105,842,724,659,583,553,504,453,413,389,360,345,332,331,354,354,330,315,306,303,303,306,308,311,315,319,323
日野市,650,673,697,733,1295,1435,1435,1490,1000,918,803,726,660,585,545,514,462,471,439,417,389,368,365,388,395,353,336,328,326,296,300,303,307,312,319,322
東村山市,400,408,418,445,956,1166,1190,1213,1210,1107,834,714,659,581,503,460,421,424,393,368,346,332,330,370,381,343,333,329,328,329,333,336,340,352,355,359
国分寺市,431,822,862,1150,2915,2860,2880,2990,2990,2750,2150,1695,1410,1235,1113,1020,925,898,868,1200,1165,1130,1120,1220,1225,1180,1155,1135,1135,1015,1041,1070,1098,1125,1175,"1,193"
国立市,417,436,534,657,1740,1650,1650,1725,1725,1375,1075,825,728,644,618,581,541,503,479,455,427,405,393,420,439,395,383,378,376,375,375,375,375,375,379,386
福生市,252,256,260,273,615,775,775,775,775,735,567,508,437,392,373,343,291,359,340,334,309,276,236,249,256,235,220,215,212,212,215,218,220,222,224,225
狛江市,486,500,517,690,1730,1730,1790,1880,1860,1670,1270,1010,910,795,760,695,642,596,555,520,470,446,435,461,479,430,408,403,400,399,399,400,401,402,403,410
東大和市,262,269,278,301,588,583,583,583,577,543,446,408,386,362,343,320,272,250,238,224,213,203,199,213,211,197,189,184,182,182,184,185,186,187,188,189
清瀬市,527,536,547,607,1905,1930,2103,2103,2037,1863,1386,1177,1025,837,723,618,594,553,507,469,439,421,420,460,481,436,416,411,411,416,421,426,432,437,442,446
東久留米市,397,404,412,441,1011,991,991,1001,1001,900,704,634,835,723,650,588,505,468,429,398,373,355,353,390,405,369,353,350,350,354,356,360,363,368,372,375
武蔵村山市,,,,,,,,,,,365,360,352,345,333,306,255,225,206,184,169,160,158,170,170,158,152,149,147,147,131,133,139,140,140,141
多摩市,820,920,1020,1250,2800,3870,3870,3870,3850,3460,1371,1163,954,785,619,578,499,445,404,374,341,322,356,385,403,377,367,361,359,361,363,364,364,366,369,373
稲城市,260,315,323,386,964,964,964,964,964,935,804,710,680,646,502,464,431,412,378,342,299,279,268,276,276,263,259,256,256,265,269,272,276,281,287,302
羽村市,387,397,400,410,750,785,793,793,360,817,729,630,588,509,484,456,400,379,353,338,323,309,303,320,334,304,233,228,225,225,226,229,230,231,233,234
あきる野市,156,159,161,165,189,270,270,372,376,385,357,330,317,288,278,265,227,204,184,171,149,135,132,139,143,134,126,125,134,134,135,133,133,133,133,133
西東京市,542,562,577,648,1599,1597,1597,1835,1835,1713,1262,1043,919,772,705,630,528,475,443,407,380,366,369,409,429,388,375,371,371,375,381,387,393,474,497,521
市部,533,581,619,787,1961,2035,2109,2154,2137,1894,1506,1194,1024,860,740,669,612,568,534,511,483,467,485,538,561,520,502,494,498,495,500,551,573,596,619,646
瑞穂町,145,147,149,153,201,278,278,291,295,293,285,276,268,250,238,213,175,159,150,141,121,112,108,116,116,110,104,101,99,122,123,124,124,126,127,127
日の出町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
檜原村,33,34,34,35,40,72,70,70,69,68,66,65,64,62,62,61,55,52,49,46,42,39,36,36,35,34,32,30,28,27,26,25,25,25,24,― 
奥多摩町,60,64,66,67,83,109,111,112,112,109,105,103,100,97,95,94,87,80,74,69,63,57,50,49,49,47,43,40,38,36,35,34,34,33,33,33
西多摩郡,131,135,137,141,215,259,336,366,366,194,181,173,167,127,145,135,115,106,100,93,82,75,70,62,62,59,56,53,51,55,55,55,54,54,54,64
大島町,55,56,56,38,39,39,39,39,39,39,33,33,32,32,31,31,39,39,39,39,38,37,36,36,34,32,31,29,27,25,23,22,22,22,22,22
新島村,,,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
神津島村,,,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
三宅村,24,19,19,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,,,,,14,14,14,14,13,13,13,13,13,13,13,13,13,13
八丈町,35,36,35,35,35,35,34,33,33,36,37,37,37,37,37,37,34,34,34,34,34,34,33,27,27,26,24,22,21,19,19,19,19,19,19,19
小笠原村,,,,,,,,,,,,,,,,,,57,57,57,57,57,57,57,57,57,57,57,59,62,62,62,62,62,62,62
島しょ,42,41,41,33,33,33,33,32,32,34,26,26,26,26,26,26,26,30,32,32,32,31,29,27,26,26,25,24,23,23,22,22,22,22,22,22
東京都,1109,1324,1880,4211,6493,6666,6679,6946,6906,5973,4189,2995,2239,1778,1568,1472,1354,1258,1219,1172,1146,1142,1311,1657,1785,1551,1441,1392,1378,1378,1446,1551,1699,1825,1961,"2,158"
