区名,平成23年／件数(件),平成23年／面積(m2),平成24年／件数(件),平成24年／面積(m2),平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2)
合計／世田谷区,6769,877791,7484,708313,8252,798410,8319,861659,8659,804451,8558,791699,8714,822018,8402,770026,8751,817522,7940,728913
合計／渋谷区,1574,222168,2070,192642,2476,215254,2312,211731,2066,218758,2106,205541,2484,242049,2150,198924,2251,211799,1726,155679
合計／中野区,2495,252509,2750,213154,2834,227449,3016,218202,3414,307877,2911,214304,3191,265969,2809,229204,3280,247225,3158,221017
合計／杉並区,4691,552756,5260,455541,5981,556530,5492,489790,6395,600869,5865,497129,5755,492455,5735,471837,6114,539487,5784,445951
合計／豊島区,1814,199659,2266,174069,2375,176620,2518,174281,2505,187417,2693,190373,2895,213996,2635,178216,2813,184009,2366,169570
合計／北区,1981,196547,2177,162313,2236,184232,2244,288788,2720,223041,2958,212443,2648,225868,2970,277816,3028,239022,2746,182219
合計／荒川区,1353,108689,1652,106293,1718,107303,1590,124886,1718,119585,1908,146064,1864,130293,2109,145598,2138,131363,2060,127955
合計／板橋区,3471,379649,4014,369354,4087,368658,4054,356057,4363,383441,4203,372000,4075,362831,4135,363840,4379,347114,3981,321897
合計／練馬区,6048,702280,6339,587419,6802,615410,7254,663127,7681,652311,7960,742316,7284,632435,7377,685364,7581,636762,7268,627068
合計／足立区,6245,615691,7524,580324,8133,633112,8078,646392,7684,687211,6945,598379,8113,638386,7446,691524,7663,593745,7445,553342
合計／葛飾区,4148,389587,4331,359874,4777,353633,4508,330189,5007,357116,4632,373249,5451,389993,5198,371323,5336,372244,4703,343252
合計／江戸川区,4389,460909,5321,423423,5721,446189,5557,454074,5857,493706,5479,459872,6027,504085,5991,471966,5763,440535,5634,412804
合計／合計,64356,8150089,73301,6353605,78869,6977980,79289,7140768,83708,7422581,82111,7377142,85037,7256959,83500,7200009,85974,7036767,79271,6336773
