区市町村名：用途　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年
文京区：住宅地,5.6,6.6,15.7,52.5,83.9,-2.7,-2.7,0,-2.4,-16,-20.6,-12.9,-11.7,-12,-4.7,-3.3,-3.4,-2.4,-1.3,-0.4,-0.4,0,10.1,24.6,0.1,-12,-4.6,-2.9,-0.5,0.5,2.2,3,3,5.1
文京区：商業地,4,7.1,8.9,56.6,59.1,-1.1,-1.8,0.5,-1.8,-15.5,-20.7,-17.6,-20.4,-23.2,-17,-11,-10.6,-9.1,-5.8,-4.8,-2.4,-0.8,6.6,26.8,2.9,-12.4,-4.6,-3.6,-0.8,1.4,4,5.5,4.9,7
文京区：全用途平均,4.5,6.7,10.4,28.5,71.1,-1.7,-2.3,0.3,-1.9,-15.8,-20.8,-15.8,-17.6,-19.5,-13.2,-8.1,-7.8,-7,-4.3,-3.1,-1.7,-0.5,7.8,25.8,1.6,-12.2,-4.6,-3.2,-0.7,1.1,3.4,4.5,4.1,6.3
台東区：住宅地,3.7,　　―,4.6,29.2,75.3,-1.7,-0.9,0,-1.6,-15.7,-19.5,-12.3,-12.6,-11,-6.1,-2,-4.2,-2.2,-1.1,-0.6,-0.4,0,6.9,17.5,3.9,-11.8,-5.2,-2.7,-0.9,0.2,1.8,1.9,2.7,3.9
台東区：商業地,4.3,1.7,10.2,28.4,43.4,-0.6,-1.3,0.7,-1.7,-16.2,-19.4,-15.5,-21.3,-22.5,-17.2,-10.6,-10.1,-6.3,-6.5,-6.5,-6,-4.4,5.7,19.1,4.8,-10.8,-5.9,-3.8,-0.9,0.5,2.1,2.5,4.1,7.4
台東区：全用途平均,4.2,1.7,9.7,28.5,46.6,-0.7,-1.2,0.7,-1.73,-16.1,-19.4,-15.2,-20.6,-21.7,-16.3,-10.3,-9.6,-6,-6.1,-6,-5.6,-4.1,5.8,18.9,4.7,-10.9,-5.8,-3.7,-0.9,0.5,2.1,2.5,4,7.1
墨田区：住宅地,　　―,　　―,　　―,　　―, 　　―,　　―, 　　―, 　　―, 　　―,　　―,　　―,　　―,　　―,　　―,　　―,　　―,-4.3,-3.2,-1.3,-1.3,-1.3,-1,1.7,8.5,2.2,-8.3,-3,-2.4,0,0.2,1.9,1.8,2,3.2
墨田区：商業地,1.7,2.6,3.7,15.3,152.5,9.2,-0.3,2.1,-4,-25.8,-14.4,-14.2,-23.3,-21.2,-11.4,-6.8,-8.4,-8.4,-5.9,-4.9,-1.9,-0.5,3.2,17.1,6,-9.5,-3.8,-1.7,0.3,0.4,2.4,1.9,2.4,4.1
墨田区：全用途平均,1.8,2.5,3,11.3,131.8,7.7,-0.4,2.8,-3.4,-23.2,-13.9,-13.9,-20.8,-18.2,-10.4,-6.1,-7.5,-7.5,-5.4,-4.5,-1.8,-0.6,3.2,15.3,5.4,-9.1,-3.8,-1.8,0.2,0.4,2.3,1.9,2.3,3.9
江東区：住宅地,3.8,3,2.5,7.4,119.3,23.1,0,3.1,-0.6,-21,-13.9,-14.7,-13.6,-10.3,-5.6,-4.3,-4.7,-4.3,-2.9,-1.6,-0.7,-0.1,3.1,9.8,3,-7.3,-2.4,-1.6,-0.3,0.8,2.8,2.3,2.7,3.8
江東区：商業地,3,3.4,2.3,23.4,148.8,9.3,0.4,3.5,-2.3,-22.7,-14.2,-13.4,-27.5,-21.3,-12.9,-9.4,-9.5,-9.2,-7.7,-5,-0.8,-0.3,4.4,20.2,6.8,-10,-3.8,-2.3,-0.2,1.2,2.5,2.2,2.9,4.6
江東区：全用途平均,3.2,2.7,2,15.8,122.7,12.6,0.9,3.3,-1.6,-21.7,-14.2,-15.8,-25,-15.9,-9.3,-6.5,-7.2,-7.5,-5.4,-3.1,-0.8,-0.2,4.8,15.5,5.6,-8.7,-3.2,-2.5,0.2,1,2.6,2.3,2.9,4.3
品川区：住宅地,3.5,3.2,7.5,44.8,76.8,-1.7,-6.4,0,-4.9,-18.3,-21.4,-12.6,-8.5,-4.9,-3.2,-1.9,-4.5,-3.7,-2.6,-1.1,-1.1,-0.5,10.3,17.5,-2.6,-11.8,-4.6,-0.6,-0.4,1.7,2.8,5.8,3.3,4
品川区：商業地,8.4,8.7,12.5,47.8,66.9,0.6,-2.6,0.9,-0.9,-13.1,-23.2,-20.6,-16.2,-13.3,-10.1,-4.9,-5.4,-4.7,-3.6,-1.3,-1.2,-0.7,9.2,20,2.8,-12.4,-5.9,-1.4,-0.4,1.1,2.5,4.7,3.1,5.1
品川区：全用途平均,6.9,6.5,10.6,44.5,72,-0.1,-3.9,0.7,-2.3,-14.8,-22.2,-17,-13.1,-10.4,-7.1,-3.6,-5.1,-4.2,-3.1,-1.1,-1.1,-0.6,9.4,19.1,0.5,-12.2,-5.3,-1.1,-0.4,1.3,2.7,5.2,3.2,4.6
目黒区：住宅地,6.7,6.4,13.1,60.9,78.7,-1.1,-5.3,0,-4.3,-23.9,-25.2,-14.2,-6.4,-5.3,-3,-1.5,-3.7,-2.7,-1.2,-0.6,-0.5,-0.2,7.7,18.1,-1.1,-11.1,-4.7,-0.9,0,0.9,2.6,3.6,6.1,5
目黒区：商業地,8,11.5,18.2,62,101,-0.4,-0.8,0.8,-1.5,-16.2,-22.9,-29.3,-25.7,-22.7,-12.5,-8,-6.9,-4.6,-3.9,-2.9,-2.3,-0.6,11,26.3,3.8,-11.9,-6.4,-1.8,-0.9,1.4,3.1,4.4,6.2,5.1
目黒区：全用途平均,7.1,8.4,15.1,61.3,86.1,-0.9,-3.6,0.3,-3.3,-21.2,-24.3,-19.5,-13.6,-12,-6.5,-3.7,-4.7,-3.4,-2.1,-1.6,-1.2,-0.4,9.4,22.2,0.7,-11.4,-5.5,-1.2,-0.4,1.1,2.8,4,6.1,5
大田区：住宅地,2.7,3.6,9.1,46.8,109.3,-3.7,-8.9,0.3,-4.5,-23.4,-20.1,-8.2,-4.9,-6.5,-8.9,-5.1,-5,-4.9,-2.6,-1.2,-0.4,-0.1,3.1,13.6,1.3,-11.5,-3.6,-0.9,-0.7,0.3,1.7,1.8,3.3,2.7
大田区：商業地,6.1,4.7,14.8,56.9,91.6,-4.2,-2.3,0.7,-0.6,-19.6,-27.1,-18.4,-11.2,-10.4,-16.1,-8.1,-7.4,-6.3,-4.5,-2.3,-1.3,-0.2,3.6,15.3,3.1,-7,-4,-1.8,-0.8,0.2,2,2.1,3.9,3.2
大田区：全用途平均,4.2,3.7,10.2,47.1,98.7,-1.7,-5,0.7,-2.5,-20.7,-22.3,-11.6,-6.9,-7.3,-11.1,-6.4,-6.1,-5.7,-3.9,-2,-1.3,-0.7,2.7,12.8,2,-9.1,-3.5,-1.2,-0.7,0.4,1.8,2,3.8,3
世田谷区：住宅地,3.3,3.3,8.5,62.5,96.3,-8.7,-7.1,1.5,-3.2,-22.1,-21.9,-9.3,-4.1,-3.2,-1.1,-1.5,-3.4,-2,-1.5,-1.4,-1.6,-0.7,7.7,13.9,0.6,-13.8,-3.2,-1.4,-0.7,0.4,1.6,1.6,2.8,3.1
世田谷区：商業地,4.4,4.1,10.7,62.4,107.3,-4.8,0,1.5,-1,-21.2,-27.6,-19.3,-15.8,-11.2,-8.5,-6.4,-10.4,-5.2,-3.1,-2.2,-1.7,-0.1,9.3,18.8,5,-14.1,-3.9,-1.5,-0.7,0.6,2.1,2.4,4.7,5.2
世田谷区：全用途平均,3.7,3.5,9.1,62.8,98.8,-7.8,-5.3,1.5,-2.7,-21.8,-23.2,-11.7,-6.9,-5.1,-2.9,-2.6,-5,-2.8,-1.9,-1.6,-1.6,-0.5,8.1,15.2,1.8,-13.9,-3.4,-1.4,-0.7,0.5,1.7,1.8,3.3,3.7
渋谷区：住宅地,5.7,8.9,13.6,40,98.8,-8,-3.4,0.9,-3.4,-28.5,-26,-26.2,-10.7,-10.7,-2.2,-1.3,-3.3,-0.7,0.2,0,0.2,1.8,17.2,23.3,-3.7,-14.2,-2.7,-1.6,-0.7,1.2,3.3,3.2,3.4,3.6
渋谷区：商業地,9.4,18.1,16.6,52,57.4,-2,-0.9,2.2,-0.5,-16.6,-28.2,-33.5,-26.7,-18.8,-8.4,-5,-10.1,-4.4,-1.5,-0.4,-0.5,0.4,13.9,27.9,-0.7,-11.6,-7.6,-5.8,-1.4,1.3,4.6,6.1,6.6,8.6
渋谷区：全用途平均,8,13.6,14.9,45.6,70.1,-4.2,-1.8,1.7,-1.6,-21.8,-27.5,-30,-19.7,-15.4,-6,-3.6,-7.4,-2.9,-0.8,-0.3,-0.3,1,15.1,26.2,-1.9,-12.6,-5.7,-4.2,-1.1,1.3,4.1,5,5.3,6.7
中野区：住宅地,3.4,1.7,2.3,29.8,92.7,-6.2,-8.2,0.1,-5.4,-18.7,-24,-11.6,-7.7,-5.8,-0.6,-0.3,-2.7,-1.2,-0.9,-1.8,-1,-0.5,2.2,11.8,2.1,-10.8,-4.4,-0.9,-0.6,0.9,1.3,1.8,3,3.3
中野区：商業地,4.6,5,7.7,37.3,75.7,-0.3,-4.5,1.1,-3.3,-13.1,-24.5,-15.7,-15.7,-15,-5,-3.9,-7.9,-3.7,-2.1,-4.6,-3.6,-1.9,3.4,16.1,5.6,-12.8,-4.6,-2.1,-1.1,0.9,1.8,2.7,4,6
中野区：全用途平均,4.2,2.9,4.4,32.4,83.6,-4,-6.9,0.5,-4.6,-16.6,-24.2,-13.2,-10.9,-9.5,-2.3,-1.7,-5.1,-2.3,-1.4,-3.1,-2.2,-1.2,2.7,13.9,3.8,-11.8,-4.5,-1.5,-0.8,0.9,1.6,2.3,3.5,4.6
杉並区：住宅地,3.9,3,6.5,45.5,104,-4.1,-7.5,2.4,-3.4,-23.6,-22.7,-9.5,-3.9,-5.9,-1.7,-2.5,-2.8,-2.4,-1.5,-1.4,-1.5,-0.5,4.1,10.9,0.1,-11.8,-1.9,-0.6,-0.2,0.6,1.9,2.7,3.1,3.3
杉並区：商業地,5,4.9,8.5,31.3,109,6.3,-0.5,0.8,0,-16.2,-26.1,-18.2,-18,-13.8,-11.3,-9.5,-7.5,-6.5,-4.6,-3.2,-2.3,-0.3,5.6,12,0,-12,-3.2,-0.8,-0.4,0.3,2.2,3.8,4.7,8
杉並区：全用途平均,4.2,3.6,6.9,41.6,105.3,-1,-5.4,2,-2.4,-21.7,-23.6,-12,-7.8,-8.1,-4.5,-4.7,-4.4,-3.9,-2.5,-2.1,-1.8,-0.4,4.7,11.3,0.1,-11.8,-2.4,-0.7,-0.2,0.4,2,3.1,3.7,5.1
豊島区：住宅地,4.4,3.6,4.7,28.1,83.6,-3.1,-0.5,1.7,-2.7,-21.3,-23.4,-15.8,-6.9,-7.3,-3.4,-2.9,-5.6,-5.5,-4.7,-4.6,-3.7,-1.8,5.3,16,4.6,-10,-2.5,-2.3,-0.5,0.5,2.3,2.9,3.1,4
豊島区：商業地,5,7.4,11.5,53.3,66.8,-0.4,0.3,3,-0.5,-14.6,-22.7,-29,-23.5,-20.6,-12.7,-9.3,-9.9,-8.7,-7.3,-7,-5.4,-3.4,8.8,22.8,5.9,-13,-2.7,-3.1,-0.6,1.5,3.3,4.3,4.3,6.1
豊島区：全用途平均,4.6,5.7,8,39.5,73.9,-2,0,2.6,-1.2,-17.5,-23,-23.4,-16.7,-15.3,-8.6,-6.3,-8.3,-7.5,-6.3,-6,-4.7,-2.7,7.4,19.9,5.3,-11.8,-2.6,-2.7,-0.6,1.1,2.9,3.8,3.8,5.3
北区：住宅地,2.7,2.6,3.8,14.8,68.1,1.1,-0.5,3.3,-1.7,-14,-17.5,-8.6,-5.8,-5.9,-4.9,-4.5,-5.3,-4.6,-4.7,-4.4,-3.1,-2.1,4.3,10,1.3,-7.6,-2,-1,-0.2,0.1,0.8,2,3,4.2
北区：商業地,2.1,4,6.6,29.9,114.7,2.5,0,4,-2.2,-13.2,-20.4,-17.4,-14.5,-14.5,-11.4,-8.8,-9.3,-7.6,-6.1,-5.6,-4.4,-3.5,7.6,16.2,3.3,-11.5,-3,-1.6,-0.5,0.2,1.5,2.1,3.2,4.9
北区：全用途平均,2.3,3.2,5.1,21.1,91.2,1.7,-0.2,3.6,-1.8,-13.4,-18.8,-12.8,-10.3,-9.9,-7.8,-6.4,-7.4,-6.4,-5.5,-5.1,-3.8,-2.9,5.5,12,2.2,-9.3,-2.5,-1.4,-0.4,0.1,1.1,2,3.1,4.5
荒川区：住宅地,　　―,　　―,　　―,　　―, 　　―,　　―, 　　―, 　　―, 　　―,　　―,　　―,-8.6,-7.3,-4.9,-3.1,-3.3,-4.5,-4.2,-4.2,-3.7,-2.5,-2.2,4.6,9.1,1,-8.4,-3.1,-1.3,-0.2,0.4,1.1,2.6,3.2,5.3
荒川区：商業地,1.7,2.7,4,29.1,98,7.6,0,2.7,-1.4,-12.9,-20.5,-16.8,-15.7,-14.1,-9.5,-7.1,-8.5,-7.8,-6.5,-4.9,-3.5,-3,8.1,18.5,3.3,-8.9,-2.8,-2.3,-0.2,0.5,1.4,2,3.4,5
荒川区：全用途平均,1.9,2.7,3.8,21.4,81.4,8.7,-0.2,2.9,-1.4,-12.6,-19.5,-12.8,-11.1,-9.9,-7,-5.6,-6.6,-6.7,-5.7,-4.8,-3.6,-2.7,6.6,13.7,2.5,-8.6,-2.8,-2,-0.2,0.5,1.3,2.3,3.3,5.1
板橋区：住宅地,2.6,2.2,1.9,7.7,115.5,-0.3,-0.4,1.1,-1,-16.6,-17.6,-11.5,-4.5,-3.7,-1.6,-1.5,-4.9,-4.1,-3.2,-4,-3,-2,2.6,10.9,2.8,-9.6,-3,-1.6,-0.5,0.3,1.4,1.7,2.4,3.4
板橋区：商業地,2,2.7,5.1,21.9,94.7,0.4,0,0.5,-0.3,-14,-21.5,-15.6,-11.1,-11,-8.3,-5.8,-9.4,-6.1,-4.1,-4.6,-3.8,-2.8,5.1,12.5,4.1,-10.2,-3.3,-2.2,-0.7,0,1.8,2.1,3,4.3
板橋区：全用途平均,2.3,2.2,3.1,12.1,109.2,0,-0.2,1,-0.8,-15.8,-19.2,-12.9,-6.9,-6.2,-4.1,-3.2,-6.8,-4.9,-3.6,-4.2,-3.4,-2.3,3.7,11.5,3.2,-9.7,-3.1,-1.9,-0.6,0.2,1.5,1.9,2.6,3.8
練馬区：住宅地,1.3,1.7,2.3,16.5,129.6,0.8,-5.2,1.6,-4,-20.5,-14.7,-7.2,-3.4,-2.7,-2,-3,-6.1,-5.9,-4.4,-3.1,-2.2,-1,2.4,10.8,3.4,-12.1,-2.3,-0.8,-0.3,0.2,2.1,0.8,1.4,1.9
練馬区：商業地,3.7,3,3.7,30.7,111.6,4.8,-0.4,2.8,0,-15.6,-22.6,-19.3,-12,-10.4,-10.3,-6.7,-8.6,-8.9,-3.8,-2.5,-1.4,-0.6,3.2,16.1,5.7,-11.2,-2.6,-1.4,-0.4,0.2,2.4,0.9,4.9,4.6
練馬区：全用途平均,1.6,1.9,2.5,18.3,126.9,1.4,-4.5,1.8,-3.5,-19.9,-15.8,-9.6,-5.1,-4.3,-3.5,-3.8,-6.7,-6.5,-4.2,-2.9,-2,-0.9,2.6,12.1,4,-11.9,-2.4,-0.9,-0.3,0.2,2.2,0.8,2.2,2.6
足立区：住宅地,3,1.7,1,4.8,46.4,40.2,0.7,7,-0.1,-12.8,-14.4,-6.1,-6,-6.6,-4.5,-4.5,-7.1,-7.3,-5.9,-4.5,-3,-1.1,12.7,9.5,4,-6.3,-3.7,-1.5,-0.6,0.1,0.9,1,1.6,3.4
足立区：商業地,2.9,2.6,3.1,9.4,66.2,40.8,1.6,6.1,-0.1,-13.3,-17.7,-15.8,-10.5,-12.9,-8.8,-8.5,-10.5,-9.4,-7.7,-4.5,-3.6,-1.4,10.6,9.9,4.3,-5.5,-3.5,-1,0.4,0.5,1.6,1.6,2.5,4.3
足立区：全用途平均,3,1.9,1.5,5.9,51.9,41.3,1.3,7,-0.1,-12.9,-15.4,-9.1,-7.3,-8.8,-6.1,-5.9,-8.4,-8.1,-6.7,-4.7,-3.3,-1.3,11.9,9.9,4,-5.9,-3.6,-1.3,-0.2,0.2,1.2,1.2,1.9,3.7
葛飾区：住宅地,2.5,0.2,0.2,6.3,95.7,7.8,1.8,5.8,0,-10.4,-19.9,-6.9,-1.7,-2.5,-3.1,-4.2,-9.9,-6.3,-4.1,-3.4,-2.6,-1.3,2.9,9.2,2.3,-5.6,-2.3,-0.9,-0.6,-0.1,0.7,0.5,0.8,2
葛飾区：商業地,2.2,1.9,2.4,16.2,110.8,3.3,1.4,2.4,0,-10.7,-19.6,-20.6,-17.2,-11.1,-10.8,-12.4,-14.4,-10,-8.4,-8.8,-5.2,-4.7,2.5,13.3,4.7,-5.9,-3,-0.8,0.6,1,2,1.8,1.9,3.8
葛飾区：全用途平均,2.4,0.7,0.8,8.7,99.9,6.8,1.9,4.7,0,-10.2,-19.6,-10.7,-6.2,-5.1,-5.2,-6.2,-10.9,-7.2,-5.1,-4.6,-3.2,-2.2,2.7,10.3,2.9,-5.6,-2.6,-0.9,-0.3,0.2,1,0.9,1.1,2.4
江戸川区：住宅地,3.4,2.9,1.8,7,98.1,27.5,1,4,0.4,-10.1,-23.2,-8.4,-2.2,-4.9,-3.6,-7.6,-8.8,-7.6,-5.3,-3.9,-2.9,-1.8,4.9,10.2,1.1,-8,-2.9,-1.8,-0.5,0.1,1.3,1.2,1.7,3.1
江戸川区：商業地,4.7,3.5,2.9,8.3,121.6,21.3,0,6.3,1.6,-6.6,-24.6,-19.9,-16.8,-16.9,-12.8,-13.4,-11.5,-11.3,-9.8,-5.2,-4.9,-2.5,4.7,14.9,3.4,-9,-3,-1.4,-1.4,0.3,1.4,1.4,2.2,3.9
江戸川区：全用途平均,3.7,2.8,2,7.3,103.3,26.1,0.8,4.4,0.6,-9.3,-23.5,-11.8,-5.8,-8.1,-6,-9.1,-9.6,-8.8,-6.7,-4.4,-3.7,-2.1,4.8,11.4,1.6,-8.1,-2.9,-1.7,-0.7,0.2,1.3,1.2,1.9,3.3
区部：住宅地,3.1,3.2,5.5,30.5,94.8,4.5,-3.9,2.1,-2.9,-19.1,-20.7,-11.2,-6.4,-6,-3.2,-3.1,-5.1,-4.1,-2.9,-2.4,-1.8,-0.8,6.4,13.1,1.5,-10.6,-3.1,-1.3,-0.5,0.5,1.9,2.1,2.7,3.3
区部：商業地,5.8,8.8,14.2,40.5,70.3,2.8,-0.2,2.3,-1.4,-15.3,-24.8,-23.7,-21.7,-18.6,-11.1,-7.2,-8.8,-7,-5.3,-4.4,-3.1,-1.3,8.3,20,5,-12,-3.3,-2.6,-0.8,0.8,3.2,4,4.9,5.9
区部：全用途平均,4.2,5.4,8.6,32.7,81.9,4.1,-1.8,2.3,-2,-17,-22.4,-17.1,-14,-12.2,-7.2,-5.2,-7,-5.7,-4.2,-3.5,-2.5,-1.1,7.2,16.3,3.3,-11,-4.3,-2,-0.6,0.7,2.6,3,3.8,4.6
八王子市：住宅地,3.3,2.8,2.2,3.5,53.9,30.3,-1.6,0.6,-1.6,-6.1,-9,-5.9,-2.5,-3,-2.8,-6.9,-10.1,-10.5,-9.8,-10.2,-7.4,-5.4,1.1,6.2,2.7,-7.7,-3.6,-1.8,-0.7,0,0.4,0.5,0.2,0.2
八王子市：商業地,4.7,5,5.7,15.3,146.8,29,-0.8,2.3,-1.2,-7.3,-16.1,-19.5,-15.8,-18.2,-10.7,-8.5,-11.2,-11.2,-8.7,-7.5,-8.8,-4.2,2.2,10.7,5.4,-7.4,-3.8,-2.3,-1.1,-0.4,0.4,0.5,0.7,0.6
八王子市：全用途平均,3.5,3.2,2.9,5.6,62.7,30.5,-1.2,1.1,-1.4,-5.6,-9.4,-7.1,-3.9,-4.4,-3.5,-6.7,-10.3,-10.8,-9.5,-10,-8.3,-5.8,1,6.6,3,-7.7,-3.8,-2,-0.8,-0.1,0.4,0.5,0.3,0.3
立川市：住宅地,4,3.6,2.8,3.8,83.2,19.4,-6.7,2.7,-4.3,-15,-15.4,-3,-0.6,-2.6,-1.2,-1.7,-4.2,-5.4,-5,-6.1,-6.3,-5.6,3.6,12.2,4.7,-7.8,-5.1,-1.2,0,2.2,1.9,0.6,0.5,1.3
立川市：商業地,4.1,4.6,4.9,12.2,128.5,15.3,0,3.3,-1.1,-14.7,-28.5,-24,-15.7,-14.8,-10.1,-5.5,-6.8,-5,-1.8,-4.5,-2.8,-2.2,4.5,18.3,7.3,-8,-5.9,-1.8,-0.2,1.4,3.1,5.5,6.2,5
立川市：全用途平均,4.1,3.5,3.3,5.9,96,17.6,-5.6,2.8,-3.5,-14.8,-19.2,-8.8,-4.7,-6,-3.5,-2.8,-4.7,-5.3,-4.2,-5.7,-5.6,-4.7,3.9,13.9,5.3,-7.8,-5.3,-1.3,0,2,2.2,1.8,2.1,2.4
武蔵野市：住宅地,3.1,2.9,4,25.1,158.1,-8.4,-9,0,-4.4,-20.2,-21.1,-8.6,-3.4,-2.4,-0.9,-2.9,-6.6,-3.4,-2.9,-3.3,-1.5,-0.7,5.4,12.6,2,-8.6,-2.1,-0.2,0,1.7,2.8,2.5,4.3,3.8
武蔵野市：商業地,6.4,7.8,9.1,37.6,164.2,-3.9,-3.5,0.3,-1.4,-17.8,-21,-23,-13,-12.9,-6.5,-8.2,-8.6,-5.2,-4,-2.5,-2.3,-0.3,4.1,12.2,4.1,-6.9,-2.2,-0.9,-0.2,1.3,3.7,3.8,6.3,5.8
武蔵野市：全用途平均,4.3,4.7,5.9,28.2,159.4,-6.7,-7,0.1,-3,-19.2,-21,-14.7,-7.4,-6.9,-3.2,-5.1,-7.4,-4.2,-3.4,-2.9,-1.8,-0.5,4.8,12.4,3,-7.8,-2.2,-0.5,-0.1,1.5,3.2,3.1,5.2,4.7
三鷹市：住宅地,3.4,2.8,3.4,22.1,139.3,-10.5,-10.5,0.9,-4.5,-19.2,-15.8,-7.5,-3.1,-2,-0.6,-1.5,-7.9,-4,-3,-4.1,-3.1,-1.2,2.8,11.3,0,-8.3,-2.8,-0.5,-0.2,1,1,1.1,3.1,2.6
三鷹市：商業地,9.6,5.3,6.6,45.4,176.2,-2.9,0,2.6,-3.1,-11.8,-20.7,-21,-15.1,-11.5,-6.9,-12.2,-9.8,-6.2,-5.1,-3.1,-2.4,-0.5,2.6,8.8,1.3,-8.5,-3.1,-1.5,-0.4,0.4,2.5,2.8,4.4,4.8
三鷹市：全用途平均,3.9,3.1,3.8,25.2,143.9,-9.5,-9.2,1.1,-4.3,-18.1,-16.5,-9.6,-5,-3.5,-1.6,-3.2,-8.2,-4.4,-3.4,-3.9,-3,-1.1,2.7,10.8,0.2,-8.3,-2.8,-0.7,-0.2,0.9,1.2,1.5,3.4,3
青梅市：住宅地,2,1.9,1.8,2.9,28.4,45.4,-1.8,0.2,0.3,-4.5,-5,-2.9,-1.2,-3,-1.6,-5.5,-13.4,-7.9,-7.8,-9.8,-8,-8.3,-0.2,4.4,1.1,-5.4,-6.1,-1.7,-1.5,-0.4,0.3,-0.3,-0.7,-0.7
青梅市：商業地,2,1.3,1.8,2.4,55.1,59.5,0,1.4,0,-7.5,-13.3,-11.4,-12.5,-10.4,-5.3,-6.4,-12.7,-6,-8.9,-11.6,-10.2,-6.1,0.7,8.2,0.9,-7.3,-6,-2.3,-1.8,-0.2,0.5,0.8,0.2,0.2
青梅市：全用途平均,1.9,1.7,1.8,2.6,31.3,50.2,-1,0.8,0.2,-5,-5.9,-4.4,-2.9,-4,-2.8,-5.3,-13.3,-7.7,-8.1,-9.8,-9.3,-9,-0.2,4.8,1.1,-5.5,-5.7,-1.8,-1.8,-0.4,0.4,0.2,-0.4,0.2
