区市町村名,合計面積(千m2),住宅・アパート／面積(千m2),住宅・アパート／構成比(%),事務所・店舗等／面積(千m2),事務所・店舗等／構成比(%),事務所・店舗等／事務所・銀行／面積(千m2),事務所・店舗等／事務所・銀行／構成比(%),工場・倉庫／面積(千m2),工場・倉庫／構成比(%),その他／面積(千m2),その他／構成比(%)
市部／三鷹市,7694,6595,85.7,667,8.7,448,5.8,282,3.7,150,1.9
市部／青梅市,7056,5181,73.4,581,8.2,234,3.3,943,13.4,350,5
市部／府中市,12007,8732,72.7,1602,13.3,1005,8.4,1057,8.8,616,5.1
市部／昭島市,5562,3849,69.2,640,11.5,291,5.2,896,16.1,176,3.2
市部／調布市,9754,8115,83.2,1027,10.5,546,5.6,455,4.7,156,1.6
市部／町田市,19524,15949,81.7,2025,10.4,760,3.9,808,4.1,741,3.8
市部／小金井市,4954,4395,88.7,365,7.4,121,2.4,29,0.6,165,3.3
市部／小平市,7826,6646,84.9,747,9.5,423,5.4,372,4.7,61,0.8
市部／日野市,8630,6777,78.5,679,7.9,464,5.4,900,10.4,275,3.2
市部／東村山市,5928,5102,86.1,391,6.6,185,3.1,311,5.3,123,2.1
市部／国分寺市,5424,4627,85.3,540,9.9,240,4.4,158,2.9,99,1.8
市部／国立市,3424,2779,81.2,335,9.8,179,5.2,172,5,138,4
市部／福生市,2510,2059,82.1,249,9.9,84,3.3,146,5.8,55,2.2
市部／狛江市,3166,2867,90.6,200,6.3,98,3.1,43,1.4,55,1.7
市部／東大和市,3540,2922,82.5,313,8.8,110,3.1,223,6.3,83,2.3
市部／清瀬市,2781,2445,87.9,140,5,42,1.5,58,2.1,138,5
市部／東久留米市,4826,3913,81.1,482,10,129,2.7,190,3.9,242,5
市部／武蔵村山市,3362,2354,70,371,11,84,2.5,540,16.1,97,2.9
市部／多摩市,7449,5233,70.2,1493,20,842,11.3,311,4.2,412,5.5
市部／稲城市,3852,3164,82.1,346,9,124,3.2,265,6.9,77,2
市部／羽村市,3239,2024,62.5,324,10,173,5.3,838,25.9,53,1.6
市部／あきる野市,3919,3150,80.4,273,7,93,2.4,228,5.8,269,6.9
市部／西東京市,8000,6933,86.7,685,8.6,281,3.5,185,2.3,197,2.5
市部／市部計,189267,149412,78.9,20884,11,10281,5.4,12777,6.8,6413,3.4
西多摩郡／瑞穂町,2446,1182,48.3,293,12,,,852,34.8,120,4.9
西多摩郡／日の出町,1029,639,62.1,153,14.8,,,150,14.6,88,8.5
西多摩郡／檜原村,193,142,73.6,7,3.7,,,14,7.4,29,15.2
西多摩郡／奥多摩町,383,293,76.6,16,4.2,,,27,7.1,47,12.2
西多摩郡／西多摩郡計,4051,2256,55.7,469,11.6,,,1043,25.8,283,7
多摩地域計,193317,151668,78.5,21353,11,10281,5.3,13820,7.1,6696,3.5
島しょ／大島町,557,413,74.3,44,7.9,,,26,4.7,73,13
島しょ／利島村,21,13,59.7,2,7.2,,,5,22.9,2,10.3
島しょ／新島村,272,204,74.9,26,9.6,,,25,9.4,17,6.1
島しょ／神津島村,150,102,68,7,4.7,,,19,12.6,22,14.7
島しょ／三宅村,217,148,68.3,15,7.1,,,27,12.3,27,12.3
島しょ／御蔵島村,12,9,71.6,0,3.5,,,2,15.6,1,9.3
島しょ／八丈町,567,394,69.6,49,8.6,,,55,9.7,69,12.1
島しょ／青ヶ島村,10,6,56.9,2,14.7,,,3,25.4,0,3.1
島しょ／小笠原村,77,41,53.9,14,18.7,,,8,10.5,13,16.9
島しょ／島しょ計,1883,1331,70.7,159,8.5,,,170,9,223,11.9
合計,719170,518855,72.1,138125,19.2,105959,14.7,39200,5.5,23209,3.2
