年(昭和・平成・令和),区分,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
12,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
12,面積(万m2),1403,1338,1171,705,504,412,352,277,255,253,216,147,140,126,,
13,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
13,面積(万m2),1443,1351,1175,703,531,412,353,278,255,253,226,147,139,133,,
14,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
14,面積(万m2),1443,1365,1174,703,535,414,365,278,256,254,231,146,142,134,100,
15,地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
15,面積(万m2),1457,1406,1232,703,540,424,367,276,259,256,230,148,144,133,,
16,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
16,面積(万m2),1557,1497,1237,710,550,456,381,278,259,254,231,146,142,132,,
17,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
17,面積(万m2),1638,1513,1234,724,557,473,387,299,258,254,230,145,141,139,,
18,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
18,面積(万m2),1638,1523,1244,711,554,474,388,295,256,251,226,141,139,137,,
19,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
19,面積(万m2),1687,1546,1227,707,551,475,415,295,256,251,226,140,140,137,,
20,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
20,面積(万m2),1736,1562,1227,711,559,483,434,301,258,257,228,147,140,137,100,
21,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
21,面積(万m2),1769,1571,1228,708,560,500,445,305,258,254,228,146,138,137,100,
22,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
22,面積(万m2),1771,1590,1227,707,571,507,450,309,258,256,225,147,139,138,101,
23,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,墨田,目黒,江戸川,
23,面積(万m2),1775,1587,1223,710,570,509,457,307,258,260,226,147,138,137,100,
24,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
24,面積(万m2),1775,1604,1227,709,571,518,494,319,259,260,229,146,138,137,,
25,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
25,面積(万m2),1778,1580,1234,734,583,540,508,318,258,258,228,144,138,136,101,
26,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,中野,
26,面積(万m2),1777,1591,1220,748,594,535,513,315,258,259,229,139,137,135,106,
27,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,中野,
27,面積(万m2),1770,1654,1239,748,592,532,513,312,256,259,228,139,135,135,105,
28,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,
28,面積(万m2),1799,1679,1227,745,587,543,523,319,258,256,227,138,135,135,105,
29,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,江戸川
29,面積(万m2),1800,1684,1229,746,590,538,521,318,262,255,226,153,134,133,104,100
30,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,江戸川
30,面積(万m2),1823,1712,1228,743,601,535,518,317,262,255,225,152,133,133,104,100
31,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,江戸川
31,面積(万m2),1841,1737,1225,743,607,553,519,319,261,255,224,151,134,133,104,100
2,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,
2,面積(万m2),1843,1801,1245,745,606,556,518,319,261,254,222,150,133,130,105,
3,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,
3,面積(万m2),1836,1824,1245,748,621,555,517,326,260,254,221,151,133,129,104,
4,地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,墨田,目黒,中野,
4,面積(万m2),1828,1822,1237,738,645,554,534,323,265,259,221,153,134,129,104,
