区市町村名,合計／令和4年(千m2),合計／令和3年(千m2),合計／増減(千m2),宅地／令和4年(千m2),宅地／令和3年(千m2),宅地／増減(千m2),農地／令和4年(千m2),農地／令和3年(千m2),農地／増減(千m2),山林／令和4年(千m2),山林／令和3年(千m2),山林／増減(千m2),その他／令和4年(千m2),その他／令和3年(千m2),その他／増減(千m2)
市部／国分寺市,8055,8060,-5,6501,6458,43,1280,1326,-46,35,35,0,239,241,-2
市部／国立市,4767,4770,-2,4147,4139,8,503,513,-9,11,12,-1,106,107,-1
市部／福生市,3903,3902,0,3642,3635,6,106,114,-7,14,14,0,141,139,2
市部／狛江市,3987,3874,113,3470,3350,120,354,358,-5,8,8,0,156,158,-2
市部／東大和市,6054,6052,2,5231,5217,14,539,556,-17,185,186,-1,98,93,5
市部／清瀬市,5910,5893,17,3734,3707,26,1787,1800,-14,63,68,-5,327,317,10
市部／東久留米市,8417,8431,-14,6790,6766,24,1407,1442,-34,44,45,-1,175,178,-3
市部／武蔵村山市,8847,8851,-4,5517,5487,30,1727,1746,-19,438,442,-4,1166,1176,-10
市部／多摩市,10153,10163,-10,8227,8197,30,353,380,-26,324,324,0,1249,1262,-13
市部／稲城市,9312,9350,-38,5082,5041,41,1200,1234,-34,1068,1086,-19,1962,1988,-27
市部／羽村市,6081,6075,6,5481,5467,14,358,369,-10,92,92,0,149,146,3
市部／あきる野市,37593,37714,-121,8447,8392,54,5208,5268,-60,18312,18423,-111,5626,5631,-5
市部／西東京市,10472,10428,44,8971,8934,37,1176,1215,-38,4,6,-2,320,274,47
市部／市部計,427293,427474,-181,247674,246887,786,45037,45771,-735,92888,93324,-436,41694,41491,203
西多摩郡／瑞穂町,9451,9323,127,5169,5039,130,2807,2835,-28,615,632,-18,860,817,43
西多摩郡／日の出町,16684,16300,384,2491,2488,4,1590,1600,-10,9974,9581,393,2629,2631,-2
西多摩郡／檜原村,45732,45774,-42,444,442,1,1969,1978,-9,39856,39893,-37,3463,3461,2
西多摩郡／奥多摩町,56512,57381,-870,896,901,-4,1453,1455,-2,53637,54501,-864,525,525,1
西多摩郡計,128378,128778,-400,9001,8870,131,7820,7868,-48,104081,104607,-526,7477,7433,44
多摩地域計,555671,556252,-581,256674,255757,917,52856,53639,-783,196970,197931,-962,49170,48924,247
区部・多摩計,887746,888444,-698,572911,571838,1073,57298,58224,-926,197103,198069,-966,60434,60313,121
