区分,合計(戸数),一戸建／総数(戸数),一戸建／木造(防火木造除く)(戸数),一戸建／防火木造(戸数),一戸建／鉄筋鉄骨コンクリート造(戸数),一戸建／鉄骨造(戸数),一戸建／その他(戸数),長屋建／総数(戸数),長屋建／木造(防火木造除く)(戸数),長屋建／防火木造(戸数),長屋建／鉄筋鉄骨コンクリート造(戸数),長屋建／鉄骨造(戸数),長屋建／その他(戸数),共同住宅／総数(戸数),共同住宅／木造(防火木造除く)(戸数),共同住宅／防火木造(戸数),共同住宅／鉄筋鉄骨コンクリート造(戸数),共同住宅／鉄骨造(戸数),共同住宅／その他(戸数),その他(戸数)
特別区部／腐朽・破損なし／賃貸用の住宅,358800,3700,700,2400,200,300,-,2500,400,1500,300,300,-,352400,11000,40200,255400,45500,200,300
特別区部／腐朽・破損なし／売却用の住宅,27400,9300,2400,6100,500,300,-,300,100,200,-,-,-,17700,300,300,15900,1100,-,100
特別区部／腐朽・破損なし／その他の住宅,101800,23600,5900,14800,1300,1500,0,1600,400,1100,0,100,-,75400,1300,6100,59400,8600,0,1200
多摩部・島しょ部／空き家総数,237000,39500,14900,22800,1100,500,100,5200,1200,3000,400,600,0,191900,8200,35600,118200,29600,300,400
多摩部・島しょ部／空き家総数／二次的住宅,3000,1900,800,700,200,100,-,0,0,0,-,0,-,1100,0,300,600,100,-,0
多摩部・島しょ部／空き家総数／賃貸用の住宅,171800,3200,1500,1600,100,0,0,3700,600,2100,400,500,0,164700,7200,32700,97800,26800,200,200
多摩部・島しょ部／空き家総数／売却用の住宅,10400,5300,1000,4200,100,100,-,200,100,100,-,-,-,5000,100,200,4600,100,-,0
多摩部・島しょ部／空き家総数／その他の住宅,51600,29100,11700,16300,600,400,100,1400,500,800,100,0,0,21000,900,2400,15100,2500,100,200
多摩部・島しょ部／腐朽・破損あり,39200,11200,7100,3800,200,100,-,1400,800,400,100,100,0,26500,4300,7400,10500,4300,100,100
多摩部・島しょ部／腐朽・破損あり／二次的住宅,500,200,300,100,-,0,-,0,-,0,-,-,-,200,0,100,100,100,-,100
多摩部・島しょ部／腐朽・破損あり／賃貸用の住宅,25100,1100,900,200,100,0,-,800,300,200,100,100,-,23200,3800,6600,8700,3900,100,0
多摩部・島しょ部／腐朽・破損あり／売却用の住宅,1000,700,300,400,100,0,-,0,0,0,-,-,-,100,-,0,100,0,-,0
多摩部・島しょ部／腐朽・破損あり／その他の住宅,12700,9000,5600,3100,200,100,-,600,400,100,0,0,0,3100,400,600,1500,400,-,100
多摩部・島しょ部／腐朽・破損なし,197800,28300,7900,19100,800,400,100,3900,400,2600,400,500,0,165300,3900,28200,107700,25200,200,300
多摩部・島しょ部／腐朽・破損なし／二次的住宅,2400,1500,600,800,200,100,-,100,0,0,-,0,-,900,100,200,500,0,-,0
多摩部・島しょ部／腐朽・破損なし／賃貸用の住宅,146700,2100,600,1400,100,0,0,2800,300,1800,300,400,0,141600,3400,26100,89100,22900,300,100
多摩部・島しょ部／腐朽・破損なし／売却用の住宅,9500,4500,700,3700,100,0,-,100,100,0,-,-,-,4900,100,200,4500,200,-,0
多摩部・島しょ部／腐朽・破損なし／その他の住宅,39100,20100,6100,13300,500,200,100,900,100,700,100,0,-,17900,500,1700,13600,2100,100,200
