区市町村名,合計／令和3年(千m2),合計／令和2年(千m2),合計／令和3年-令和2年(千m2),住宅地区／令和3年(千m2),住宅地区／令和2年(千m2),住宅地区／令和3年-令和2年(千m2),商業地区／令和3年(千m2),商業地区／令和2年(千m2),商業地区／令和3年-令和2年(千m2),工業地区／令和3年(千m2),工業地区／令和2年(千m2),工業地区／令和3年-令和2年(千m2),その他／令和3年(千m2),その他／令和2年(千m2),その他／令和3年-令和2年(千m2)
区部／板橋区,18071,18068,4,16599,16590,9,152,157,-5,1320,1321,0,0,0,0
区部／練馬区,28528,28502,26,28457,28431,26,71,71,0,0,0,0,0,0,0
区部／足立区,27343,27346,-3,25510,25075,434,352,355,-3,1482,1916,-434,0,0,0
区部／葛飾区,16573,16589,-16,15646,15629,17,381,410,-29,546,550,-4,0,0,0
区部／江戸川区,23325,23117,208,21902,21933,-31,341,340,1,1082,844,238,0,0,0
区部計,316080,314232,1848,281715,280052,1663,20185,20195,-10,14181,13985,196,0,0,0
市部／八王子市,38635,38568,68,32130,31978,152,596,596,0,1479,1509,-30,4430,4484,-54
市部／立川市,10893,10868,25,9091,9061,30,704,710,,1097,1097,0,0,0,0
市部／武蔵野市,6330,6325,5,5572,5535,37,581,613,-32,177,177,0,0,0,0
市部／三鷹市,8702,8705,-2,8089,8091,-2,311,310,1,295,296,-1,7,7,0
市部／青梅市,12699,12670,29,10247,10204,43,182,183,-1,1196,1207,-11,1073,1076,-3
市部／府中市,13036,13007,29,10659,10633,25,298,299,-1,2080,2075,5,0,0,0
市部／昭島市,7689,7581,108,5935,5915,20,539,511,28,1215,1155,60,0,0,0
市部／調布市,10303,10260,43,9749,9714,35,322,302,20,233,245,-12,0,0,0
市部／町田市,28540,28475,66,26594,26512,82,667,684,-16,579,579,0,700,700,0
市部／小金井市,5778,5778,0,5583,5584,0,188,188,0,6,6,0,0,0,0
市部／小平市,10323,10323,0,9369,9369,0,256,256,0,698,698,0,0,0,0
市部／日野市,11370,11336,34,9457,9407,50,107,115,-8,1804,1814,-10,2,0,2
市部／東村山市,7796,7778,18,7147,7127,20,190,191,-1,459,460,-1,0,0,0
市部／国分寺市,6458,6424,34,6093,6059,34,125,125,0,241,241,0,0,0,0
市部／国立市,4139,4138,1,3716,3759,-43,175,175,0,247,204,43,1,1,0
市部／福生市,3635,3625,10,3335,3325,10,185,185,0,115,115,0,0,0,0
市部／狛江市,3350,3450,-100,3174,3174,0,176,167,9,0,108,-108,0,0,0
市部／東大和市,5217,5195,21,4855,4834,21,149,149,0,213,213,0,0,0,0
市部／清瀬市,3707,3678,30,3498,3464,34,124,125,0,84,88,-4,1,1,0
市部／東久留米市,6766,6744,23,6177,6214,-36,321,263,58,212,212,0,56,55,0
市部／武蔵村山市,5487,5456,31,4371,4345,26,337,338,0,778,773,5,0,0,0
市部／多摩市,8197,8168,29,7027,6997,29,1170,1170,0,0,0,0,0,0,0
市部／稲城市,5041,4958,83,4743,4660,83,179,179,0,105,105,0,15,15,0
市部／羽村市,5467,5461,7,3569,3562,7,189,189,0,1701,1701,0,8,8,0
市部／あきる野市,8392,8372,21,7038,7008,30,99,108,-9,394,394,0,862,862,0
市部／西東京市,8934,8901,33,8509,8477,32,264,260,5,160,164,-4,0,0,0
市部計,246887,246243,645,215727,215007,719,8437,8390,46,15569,15635,-66,7155,7210,-55
西多摩郡／瑞穂町,5037,5010,28,2381,2413,-32,358,128,230,1732,1900,-167,566,569,-3
西多摩郡／日の出町,2486,2481,6,1360,1356,4,110,110,0,189,189,0,827,825,1
西多摩郡／檜原村,418,427,-9,0,0,0,0,0,0,0,0,0,418,427,-9
西多摩郡／奥多摩町,841,857,-16,128,128,-1,0,0,0,0,0,0,713,729,-16
西多摩郡計,8782,8774,8,3869,3897,-29,468,238,230,1921,2089,-167,2524,2550,-26
多摩地域計,255669,255016,653,219595,218904,691,8905,8628,277,17490,17724,-234,9679,9760,-81
区部･多摩計,571750,569248,2501,501310,498956,2353,29089,28823,266,31672,31709,-38,9679,9760,-81
