区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
狛江市／2000m2未満,171 ,1 ,289 ,8 ,23 ,4 ,51 ,13 ,194 ,1 ,340 ,9 
狛江市／5000m2未満,33 ,0 ,100 ,3 ,11 ,2 ,60 ,15 ,44 ,0 ,161 ,4 
狛江市／10000m2未満,6 ,0 ,43 ,1 ,3 ,0 ,25 ,6 ,9 ,0 ,68 ,2 
狛江市／10000m2以上,5 ,0 ,95 ,3 ,5 ,1 ,90 ,22 ,10 ,0 ,185 ,5 
狛江市／計,17715 ,100 ,3570 ,100 ,613 ,100 ,406 ,100 ,18328 ,100 ,3975 ,100 
東大和市／100m2未満,3374 ,19 ,249 ,5 ,91 ,19 ,4 ,1 ,3465 ,19 ,253 ,4 
東大和市／200m2未満,9283 ,52 ,1208 ,23 ,76 ,16 ,11 ,1 ,9359 ,51 ,1219 ,20 
東大和市／300m2未満,2431 ,14 ,577 ,11 ,48 ,10 ,12 ,1 ,2479 ,13 ,589 ,10 
東大和市／500m2未満,1213 ,7 ,462 ,9 ,69 ,15 ,27 ,3 ,1282 ,7 ,489 ,8 
東大和市／1000m2未満,794 ,4 ,545 ,10 ,76 ,16 ,54 ,7 ,870 ,5 ,598 ,10 
東大和市／2000m2未満,465 ,3 ,656 ,12 ,57 ,12 ,81 ,10 ,522 ,3 ,736 ,12 
東大和市／5000m2未満,313 ,2 ,937 ,18 ,39 ,8 ,125 ,16 ,352 ,2 ,1062 ,18 
東大和市／10000m2未満,71 ,0 ,466 ,9 ,7 ,1 ,52 ,7 ,78 ,0 ,518 ,9 
東大和市／10000m2以上,10 ,0 ,173 ,3 ,9 ,2 ,421 ,54 ,19 ,0 ,594 ,10 
東大和市／計,17954 ,100 ,5273 ,100 ,472 ,100 ,785 ,100 ,18426 ,100 ,6057 ,100 
清瀬市／100m2未満,2472 ,18 ,176 ,3 ,51 ,18 ,2 ,0 ,2523 ,18 ,179 ,3 
清瀬市／200m2未満,8931 ,64 ,1127 ,22 ,54 ,19 ,8 ,1 ,8985 ,63 ,1134 ,19 
清瀬市／300m2未満,1096 ,8 ,260 ,5 ,35 ,12 ,8 ,1 ,1131 ,8 ,269 ,5 
清瀬市／500m2未満,565 ,4 ,214 ,4 ,37 ,13 ,15 ,2 ,602 ,4 ,228 ,4 
清瀬市／1000m2未満,308 ,2 ,214 ,4 ,32 ,11 ,25 ,3 ,340 ,2 ,239 ,4 
清瀬市／2000m2未満,203 ,1 ,288 ,6 ,34 ,12 ,48 ,6 ,237 ,2 ,336 ,6 
清瀬市／5000m2未満,180 ,1 ,565 ,11 ,22 ,8 ,70 ,9 ,202 ,1 ,636 ,11 
清瀬市／10000m2未満,114 ,1 ,821 ,16 ,9 ,3 ,60 ,8 ,123 ,1 ,881 ,15 
清瀬市／10000m2以上,96 ,1 ,1482 ,29 ,11 ,4 ,524 ,69 ,107 ,1 ,2006 ,34 
清瀬市／計,13965 ,100 ,5147 ,100 ,285 ,100 ,759 ,100 ,14250 ,100 ,5907 ,100 
東久留米市／100m2未満,12601 ,39 ,741 ,10 ,191 ,27 ,9 ,1 ,12792 ,38 ,750 ,9 
東久留米市／200m2未満,14738 ,45 ,1844 ,26 ,136 ,19 ,19 ,2 ,14874 ,45 ,1863 ,22 
東久留米市／300m2未満,2411 ,7 ,586 ,8 ,71 ,10 ,17 ,1 ,2482 ,7 ,603 ,7 
東久留米市／500m2未満,1086 ,3 ,409 ,6 ,77 ,11 ,30 ,2 ,1163 ,3 ,439 ,5 
東久留米市／1000m2未満,775 ,2 ,547 ,8 ,88 ,13 ,66 ,5 ,863 ,3 ,613 ,7 
東久留米市／2000m2未満,550 ,2 ,774 ,11 ,66 ,9 ,93 ,7 ,616 ,2 ,868 ,10 
