区分,東京都／件数,東京都／指数,東京都／全国比（％）,前年比同月比（％）,東京圏／件数,東京圏／指数,東京圏／全国比（％）,同月比（％）,東京法務局管内／件数,指数,東京法務局管内／全国比（％）,前年比同月比（％）,全国／件数,全国／指数,前年比同月比（％）,神奈川県／件数,神奈川県／指数,神奈川県／全国比（％）,前年比同月比（％）,埼玉県／件数,埼玉県／指数,埼玉県／全国比（％）,前年比同月比（％）,千葉県／件数,千葉県／指数,千葉県／全国比（％）,前年比同月比（％）
平成2年,97870,71.1,4.4,-3.4,409481,79,18.6,-2.1,,,,,2205122,84.9,-2.4,88908,82.4,4,5.2,105667,75.8,4.8,-5.4,117036,87.7,5.3,-2.9
平成3年,79792,58,4,-18.5,332857,64.2,16.6,-18.7,,,,,2003833,77.1,-9.1,75609,70.1,3.8,-15,87734,62.9,4.4,-17,89902,67.4,4.5,-23.2
平成4年,72381,52.6,4,-9.3,310539,59.9,17.1,-6.7,,,,,1818198,70,-9.3,72500,67.2,4,-4.1,88135,63.2,4.8,0.5,77523,58.1,4.3,-13.8
平成5年,78254,56.9,4.4,8.1,316092,61,17.8,1.8,,,,,1773226,68.3,-2.5,81656,75.7,4.6,12.6,82907,59.5,4.7,-5.9,73275,54.9,4.1,-5.5
平成6年,88711,64.5,4.8,13.4,347151,67,18.9,9.8,,,,,1836815,70.7,3.6,86613,80.3,4.7,6.1,91496,65.6,5,10.4,80331,60.2,4.4,9.6
平成7年,109377,79.5,5.9,23.3,376466,72.6,20.4,8.4,,,,,1847156,71.1,0.6,89070,82.6,4.8,2.8,96985,69.6,5.3,6,81034,60.7,4.4,0.9
平成8年,124769,90.7,6.4,14.1,417593,80.6,21.3,10.9,,,,,1956943,75.3,5.9,104840,97.2,5.4,17.7,104084,74.7,5.3,7.3,83900,62.9,4.3,3.5
平成9年,126760,92.1,6.9,1.6,406122,78.4,22,-2.7,,,,,1847156,71.1,-5.6,107040,99.2,5.8,2.1,92167,66.1,5,-11.4,80155,60.1,4.3,-4.5
平成10年,130549,94.9,7.7,3,380756,73.5,22.3,-6.2,,,,,1704601,65.6,-7.7,91492,84.8,5.4,-14.5,82332,59.1,4.8,-10.7,76383,57.2,4.5,-4.7
平成11年,141773,103.1,8.3,8.6,412055,79.5,24,8.2,,,,,1718072,66.1,0.8,100824,93.5,5.9,10.2,87460,62.7,5.1,6.2,81998,61.4,4.8,7.4
平成12年,159499,115.9,9.4,12.5,435759,84.1,25.6,5.8,,,,,1699973,65.4,-1.1,105971,98.2,6.2,5.1,87768,63,5.2,0.4,82575,61.9,4.9,0.7
平成13年,154635,112.4,9.4,-3,433948,83.7,26.4,-0.4,,,,,1643572,63.3,-3.3,107682,99.8,6.6,1.6,85857,61.6,5.2,-2.2,85774,64.3,5.2,3.9
平成14年,156256,113.6,9.8,1,432668,83.5,27,-0.3,,,,,1600011,61.6,-2.7,108381,100.5,6.8,0.6,82265,59,5.1,-4.2,85766,64.3,5.4,0
平成15年,170568,124,10.6,9.2,454907,87.8,28.3,5.1,,,,,1607997,61.9,0.5,112086,103.9,7,3.4,89879,64.5,5.6,9.3,82374,61.7,5.1,-4
平成16年,175258,127.4,10.9,2.7,464712,89.7,29,2.2,,,,,1600801,61.6,-0.4,115808,107.3,7.2,3.3,93894,67.4,5.9,4.5,79752,59.7,5,-3.2
平成17年,173073,125.8,11,-1.2,469226,90.5,29.7,1,,,,,1580390,60.8,-1.3,111759,103.6,7.1,-3.5,99478,71.4,6.3,5.9,84916,63.6,5.4,6.5
平成18年,164755,119.8,10.7,-4.8,465763,89.9,30.1,-0.7,676535,,43.7,,1546591,59.5,-2.1,115367,106.9,7.5,3.2,98784,70.9,6.4,-0.7,86857,65.1,5.6,2.3
平成19年,149171,108.4,10.4,-9.5,429517,82.9,29.8,-7.8,628766,,43.7,-7.1,1440127,55.4,-6.9,105918,98.2,7.4,-8.2,89660,64.3,6.2,-9.2,84768,63.5,5.9,-2.4
平成20年,121103,88,9.4,-18.8,362216,69.9,28,-15.7,547616,,42.3,-12.9,1294121,49.8,-10.1,91241,84.6,7.1,-13.9,78906,56.6,6.1,-12,70966,53.2,5.5,-16.3
平成21年,120069,87.3,10.2,-0.9,342973,66.2,29.1,-5.3,510565,,43.3,-6.8,1179483,45.4,-8.9,81360,75.4,6.9,-10.8,70947,50.9,6,-10.1,70597,52.9,6,-0.5
平成22年,114780,83.4,9.9,-4.4,330033,63.7,28.6,-3.8,490346,0,42.5,-4,1154026,44.4,-2.2,78064,72.4,6.8,-4.1,73821,53,6.4,4.1,63368,47.5,5.5,-10.2
平成23年,114983,83.6,10.1,0.2,326105,62.9,28.7,-1.2,479753,0,42.2,-2.2,1135917,43.7,-1.6,79630,73.8,7,2,72963,52.3,6.4,-1.2,58529,43.8,5.2,-7.6
平成24年,127978,93,10.6,11.3,355815,68.6,29.6,9.1,516448,0,42.9,7.6,1204101,67.9,6,88025,81.6,7.3,10.5,79256,56.9,6.6,8.6,60556,45.4,5,3.5
平成25年,136259,99,10.6,6.5,371374,71.6,29,4.4,540793,0,42.2,4.7,1281328,49.3,6.4,89626,83.1,7,1.8,81628,58.6,6.4,3,63861,47.8,5,5.5
平成26年,132300,96.2,10.5,-2.9,358526,69.2,28.5,-3.5,526445,,41.9,-2.7,1256749,48.4,-1.9,85035,78.8,6.8,-5.1,77353,55.5,6.2,-5.2,63838,47.8,5.1,0
平成27年,139867,101.7,10.9,5.7,378302,73,29.4,5.5,553479,,43,5.1,1286733,49.5,2.4,88192,81.7,6.9,3.7,81181,58.2,6.3,4.9,69062,51.7,5.4,8.2
平成28年,136993,99.6,10.6,-2.1,371019,71.6,28.7,-1.9,547422,,42.4,-1.1,1290570,49.7,0.3,85381,79.1,6.6,-3.2,80551,57.8,6.2,-0.8,68094,51,5.3,-1.4
平成29年,140156,101.9,10.6,2.3,380514,73.4,28.9,2.6,564365,,42.8,3.1,1317098,50.7,2.1,87581,81.2,6.6,2.6,81756,58.7,6.2,1.5,71021,53.2,5.4,4.3
平成28年1月,9693,78.7,10.4,-4.8,26220,62.2,28.1,-5.2,39864,,42.7,-4.8,93257,43.7,-3.7,5641,66.7,6,-15.7,5583,47,6,-0.8,5303,55.8,5.7,3.1
平成28年2月,10022,81.3,10.1,5.6,27239,64.6,27.4,6,41428,,41.6,6.5,99483,46.6,4.7,6145,72.7,6.2,2.4,5845,49.2,5.9,1.5,5227,55,5.3,17.3
平成28年3月,13924,113,10.7,7.8,37149,88.1,28.5,4.2,54657,,41.9,5.3,130352,61.1,4.3,8666,102.5,6.6,-1.9,8055,67.8,6.2,3.6,6504,68.4,5,6.3
平成28年4月,13025,105.7,11.5,-21.7,34166,81,30.2,-13.6,48597,,43,-9.8,112993,53,-8.6,8092,95.7,7.2,-11.6,7256,61.1,6.4,-1.2,5793,60.9,5.1,-9.7
平成28年5月,11263,91.4,11.1,6.5,30702,72.8,30.1,4.8,43932,,43.1,4.7,101838,47.7,3.5,6978,82.5,6.9,-1.2,6527,55,6.4,5.6,5934,62.4,5.8,8.4
平成28年6月,11334,92,10.4,12.4,31908,75.7,29.4,14,47218,,43.5,13.7,108638,50.9,9.8,7171,84.8,6.6,6.9,7132,60.1,6.6,23.8,6271,66,5.8,15.3
平成28年7月,10086,81.9,9.9,-9.5,28892,68.5,28.2,-5,43081,,42.1,-4,102354,48,-4.7,6722,79.5,6.6,-2.8,6459,54.4,6.3,-7.8,5625,59.2,5.5,5.3
平成28年8月,10937,88.8,10.4,28,30181,71.6,28.8,22.5,43745,,41.7,18.7,104796,49.1,15.7,7206,85.2,6.9,23.9,6695,56.4,6.4,19.6,5343,56.2,5.1,14.2
平成28年9月,10263,83.3,10.4,5.2,28137,66.7,28.4,6.7,41978,,42.4,7.2,98983,46.4,3.4,6479,76.6,6.5,4.6,6375,53.7,6.4,13.3,5020,52.8,5.1,5
平成28年10月,12495,101.4,11.5,2.2,31943,75.8,29.5,-6,46957,,43.4,-4,108244,50.7,-7,6985,82.6,6.5,-13,7011,59,6.5,-11.4,5452,57.4,5,-6.1
平成28年11月,11698,94.9,10.9,23.4,30883,73.3,28.9,17.9,45510,,42.5,16.4,107015,50.2,14.7,7070,83.6,6.6,13.9,6375,53.7,6,5.7,5740,60.4,5.4,27.9
平成28年12月,12253,99.4,10,9,33599,79.7,27.4,8,50455,,41.1,6.3,122617,57.5,5.9,8226,97.3,6.7,10.9,7238,61,5.9,7.3,5882,61.9,4.8,3.3
計,136993,99.6,10.6,3.5,371019,71.6,28.7,3.5,547422,,42.4,4,1290570,49.7,2.7,85381,79.1,6.6,0.4,80551,57.8,6.2,4.1,68094,51,5.3,6.7
平成29年1月,10057,81.6,10.7,3.8,26639,63.2,28.3,1.6,40998,,43.6,2.8,93983,44,0.8,5971,70.6,6.4,5.9,5507,46.4,5.9,-1.4,5104,53.7,5.4,-3.8
平成29年2月,10438,84.7,10.6,4.2,28347,1,28.7,4.1,42473,,43,2.5,98669,46.2,-0.8,6384,75.5,6.5,3.9,6470,54.5,6.6,10.7,5055,53.2,5.1,-3.3
平成29年3月,13592,110.3,10.6,-2.4,36211,85.9,28.3,-2.5,52961,,41.4,-3.1,127925,60,-1.9,8976,106.1,7,3.6,7385,62.2,5.8,-8.3,6258,65.8,4.9,-3.8
平成29年4月,13673,111,11.7,5,36277,86,31,6.2,52204,,44.7,7.4,116867,54.8,3.4,8529,100.8,7.3,5.4,7613,64.1,6.5,4.9,6462,68,5.5,11.5
平成29年5月,12158,98.7,11.4,7.9,32187,76.3,30.1,4.8,47163,,44.1,7.4,106893,50.1,5,7440,88,7,6.6,6254,52.7,5.9,-4.2,6335,66.6,5.9,6.8
平成29年6月,11322,91.9,10.4,-0.1,31700,75.2,29.1,-0.7,47128,,43.3,-0.2,108837,51,0.2,7285,86.1,6.7,1.6,6626,55.8,6.1,-7.1,6467,68,5.9,3.1
平成29年7月,10621,86.2,10.1,5.3,30678,72.8,29.3,6.2,45174,,43.1,4.9,104724,49.1,2.3,7141,84.4,6.8,6.2,7029,59.2,6.7,8.8,5887,61.9,5.6,4.7
平成29年8月,10993,89.2,10.2,0.5,30698,72.8,28.6,1.7,45244,,42.1,3.4,107435,50.4,2.5,7275,86,6.8,1,6826,57.5,6.4,2,5604,59,5.2,4.9
平成29年9月,10418,84.5,10.4,1.5,28833,68.4,28.9,2.5,43025,,43.1,2.5,99879,46.8,0.9,6707,79.3,6.7,3.5,6237,52.5,6.2,-2.2,5471,57.6,5.5,9
平成29年10月,11810,95.8,10.4,-5.5,32607,77.3,28.6,2.1,47962,,42.1,2.1,113893,53.4,5.2,7368,87.1,6.5,5.5,7146,60.2,6.3,1.9,6283,66.1,5.5,15.2
平成29年11月,11477,93.1,10.6,-1.9,30691,72.8,28.4,-0.6,45726,,42.2,0.5,108244,50.7,1.1,6617,78.2,6.1,-6.4,7051,59.4,6.5,10.6,5546,58.3,5.1,-3.4
平成29年12月,13597,110.3,10.5,11,35646,84.5,27.5,6.1,54307,,41.9,7.6,129749,60.8,5.8,7888,93.3,6.1,-4.1,7612,64.1,5.9,5.2,6549,68.9,5,11.3
計,140156,101.9,10.6,2.3,380514,73.4,28.9,2.6,564365,,42.8,3.1,1317098,50.7,2.1,87581,81.2,6.6,2.6,81756,58.7,6.2,1.5,71021,53.2,5.4,4.3
