区分,合計面積（千m2）,住宅・アパート／面積（千m2）,住宅・アパート／構成比（％）,事務所・店舗等／面積（千m2）,事務所・店舗等／構成比（％）,事務所・店舗等／事務所・銀行／面積（千m2）,事務所・店舗等／事務所・銀行／構成比（％）,工場・倉庫／面積（千m2）,工場・倉庫／構成比（％）,その他／面積（千m2）,その他／構成比（％）
市部＿青梅市,6877 ,5032 ,73.2,635 ,9.2,299 ,4.3,846 ,12.3,363 ,5.3
市部＿府中市,11608 ,8412 ,72.5,1558 ,13.4,1015 ,8.7,1022 ,8.8,616 ,5.3
市部＿昭島市,5374 ,3660 ,68.1,636 ,11.8,287 ,5.3,900 ,16.7,177 ,3.3
市部＿調布市,9368 ,7661 ,81.8,980 ,10.5,558 ,6.0,391 ,4.2,336 ,3.6
市部＿町田市,18724 ,15254 ,81.5,1921 ,10.3,777 ,4.1,804 ,4.3,744 ,4.0
市部＿小金井市,4667 ,4157 ,89.1,334 ,7.2,121 ,2.6,30 ,0.6,147 ,3.1
市部＿小平市,7538 ,6285 ,83.4,674 ,8.9,376 ,5.0,514 ,6.8,65 ,0.9
市部＿日野市,8351 ,6452 ,77.3,763 ,9.1,482 ,5.8,942 ,11.3,194 ,2.3
市部＿東村山市,5687 ,4816 ,84.7,396 ,7.0,193 ,3.4,307 ,5.4,167 ,2.9
市部＿国分寺市,5080 ,4312 ,84.9,527 ,10.4,228 ,4.5,162 ,3.2,79 ,1.6
市部＿国立市,3319 ,2676 ,80.6,327 ,9.8,176 ,5.3,175 ,5.3,141 ,4.2
市部＿福生市,2462 ,2006 ,81.5,249 ,10.1,82 ,3.3,149 ,6.1,58 ,2.3
市部＿狛江市,3020 ,2743 ,90.8,178 ,5.9,97 ,3.2,43 ,1.4,57 ,1.9
市部＿東大和市,3431 ,2797 ,81.5,323 ,9.4,118 ,3.4,226 ,6.6,85 ,2.5
市部＿清瀬市,2644 ,2319 ,87.7,177 ,6.7,41 ,1.6,61 ,2.3,87 ,3.3
市部＿東久留米市,4606 ,3713 ,80.6,464 ,10.1,131 ,2.8,186 ,4.0,244 ,5.3
市部＿武蔵村山市,3236 ,2218 ,68.5,374 ,11.6,86 ,2.7,544 ,16.8,100 ,3.1
市部＿多摩市,7167 ,5076 ,70.8,1454 ,20.3,816 ,11.4,240 ,3.4,396 ,5.5
市部＿稲城市,3594 ,2950 ,82.1,321 ,8.9,119 ,3.3,248 ,6.9,75 ,2.1
市部＿羽村市,3133 ,1965 ,62.7,317 ,10.1,168 ,5.4,794 ,25.3,57 ,1.8
市部＿あきる野市,3828 ,3016 ,78.8,301 ,7.9,121 ,3.1,250 ,6.5,261 ,6.8
市部＿西東京市,7581 ,6558 ,86.5,639 ,8.4,275 ,3.6,186 ,2.5,197 ,2.6
市部＿市部計,181807 ,142533 ,78.4,20489 ,11.3,10149 ,5.6,12876 ,7.1,5910 ,3.3
西多摩郡＿瑞穂町,2387 ,1132 ,47.4,300 ,12.6,,,833 ,34.9,122 ,5.1
西多摩郡＿日の出町,1001 ,613 ,61.3,152 ,15.1,,,146 ,14.6,91 ,9.0
西多摩郡＿檜原村,195 ,144 ,73.9,7 ,3.4,,,14 ,7.1,30 ,15.6
西多摩郡＿奥多摩町,398 ,302 ,76.0,17 ,4.3,,,29 ,7.4,49 ,12.4
西多摩郡＿西多摩郡計,3981 ,2191 ,55.0,476 ,11.9,,,1021 ,25.7,292 ,7.3
西多摩郡＿多摩地域計,185788 ,144724 ,77.9,20964 ,11.3,10149 ,5.5,13897 ,7.5,6202 ,3.3
島しょ＿大島町,566 ,423 ,74.8,44 ,7.7,,,27 ,4.7,72 ,12.7
島しょ＿利島村,21 ,11 ,50.5,2 ,7.5,,,5 ,23.0,4 ,19.0
島しょ＿新島村,275 ,202 ,73.4,27 ,9.9,,,25 ,9.2,21 ,7.5
島しょ＿神津島村,151 ,102 ,67.5,7 ,4.6,,,19 ,12.9,23 ,15.0
島しょ＿三宅村,185 ,139 ,75.4,13 ,7.1,,,11 ,5.8,22 ,11.7
島しょ＿御蔵島村,13 ,9 ,73.1,0 ,3.6,,,2 ,15.5,1 ,7.8
島しょ＿八丈町,556 ,394 ,70.9,48 ,8.7,,,55 ,9.9,59 ,10.6
島しょ＿青ヶ島村,11 ,7 ,59.2,2 ,15.0,,,3 ,24.1,0 ,1.7
島しょ＿小笠原村,75 ,41 ,54.0,14 ,19.0,,,8 ,10.5,12 ,16.5
島しょ＿島しょ計,1853 ,1328 ,71.7,157 ,8.5,,,155 ,8.3,213 ,11.5
合計,691774 ,496651 ,71.8,135146 ,19.5,103343 ,14.9,39446 ,5.7,20532 ,3.0
