買主／区名,平成21年／件数(件),平成21年／面積(m2),平成22年／件数(件),平成22年／面積(m2),平成23年／件数(件),平成23年／面積(m2),平成24年／件数(件),平成24年／面積(m2),平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2)
個人／江戸川区,2966,194333,3046,213421,2526,178929,2919,154245,3500,182118,2996,166808,3156,168807,2890,151083,2961,164233,2918,156790,2953,143307
個人／合計,38543,4130918,38526,3319302,37574,3406974,41755,2176392,46351,2529004,43055,2352242,44584,2394355,42176,2262184,42197,2220739,40515,2044246,43142,2091277
法人／千代田区,357,59522,518,100319,441,106195,513,65919,556,64257,601,68563,595,73114,681,63525,683,65356,709,79626,599,68156
法人／中央区,577,67663,613,88296,538,65112,576,80001,769,88567,756,82241,991,102580,1074,94319,928,75419,1041,78082,904,85048
法人／港区,698,224709,992,278360,905,293149,842,141200,1177,232110,1416,235261,1424,215238,1327,255487,1277,210558,1069,196032,1148,147243
法人／新宿区,840,210233,1318,659295,1148,229957,1153,136958,1295,163794,1359,164797,1375,185841,1533,183081,1664,189952,1732,192934,1688,176253
法人／文京区,525,161341,553,79327,563,177069,639,66633,892,90046,834,91054,868,88797,896,96085,1009,104998,865,87939,865,80323
法人／台東区,599,78773,757,81195,592,66838,757,65880,783,76294,849,74977,986,91787,1078,94791,1238,108866,1473,121117,1390,116236
法人／墨田区,411,56330,673,105388,737,78408,896,102325,959,102935,1104,123853,1173,107084,1089,110074,1194,124085,1150,120018,1390,126538
法人／江東区,652,181746,824,217429,769,326912,872,223733,1041,265679,953,200417,1144,225759,1121,340120,1282,175330,1491,206711,1411,244759
法人／品川区,854,138968,896,140298,869,149676,1070,144827,1124,164708,1127,146922,1138,140425,1277,164232,1387,172695,1357,162688,1375,168235
法人／目黒区,590,108306,718,163322,633,102459,968,116859,880,125201,842,138086,888,120691,1021,142624,976,137281,1080,146733,1055,151364
法人／大田区,1361,286524,1590,312516,1571,275210,1768,267639,2054,309371,2080,347494,2559,379230,2635,400527,2623,350790,2675,360638,2723,357185
法人／世田谷区,1881,465093,2386,1296166,2182,426647,2605,375874,3323,486994,3095,509064,3316,462631,3425,459416,3461,481824,3428,458976,3439,462951
法人／渋谷区,667,116192,860,124857,775,116670,994,137324,1417,163168,1276,156148,1151,160398,1155,148179,1513,189237,1266,151592,1402,159319
法人／中野区,567,80808,723,85257,1000,133730,1073,127787,1161,133162,1214,120724,1378,163736,1229,127943,1445,171052,1427,158424,1470,159817
法人／杉並区,1141,175232,1519,221031,1551,270835,1661,212159,2430,320287,1992,233493,2548,317798,2340,271065,2336,298941,2353,286945,2422,325416
法人／豊島区,761,97824,1014,143303,703,94606,888,100840,1027,107179,986,105337,1144,121372,1219,119153,1288,139080,1266,117702,1294,123511
法人／北区,597,69144,681,132034,717,96669,732,87574,811,104537,910,221816,1165,123956,1186,129135,1080,139915,1430,211386,1477,167612
法人／荒川区,642,275035,525,78071,480,53096,742,63879,778,62254,635,73672,744,75069,748,80109,819,80434,943,96019,920,82418
法人／板橋区,858,207334,1219,244180,1232,193738,1474,223282,1554,236132,1666,232477,1706,243103,1805,244021,1814,241751,1858,240469,1982,233739
法人／練馬区,1546,220364,1848,293439,1959,311443,2120,311142,2609,355127,2568,359296,2685,339306,3036,410130,2892,370907,3031,410250,2944,366212
法人／足立区,1892,206322,2268,287412,2566,366222,3348,311553,3965,383029,3891,376682,3262,399580,3127,372890,3954,394000,3646,444776,3558,385337
法人／葛飾区,1139,253544,1573,175906,1695,204952,1651,187132,2047,201365,1860,182379,1995,192114,2032,216933,2644,227954,2384,233144,2545,237223
法人／江戸川区,1483,210585,1788,237934,1667,262445,2187,252878,2606,280046,2339,259389,2575,311921,2418,301353,2816,323275,2825,295266,2628,284704
法人／合計,20638,3951591,25856,5545331,25293,4402040,29529,3803399,35258,4516242,34353,4504142,36810,4641530,37452,4825192,40323,4773700,40499,4857467,40629,4709599
