区分,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
平成6年_地区,千代田,港,中央,新宿,渋谷,品川,江東,豊島,台東,大田,文京,目黒,世田谷,,,
平成6年_面積（万m2）,1319,1109 ,1035 ,558,373,281,232,227,219,217,158,108,106,,,
平成7年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成7年_面積（万m2）,1358,1169 ,1062 ,581,412,319,273,258,242,239,173,117,115,103,,
平成8年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成8年_面積（万m2）,1377,1225 ,1108 ,625,428,344,287,264,247,243,181,130,118,105,,
平成9年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,目黒,世田谷,墨田,,
平成9年_面積（万m2）,1390,1249 ,1159 ,692,450,365,328,262,251,245,187,136,135,106,,
平成10年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成10年_面積（万m2）,1397,1288 ,1167 ,696,477,375,350,266,254,248,191,146,139,125,,
平成11年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成11年_面積（万m2）,1396,1327 ,1174 ,694,497,380,349,268,255,254,215,148,139,126,,
平成12年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成12年_面積（万m2）,1403,1338 ,1171 ,705,504,412,352,277,255,253,216,147,140,126,,
平成13年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成13年_面積（万m2）,1443,1351 ,1175 ,703,531,412,353,278,255,253,226,147,139,133,,
平成14年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
平成14年_面積（万m2）,1443,1365 ,1174 ,703,535,414,365,278,256,254,231,146,142,134,100,
平成15年_地区,千代田,港,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成15年_面積（万m2）,1457,1406 ,1232 ,703,540,424,367,276,259,256,230,148,144,133,,
平成16年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成16年_面積（万m2）,1557,1497 ,1237 ,710,550,456,381,278,259,254,231,146,142,132,,
平成17年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成17年_面積（万m2）,1638,1513 ,1234 ,724,557,473,387,299,258,254,230,145,141,139,,
平成18年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成18年_面積（万m2）,1638,1523 ,1244 ,711,554,474,388,295,256,251,226,141,139,137,,
平成19年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成19年_面積（万m2）,1687,1546 ,1227 ,707,551,475,415,295,256,251,226,140,140,137,,
平成20年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
平成20年_面積（万m2）,1736,1562 ,1227 ,711,559,483,434,301,258,257,228,147,140,137,100,
平成21年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
平成21年_面積（万m2）,1769,1571 ,1228 ,708,560,500,445,305,258,254,228,146,138,137,100,
平成22年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
平成22年_面積（万m2）,1771,1590 ,1227 ,707,571,507,450,309,258,256,225,147,139,138,101,
平成23年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,墨田,目黒,江戸川,
平成23年_面積（万m2）,1775,1587 ,1223 ,710,570,509,457,307,258,260,226,147,138,137,100,
平成24年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,,
平成24年_面積（万m2）,1775,1604 ,1227 ,709,571,518,494,319,259,260,229,146,138,137,,
平成25年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,江戸川,
平成25年_面積（万m2）,1778,1580 ,1234 ,734,583,540,508,318,258,258,228,144,138,136,101,
平成26年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,中野,
平成26年_面積（万m2）,1777,1591 ,1220 ,748,594,535,513,315,258,259,229,139,137,135,106,
平成27年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,豊島,台東,文京,世田谷,目黒,墨田,中野,
平成27年_面積（万m2）,1770,1654 ,1239 ,748,592,532,513,312,256,259,228,139,135,135,105,
平成28年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,
平成28年_面積（万m2）,1799,1679 ,1227 ,745,587,543,523,319,258,256,227,138,135,135,105,
平成29年_地区,港,千代田,中央,新宿,渋谷,品川,江東,大田,台東,豊島,文京,世田谷,墨田,目黒,中野,江戸川
平成29年_面積（万m2）,1800,1684 ,1229 ,746,590,538,521,318,262,255,226,153,134,133,104,100
