買主／区名,平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2),令和3年／件数(件),令和3年／面積(m2),令和4年／件数(件),令和4年／面積(m2)
法人／杉並区,2430,320287,1992,233493,2548,317798,2340,271065,2336,298941,2353,286945,2422,325416,2192,250197,2166,269625,2396,306335
法人／豊島区,1027,107179,986,105337,1144,121372,1219,119153,1288,139080,1266,117702,1294,123511,1063,115705,1092,100092,1280,121743
法人／北区,811,104537,910,221816,1165,123956,1186,129135,1080,139915,1430,211386,1477,167612,1177,117563,1324,134215,1449,142023
法人／荒川区,778,62254,635,73672,744,75069,748,80109,819,80434,943,96019,920,82418,918,81537,1104,91124,1043,96269
法人／板橋区,1554,236132,1666,232477,1706,243103,1805,244021,1814,241751,1858,240469,1982,233739,1662,203272,1945,335383,2272,291713
法人／練馬区,2609,355127,2568,359296,2685,339306,3036,410130,2892,370907,3031,410250,2944,366212,2724,349331,3148,380694,3241,370864
法人／足立区,3965,383029,3891,376682,3262,399580,3127,372890,3954,394000,3646,444776,3558,385337,3203,325087,3629,371232,3984,422815
法人／葛飾区,2047,201365,1860,182379,1995,192114,2032,216933,2644,227954,2384,233144,2545,237223,2032,199549,2268,192715,2507,247198
法人／江戸川区,2606,280046,2339,259389,2575,311921,2418,301353,2816,323275,2825,295266,2628,284704,2477,260334,2608,270669,2753,327424
法人／合計,35258,4516242,34353,4504142,36810,4641530,37452,4825192,40323,4773700,40499,4857467,40629,4709599,35524,4107176,38225,4447750,41469,4869907
