区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年,31年
中野区,953,1005,1113,1715,3062,3897,3734,3775,3755,3350,2713,1886,1560,1238,1095,1042,984,929,898,841,815,797,800,892,1071,970,877,862,843,836,855,874,908,951,1018,1103.6
杉並区,977,1083,1165,1455,2600,3225,3199,3202,3277,3602,2611,1832,1426,1143,963,883,793,730,687,640,624,617,625,711,798,710,664,667,662,661,666,687,719,766,822,893.8
豊島区,2245,2536,3093,4117,7972,9115,9517,9825,10532,9975,6557,4601,3456,2713,2258,1993,1753,1564,1429,1294,1208,1153,1138,1394,1746,1506,1406,1415,1412,1408,1530,1596,1619,1738,1885,2066
北区,736,774,815,1183,2056,2792,2761,2609,2447,2428,2219,1726,1433,1185,1010,911,818,763,706,643,611,586,575,669,769,725,682,671,666,664,681,691,711,743,807,887.4
荒川区,674,708,738,976,1723,2460,2450,2515,2627,2462,1893,1483,1205,1015,876,798,722,658,611,580,554,533,535,619,720,677,634,619,613,612,678,690,650,682,730,802.2
板橋区,804,833,868,1011,2019,2700,2710,2750,2750,2517,1709,1375,1188,1003,866,795,726,667,624,586,556,534,526,579,656,600,559,553,544,541,559,567,569,592,624,667.7
練馬区,798,816,849,924,1796,2984,2970,3088,3088,2818,1573,1225,1013,888,769,704,644,592,558,564,553,546,545,607,708,638,603,598,593,592,606,611,626,656,689,725.6
足立区,522,538,561,682,1032,1859,1937,1966,1996,1895,1274,1026,859,729,605,551,490,443,409,376,364,357,354,425,462,453,435,439,441,426,459,468,452,474,506,547
葛飾区,831,881,904,950,1606,2341,2369,2389,2481,2350,1599,1293,1058,889,768,702,625,548,499,434,407,388,378,421,476,456,444,451,447,413,420,427,434,446,466,493.9
江戸川区,679,706,734,778,1435,3100,3157,3252,3123,3283,2353,1839,1395,1123,958,836,722,639,577,538,516,501,494,579,655,620,571,559,549,492,507,516,528,545,572,612.4
区部,1496,1751,2344,4218,6982,8238,8245,8508,8607,8195,5846,4012,3000,2291,1913,1806,1681,1579,1513,1651,1621,1606,1604,2111,2595,2409,2075,2024,1973,1949,2101,2226,2369,2603,2800,3010
八王子市,658,705,752,800,1384,2851,2848,2848,2864,2805,2028,1701,1535,1194,826,762,664,586,526,449,413,389,383,418,488,476,438,427,416,409,414,420,429,436,443,450.9
立川市,1037,1092,1142,1237,2615,4550,4720,4853,4987,4813,2917,1817,1303,1044,896,823,764,720,692,641,614,589,589,841,993,958,979,957,950,954,979,1032,1108,1180,1240,1291.4
武蔵野市,1514,1640,1823,2121,4425,6265,6183,6158,6158,5763,3129,2492,1931,1650,1487,1386,1218,1170,1136,1044,1031,1021,1038,1151,1272,1313,1301,1285,1278,1278,1324,1377,1453,1550,1651,1792.5
三鷹市,900,943,1013,1163,2750,4750,4655,4740,4735,4630,1934,1544,1254,1099,958,896,793,735,702,659,648,634,630,688,757,727,707,695,689,689,699,712,736,760,763,798.5
青梅市,375,382,390,397,531,1100,1120,1120,1120,1071,809,657,579,475,431,406,352,313,284,261,239,224,213,215,240,226,208,202,198,188,188,190,191,192,192,192.6
府中市,557,599,623,820,1457,2650,2650,2285,2300,2241,1352,981,871,772,648,605,557,514,480,453,428,411,404,428,536,506,476,465,462,460,469,479,492,507,524,540.8
昭島市,406,420,436,469,900,1460,1460,1460,1480,1450,916,685,616,544,465,447,408,375,350,318,289,265,251,260,284,271,252,254,250,247,303,306,294,299,305,312
調布市,685,718,750,955,1685,3435,3565,3765,3890,3840,2490,1688,1431,1226,968,870,780,704,655,552,522,498,488,534,596,559,529,520,585,585,645,667,644,673,702,733.1
町田市,767,813,897,1071,2353,3830,3902,3912,3912,3756,2893,2282,1677,1353,996,911,826,754,702,688,644,619,607,667,744,721,688,700,692,623,638,650,665,682,698,716.2
小金井市,1220,1270,1330,1440,3000,4600,4600,4600,4560,4200,1910,1303,1091,940,853,799,725,673,645,578,580,559,541,576,642,624,594,582,580,579,587,594,606,618,631,662.6
小平市,380,393,406,425,763,1535,1485,1465,1610,1545,1130,912,818,693,592,552,480,426,397,377,359,345,335,352,375,354,332,322,315,304,308,310,312,315,319,320.6
日野市,649,681,712,1180,2300,2970,2670,2670,2670,2550,1200,838,728,651,580,547,512,477,449,417,386,358,343,393,429,408,376,366,364,363,369,376,384,393,402,414.5
東村山市,679,692,706,727,1171,1935,1920,1920,1920,1800,1200,936,863,716,631,571,483,422,396,375,345,324,314,329,363,345,326,320,317,292,296,298,300,297,300,303.1
国分寺市,738,778,824,988,2105,3350,3350,3375,3435,3350,1504,1233,1049,888,804,753,683,631,598,566,546,526,511,533,583,567,544,530,528,526,536,545,553,564,580,593.6
国立市,840,890,940,1070,2650,3830,3800,3950,3950,3900,1633,1190,998,828,758,731,641,592,565,547,525,508,502,549,594,611,576,566,563,562,568,571,575,588,601,620.7
福生市,371,378,386,600,910,2090,2090,2090,2180,2100,1203,1063,866,703,642,583,499,457,435,384,373,339,311,307,333,320,293,283,277,273,275,280,284,287,291,293.4
狛江市,610,631,650,739,1240,2360,2360,2480,2530,2450,1540,1183,1020,875,802,745,678,616,574,533,487,455,447,476,522,492,463,456,452,449,449,452,454,456,458,467
東大和市,468,482,492,514,760,1290,1250,1230,1230,1160,571,452,426,390,371,349,296,266,248,232,220,208,201,216,228,215,202,196,191,190,222,223,194,195,197,197.7
清瀬市,560,569,579,591,1360,2470,2470,2470,2470,2350,1850,1480,1350,1100,900,780,625,553,510,402,373,354,340,358,385,364,342,332,329,329,334,337,341,344,348,350.5
東久留米市,600,617,649,678,1390,2330,2320,2320,2320,2200,1138,930,843,708,604,540,457,383,358,343,322,307,296,308,337,318,304,296,294,294,298,299,302,278,281,283.8
武蔵村山市,276,270,275,281,323,465,447,447,447,434,371,348,340,333,328,314,267,238,219,201,177,166,159,164,173,163,154,150,147,145,145,146,148,148,149,149
多摩市,478,515,550,620,1080,2700,2700,2700,2700,2400,1538,1094,916,767,633,592,535,474,424,406,364,342,372,386,413,396,396,388,387,386,390,390,391,392,394,397.2
稲城市,242,248,253,266,338,740,740,740,740,723,649,547,515,481,440,421,396,374,351,304,270,243,231,231,247,235,227,223,222,222,224,228,232,237,242,249.7
羽村市,315,318,321,325,430,800,800,800,800,770,635,562,511,417,386,366,328,309,290,269,256,240,234,238,264,251,233,177,174,171,173,174,176,178,178,179
あきる野市,136,142,151,,,,,,,,302,289,346,318,295,285,254,229,212,193,179,162,155,156,172,166,152,175,171,168,169,170,171,171,171,171
西東京市,666,690,710,743,1255,2105,2095,2095,2095,2035,1294,994,897,753,674,654,567,504,471,401,375,356,348,369,414,391,372,364,362,362,367,372,378,388,399,415.6
瑞穂町,146,147,150,153,210,380,380,384,387,383,373,361,353,302,281,268,225,191,177,163,147,137,132,132,137,132,123,121,117,115,115,117,118,119,120,121
日の出町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,91,92,92,92.5
檜原村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥多摩町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多摩地域,680,718,763,907,1776,3013,3015,3003,3029,2911,1738,1345,1126,943,788,733,652,597,561,519,494,474,468,517,581,556,527,525,523,510,524,536,548,560,577,600
大島町,,,,,,,,,,,,,108,105,102,100,100,99,98,97,96,93,90,84,80,75,70,65,61,57,48,46,45,45,45,44.4
新島村,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9.3
神津島村,,,,,,,,,,,,,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.5
三宅村,,,,,,,,,,,,,13,13,13,13,13,13,,,,,,12,12,12,12,12,12,11,11,11,11,11,11,11
八丈町,,,,,,,,,,,,,40,40,40,40,40,40,40,38,38,38,38,38,38,43,40,37,34,32,31,31,31,31,31,31.1
小笠原村,,,,,,,,,,,,,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,73,75,75,75,75,75,75
島しょ,,,,,,,,,,,,,41,41,40,40,40,40,45,45,44,44,43,37,36,36,35,34,32,32,31,30,30,30,30,30.1
東京都,1349,1566,2060,3691,6195,7449,7455,7662,7750,7400,4979,3445,2585,1991,1651,1556,1441,1351,1294,1432,1403,1388,1383,1798,2197,2036,1765,1718,1676,1650,1751,1851,1989,2181,2341,2512.6
