区市町村名,合計／平成29年（千m2）,合計／平成28年（千m2）,合計／平成29-28年（千m2）,住宅地区／平成29年（千m2）,住宅地区／平成28年（千m2）,住宅地区／平成29-28年（千m2）,商業地区／平成29年（千m2）,商業地区／平成28年（千m2）,商業地区／平成29-28年（千m2）,工業地区／平成29年（千m2）,工業地区／平成28年（千m2）,工業地区／平成29-28年（千m2）,その他／平成29年（千m2）,その他／平成28年（千m2）,その他／平成29-28年（千m2）
区部／足立区,27487,27535,-47,25017,25064,-47,359,359,0,2112,2113,0,0,0,0
区部／葛飾区,16580,16562,18,15579,15560,19,449,450,-1,551,551,0,0,0,0
区部／江戸川区,23339,23328,10,21814,21803,10,346,346,0,1179,1179,0,0,0,0
区部計,315705,315621,84,279098,279101,-3,20159,20062,96,16448,16458,-10,0,0,0
市部／八王子市,37923,37760,163,31452,31291,161,600,597,3,1504,1498,6,4367,4374,-7
市部／立川市,10793,10772,21,8946,8916,30,502,511,-9,1345,1345,0,0,0,0
市部／武蔵野市,6301,6291,10,5489,5480,9,622,621,1,190,190,0,0,0,0
市部／三鷹市,8614,8591,23,7991,7968,23,308,307,1,310,310,-1,5,6,-1
市部／青梅市,12555,12543,11,10090,10083,7,154,154,0,1232,1225,8,1078,1081,-3
市部／府中市,12927,12901,26,10564,10538,26,298,298,-1,2066,2065,1,0,0,0
市部／昭島市,7573,7536,37,5830,5801,30,465,465,0,1277,1269,8,1,1,0
市部／調布市,10182,10146,36,9641,9605,36,282,282,0,259,259,0,0,0,0
市部／町田市,28124,28018,106,26080,25970,110,694,696,-2,651,651,0,698,701,-2
市部／小金井市,5711,5699,12,5532,5521,11,173,171,1,6,6,0,0,0,0
市部／小平市,10237,10208,29,9287,9271,16,254,254,0,696,683,13,0,0,0
市部／日野市,11167,11089,78,9251,9168,82,109,113,-4,1807,1807,0,0,0,0
市部／東村山市,7666,7628,37,7020,6983,37,192,192,0,454,454,1,0,0,0
市部／国分寺市,6348,6318,30,5987,5957,30,120,120,0,241,241,0,0,0,0
市部／国立市,4125,4113,12,3756,3744,11,171,171,0,197,197,1,1,1,0
市部／福生市,3614,3609,6,3314,3309,6,185,185,0,115,115,0,0,0,0
市部／狛江市,3410,3358,52,3134,2933,201,161,144,18,114,282,-167,0,0,0
市部／東大和市,5145,5128,17,4787,4770,17,147,147,0,211,211,0,0,0,0
市部／清瀬市,3576,3558,18,3366,3348,18,122,122,0,89,89,0,0,0,0
市部／東久留米市,6653,6613,40,6104,6069,36,259,259,0,235,231,4,55,55,0
市部／武蔵村山市,5416,5334,82,4299,4219,80,333,333,0,783,781,2,0,0,0
市部／多摩市,8106,8087,19,6927,6907,20,1179,1179,-1,0,0,0,0,0,0
市部／稲城市,4814,4795,19,4542,4521,22,119,120,-2,136,137,-1,17,16,0
市部／羽村市,5432,5427,6,3537,3529,7,189,189,0,1699,1701,-2,8,8,0
市部／あきる野市,8267,8211,56,7002,6972,30,108,108,0,272,245,28,885,887,-2
市部／西東京市,8804,8771,34,8380,8346,34,259,259,0,165,165,0,0,0,0
市部計,243484,242501,982,212308,211219,1089,8004,7996,8,16056,16156,-100,7115,7130,-14
西多摩郡／瑞穂町,4906,4874,32,2377,2374,2,126,127,-1,1837,1801,36,567,573,-6
西多摩郡／日の出町,2432,2420,13,1339,1327,12,110,110,0,182,182,0,800,799,1
西多摩郡／檜原村,427,434,-7,0,0,0,0,0,0,0,0,0,427,434,-7
西多摩郡／奥多摩町,860,865,-5,132,131,0,0,0,0,0,0,0,728,734,-6
西多摩郡計,8625,8592,32,3847,3833,15,236,237,-1,2019,1983,36,2522,2540,-17
多摩地域計,252108,251094,1015,216155,215052,1103,8240,8233,7,18075,18139,-64,9638,9669,-32
区部･多摩計,567813,566715,1099,495253,494153,"1,100",28399,28296,103,34523,34596,-73,9638,9669,-32
