区名,平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2),令和2年／件数(件),令和2年／面積(m2),令和3年／件数(件),令和3年／面積(m2),令和4年／件数(件),令和4年／面積(m2)
合計／文京区,1829,131587,1760,132052,1817,132063,1754,133250,1871,145017,1701,124653,1719,117420,1672,109412,1400,110659,1806,127599
合計／台東区,1381,105020,1390,103192,1578,120290,1631,124431,1797,133618,1999,147837,1914,140597,1671,122943,1670,119181,1862,141724
合計／墨田区,1914,148304,2181,175488,2282,158900,2094,156062,2297,169772,2076,162529,2423,172013,2312,185023,2179,165791,2456,188358
合計／江東区,2074,313448,2023,253557,2251,297206,2133,390317,2263,222727,2635,261784,2559,292464,2176,248841,2204,211765,2392,297168
合計／品川区,2766,240559,2884,226303,2590,204082,2856,230572,3180,244772,3054,229546,3124,235867,3053,224422,2825,227682,2694,204938
合計／目黒区,2325,200249,2105,208984,2307,199559,2417,217712,2355,209653,2397,212087,2447,224252,2212,179204,2400,209308,2252,228377
合計／大田区,5152,477624,5461,544305,6144,580319,6208,589531,6152,553797,6036,538971,6383,529401,5720,473403,6163,513903,5402,541730
合計／世田谷区,8252,798410,8319,861659,8659,804451,8558,791699,8714,822018,8402,770026,8751,817522,7940,728913,8224,791957,7836,754519
合計／渋谷区,2476,215254,2312,211731,2066,218758,2106,205541,2484,242049,2150,198924,2251,211799,1726,155679,1893,169533,1974,171643
合計／中野区,2834,227449,3016,218202,3414,307877,2911,214304,3191,265969,2809,229204,3280,247225,3158,221017,3094,246928,3195,252063
合計／杉並区,5981,556530,5492,489790,6395,600869,5865,497129,5755,492455,5735,471837,6114,539487,5784,445951,5683,454401,5386,452033
合計／豊島区,2375,176620,2518,174281,2505,187417,2693,190373,2895,213996,2635,178216,2813,184009,2366,169570,2331,155987,2424,167854
合計／北区,2236,184232,2244,288788,2720,223041,2958,212443,2648,225868,2970,277816,3028,239022,2746,182219,2803,193819,2925,200158
合計／荒川区,1718,107303,1590,124886,1718,119585,1908,146064,1864,130293,2109,145598,2138,131363,2060,127955,2268,153186,1995,141728
合計／板橋区,4087,368658,4054,356057,4363,383441,4203,372000,4075,362831,4135,363840,4379,347114,3981,321897,4186,441459,4568,395554
合計／練馬区,6802,615410,7254,663127,7681,652311,7960,742316,7284,632435,7377,685364,7581,636762,7268,627068,7874,644759,7316,628279
合計／足立区,8133,633112,8078,646392,7684,687211,6945,598379,8113,638386,7446,691524,7663,593745,7445,553342,7560,566984,7796,604502
合計／葛飾区,4777,353633,4508,330189,5007,357116,4632,373249,5451,389993,5198,371323,5336,372244,4703,343252,4915,336026,5111,372823
合計／江戸川区,5721,446189,5557,454074,5857,493706,5479,459872,6027,504085,5991,471966,5763,440535,5634,412804,5702,431745,5612,476971
合計／合計,78869,6977980,79289,7140768,83708,7422581,82111,7377142,85037,7256959,83500,7200009,85974,7036767,79271,6336773,80953,6651390,80830,6884996
