区分,地域,事業費a（億円),用地費ｂ（億円),ｂ／ａ(％),買収面積(千m2),１m2単価(万円)
平成25年,区部,526.8,297.3,56.4,25.4,117.3
平成25年,多摩,206.6,68.2,33,40.2,17
平成25年,島しょ,9.3,0.6,6.4,1.1,5.6
平成25年,計,742.6,366.1,49.3,66.6,54.9
平成26年,区部,404.9,160.1,39.5,33.7,47.6
平成26年,多摩,208.7,73.3,35.1,40.5,18.1
平成26年,島しょ,13.1,0.5,4.1,1.4,3.8
平成26年,計,626.7,233.9,37.3,75.6,30.9
平成27年,区部,493.3,227.3,46.1,30.9,73.6
平成27年,多摩,210,78.8,37.5,35,22.5
平成27年,島しょ,12,0.6,5.3,3.4,1.9
平成27年,計,715.3,306.7,42.9,69.3,44.3
平成28年,区部,457.2,214.5,46.9,35.5,60.4
平成28年,多摩,169.1,65.5,38.7,35.6,18.4
平成28年,島しょ,7.6,0.5,6.3,5.1,0.9
平成28年,計,633.9,280.5,44.2,76.3,36.8
平成29年予算,区部,918.6,455.8,49.6,97.1,46.9
平成29年予算,多摩,324.5,136.2,42,73,18.7
平成29年予算,島しょ,16.5,1,6.2,7,1.5
平成29年予算,計,1259.7,592.9,47.1,177.1,33.5
平成30年予算,区部,976.1,548.5,56.2,102.6,53.5
平成30年予算,多摩,338.6,144,42.5,63.9,22.5
平成30年予算,島しょ,13.5,0.7,5.3,4.2,1.7
平成30年予算,計,1328.3,693.1,52.2,170.6,40.6
