区市町村名,平成20年度／空き家率／全体(%),平成20年度／空き家率／二次的(%),平成20年度／空き家率／賃貸用(%),平成20年度／空き家率／売却用(%),平成20年度／空き家率／その他(%),平成20年度／住宅総数(戸数),平成25年度／空き家率／全体(%),平成25年度／空き家率／二次的(%),平成25年度／空き家率／賃貸用(%),平成25年度／空き家率／売却用(%),平成25年度／空き家率／その他(%),平成25年度／住宅総数(戸数),平成30年度／空き家率／全体(%),平成30年度／空き家率／二次的(%),平成30年度／空き家率／賃貸用(%),平成30年度／空き家率／売却用(%),平成30年度／空き家率／その他(%),平成30年度／住宅総数(戸数)
区部／中野区,9.1,0.2,6.4,0.2,2.4,191320,13.7,0.1,11.4,0.5,1.8,210420,11.3,0.1,9,0.3,1.8,229060
区部／杉並区,10.3,0.3,7,0.3,2.7,315910,10.5,0.2,7.8,0.3,2.2,340730,8.6,0.1,5.9,0.3,2.3,346540
区部／豊島区,12.9,0.4,9.9,0.4,2.2,168250,15.8,0.2,13.2,0.4,1.9,192660,13.3,0.1,11.8,0.5,0.9,206360
区部／北区,10.3,0,6.6,0.4,3.3,185080,10.5,0,7.4,0.4,2.6,195380,10.9,0.1,4.5,0.3,6.1,204540
区部／荒川区,12.8,0,9.3,3,0.4,107860,10,0.1,6.7,0.7,2.5,108790,11.8,0.1,4.6,0.3,6.9,119010
区部／板橋区,11.6,0.2,7.6,0.6,3.2,279420,11.4,0.1,8.8,0.6,1.8,305370,10.9,0.2,8.4,0.3,2,336280
区部／練馬区,10,0.2,7.1,0.4,2.2,334410,9.5,0.1,7,0.4,2,380910,9.7,0.1,7.6,1,0.9,376710
区部／足立区,12.5,0.3,9.3,1.1,1.9,310590,9.7,0.1,6.9,0.5,2.2,362950,11.1,0,7.8,0.2,3,356080
区部／葛飾区,11.8,0.2,7.7,0.7,3.3,204660,11.1,0.1,8.5,0.7,1.9,224480,11.8,0.1,8.6,0.3,2.9,237010
区部／江戸川区,9.5,0.1,6.8,0.5,2.2,314690,10.9,0.1,7.4,0.5,2.9,346710,9.7,0,7.4,0.8,1.5,340430
区部／区部計,11.3,0.2,7.4,0.8,2.9,4801080,11.2,0.2,8.1,0.8,2.2,5246470,10.4,0.1,7.4,0.6,2.3,5519960
市部／八王子市,10.7,0.1,7.8,0.9,1.9,260340,10.3,0.1,7.6,0.5,2.1,281300,12.2,0.1,8.9,0.3,2.9,289050
市部／立川市,10.2,0.4,7.1,1,1.7,85970,10.8,0,8.3,0.5,1.9,83760,11.4,0.1,9.2,0.6,1.5,97050
市部／武蔵野市,8.9,0.1,7,0.2,1.6,76380,14.1,0.4,10.8,0.5,2.4,82930,10.9,0.4,8.3,0.3,1.8,83390
市部／三鷹市,12.4,0.1,7.2,0.5,4.7,96100,11.1,0,8,1.3,1.8,97820,10.6,0,8.1,0.3,2.1,100760
市部／青梅市,10.5,0.8,4.9,0.3,4.5,58570,13.2,0.3,8.4,2.3,2.3,57500,11.9,0.3,7.1,1.1,3.4,57770
市部／府中市,11,0.6,6,0.7,3.7,120450,12,0.1,10.1,0.5,1.2,129130,11.4,0.1,8.2,0.7,2.5,131360
市部／昭島市,9.4,0.4,6.6,0.3,2.1,51170,11.7,0.1,8,0.8,2.8,54080,13.3,0,11.3,0.4,1.5,56800
市部／調布市,10.4,0.3,6.4,0.4,3.3,115750,11.9,0.1,9.8,0.6,1.5,123790,9.9,0.1,7.1,0.8,1.9,127980
市部／町田市,8.6,0.3,6.4,1.3,0.6,187500,7.7,0.2,6.1,0.4,1.1,224120,9.6,0.1,7.2,0.5,1.9,207390
市部／小金井市,9.9,0.6,7.7,0.6,1,58750,11.8,0.1,9.4,0.3,1.9,64630,10.2,0.1,7.9,0.7,1.6,68050
市部／小平市,11.6,0.1,8.9,0.9,1.8,86760,11.6,0.1,8.6,0.5,2.3,93650,13.3,0,10.8,0.2,2.3,97420
市部／日野市,11.6,0.1,8,1.6,1.9,87720,12.8,0,10,1,1.7,90340,10.2,0,8.1,0.5,1.6,95460
市部／東村山市,10.4,0.1,6.6,1.1,2.6,68970,9.9,0.3,6.6,0.6,2.4,71910,9.8,0.1,7.3,0.5,2,72190
市部／国分寺市,9.5,0.2,7.1,0.5,1.8,63700,12.1,0.2,9.8,0.2,1.8,70060,10.3,0.1,6.9,0.3,2.9,68000
市部／国立市,12.7,0.6,9,0.6,2.5,38850,12.7,0.1,10,0.5,2.2,41650,14.8,0,12.2,0.4,2.2,40090
市部／福生市,14.4,0.2,10.7,0.7,2.8,30540,12.7,0.1,10.1,0.2,2.3,29820,10.8,0.1,7.9,0.2,2.7,31550
市部／狛江市,9.7,0,7.5,0.2,2,42890,11.5,0.1,9.8,0.2,1.3,44620,9.4,0,7.4,0.2,1.8,44410
市部／東大和市,10.7,0.2,6.3,0.6,3.6,35920,11.9,0.3,9.4,0.5,1.7,39160,9.5,0.2,6.3,0.4,2.6,39610
市部／清瀬市,9.6,0.3,6.6,0.3,2.4,34630,9.9,0,7.3,0.6,2,36660,9.7,0.3,7,0.5,1.8,38430
市部／東久留米市,10.7,0.1,5.6,0.3,4.8,54280,9.2,0.1,6.5,2.4,0.2,54770,10.8,0.1,6.8,0.5,3.5,56000
市部／武蔵村山市,12.2,0.2,9.8,0.2,2,32000,11.5,0.6,7.9,0.4,2.7,30160,11.1,0.1,7.6,0.2,3.2,32940
市部／多摩市,7.5,0.1,5,0.2,2.2,71780,9.6,0.4,7.6,1,0.7,73860,10.7,0,8.6,0.6,1.4,74170
市部／稲城市,8.1,0.1,6.1,0.5,1.4,34170,8.5,0.1,6.7,0.5,1.1,39080,8.8,0,6.7,0.3,1.8,40630
市部／羽村市,11,0.9,7.4,0.3,2.4,25390,11.5,0.4,9.5,0.2,1.4,26730,11.9,0.1,8.6,1.6,1.5,25360
市部／あきる野市,10.5,0.4,6.3,0.6,3.1,30810,10.5,0.6,6,0.5,3.3,33570,10.1,0.3,6.1,0.3,3.4,34680
市部／西東京市,9.3,0.2,5.5,0.6,3,92270,9.3,0.2,7.2,0.3,1.7,96700,8.8,0.1,6.2,0.5,2.1,98360
市部／市部計,10.3,0.2,7,0.7,2.4,1941620,10.8,0.2,8.3,0.6,1.8,2071730,10.9,0.1,8.1,0.5,2.2,2108900
合計,11,0.2,7.3,0.8,2.8,6742700,11.1,0.2,8.2,0.7,2,7318200,10.5,0.1,7.6,0.5,2.3,7628860
