 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,092",321,"1,092",321,125,321,125,321,967,-,967,-
,86.9%,107.0%,86.9%,107.0%,82.8%,107.0%,82.8%,107.0%,87.5%,-,87.5%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"118,972","21,141","118,972","21,141","28,415","21,003","28,415","21,003","90,557",138,"90,557",138
,104.0%,82.5%,104.0%,82.5%,110.8%,82.5%,110.8%,82.5%,102.1%,71.9%,102.1%,71.9%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"8,979","4,430","8,979","4,430","2,142","4,408","2,142","4,408","6,837",22,"6,837",22
,81.6%,93.5%,81.6%,93.5%,71.9%,94.3%,71.9%,94.3%,85.1%,34.9%,85.1%,34.9%
中国(香港含む),"74,078","51,916","74,078","51,916","7,690","51,805","7,690","51,805","66,388",111,"66,388",111
,101.0%,104.6%,101.0%,104.6%,90.4%,104.5%,90.4%,104.5%,102.4%,176.2%,102.4%,176.2%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"19,974","13,093","19,974","13,093","10,712","11,618","10,712","11,618","9,262","1,475","9,262","1,475"
,99.0%,102.8%,99.0%,102.8%,109.4%,103.2%,109.4%,103.2%,89.2%,99.9%,89.2%,99.9%
内航定期計,"14,327","2,335","14,327","2,335","7,354","1,164","7,354","1,164","6,973","1,171","6,973","1,171"
,91.1%,67.9%,91.1%,67.9%,94.4%,59.3%,94.4%,59.3%,87.8%,79.5%,87.8%,79.5%
北海道,"6,252",385,"6,252",385,"3,297",379,"3,297",379,"2,955",6,"2,955",6
,132.0%,-,132.0%,-,137.1%,-,137.1%,-,126.7%,-,126.7%,-
東北,"2,930",638,"2,930",638,"1,214",630,"1,214",630,"1,716",8,"1,716",8
,76.6%,100.9%,76.6%,100.9%,61.1%,126.0%,61.1%,126.0%,93.4%,6.1%,93.4%,6.1%
関東,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,625,160,625,160,26,155,26,155,599,5,599,5
,45.4%,19.3%,45.4%,19.3%,9.8%,18.7%,9.8%,18.7%,53.8%,-,53.8%,-
近畿,379,-,379,-,65,-,65,-,314,-,314,-
,32.2%,-,32.2%,-,37.4%,-,37.4%,-,31.3%,-,31.3%,-
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,660",-,"1,660",-,834,-,834,-,826,-,826,-
,83.2%,-,83.2%,-,93.5%,-,93.5%,-,74.9%,-,74.9%,-
沖縄,"2,481","1,152","2,481","1,152","1,918",-,"1,918",-,563,"1,152",563,"1,152"
,96.3%,89.3%,96.3%,89.3%,92.6%,-,92.6%,-,111.3%,89.3%,111.3%,89.3%
内航不定期,"5,647","10,758","5,647","10,758","3,358","10,454","3,358","10,454","2,289",304,"2,289",304
,127.2%,115.7%,127.2%,115.7%,167.9%,112.4%,167.9%,112.4%,93.8%,7600.0%,93.8%,7600.0%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
