 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,55 ,"599,597 ",55 ,"599,597 ",-,-,-,-,55 ,"599,597 ",55 ,"599,597 "
10号東岸壁,26 ,"11,691 ",26 ,"11,691 ",-,-,-,-,26 ,"11,691 ",26 ,"11,691 "
東京港フェリーふ頭,24 ,"303,264 ",24 ,"303,264 ",-,-,-,-,24 ,"303,264 ",24 ,"303,264 "
多目的ふ頭,1 ,"2,556 ",1 ,"2,556 ",-,-,-,-,1 ,"2,556 ",1 ,"2,556 "
辰巳ふ頭,60 ,"20,509 ",60 ,"20,509 ",-,-,-,-,60 ,"20,509 ",60 ,"20,509 "
青海コンテナふ頭（公共）,117 ,"1,415,084 ",117 ,"1,415,084 ",78 ,"1,374,007 ",78 ,"1,374,007 ",39 ,"41,077 ",39 ,"41,077 "
有明ふ頭,5 ,"4,527 ",5 ,"4,527 ",-,-,-,-,5 ,"4,527 ",5 ,"4,527 "
大井食品ふ頭（OL）,9 ,"24,445 ",9 ,"24,445 ",1 ,"22,863 ",1 ,"22,863 ",8 ,"1,582 ",8 ,"1,582 "
大井食品ふ頭（OM）,4 ,"35,892 ",4 ,"35,892 ",4 ,"35,892 ",4 ,"35,892 ",-,-,-,-
若洲内貿ふ頭,10 ,"100,340 ",10 ,"100,340 ",-,-,-,-,10 ,"100,340 ",10 ,"100,340 "
若洲建材ふ頭,29 ,"16,960 ",29 ,"16,960 ",-,-,-,-,29 ,"16,960 ",29 ,"16,960 "
大井建材ふ頭,60 ,"35,160 ",60 ,"35,160 ",-,-,-,-,60 ,"35,160 ",60 ,"35,160 "
城南島建設発生土ふ頭,75 ,"51,722 ",75 ,"51,722 ",-,-,-,-,75 ,"51,722 ",75 ,"51,722 "
中央防波堤内側ばら物ふ頭,3 ,"1,494 ",3 ,"1,494 ",-,-,-,-,3 ,"1,494 ",3 ,"1,494 "
中央防波堤内側建設発生土ふ頭,5 ,"3,625 ",5 ,"3,625 ",-,-,-,-,5 ,"3,625 ",5 ,"3,625 "
中央防波堤内側内貿ふ頭,16 ,"169,242 ",16 ,"169,242 ",-,-,-,-,16 ,"169,242 ",16 ,"169,242 "
官公庁（晴海）,2 ,"8,073 ",2 ,"8,073 ",-,-,-,-,2 ,"8,073 ",2 ,"8,073 "
官公庁（月島）,4 ,792 ,4 ,792 ,-,-,-,-,4 ,792 ,4 ,792 
官公庁（有明）,1 ,"2,497 ",1 ,"2,497 ",-,-,-,-,1 ,"2,497 ",1 ,"2,497 "
東京港埠頭㈱計,363 ,"8,018,280 ",363 ,"8,018,280 ",234 ,"7,790,617 ",234 ,"7,790,617 ",129 ,"227,663 ",129 ,"227,663 "
青海コンテナふ頭(埠頭㈱),70 ,"1,870,198 ",70 ,"1,870,198 ",61 ,"1,857,577 ",61 ,"1,857,577 ",9 ,"12,621 ",9 ,"12,621 "
お台場ライナーふ頭,44 ,"339,229 ",44 ,"339,229 ",14 ,"227,651 ",14 ,"227,651 ",30 ,"111,578 ",30 ,"111,578 "
大井コンテナふ頭,249 ,"5,808,853 ",249 ,"5,808,853 ",159 ,"5,705,389 ",159 ,"5,705,389 ",90 ,"103,464 ",90 ,"103,464 "
民間計,502 ,"850,518 ",502 ,"850,518 ",22 ,"251,722 ",22 ,"251,722 ",480 ,"598,796 ",480 ,"598,796 "
,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
