 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"5,720",805,"25,483","8,249","1,050",803,"5,201","8,246","4,670",2,"20,282",3
,319.4%,69.9%,207.4%,178.6%,477.3%,69.7%,296.4%,178.8%,297.3%,-,192.6%,50.0%
印パ･ペルシャ･ベンガル,-,-,"23,426",870,-,-,"18,538",861,-,-,"4,888",9
,-,-,35.6%,23.6%,-,-,54.9%,23.5%,-,-,15.2%,30.0%
東南アジア,"122,245","20,101","653,996","105,753","37,917","19,916","183,369","104,421","84,328",185,"470,627","1,332"
,116.2%,112.4%,109.9%,91.5%,137.8%,112.3%,114.1%,91.8%,108.5%,128.5%,108.4%,75.4%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"11,470","4,360","69,551","26,165","3,198","4,286","20,123","25,378","8,272",74,"49,428",787
,98.2%,73.7%,107.7%,92.6%,102.0%,74.6%,110.6%,92.8%,96.9%,44.0%,106.5%,86.4%
中国(香港含む),"73,257","41,831","466,847","290,388","17,123","41,760","88,495","289,162","56,134",71,"378,352","1,226"
,86.3%,92.3%,94.8%,115.2%,93.0%,92.3%,85.0%,115.3%,84.4%,97.3%,97.5%,100.0%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"23,465","21,722","144,744","130,561","12,505","19,538","80,818","119,390","10,960","2,184","63,926","11,171"
,92.3%,101.2%,104.9%,104.4%,85.6%,101.2%,106.5%,103.5%,101.3%,100.8%,102.8%,114.8%
内航定期計,"16,493","3,781","94,208","21,835","8,506","2,194","48,879","13,177","7,987","1,587","45,329","8,658"
,102.3%,83.9%,102.3%,112.1%,100.7%,87.3%,105.1%,116.0%,104.1%,79.7%,99.4%,106.6%
北海道,"6,018",-,"35,003","1,245","3,148",-,"18,348",405,"2,870",-,"16,655",840
,98.8%,-,96.6%,86.5%,96.7%,-,97.3%,102.8%,101.2%,-,95.8%,80.3%
東北,"3,806",880,"20,842","6,128","1,716",768,"10,140","5,339","2,090",112,"10,702",789
,115.5%,67.4%,114.4%,95.2%,120.5%,67.0%,119.9%,89.2%,111.7%,70.4%,109.7%,175.3%
関東,-,-,93,90,-,-,93,-,-,-,-,90
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,929,746,"6,644","4,475",106,743,710,"4,166",823,3,"5,934",309
,64.1%,59.7%,77.9%,99.6%,29.3%,59.5%,63.3%,92.7%,75.7%,-,80.1%,-
近畿,498,683,"2,196","3,267",24,683,152,"3,267",474,-,"2,044",-
,84.4%,419.0%,87.6%,551.9%,54.5%,578.8%,62.3%,905.0%,86.8%,-,90.4%,-
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,179",-,"12,196",-,"1,086",-,"6,164",-,"1,093",-,"6,032",-
,101.0%,-,95.7%,-,99.5%,-,97.3%,-,102.5%,-,94.2%,-
沖縄,"3,063","1,472","17,234","6,630","2,426",-,"13,272",-,637,"1,472","3,962","6,630"
,120.7%,103.0%,124.4%,101.7%,107.0%,-,115.6%,-,235.9%,103.0%,167.3%,103.7%
内航不定期,"6,972","17,941","50,536","108,726","3,999","17,344","31,939","106,213","2,973",597,"18,597","2,513"
,74.9%,105.7%,110.0%,102.9%,64.9%,103.3%,108.8%,102.1%,94.5%,339.2%,112.1%,155.8%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
