年度,市町村類型,交付税種地区分,国勢調査-人口（人）,"住民基本台帳-年度末（人）
※平成25年度からは各年度の１月１日の人口",住民基本台帳-65才以上人口（人）,普通会計職員数(人),歳入総額（千円）,歳出総額（千円）,歳入歳出差引額（千円）,翌年度へ繰り越すべき財源（千円）,実質収支（千円）,単年度収支（千円）,積立金（千円）,繰上償還額（千円）,積立金取崩額（千円）,実質単年度収支（千円）,基準財政需要額(千円）,基準財政収入額（千円）,標準財政規模（千円）,財政力指数-３年平均,財政力指数-単年度,実質収支比率(%),経常一般財源比率(%),公債費比率(%),起債制限比率(%),公債費負担比率(%),実質公債費比率(%),経常収支比率(%),現債高倍率(%),地方債現在高（千円）,債務負担行為限度額（千円）,債務負担行為翌年度以降支出予定額（千円）,積立金現在高（千円）,積立金現在高のうち財政調整基金（千円）,土地開発基金現在高（千円）,積立金取崩額（千円）,収益事業収入（千円）
H4,Ⅳ-5,乙-9,144489,144545,9234,908,45158633,43714339,1444294,195710,1248584,326358,124642,,,451000,17312305,19616671,26058360,1.137,1.133,0.048,1.037,0.067,0.035,0.056,,0.797,1.122,29234495,61343620,21010139,14237330,2693552,1000000,1165186,1200000
H5,Ⅳ-5,乙-9,144489,144329,9917,918,44951268,43675236,1276032,13292,1262740,14156,71021,,,85177,17360479,20713564,27517271,1.165,1.193,0.046,0.997,0.07,0.036,0.061,,0.813,1.047,28800711,61792972,19268961,14332336,2764573,1000000,900000,640000
H6,Ⅳ-5,乙-9,144489,144003,10672,920,44994327,43054470,1939857,358925,1580932,318192,357152,,,675344,17652717,21140730,28081743,1.175,1.198,0.056,0.99,0.074,0.039,0.064,,0.818,1.051,29504561,63480923,22058896,14552652,3121725,1000000,500000,500000
H7,Ⅳ-5,乙-9,148127,143316,11602,917,50891051,49794885,1096166,128789,967377,-613555,37262,,632000,-1208293,18467285,22019693,29252862,1.194,1.192,0.033,0.993,0.077,0.043,0.061,,0.824,1.035,30280966,74870967,27281198,16865270,2526987,1000000,1332000,300000
H8,Ⅳ-5,乙-9,148113,142841,12412,918,55234747,54194330,1040417,95564,944853,-22524,209739,133600,,320815,19002351,23535384,31268874,1.21,1.239,0.03,0.942,0.079,0.047,0.089,,0.846,1.07,33451297,75441217,27623585,13620122,2736726,1000000,3845800,260000
H9,Ⅳ-5,乙-9,148113,142722,13428,922,52274830,51491582,783248,51659,731589,-213264,37087,381426,403500,-198251,19469089,23470924,31176869,1.212,1.206,0.023,0.947,0.082,0.05,0.086,,0.891,1.159,36127117,81446302,30011674,12106600,2370313,1000000,1824387,120000
H10,Ⅳ-5,Ⅱ-10,148113,141597,14332,920,53008347,51153134,1855213,790713,1064500,332911,7363,231269,520000,51543,20194473,23622073,31378409,1.205,1.17,0.034,0.951,0.069,0.044,0.081,,0.907,1.192,37404667,81428709,28657041,10631012,1857676,1000000,1620000,150000
H11,Ⅳ-5,Ⅱ-10,148113,141340,15368,918,51842950,50403106,1439844,44077,1395767,331267,1366,,,332633,20481397,22389362,29732696,1.156,1.093,0.047,1.046,0.078,0.043,0.09,,0.882,1.259,37430758,78317365,27009472,11197782,1859230,1000000,270000,30000
H12,Ⅳ-5,Ⅱ-10,145859,140802,16561,891,48253005,46925850,1327155,52725,1274430,-121337,50951,,,-70386,20474060,23471502,31180486,1.136,1.146,0.041,0.996,0.077,0.044,0.081,,0.883,1.199,37387339,77767406,24997221,9921157,1910181,1000000,962376,20000
H13,Ⅳ-5,Ⅱ-10,145862,140328,17811,881,45841598,44820413,1021185,16101,1005084,-269346,170766,202821,0,104241,20064553,24685603,32797994,1.156,1.23,0.031,0.936,0.074,0.047,0.093,,0.895,1.1,36064156,75567225,23170962,10053459,2080947,1000000,193284,10000
H14,Ⅳ-5,Ⅱ-10,145862,140972,19060,874,45503599,44736337,767262,12829,754433,-250651,249,,300000,-550402,19109610,22578136,29991719,1.186,1.182,0.025,0.98,0.078,0.05,0.1,,0.957,1.17,35075975,75045748,20385789,9355347,1781196,600000,700000,10000
H15,Ⅳ-5,Ⅱ-10,145862,141125,20475,858,44468997,43548148,920849,13416,907433,153000,126,,446307,-293181,17500565,20936813,27796613,1.203,1.196,0.033,1.018,0.08,0.052,0.09,,0.908,1.261,35062894,73849877,17385870,8850343,1335015,600000,506580,20000
H16,Ⅳ-5,Ⅱ-10,145862,141478,21791,844,44782859,43386440,1396419,79182,1317237,409804,1062420,,,1472224,17526383,21054239,27947705,1.193,1.201,0.047,1.044,0.078,0.053,0.089,,0.898,1.201,33576895,62740937,14811123,9385006,2397435,600000,912360,20000
H17,Ⅲ-3,Ⅱ-10,145887,141383,23309,819,45276242,44516828,759414,10517,748897,-568340,488,,,-567852,17728418,22296573,29430134,1.218,1.258,0.025,1.023,0.078,0.055,0.09,0.102,0.873,1.082,31850166,57077453,11399708,10410383,2397923,600000,35300,20000
H18,Ⅲ-3,Ⅱ-10,145877,143090,25024,797,44513960,43221226,1292734,74333,1218401,469504,51673,,,521177,18169955,23277768,30622269,1.247,1.281,0.129,1.004,0.074,0.054,0.096,0.129,0.917,0.955,29236904,46671803,11806717,10526941,2449596,600000,210000,20000
H19,Ⅲ-3,Ⅱ-10,145877,144947,26699,781,46250086,45242803,1007283,1460,1005823,-212578,7641,,735000,-939937,18388122,23152616,30542462,1.266,1.259,0.032,0.989,0.069,0.053,0.095,0.045,0.93,0.873,26663162,48894797,15477271,9859728,1722237,600000,939724,20000
H20,Ⅲ-3,Ⅱ-9,145877,145560,28407,783,50492226,47283089,3209137,2315690,893447,-112376,507214,92685,790000,-302477,18517305,22715374,31024265,1.256,1.227,0.029,0.969,0.059,0.048,0.093,0.008,0.922,0.805,24984359,46570579,14172252,9115894,1439451,600000,1502593,20000
H21,Ⅲ-3,Ⅱ-9,145877,145596,29828,765,49544739,47680994,1863745,6601,1857144,963697,653962,0,663000,954659,18063871,22104479,30840988,1.237,1.224,0.06,0.955,0.047,0.043,0.083,0,0.912,0.756,23304510,44793199,12139688,8907714,1430413,600000,1231308,20000
H22,Ⅲ-3,Ⅱ-9,147648,144905,30596,756,51028398,49509361,1519037,152587,1366450,-490694,931781,0,960000,-518913,18767555,21083479,29417825,1.191,1.123,0.046,0.976754366,0.042,0.038,0.076,0,0.952,0.74971977,22055125,45097628,10914048,10377934,1402194,600000,1152660,10000
H23,Ⅲ-3,Ⅱ-9,147648,144058,31915,765,49939320,48146196,1793124,90838,1702286,335836,770814,0,970000,136650,19774645,21467767,28896021,1.144,1.086,0.059,1.011120908,0.035,0.034,0.075,0,0.906,0.710601539,20533557,42449968,8450729,10201810,1203008,600000,1292341,20000
H24,Ⅲ－１,Ⅱ－９,147648,145950,34100,748,49997988,48421384,1576604,31684,1544920,-157366,1520628,0,645377,717885,20086901,21432897,28485865,1.092,1.067,0.054,0.999846766,0.029,0.03,0.074,0,0.922,0.665750048,18964466,43404602,10962465,11080089,2078259,0,1177096,20000
H25,Ⅲ－１,Ⅱ－９,147648,147681,36204,753,52178212,50333230,1844982,13620,1831362,286442,1691580,0,1162552,815470,20684591,21680489,28353004,1.067,1.048,0.065,1.020417166,0.023,0.025,0.072,-0.003,0.905,0.628184618,17810921,31864996,10540180,11023450,2607287,0,2308607,20000
H26,Ⅲ－１,Ⅱ－９,147648,147486,37517,754,52005314,50933163,1072151,1001,1071150,-760212,1760705,0,950000,50493,20664184,22392499,29234655,1.066,1.084,0.037,1.03533895,0.014,0.019,0.065,-0.004,0.913,0.548144214,16024807,26638350,9509002,12445005,3417998,0,1364012,20000
H27,Ⅲ－１,Ⅱ－９,146631,147849,38849,755,56112062,54529474,1582588,12244,1570344,499194,1281114,0,1178000,602308,20922783,23583588,30548861,1.086,1.127,0.051,1.036965601,0.016,0.015,0.053,-0.002,0.878,0.522119499,15950156,26517433,7075186,13057003,3521114,0,2210118,20000
H28,Ⅲ－１,Ⅱ－９,146631,148293,40101,757,54800263,52711296,2088967,199911,1889056,318712,1211252,0,1169000,360964,20829767,23625699,30595001,1.115,1.134,0.062,1.00152453,0.016,0.013,0.055,0,0.906,0.513639794,15714810,31019548,10625723,13226474,3563367,0,1991209,20000
H29,Ⅲ－３,Ⅱ－９,146631,148724,41133,773,56824085,55256158,1567927,88081,1479846,-409210,1020092,0,1021000,-410118,20491603,23647054,30533213,1.138,1.154,0.048,1.020223191,0.013,0.013,0.049,0.003,0.89,0.503006447,15358403,34422984,11846360,16581970,3562459,0,1424830,20000
H30,Ⅲ－３,Ⅱ－９,146631,148745,41837,777,54929814,53584629,1345185,323833,1021352,-458494,1270610,0,830000,-17884,20793455,23045497,29837676,1.132,1.108,0.034,1.047847728,0.018,0.013,0.051,0.006,0.903,0.470037881,14024838,33127761,12197145,19146865,4003069,0,1138582,20000
R1,Ⅲ－３,Ⅱ－９,146631,148823,42343,784,57550935,55961691,1589244,296696,1292548,271196,1151126,109955,1597000,-64723,20695800,23878697,30994502,1.139,1.154,0.042,1.005661391,0.019,0.014,0.054,0.016,0.906,0.454248015,14079191,27091884,10846366,18697549,3557195,0,2282165,20000
R2,Ⅲ－３,Ⅱ－９,147169,148479,42863,779,74977734,72029432,2948302,901428,2046874,2046874,651432,0,457000,948753,21135012,24145297,31128105,1.135,1.142,0.066,1.029706723,-,-,0.051,0.02,0.873,0.4511238,14042629,23362343,7997217,19319431,3751627,0,618902,20000
R3,Ⅲ－３,Ⅱ－９,146951,147528,43036,787,71642396,68528979,3113417,327222,2786195,2786195,1031921,0,750000,3068116,22180307,23936750,30791116,1.125,1.079,0.09,1.06216,-,-,0.046,0.029,0.855,0.505383,15561318,25623997,6832582,17618844,4033548,0,4437768,20000
