,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,
東南アジア,"20,599,141","5,203,879","15,395,262","1,648,164","326,930","1,321,234","1,525,001","407,125","1,117,876","1,870,148","480,475","1,389,673","1,709,645","437,424","1,272,221","1,573,779","358,092","1,215,687","1,737,264","471,395","1,265,869","1,864,630","440,405","1,424,225","1,621,423","381,479","1,239,944","1,767,135","455,797","1,311,338","1,734,281","450,342","1,283,939","1,753,517","457,524","1,295,993","1,794,154","536,891","1,257,263",東南アジア
台湾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,台湾
韓国,"1,761,535","464,534","1,297,001","154,126","39,814","114,312","137,704","39,832","97,872","167,654","48,560","119,094","159,869","42,405","117,464","147,221","34,400","112,821","163,013","45,631","117,382","149,434","37,958","111,476","143,925","41,289","102,636","118,752","27,739","91,013","142,268","32,335","109,933","144,751","36,699","108,052","132,818","37,872","94,946",韓国
中国(香港含む),"12,735,099","1,982,462","10,752,637","1,051,997","121,389","930,608","889,257","159,807","729,450","1,066,679","174,684","891,995","1,041,086","194,031","847,055","981,391","143,766","837,625","1,145,541","200,967","944,574","1,139,173","158,943","980,230","1,099,889","168,234","931,655","1,030,190","156,405","873,785","1,111,466","165,313","946,153","1,136,040","171,713","964,327","1,042,390","167,210","875,180",中国(香港含む)
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ナホトカ
外航不定期,"1,247,263","563,565","683,698","88,365","34,314","54,051","89,315","51,327","37,988","84,569","36,544","48,025","139,358","49,088","90,270","82,148","35,000","47,148","90,599","51,255","39,344","85,375","36,709","48,666","130,441","61,293","69,148","113,645","12,000","101,645","131,712","85,811","45,901","126,688","50,025","76,663","85,048","60,199","24,849",外航不定期
内航計,"39,312,245","15,054,365","24,257,880","3,139,845","1,122,618","2,017,227","3,290,198","1,215,286","2,074,912","3,716,065","1,413,344","2,302,721","3,405,845","1,263,957","2,141,888","3,054,981","1,159,989","1,894,992","3,379,221","1,322,104","2,057,117","3,556,238","1,402,449","2,153,789","3,048,161","1,180,303","1,867,858","3,097,619","1,227,506","1,870,113","3,211,509","1,260,752","1,950,757","3,255,769","1,259,624","1,996,145","3,156,794","1,226,433","1,930,361",内航計
内航定期計,"23,575,352","13,001,626","10,573,726","1,813,321","992,625","820,696","1,944,283","1,066,317","877,966","2,262,861","1,245,032","1,017,829","2,096,893","1,121,431","975,462","1,794,357","1,015,945","778,412","2,079,551","1,144,720","934,831","2,172,086","1,217,273","954,813","1,885,958","1,035,906","850,052","1,884,142","1,056,007","828,135","1,923,382","1,065,298","858,084","1,905,838","1,052,218","853,620","1,812,680","988,854","823,826",内航定期計
北海道,"4,248,840","2,387,924","1,860,916","350,674","193,732","156,942","360,347","205,895","154,452","434,653","246,787","187,866","408,837","224,285","184,552","356,889","204,974","151,915","383,272","215,963","167,309","415,689","240,822","174,867","318,642","173,254","145,388","326,141","185,196","140,945","310,634","177,632","133,002","293,786","163,635","130,151","289,276","155,749","133,527",北海道
東北,"403,945","215,553","188,392","37,905","19,312","18,593","34,282","17,271","17,011","33,452","19,801","13,651","32,659","19,015","13,644","26,982","15,125","11,857","29,153","15,155","13,998","40,701","23,018","17,683","30,274","19,451","10,823","34,251","14,602","19,649","27,676","14,669","13,007","35,633","19,649","15,984","40,977","18,485","22,492",東北
関東,"619,011","283,735","335,276","46,966","21,637","25,329","38,539","18,366","20,173","61,196","31,850","29,346","40,512","21,499","19,013","43,815","23,523","20,292","52,491","18,934","33,557","65,024","26,039","38,985","48,436","23,144","25,292","55,043","26,998","28,045","47,819","24,398","23,421","55,559","23,591","31,968","63,611","23,756","39,855",関東
伊豆諸島,"87,414","59,990","27,424","5,997","4,136","1,861","11,009","7,521","3,488","8,955","5,548","3,407","5,828","4,104","1,724","6,500","4,067","2,433","4,462","3,096","1,366","8,403","5,915","2,488","8,656","5,955","2,701","7,025","4,969","2,056","6,689","4,830","1,859","6,690","4,743","1,947","7,200","5,106","2,094",伊豆諸島
中部,"259,937","54,770","205,167","11,137","1,503","9,634","13,353","4,973","8,380","24,187","11,925","12,262","32,340","2,940","29,400","28,522","5,304","23,218","33,370","5,414","27,956","23,486","4,406","19,080","20,933","2,986","17,947","11,850","2,068","9,782","26,147","6,801","19,346","17,800","3,691","14,109","16,812","2,759","14,053",中部
近畿,"103,952","13,314","90,638","10,591","2,260","8,331","14,326",848,"13,478","8,932","1,400","7,532","18,234","1,908","16,326","6,278",628,"5,650",-,-,-,"11,432","1,310","10,122","8,183",866,"7,317","7,224",984,"6,240","5,223",974,"4,249","6,335",664,"5,671","7,194","1,472","5,722",近畿
中国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中国
四国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,四国
九州,"16,469,982","8,956,845","7,513,137","1,249,560","673,437","576,123","1,362,690","725,903","636,787","1,565,695","839,325","726,370","1,428,409","749,148","679,261","1,218,654","684,466","534,188","1,454,965","793,390","661,575","1,485,162","820,487","664,675","1,347,774","734,302","613,472","1,336,008","741,106","594,902","1,371,361","745,441","625,920","1,375,852","749,860","625,992","1,273,852","699,980","573,872",九州
沖縄,"1,382,271","1,029,495","352,776","100,491","76,608","23,883","109,737","85,540","24,197","125,791","88,396","37,395","130,074","98,532","31,542","106,717","77,858","28,859","121,838","92,768","29,070","122,189","95,276","26,913","103,060","75,948","27,112","106,600","80,084","26,516","127,833","90,553","37,280","114,183","86,385","27,798","113,758","81,547","32,211",沖縄
内航不定期,"15,736,893","2,052,739","13,684,154","1,326,524","129,993","1,196,531","1,345,915","148,969","1,196,946","1,453,204","168,312","1,284,892","1,308,952","142,526","1,166,426","1,260,624","144,044","1,116,580","1,299,670","177,384","1,122,286","1,384,152","185,176","1,198,976","1,162,203","144,397","1,017,806","1,213,477","171,499","1,041,978","1,288,127","195,454","1,092,673","1,349,931","207,406","1,142,525","1,344,114","237,579","1,106,535",内航不定期
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
