,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,0,0,1月,0,0,2月,0,0,3月,0,0,4月,0,0,5月,0,0,6月,品種,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,,
66,その他食料工業品,"198,014","55,145","142,869","12,640","1,430","11,210","11,610",825,"10,785","21,250","6,280","14,970","16,375","5,090","11,285","14,857","5,220","9,637","16,935",66,その他食料工業品
雑工業品,,"473,737","374,134","99,603","35,008","28,175","6,833","35,339","29,178","6,161","43,399","34,522","8,877","41,087","31,898","9,189","38,106","29,547","8,559","39,987",雑工業品,
67,がん具,301,150,151,-,-,-,15,15,-,5,5,-,15,10,5,111,-,111,5,67,がん具
68,衣服・身廻品・はきもの,"14,964","12,304","2,660","2,458","2,171",287,"1,717","1,712",5,"1,903","1,201",702,"1,929","1,689",240,"2,100","1,608",492,488,68,衣服・身廻品・はきもの
69,文房具・運動娯楽用品・楽器,"5,652","4,408","1,244",967,912,55,"1,161","1,131",30,"1,177","1,002",175,40,-,40,917,472,445,66,69,文房具・運動娯楽用品・楽器
70,家具装備品,"29,399","21,497","7,902","2,745","1,945",800,"2,956","2,160",796,"3,466","2,496",970,"2,380","1,485",895,"2,174","1,399",775,"1,980",70,家具装備品
71,その他日用品,"261,341","231,432","29,909","17,868","15,543","2,325","18,563","16,385","2,178","24,117","21,125","2,992","22,006","19,584","2,422","19,197","16,614","2,583","23,182",71,その他日用品
72,ゴム製品,"26,849","13,571","13,278","1,853","1,237",616,"2,040","1,136",904,"2,098","1,080","1,018","2,766",944,"1,822","2,380",995,"1,385","2,409",72,ゴム製品
73,木製品,"26,120","24,976","1,144","1,992","1,952",40,"1,935","1,894",41,"2,568","2,238",330,"2,800","2,660",140,"3,229","3,169",60,"2,347",73,木製品
74,その他製造工業品,"109,111","65,796","43,315","7,125","4,415","2,710","6,952","4,745","2,207","8,065","5,375","2,690","9,151","5,526","3,625","7,998","5,290","2,708","9,510",74,その他製造工業品
特殊品,,"7,266,571","4,742,129","2,524,442","508,158","323,923","184,235","556,678","363,588","193,090","659,049","428,373","230,676","624,337","387,685","236,652","563,272","356,834","206,438","661,499",特殊品,
75,金属くず,"33,894","18,368","15,526","2,036","1,041",995,"2,723","1,548","1,175","2,761","1,315","1,446","3,621","1,871","1,750","2,657","1,162","1,495","2,003",75,金属くず
76,再利用資材,"267,646","243,405","24,241","20,043","18,239","1,804","24,256","22,255","2,001","25,653","23,654","1,999","17,900","15,669","2,231","25,062","22,708","2,354","23,404",76,再利用資材
77,動植物性製造飼肥料,"70,518","64,923","5,595","2,514","2,049",465,"4,174","3,674",500,"13,066","12,036","1,030","2,729","2,364",365,"4,642","4,312",330,"3,769",77,動植物性製造飼肥料
78,廃棄物,"12,697","3,575","9,122","1,255",345,910,"1,643",315,"1,328","1,256",410,846,"1,395",285,"1,110",532,225,307,819,78,廃棄物
79,廃土砂,"1,286,413","1,274,566","11,847","73,055","73,055",-,"99,528","99,526",2,"101,257","101,255",2,"89,518","88,113","1,405","81,244","81,224",20,"109,423",79,廃土砂
80,輸送用容器,"299,135","80,740","218,395","20,551","8,001","12,550","22,636","7,854","14,782","29,930","7,518","22,412","26,180","6,509","19,671","23,944","5,552","18,392","29,351",80,輸送用容器
81,取合せ品,"5,296,268","3,056,552","2,239,716","388,704","221,193","167,511","401,718","228,416","173,302","485,126","282,185","202,941","482,994","272,874","210,120","425,191","241,651","183,540","492,730",81,取合せ品
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,
