,,,,,,,,,,,,,,,(単位：トン）
　　　２月　,"6,882,062","2,256,917","4,625,145","3,591,864","1,041,631","2,550,233","3,453,484","989,585","2,463,899","3,290,198","1,215,286","2,074,912","894,595","461,475","433,120"
,93.0%,96.4%,91.5%,90.4%,99.9%,87.0%,89.8%,99.4%,86.5%,96.1%,93.6%,97.6%,107.1%,104.0%,110.7%
　　　３月　,"7,912,306","2,506,137","5,406,169","4,196,241","1,092,793","3,103,448","4,059,024","1,055,130","3,003,894","3,716,065","1,413,344","2,302,721","1,006,950","515,700","491,250"
,103.7%,95.2%,108.2%,109.5%,95.5%,115.5%,110.2%,94.2%,117.1%,97.9%,95.0%,99.7%,96.7%,93.8%,100.0%
　　　４月　,"7,605,967","2,438,169","5,167,798","4,200,122","1,174,212","3,025,910","3,997,223","1,124,826","2,872,397","3,405,845","1,263,957","2,141,888","954,780","475,065","479,715"
,97.0%,96.0%,97.5%,98.9%,101.4%,98.0%,100.0%,102.8%,98.9%,94.7%,91.4%,96.9%,99.5%,95.5%,103.7%
　　　５月　,"6,869,001","2,064,816","4,804,185","3,814,020","904,827","2,909,193","3,669,077","868,294","2,800,783","3,054,981","1,159,989","1,894,992","775,525","423,650","351,875"
,91.6%,88.5%,93.1%,91.6%,84.9%,93.9%,91.6%,84.4%,94.1%,91.7%,91.4%,91.9%,97.1%,100.0%,93.8%
　　　６月　,"7,513,819","2,484,201","5,029,618","4,134,598","1,162,097","2,972,501","3,989,472","1,108,206","2,881,266","3,379,221","1,322,104","2,057,117","924,995","481,575","443,420"
,96.8%,95.7%,97.4%,98.7%,95.0%,100.2%,99.5%,95.8%,101.0%,94.7%,96.3%,93.6%,97.3%,97.0%,97.6%
　　　７月　,"7,921,074","2,508,693","5,412,381","4,364,836","1,106,244","3,258,592","4,239,659","1,066,185","3,173,474","3,556,238","1,402,449","2,153,789","937,670","487,515","450,155"
,103.1%,103.1%,103.1%,104.9%,98.7%,107.3%,105.2%,98.1%,107.9%,100.9%,106.9%,97.4%,98.9%,102.1%,95.6%
　　　８月　,"6,984,703","2,150,017","4,834,686","3,936,542","969,714","2,966,828","3,759,829","905,808","2,854,021","3,048,161","1,180,303","1,867,858","870,330","453,675","416,655"
,94.8%,93.6%,95.4%,94.4%,87.5%,96.9%,93.7%,84.9%,96.9%,95.3%,99.2%,93.0%,94.0%,95.4%,92.6%
　　　９月　,"7,247,832","2,324,755","4,923,077","4,150,213","1,097,249","3,052,964","4,000,361","1,084,229","2,916,132","3,097,619","1,227,506","1,870,113","861,195","455,080","406,115"
,96.5%,97.5%,95.9%,98.3%,96.5%,99.0%,98.0%,100.7%,97.0%,94.0%,98.5%,91.3%,95.7%,96.2%,95.0%
　　１０月　,"7,199,541","2,331,902","4,867,639","3,988,032","1,071,150","2,916,882","3,821,027","985,054","2,835,973","3,211,509","1,260,752","1,950,757","915,835","476,270","439,565"
,89.5%,91.8%,88.4%,91.8%,93.6%,91.2%,91.4%,89.2%,92.1%,86.8%,90.3%,84.6%,92.8%,89.6%,96.6%
　　１１月　,"7,418,059","2,335,105","5,082,954","4,162,290","1,075,481","3,086,809","3,993,999","1,024,900","2,969,099","3,255,769","1,259,624","1,996,145","901,690","471,965","429,725"
,93.0%,97.5%,91.1%,94.7%,100.8%,92.7%,93.5%,98.6%,91.9%,91.0%,94.8%,88.7%,102.3%,103.4%,101.1%
　　１２月　,"7,258,417","2,460,396","4,798,021","4,101,623","1,233,963","2,867,660","3,960,971","1,172,632","2,788,339","3,156,794","1,226,433","1,930,361","886,235","443,695","442,540"
,94.2%,102.2%,90.6%,98.6%,105.4%,96.0%,98.4%,104.4%,96.1%,89.1%,99.1%,83.6%,98.5%,97.4%,99.6%
,,,,,,,,,,,,,,,
（注）下段：前年同月比,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
