地区一覧（区市別時系列順）,,,"※

",「促」は市街地再開発促進区域、「再」は再開発等促進区を定める地区計画、「特」は都市再生特別地区。また、都市計画決定年月日の（）書きは市街地再開発事業の未都決地区の場合の高度利用地区等の都市計画決定告示日を示します。地区計画と都市再生特別地区については実際に再開発の内容に即して計画内容が定められた時点の告示日を記載しています。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  区市名,番号,地　区　名,施行者,施行区域,区域面積,,都市計画決定,事業認可,権利変換,工事完了公告,敷地面積,延べ面積,建蔽率,容積率,階数,主要用途,住宅建設の目標,,R5.10.31,
,,,,,（ｈａ）,※,年月日,年月日,期日,年月日,（㎡）,（㎡）,（%）,（%）,,,戸数,面積,の状況,
"千代田区
千代田区,11,淡路町二丁目西部,組合,千代田区神田淡路町二丁目地内,2.2 ,特,H19.4.6,H20.6.16,H21.9.27,H25.2.26,"10,416","129,000",70.0%,990.0%,地上41階／地下3階(北街区),住宅、事務所、店舗、駐車場、コミュニティ施設、機械室等,330,"37,800",完了,
,,,,,,,,,,H25.4.30,663,"3,730",80.0%,550.0%,地上8階／地下1階（南街区）,保育所、福祉施設、機械室等,,,,
千代田区,12,飯田橋駅西口,組合,千代田区富士見二丁目地内,2.5 ,再,H20.10.16,H22.4.12,H23.1.4,H26.5.20,"16,710","193,680",60.0%,930.0%,"地上30階／地下2階（業務・商業棟）
地上40階／地下2階（住宅棟）
地上3階（教会棟）",住宅、事務所、店舗、教会、駐車場等,480,"63,000 ",完了,
千代田区,13,大手町一丁目第２,個人,千代田区大手町一丁目地内,1.4 ,特,H21.3.6,H21.3.24,H22.4.1,H24.10.1,"14,100","242,400",67.0%,1570.0%,地上35階／地下４階,事務所、店舗、駐車場等,－,－,完了,
千代田区,14,大手町一丁目第３,個人,千代田区大手町一丁目地内,1.1 ,特,H24.12.19,H25.11.28,H26.4.1,H28.4.1,"11,172","207,577",64.0%,1650.0%,"地上31階／地下4階（事務所棟）
地上18階／地下3階（宿泊施設棟）",事務所、宿泊施設、駐車場等,－,－,完了,
千代田区,15,大手町二丁目,個人,千代田区大手町二丁目地内,2.0 ,特,H25.6.17,H25.8.30,H26.3.31,H30.8.1,"19,900","354,300",70.0%,1570.0%,地上35階／地下3階,事務所、店舗、駐車場等,－,－,完了,
千代田区,16,神田練塀町,組合,"千代田区神田練塀町及び
神田松永町各地内",0.5 ,,H26.1.27,H27.6.23,H28.12.2,R1.8.8,"2,530","30,799",64.3%,1000.0%,地上21階／地下2階,住宅、店舗、事務所等,30,3400,完了,
千代田区・中央区,17,大手町二丁目常盤橋,個人,千代田区大手町二丁目及び中央区八重洲一丁目地内,3.1 ,特,H28.4.19,H28.9.29,"H29.3.27
R3.6.30",－,"31,400 ","740,000 ",70.0%,1860.0%,"地上40階/地下5階（A棟）
地上63階/地下4階（B棟）
地下4階（C棟）
地上9階/地下3階（D棟）",事務所、店舗、ホテル、ホール、変電所、下水ポンプ場、展望施設、カンファレンス等,－,－,事業中,
千代田区,18,内神田一丁目,個人,千代田区内神田一丁目地内,1.0 ,特,R2.9.14,R3.2.19,R3.7.1,－,"5,100 ","85,173 ",65.0%,1400.0%,地上25階/地下4階,事務所、店舗、ビジネス支援施設、駐車場等,－,－,事業中,
千代田区,19,神田小川町三丁目西部南,組合,千代田区神田小川町三丁目の一部,0.6 ,,R3.4.6,R5.5.16,－,－,"2,400","30,300",64.0%,1019%,地上22階/地下2階,住宅、事務所、店舗等,110,"12,300",事業中,
千代田区,20,飯田橋駅東,組合,千代田区飯田橋三丁目地内,0.7 ,,R3.6.18,R4.10.12,－,－,"3, 695","46,565",62.0%,1100.0%,地上26階/地下2階,事務所、店舗、公益施設、住宅等,－,－,事業中,
千代田区,21,内幸町一丁目街区南,個人,千代田区内幸町一丁目地内,2.0 ,再,R3.11.15,R4.8.10,R4.12.27,－,"【A,B,C棟】約18,600","【A,B,C棟】約249,200","【A,B,C棟】85％","【A,B,C棟】1,340%","【A棟】地上46階／地下3階
【B棟】地上1階／地下4階
【C棟】地上2階","【A棟】事務所、商業、ホテル、ウェルネス施設、駐車場等
【B棟】機械室、監視室、事務室、会議室
【C棟】店舗等",－,－,事業中,
千代田区,22,富士見二丁目３番,組合,千代田区富士見二丁目地内,0.5 ,再,R4.10.20,－,－,－,"A敷地：4,100
B敷地：180","A敷地：45,000
B敷地：1,200","A敷地：70％
B敷地：75％","A敷地：850％
B敷地：500％",－,"A敷地：事務所、住宅、店舗、駐車場等
B敷地：事務所等",－,－,－,
中央区,1,勝どき一丁目,個人,中央区勝どき一丁目の一部,1.0 ,促,H2.1.26,H4.2.10,H5.5.28,H8.3.1,"2,903","20,425",67.4%,599.0%,地上16階／地下2階,住宅、店舗、事務所、駐車場,－,－,完了,
中央区,2,箱崎,組合,中央区日本橋箱崎町の一部,0.4 ,,H2.3.30,H2.12.17,H5.3.30,H8.3.15,"2,819","24,805",46.6%,800.0%,"地上17階／地下2階（事務所棟）
地上14階／地下1階（住宅棟）",住宅、店舗、事務所、中水道施設、駐車場,60,"2,900",完了,
中央区,3,晴海一丁目（東）,機構,中央区晴海一丁目の一部,4.8 ,再,H4.6.1,H5.7.15,H6.3.23,H13.10.5,"21,700","252,200",85.0%,1037.0%,地上44階／地下4階（1-1街区）,住宅、店舗、事務所、公益施設、駐車場,"1,800","161,000",完了,
,,,,,,,,,,H8.9.5,"10,900","84,200",78.0%,622.0%,地上50階／地下2階（２街区）　,住宅、広域給水所、駐車場,,,,
,,,,,,,,,,H9.4.7,"8,500","38,800",79.0%,392.0%,地上18階／地下1階（3-1街区）,住宅、駐車場,,,,
中央区,4,晴海一丁目（西）,組合,,5.2 ,,,H5.7.15,H6.1.26,H13.10.1,"39,570","273,800",74.0%,616.0%,地上39階／地下4階（1-1街区）,店舗、事務所、展示施設、工場、変電所、駐車場,,,完了,
,,,,,,,,,,,70,100,71.0%,143.0%,地上2階（1-2街区）,派出所,,,,
,,,,,,,,,,H8.11.30,"4,200","23,000",75.0%,461.0%,地上23階（２街区）,住宅、店舗、駐車場,,,,
中央区,5,月島駅前,組合,中央区月島二丁目の一部,0.9 ,再,H9.7.11,H10.3.6,H11.7.19,H14.6.11,"5,680","57,026",60.0%,775.0%,地上38階／地下3階,住宅、店舗、公益施設、駐車場,450,"44,000",完了,
中央区,6,日本橋浜町三丁目西部,組合,中央区日本橋浜町三丁目の一部,1.8 ,再,H11.8.27,H13.2.21,H14.7.10,H17.8.31,"8,800","98,440",70.0%,890.0%,地上47階／地下2階,住宅、店舗、事務所、作業所、駐車場,550,"52,200",完了,
中央区,7,日本橋人形町一丁目,組合,中央区日本橋人形町一丁目地内,0.6 ,,H12.10.10,H13.10.2,H16.4.5,H19.10.2,"3,244","38,029",62.0%,892.0%,"地上39階／地下1階（Ａ街区）
地上3階／地下1階（Ｂ街区）",住宅、店舗、駐車場,340,"24,000",完了,
中央区,8,晴海三丁目西,機構,中央区晴海三丁目の一部,4.2 ,再,H15.1.31,H18.1.24,H18.8.29,"(A1)H21.12.17
(A2)H27.10.30
(A3)H27.10.30","21,800","260,400",70.0%,約790％,地上52階／地下1階（A街区）,住宅、駐車場,"2,600","168,500",完了,
,,,,,,,,,,(B)H27.10.30,"6,100","42,100",50.0%,約400％,地上33階／地下2階（B街区）,住宅、駐車場,,,,
,,,,,,,,,,"(C1)H21.10.30
(C2)H30.2.21","2,200","9,400","60%(C1)
70%(C2)","360％(C1)
400％(C2)","地上11階／地下1階(C1)
地上6階／地下1階(C2)","宿泊施設、駐車場(C1)
医療施設、駐車場(C2)",,,,
,,,,,,,,,,(D)H25.11.15,"1,900","9,700",50.0%,約500％,地上11階／地下1階（D街区）,事務所、駐車場,,,,
中央区,9,勝どき六丁目,会社,中央区勝どき六丁目地内,4.3 ,再,H16.3.1,H16.11.5,H16.12.17,H20.1.31,"29,700","383,000",70.0%,960.0%,地上58階／地下1階,住宅、店舗、駐車場,"2,550","210,700",完了,
中央区,10,勝どき駅前,機構,中央区勝どき一丁目の一部,1.7 ,再,H16.4.22,H18.1.24,H18.12.15,H22.11.26,"6,350","87,500",70.0%,1000.0%,地上55階／地下2階,住宅、店舗、事務所、公益施設、駐車場,750,"68,800",完了,
中央区,11,新川二丁目,個人,中央区新川二丁目,0.2 ,促,H20.1.28,H20.11.14,H21.3.27,H23.11.30,978,"9,657",55.0%,792.0%,地上20階／地下1階,住宅、事務所、駐車場,－,－,完了,
中央区,12,月島一丁目3､4､5番,組合,中央区月島一丁目地内,1.0 ,再,H20.12.17,H22.5.21,H23.9.3,H27.10.30,"5,687","83,835",66.0%,1021.0%,地上53階／地下2階,住宅、店舗、医療施設、公益施設、駐車場等,750,"74,700 ",完了,
,,,,,,,,,,,613,"3,504",59.0%,433.0%,地上12階／地下1階,住宅、駐車場,,,,
中央区,13,湊二丁目東,組合,中央区湊二丁目地内,0.5 ,,H20.12.17,H24.10.17,H26.8.16,H29.11.30,"3,683","44,959",57.0%,850.0%,地上36階／地下1階（B街区）,住宅、工場、店舗（B街区）,370,"49,400",完了,
,,,,,,,,,,H28.10.31,726,"4,095",80.0%,438.0%,地上10階／地下1階（C１街区）,住宅、公共公益施設（B街区）,,,,
中央区,14,京橋二丁目西,組合,中央区京橋二丁目地内,1.0 ,特,H21.6.22,H23.7.12,H24.12.14,H28.10.31,"7,990","119,040",74.0%,1330.0%,"地上32階／地下3階（再開発棟）
地上9階／地下2階（明治屋棟）",事務所、店舗、公共公益施設、駐車場,－,－,完了,
中央区,15,勝どき五丁目,組合,中央区勝どき五丁目地内,1.9 ,再,H22.2.5,H23.10.14,H25.1.12,"H28.12.22
(A街区)
H28.12.27
(B街区)","1,343","2,105 ",45.0%,109.0%,地上6階（A街区）,共同住宅、公益施設,"1,300","140,000",完了,
,,,,,,,,,,,"10,878","161,623 ",54.0%,1069.0%,地上53階／地下2階（B-1街区）,共同住宅、店舗,,,,
,,,,,,,,,,,851,"1,162 ",42.0%,136.0%,地上5階（B-2街区）,事務所、寄宿舎,,,,
中央区,16,銀座六丁目１０,組合,中央区銀座六丁目地内,1.4 ,特,H23.12.19,H24.12.12,H25.6.21,H29.1.31,"9,080","148,700",98.2%,1342.0%,地上13階／地下6階,店舗、事務所、駐車場,－,－,完了,
中央区,17,日本橋二丁目,組合,中央区日本橋二丁目地内,2.6 ,特,H23.12.19,H25.4.12,H26.3.15,"H30.1.31
（A街区）","2,991 ","60,138 ",90.0%,1516.0%,地上27階／地下5階（A街区）,事務所、店舗（Ａ街区）,－,－,完了,
,,,,,,,,,,"H31.2.28
（Ｂ街区）","8,364 ","80,580 ",92.0%,954.0%,地上8階／地下3階（B街区）,店舗（Ｂ街区）,－,－,,
,,,,,,,,,,"H30.6.30
（C・Ｄ街区）","6,024 ","148,062 ",99.0%,1988.0%,地上32階／地下5階（C街区）,事務所、店舗（Ｃ街区）,－,－,,
,,,,,,,,,,,265 ,297 ,61.0%,112.0%,地上1階／地下1階（D街区）,倉庫（Ｄ街区）,－,－,,
中央区,18,月島一丁目西仲通り,組合,中央区月島一丁目地内,0.7 ,,H25.2.28,H26.12.19,H28.12.28,R2.10.31,"5,683","53,694",60.0%,666.0%,地上32階／地下１階,店舗、住宅、駐車場等,490,"49,070",完了,
中央区,19,日本橋室町三丁目,組合,中央区日本橋室町三丁目地内,2.1 ,再,H25.9.25,H26.5.15,H27.2.21,"H31.3.31
（Ａ街区）
H31.4.26
（B街区）","11,480（A街区）
1,390（B街区）","166,730（A街区）
3,090（B街区）"," 75%（A街区）
 69%（B街区）"," 1180%（A街区）
 200%（B街区）","地上26階／地下3階（Ａ街区）
地上5階（Ｂ街区）","商業、事務所、駐車場（Ａ街区）
公共公益施設、駐車場（Ｂ街区）",－,－,完了,
中央区,20,勝どき東,組合,中央区勝どき二丁目及び四丁目各地内,3.7 ,再,H26.6.16,H27.11.20,H30.3.7,－,"12,015（A１棟）
10,710（A２棟）
1,000（A３棟）
3,780（B棟）","180,830（A１棟）
138,110（A２棟）
1,190（A３棟）
52,160（B棟）","36%（A１棟）
45%（A２棟）
49%（A３棟）
56%（B棟）","1,070%（A１棟）
950%（A２棟）
100%（A３棟）
990%（B棟）","地上58階／地下3階（A1棟）
地上45階／地下2階（A2棟）
地上3階（A3棟）
地上29階／地下1階（B棟）","住宅、事務所、店舗、公共公益、
消防署、駐車場　等","3,020","230,000",事業中,
中央区,21,東京駅前八重洲一丁目東Ａ,組合,中央区八重洲一丁目地内,0.1 ,特,H27.9.18,R4.2.9,R5.1.18,－,"1,282 ","12,160 ",94%,900%,地上10階／地下2階,事務所、店舗　等,－,－,事業中,
中央区,22,東京駅前八重洲一丁目東Ｂ,組合,中央区八重洲一丁目地内,1.3 ,特,H27.9.18,H31.1.11,R2.6.30,－,"10,600 ","225,200 ",約79%,約1760%,地上51階／地下4階,事務所、店舗、カンファレンス、医療施設、バスターミナル、駐車場　等,－,－,事業中,
中央区,23,八重洲二丁目北,組合,中央区八重洲二丁目１番及び２番の一部、３番,1.5 ,特,H27.9.18,H29.4.19,H30.1.19,R4.8.31,"12,390（A-1）
1,044（A-2）","287,196(A-1)
5,853(A-2)","88%(A-1)
71%(A-2)","1,819%(A-1)
399%(A-2)","地上45階／地下4階（A-1）
地上7階／地下2階（A-2）","事務所、店舗、宿泊施設、教育施設、バスターミナル　等(A-1)
事務所、店舗、子育て支援施設　等（A-2）",－,－,完了,
,,,,,,,,,,,,,,,,,,,,
中央区,24,晴海五丁目西,個人,晴海五丁目地内,18.0 ,再,H27.12.17,H28.4.22,H28.5.25,－,"133,940 ","670,320 ","約29%（5－3街区）
約33%（5－4街区）
約35%（5－5街区）
約31%（5－6街区）
約62%（5－7街区）","約297%（5－3街区）
約300%（5－4街区）
約394%（5－5街区）
約396%（5－6街区）
約169%（5－7街区）",－,住宅、保育所、老人ホーム、店舗,5650,－,事業中,
千代田区・中央区,25,大手町二丁目常盤橋,個人,千代田区大手町二丁目及び中央区八重洲一丁目地内,3.1 ,特,H28.4.19,H28.9.29,"H29.3.27
R3.6.30",－,"31,400 ","740,000 ",70.0%,1860.0%,"地上40階/地下5階（A棟）
地上63階/地下4階（B棟）
地下4階（C棟）
地上9階/地下3階（D棟）",事務所、店舗、ホテル、ホール、変電所、下水ポンプ場、展望施設、カンファレンス等,－,－,事業中,
中央区,26,豊海,組合,中央区豊海町及び勝どき六丁目各地内,2.0 ,再,H29.8.25,R2.6.30,R3.6.28,－,"15,901","226,121 ",約39%,約1000%,地上53階／地下１階,住宅、店舗、公益施設、駐車場等,"2,150 ","217,500 ",事業中,
中央区,27,八重洲二丁目中,組合,中央区八重洲二丁目地内,2.2 ,特,H29.9.12,R3.10.19,R5.4.6,－,"19,563","388,650 ",約80%,約1670%,地上43階/地下3階,事務所、店舗、サービスアパートメント、劇場、インターナショナルスクール、バスターミナル等,－,－,事業中,
中央区,28,月島三丁目南,組合,中央区月島三丁目地内,1.0 ,,H30.2.28,R2.11.5,R4.12.2,－,"5,640(A敷地)
935（B敷地）","76,299(A街区)
1,225(B街区)","50%(A街区)
66%(B街区)","935%(A街区)
124%(B街区)","地上48階／地下1階（A街区）
地上2階(B街区)　","住宅、店舗、駐車場等(A街区)
店舗、子育て支援施設等（B街区）",750 ,"71,520 ",事業中,
中央区,29,日本橋一丁目中,組合,中央区日本橋一丁目地内,3.0 ,特,H30.3.16,H30.12.14,R2.5.29,－,"1,3７0（A街区）
2,060（B街区）
15,560（C街区）","5,200（A街区）
6,600（B街区）
373,700（C街区）","88%（A街区）
53%（B街区）
78%（C街区）","350%（A街区）
220%（B街区）
1,950%（C街区）","地上4階／地下1階（A街区）
地上7階／地下2階（B街区）
地上52階／地下5階（C街区）",店舗、事務所、住宅、カンファレンス施設、ビジネス支援施設、ホテル、サービスアパートメント、駐車場等,－,－,事業中,
中央区,30,月島三丁目北,組合,中央区月島三丁目地内,1.5 ,再,H30.12.7,R2.8.7,R4.1.21,－,"10,076（A街区）
1,054（B-1街区）
882（B-2街区）","144,450（A街区）
1,927（B-1街区）
3,245（B-2街区）","65%（A街区）
59%(B-1街区）
63%（B-2街区）","1,000%（A街区）
158%（B-1街区）
277%（B-2街区）","地上58階／地下2階（A街区）
地上6階（B-1街区）
地上7階（B-2街区）","住宅、店舗、保育所、デイサービス等（A街区）
グループホーム、店舗等（B-1街区）
住宅等（B-2街区）",－,－,事業中,
中央区,31,日本橋室町一丁目,組合,中央区日本橋室町一丁目地内,1.1 ,特,R1.10.11,R4.6.27,－,－,"4,800（A街区）
430（B街区）
240（C街区）
1,360（D街区）","115,470(A街区)
650(B街区)
20(C街区)
20(D街区)","87％(A街区)
58％(B街区)
9％(C街区)
2％(D街区)","1,950％(A街区)
130％(B街区)
9％(C街区)
2％(D街区)","地上33階/地下4階(A街区)
地上3階(B街区)
地上1階(C街区)
地上1階(D街区)",店舗、事務所、住宅、駐車場等,－,－,事業中,
中央区,32,八重洲一丁目北,組合,中央区八重洲一丁目地内,1.6 ,特,R1.10.11,R3.11.30,R5.9.29,－,"7,557（南街区）
1,702（北街区）","185,508（南街区）
1,036（北街区）","87%（南街区）
52%（北街区）","2,030%（南街区）
60%（北街区）","地上44階/地下3階（南街区）
地上2階（北街区）","事務所、宿泊施設、高度金融人材サポート施設、店舗、寺院　等（南街区）
店舗　等（北街区）",－,－,事業中,
中央区,33,日本橋一丁目東,組合,中央区日本橋一丁目、日本橋本町一丁目、日本橋小網町各地内,3.6 ,特,R4.3.24,－,－,－,－,－,－,－,－,－,－,－,－,
中央区,34,日本橋一丁目１・２番,組合,中央区日本橋一丁目地内,0.8 ,特,R4.11.9,－,－,－,－,－,－,－,－,－,－,－,－,
中央区,35,京橋三丁目東,組合,中央区京橋三丁目地内,0.9 ,特,R5.1.13,－,－,－,－,－,－,－,－,－,－,－,－,
港区,1,赤坂・六本木,組合,港区赤坂一丁目及び六本木一丁目の各一部,5.6 ,,S54.11.10,S57.11.20,S58.8.13,S61.3.31,"41,186","360,609",55.0%,739.0%,地上37階／地下4階,住宅、店舗、事務所、ホテル、集会所、スタジオ、ホール、倉庫、駐車場,500,"48,500",完了,
港区,2,田町駅前西口,組合,港区芝五丁目の一部,0.6 ,,S63.6.16,H1.11.18,H4.1.17,H6.1.19,"3,440","32,996",69.5%,847.1%,地上15階／地下3階,店舗、事務所、駐車場,－,－,完了,
港区,3,六本木一丁目西,組合,港区六本木一・三丁目の各地内,3.2 ,再,H6.4.19,H7.10.26,H10.4.21,H14.7.4,"6,365","3,230",20.0%,50.0%,地上1階／地下1階(Ａ街区),美術館、商業施設、駐車場,290,"28,800",完了,
,,,,,,,,,,,"17,693","195,670",62.0%,1000.0%,地上43階／地下4階(Ｂ街区),住宅、商業施設、事務所、公益施設、駐車場,,,,
港区,4,六本木六丁目,組合,港区六本木六丁目及び元麻布三丁目の各地内,11.0 ,再,H7.4.28,H10.9.16,H12.2.13,（寺院棟）                                      H13.10.31　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　（上記以外）                                             H15.4.1,"6,570","24,811",57.0%,330.0%,地上12階／地下3階(Ａ街区),住宅、文化施設、情報施設、商業施設、宿泊施設、業務施設、公共公益施設,840,"118,700",完了,
,,,,,,,,,,,"57,178","545,855",68.0%,838.0%,地上54階／地下6階（Ｂ街区）,,,,,
,,,,,,,,,,,"21,032","157,580",57.0%,528.0%,地上43階／地下2階（Ｃ街区),,,,,
港区,5,白金一丁目東,組合,港区白金一丁目地内,2.5 ,再,H10.10.7,H12.11.17,H14.7.15,H17.11.28,"15,740","136,200",50.1%,686.0%,地上42階／地下3階,住宅、店舗、事務所、工場、駐車場,625,"59,200",完了,
港区,6,環状第二号線新橋・虎ノ門,都,港区新橋四丁目、西新橋二丁目、虎ノ門一・二・三丁目及び愛宕一丁目の各地内,8.0 ,再,H10.12.24,H14.10.7,H16.4.16,H23.4.25,"2,147","14,238",56.0%,498.0%,地上16階／地下2階,住宅、店舗、事務所、駐車場（Ⅰ街区）,400,"46,800",完了,
,,,,,,,,,H16.4.16,H19.4.20,"2,029","14,406",53.0%,527.0%,地上21階／地下1階,住宅、公益施設、駐車場（Ⅱ街区）,,,,
,,,,,,,,,H21.3.18,H26.5.29,"17,069","244,360",55.0%,1150.0%,地上52階／地下5階,住宅、店舗、事務所、文化・交流施設、駐車場（Ⅲ街区）,,,,
港区,7,三田小山町,組合,港区三田一丁目地内,1.1 ,,H13.7.6,H17.11.8,H19.4.13,H22.5.31,"7,500","65,430",50.0%,600.0%,地上36階／地下1階,住宅、事務所、商業施設、工場、駐車場,510,"53,900",完了,
港区,8,赤坂四丁目薬研坂北,個人,港区赤坂四・七丁目の各地内,1.0 ,,H14.4.26,H15.1.31,H15.12.28,H18.1.31,"6,888","48,104",49.0%,629.7%,地上20階／地下2階(１街区),店舗、事務所(１街区),10,"2,300",完了,
,,,,,,,,,,,757,"3,097",68.3%,288.4%,地上8階／地下1階(２街区),住宅(２街区),,,,
港区,9,赤坂四丁目薬研坂南,組合,港区赤坂四・七丁目の各地内,1.1 ,,H14.4.26,H16.10.18,H18.2.19,H21.6.24,"7,375","71,300",50.0%,657.0%,地上43階／地下2階,住宅、店舗、事務所、駐車場,500,"47,000",完了,
港区,10,三田小山町東,組合,港区三田一丁目１・７番の一部,0.9 ,,H17.1.19,H17.11.8,H18.9.4,H21.5.30,"6,900","64,600",55.0%,600.0%,地上38階／地下2階,住宅、駐車場,550,"58,000",完了,
港区,11,六本木一丁目南,組合,港区六本木一丁目７番地内,0.4 ,,H18.1.23,H19.5.10,H20.6.24,H24.8.31,"3,200","33,540",38.0%,700.0%,地上27階／地下2階,住宅、生活利便施設、駐車場等,190,"28,800",完了,
港区,12,六本木三丁目,組合,港区六本木三丁目地内,0.9 ,,H18.3.31,H19.4.19,H20.2.12,H23.11.30,"5,800","64,100",68.0%,789.0%,地上39階／地下1階,住宅、店舗、事務所、駐車場等,620,"52,500",完了,
港区,13,虎ノ門・六本木,組合,港区六本木一丁目及び虎ノ門五丁目の各地内,2.0 ,再,H19.8.2,H20.7.11,H21.2.20,H24.8.7,"15,367","143,426",47.0%,715.0%,地上47階／地下4階,住宅、店舗、事務所、駐車場,300,"57,000",完了,
,,,,,,,,,,,513,162,38.0%,32.0%,地下1階,備蓄倉庫,,,,
港区,14,浜松町一丁目,組合,港区浜松町一丁目地内,0.7 ,,H23.1.17,H24.7.11,H26 .12.18,H31.2.28,"5,165","65,700",60.0%,900.0%,地上37階／地下1階,住宅・事務所・店舗,500,"48,500",完了,
港区,15,赤坂一丁目,組合,港区赤坂一丁目地内,2.5 ,再,H23.9.12,H24.8.8,H25.9.25,H29.8.31,"16,088","178,330",44.0%,896.0%,地上38階／地下3階,事務所、住宅、店舗,30,"4,400",完了,
港区,16,六本木三丁目東,組合,港区六本木三丁目地内,2.7 ,再,H23.9.30,H24.3.23,H25.4.4,"H28.4.1
H28.10.1","（北）  1,840
（南）17,380","（北）    2,750
（南）　　207,740","（北）66%
（南）58%","（北）100%
（南）960%","地上3階／地下1階（北：商業棟）
地上40階／地下5階（南：業務棟）
地上27階／地下2階（南：住宅棟）
地上1階／地下2階（南：変電所棟）","店舗（北）
住宅、店舗、事務所、変電所、駐車場（南）",220,"27,000",完了,
港区,17,赤坂九丁目北,組合,港区赤坂九丁目地内,0.8 ,再,H25.6.17,H25.12.27,H26.11.17,H30.2.26,"4,665 ","44,443 ",40.5%,624.3%,地上44階／地下1階,住宅、公益施設、駐車場,330,"24,700",完了,
港区,18,白金一丁目東部北,組合,港区白金一丁目地内,1.7 ,再,H25.7.4,H27.4.24,H30.4.7,R5.2.1,"11,087","134,942",60.0%,820.0%,地上45階／地下１階,住宅、工場、事務所、生活利便施設,"1,200","125,000",完了,
港区,19,虎ノ門二丁目,個人,虎ノ門一丁目及び赤坂一丁目地内,2.9 ,特,H26.6.16,H26.7.15,H27.3.5,H31.4.2(病院棟),"22,500","266,100 ",70.0%,1000.0%,"地上38階／地下2階（業務棟）
地上19階／地下3階（病院棟）",事務所、店舗、病院、国際医療施設、業務・生活支援施設、災害時治療・収容施設、駐車場,－,－,事業中,
