"年月日[西暦]","地区","町丁目","面積[平方キロメートル]","昼間人口[人]","昼間人口密度[人毎平方キロメートル]","夜間人口[人]","夜間人口密度[人毎平方キロメートル]"
"20201001","麻布地区総合支所管内","麻布台2丁目","0.06","1571","26183","554","9233"
"20201001","麻布地区総合支所管内","麻布台3丁目","0.04","1199","29975","1013","25325"
"20201001","麻布地区総合支所管内","麻布十番1丁目","0.05","2573","51460","1056","21120"
"20201001","麻布地区総合支所管内","麻布十番2丁目","0.07","3354","47914","2576","36800"
"20201001","麻布地区総合支所管内","麻布十番3丁目","0.03","1503","50100","1692","56400"
"20201001","麻布地区総合支所管内","麻布十番4丁目","0.02","455","22750","495","24750"
"20201001","麻布地区総合支所管内","東麻布1丁目","0.10","3380","33800","2721","27210"
"20201001","麻布地区総合支所管内","東麻布2丁目","0.10","3011","30110","2355","23550"
"20201001","麻布地区総合支所管内","東麻布3丁目","0.04","1467","36675","856","21400"
"20201001","赤坂地区総合支所管内","元赤坂1丁目","0.09","10261","114011","310","3444"
"20201001","赤坂地区総合支所管内","元赤坂2丁目","0.72","704","978","335","465"
"20201001","赤坂地区総合支所管内","赤坂1丁目","0.12","20363","169692","623","5192"
"20201001","赤坂地区総合支所管内","赤坂2丁目","0.19","18130","95421","2841","14953"
"20201001","赤坂地区総合支所管内","赤坂3丁目","0.09","7885","87611","201","2233"
"20201001","赤坂地区総合支所管内","赤坂4丁目","0.15","10780","71867","2348","15653"
"20201001","赤坂地区総合支所管内","赤坂5丁目","0.10","13938","139380","875","8750"
"20201001","赤坂地区総合支所管内","赤坂6丁目","0.18","8166","45367","4029","22383"
"20201001","赤坂地区総合支所管内","赤坂7丁目","0.16","5646","35288","2439","15244"
"20201001","赤坂地区総合支所管内","赤坂8丁目","0.18","8575","47639","3228","17933"
"20201001","赤坂地区総合支所管内","赤坂9丁目","0.17","12878","75753","2075","12206"
"20201001","赤坂地区総合支所管内","南青山1丁目","0.15","6438","42920","2357","15713"
"20201001","赤坂地区総合支所管内","南青山2丁目","0.49","10482","21392","1988","4057"
"20201001","赤坂地区総合支所管内","南青山3丁目","0.13","5483","42177","970","7462"
"20201001","赤坂地区総合支所管内","南青山4丁目","0.20","3525","17625","2989","14945"
"20201001","赤坂地区総合支所管内","南青山5丁目","0.17","9864","58024","1211","7124"
"20201001","赤坂地区総合支所管内","南青山6丁目","0.12","3699","30825","1847","15392"
"20201001","赤坂地区総合支所管内","南青山7丁目","0.11","2095","19046","2540","23091"
"20201001","赤坂地区総合支所管内","北青山1丁目","0.16","3726","23288","1326","8288"
"20201001","赤坂地区総合支所管内","北青山2丁目","0.20","8267","41335","513","2565"
"20201001","赤坂地区総合支所管内","北青山3丁目","0.14","9370","66929","546","3900"
"20201001","高輪地区総合支所管内","三田4丁目","0.24","4068","16950","3449","14371"
"20201001","高輪地区総合支所管内","三田5丁目","0.11","3838","34891","5946","54055"
"20201001","高輪地区総合支所管内","高輪1丁目","0.25","5832","23328","6740","26960"
"20201001","高輪地区総合支所管内","高輪2丁目","0.39","15241","39080","6379","16356"
"20201001","高輪地区総合支所管内","高輪3丁目","0.45","12420","27600","4868","10818"
"20201001","高輪地区総合支所管内","高輪4丁目","0.30","10386","34620","4416","14720"
"20201001","高輪地区総合支所管内","白金1丁目","0.13","6161","47392","4111","31623"
"20201001","高輪地区総合支所管内","白金2丁目","0.15","1734","11560","2581","17207"
"20201001","高輪地区総合支所管内","白金3丁目","0.11","2835","25773","3872","35200"
"20201001","高輪地区総合支所管内","白金4丁目","0.15","2667","17780","1437","9580"
"20201001","高輪地区総合支所管内","白金5丁目","0.10","3174","31740","1599","15990"
"20201001","高輪地区総合支所管内","白金6丁目","0.12","2540","21167","3868","32233"
"20201001","高輪地区総合支所管内","白金台1丁目","0.14","7829","55921","999","7136"
"20201001","高輪地区総合支所管内","白金台2丁目","0.15","3111","20740","2739","18260"
"20201001","高輪地区総合支所管内","白金台3丁目","0.16","3465","21656","3692","23075"
"20201001","高輪地区総合支所管内","白金台4丁目","0.16","1872","11700","1882","11763"
"20201001","高輪地区総合支所管内","白金台5丁目","0.39","2689","6895","1962","5031"
"20201001","芝浦港南地区総合支所管内","芝浦1丁目","0.29","18706","64503","3245","11190"
"20201001","芝浦港南地区総合支所管内","芝浦2丁目","0.14","5745","41036","3651","26079"
"20201001","芝浦港南地区総合支所管内","芝浦3丁目","0.26","14377","55296","2031","7812"
"20201001","芝浦港南地区総合支所管内","芝浦4丁目","0.53","26472","49947","17186","32426"
"20201001","芝浦港南地区総合支所管内","海岸2丁目","0.16","2629","16431","1212","7575"
"20201001","芝浦港南地区総合支所管内","海岸3丁目","0.59","13323","22581","4221","7154"
"20201001","芝浦港南地区総合支所管内","港南1丁目","0.43","27742","64516","445","1035"
"20201001","芝浦港南地区総合支所管内","港南2丁目","0.59","51363","87056","2946","4993"
"20201001","芝浦港南地区総合支所管内","港南3丁目","0.22","5188","23582","6819","30995"
"20201001","芝浦港南地区総合支所管内","港南4丁目","0.41","10919","26632","11284","27522"
"20201001","芝浦港南地区総合支所管内","港南5丁目","0.44","3037","6902","558","1268"
"20201001","芝浦港南地区総合支所管内","台場1丁目","0.35","4849","13854","4585","13100"
"20201001","芝浦港南地区総合支所管内","台場2丁目","0.21","9910","47191","999","4757"

"国勢調査による町丁目別面積、昼夜間人口等 芝地区総合支所管内(令和2年国勢調査)","Ver202010",,,,,,
