,,,,,,,,,,,,(単位：隻、総トン、キロトン、フレートトン、TEU）,,
　　10年(1998),"3,548","92,492,582","31,015,316","13,727,514","17,287,802","2,198,686","1,854,249","344,437","729,607","309,100","1,124,642","35,337",,
　　11年(1999),"3,632","94,641,439","33,376,141","14,164,205","19,211,936","2,398,971","1,993,845","405,126","748,455","375,484","1,245,391","29,642",,
　　12年(2000),"4,208","101,823,575","36,421,434","15,015,453","21,405,981","2,638,490","2,142,698","495,792","760,739","474,419","1,381,959","21,373",,
　　13年(2001),"4,298","104,666,807","34,746,217","13,947,263","20,798,954","2,607,314","2,128,885","478,429","733,454","460,670","1,395,431","17,759",,
　　14年(2002),"4,225","105,860,300","37,112,149","15,188,182","21,923,967","2,784,474","2,349,664","434,810","842,713","415,312","1,506,951","19,498",,
　　15年(2003),"4,871","112,638,990","40,188,570","15,998,178","24,190,392","3,074,794","2,570,104","504,690","892,581","491,814","1,677,523","12,876",,
　　16年(2004),"5,161","114,386,048","42,972,096","17,448,042","25,524,054","3,358,257","2,804,161","554,096","1,018,704","512,792","1,785,457","41,304",,
    17年(2005),"5,569","121,663,426","43,280,903","17,607,442","25,673,461","3,597,588","2,962,909","634,679","1,076,522","587,349","1,886,387","47,330",,
    18年(2006),"5,579","125,745,525","42,987,216","16,644,500","26,342,716","3,695,839","3,045,761","650,078","1,100,886","614,895","1,944,875","35,183",,
    19年(2007),"5,417","126,627,585","43,421,038","16,929,104","26,491,934","3,720,462","3,057,962","662,500","1,108,466","612,073","1,949,496","50,427",,
    20年(2008),"5,180","124,303,651","42,781,656","13,147,739","29,633,917","3,727,290","2,979,037","748,253","1,019,640","709,418","1,959,397","38,835",,
    21年(2009),"5,064","118,789,185","38,227,985","11,445,589","26,782,396","3,399,269","2,698,650","700,619","875,675","684,282","1,822,975","16,337",,
    22年(2010),"5,234","122,595,349","42,818,967","12,926,218","29,892,749","3,816,127","3,031,188","784,939","973,745","764,812","2,057,443","20,127",,
    23年(2011),"5,389","123,673,313","44,694,884","12,504,008","32,190,876","4,143,553","3,154,620","988,933","941,447","971,055","2,213,173","17,878",,
    24年(2012),"5,194","120,828,104","45,302,400","12,491,321","32,811,079","4,235,264","3,210,459","1,024,805","938,032","1,010,237","2,272,427","14,568",,
    25年(2013),"5,073","120,233,824","46,618,650","12,582,224","34,036,426","4,353,393","3,290,695","1,062,698","940,826","1,054,438","2,349,869","8,260",,
    26年(2014),"4,813","113,843,519","47,066,116","12,734,744","34,331,372","4,389,854","3,288,407","1,101,447","948,834","1,090,628","2,339,573","10,819",,
    27年(2015),"4,816","115,252,878","44,930,200","12,449,847","32,480,353","4,149,507","3,131,158","1,018,349","911,563","1,005,636","2,219,595","12,713",,
    28年(2016),"4,919","122,754,598","46,178,485","12,773,235","33,405,250","4,250,647","3,208,206","1,042,441","947,635","1,033,150","2,260,571","9,291",,
    29年(2017),"5,015","125,651,243","48,151,899","12,950,374","35,201,525","4,500,302","3,400,739","1,099,563","989,439","1,085,355","2,411,300","14,208",,
    30年(2018),"5,118","130,674,067","47,981,969","12,770,411","35,211,558","4,570,702","3,414,328","1,156,374","973,542","1,143,921","2,440,786","12,453",,
平成31年(2019),"4,962","128,876,726","46,663,348","12,154,980","34,508,368","4,513,742","3,310,715","1,203,027","934,492","1,194,500","2,376,223","8,527",,
前年比（％）,97.0%,98.6%,97.3%,95.2%,98.0%,98.8%,97.0%,104.0%,96.0%,104.4%,97.4%,68.5%,,
前年比較増減,-156,"-1,797,341","-1,318,621","-615,431","-703,190","-56,960","-103,613","46,653","-39,050","50,579","-64,563","-3,926",,
（注）　貨物の単位は、昭和４２年～４４年はキロトン、昭和４５年からフレートトンに変更,,,,,,,,,,,,,,
　　　　昭和４８年からセミコンテナ船を、４９年からその他コンテナ船（コンテナ積在来船）を含む,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
