,,,,,,,,,,,(単位：トン）
61,砂糖,-,-,-,-,-,-,-,-,-,-
62,製造食品,89,900,"3,326",94,"1,415","1,102","7,848",15,122,998
63,飲料,32,-,217,-,50,57,"1,711",-,-,440
64,水,-,-,-,-,-,42,-,-,-,-
65,たばこ,-,-,-,-,-,-,-,-,-,174
66,その他食料工業品,-,-,-,-,-,-,184,-,-,-
雑工業品,,"2,475","1,794","12,838","8,469","12,555","39,789","10,957","18,834","25,614","10,969"
67,がん具,-,-,13,-,-,213,17,"1,015",30,30
68,衣服・身廻品・はきもの,-,4,416,172,571,"28,099",425,36,"17,029",427
69,文房具・運動娯楽用品・楽器,"1,505",312,"2,327",15,449,914,"1,239",314,8,641
70,家具装備品,82,29,535,150,812,"3,334","2,558",482,"1,685","1,029"
71,その他日用品,59,8,"1,258",554,66,"4,297","1,544",68,-,755
72,ゴム製品,560,"1,441",684,-,74,"2,824","5,035",45,"6,861",316
73,木製品,15,-,7,30,36,6,-,-,-,"5,267"
74,その他製造工業品,254,-,"7,598","7,548","10,547",102,139,"16,874",1,"2,504"
特殊品,,"6,441",507,"30,445","104,378","51,431","9,612","8,179","5,248","10,710","4,561"
75,金属くず,"4,749",-,"1,320",-,-,117,71,-,531,-
76,再利用資材,"1,309",-,"15,397","98,115","50,019",150,-,-,"8,892",90
77,動植物性製造飼肥料,-,-,"3,606",-,60,-,96,-,-,660
78,廃棄物,-,-,-,-,-,-,-,-,-,-
79,廃土砂,-,-,-,-,-,-,-,-,-,-
80,輸送用容器,137,477,"9,742","1,050","1,052","7,117",720,"5,000","1,141","3,077"
81,取合せ品,246,30,380,"5,213",300,"2,228","7,292",248,146,734
分類不能のもの,,-,-,-,-,-,-,-,-,-,-
