,,,,,,,,,,,,,,,,,,,(単位：トン）,,
秦皇島,"11,444","1,263","10,181",三水,"17,245","1,290","15,955",諸港（インドネシア）,"20,145","16,539","3,606",諸港(クウェート),1,1,-,フレドリクスタ,580,125,455,,
天津,"4,194","4,149",45,マカオ,"4,922","4,922",-,フィリピン,"794,434","228,226","566,208",アラブ首長国,"73,620","67,025","6,595",エゲレスン,820,-,820,,
青島,"1,958,317","197,727","1,760,590",諸港(中国),"572,140","146,932","425,208",スービックベイ,"29,173","7,004","22,169",ﾗｽｱﾙﾊｲﾏｰ,45,45,-,ハウゲスン,459,173,286,,
連雲港,"198,716","8,044","190,672",台湾,"2,191,671","597,950","1,593,721",マニラ,"511,048","118,956","392,092",シャルジャー,"7,498","7,498",-,オーレスン,"4,518",50,"4,468",,
上海,"4,531,169","772,034","3,759,135",高雄,"1,005,967","156,067","849,900",セブ,"11,776","5,947","5,829",ドバイ,"3,220","2,841",379,トロムセ,152,75,77,,
仙頭,"26,533","2,768","23,765",基隆,"351,262","193,264","157,998",ダバオ,"10,982","5,878","5,104",アブダビ,393,351,42,フローラ,475,-,475,,
黄埔,"198,847","109,718","89,129",台中,"345,171","118,983","226,188",カガヤン,"12,625",171,"12,454",ハウルファカン,45,45,-,ラビック,15,15,-,,
湛江,"4,750",145,"4,605",台東,30,30,-,バタンガス,"7,258","7,210",48,ジェベルアリ,"62,084","56,182","5,902",ヘレト,"1,980",-,"1,980",,
南通,"29,936","2,974","26,962",台北（淡水新港）,"1,485","1,485",-,ジェネラルサントス,259,169,90,ジャベルダナ,3,3,-,モーレイ,"1,821",-,"1,821",,
張家港,"115,535","2,712","112,823",諸港(台湾),"487,756","128,121","359,635",タゴロマン,855,855,-,アジマン,51,51,-,諸港(ノルウェー),"2,822",38,"2,784",,
福州,"94,315","8,569","85,746",ベトナム,"3,040,459","837,763","2,202,696",カビテ,"1,369","1,369",-,諸港（アラブ首長国）,281,9,272,スウェーデン,"85,573","10,400","75,173",,
寧波－舟山,"1,073,249","443,110","630,139",ハイフォン,"1,066,958","360,458","706,500",マニラサウスハーバー,"131,631","31,091","100,540",オマーン,"2,783","1,838",945,イェブレ,"23,831",20,"23,811",,
温州,"4,530",358,"4,172",ダナン,"63,457","12,163","51,294",諸港（フィリピン）,"77,458","49,576","27,882",マスカット,16,16,-,ストックホルム,803,599,204,,
煙台,"392,878","6,476","386,402",ホーチミン及びカトライ,"644,936","125,983","518,953",カンボジア,"88,341","7,852","80,489",スハール,"2,684","1,739",945,ノルコッピング,"5,853",8,"5,845",,
厦門,"761,864","35,700","726,164",クイニヨン,"1,570",30,"1,540",プノンペン,"39,251",663,"38,588",諸港(オマーン),83,83,-,ゴーセンブルグ,"32,729","7,137","25,592",,
北海,384,314,70,ヴンタウ,"28,812","6,871","21,941",コンポンソム,"5,715",13,"5,702",イスラエル,"11,922","6,600","5,322",ヘルシンブボルイ,"16,327","2,246","14,081",,
広州,"5,409","5,394",15,カイラン,45,-,45,シアヌークヴィル,"40,929","7,054","33,875",ハイファ,"4,589","1,886","2,703",マルメ,11,11,-,,
海口,"7,778",173,"7,605",ハノイ,"4,303","4,303",-,諸港（カンボジア）,"2,446",122,"2,324",アシドッド,"7,288","4,669","2,619",ピチオ,"5,490",-,"5,490",,
江門,"6,940",182,"6,758",フーミ,"10,001","10,001",-,ミャンマー,"65,122","9,384","55,738",諸港(イスラエル),45,45,-,シェレフテオ,1,1,-,,
南京,"187,368","26,444","160,924",カイメップ,"795,160","82,806","712,354",ヤンゴン,"61,862","6,124","55,738",ヨルダン,733,693,40,諸港(スウェーデン),528,378,150,,
泉州,181,1,180,諸港(ベトナム),"425,217","235,148","190,069",諸港(ミャンマー),"3,260","3,260",-,アカバ,318,289,29,デンマーク,"10,480","2,510","7,970",,
梧州,673,305,368,タイ,"3,078,895","810,604","2,268,291",インド,"465,498","361,374","104,124",諸港(ヨルダン),415,404,11,コペンハーゲン,"1,448","1,150",298,,
武漢,"48,004","17,910","30,094",バンコク,"307,587","86,115","221,472",カルカッタ,"35,685","25,926","9,759",シリア・アラブ,55,55,-,フレゼレグスハウン,4,4,-,,
安慶,"1,727",45,"1,682",ソンクラー,"35,521","28,285","7,236",ビシャカパトナム,"7,061","4,684","2,377",ラタキア,34,34,-,オールフス,"8,233",916,"7,317",,
赤湾,"4,816",-,"4,816",レムチャバン,"2,589,451","563,927","2,025,524",チェンナイ,"66,238","55,384","10,854",タルトス,21,21,-,スカーン,33,-,33,,
重慶,"12,075","9,991","2,084",シーラーチャー,990,990,-,ツチコリン,"3,566",371,"3,195",レバノン,448,396,52,フレデリカ,399,373,26,,
東莞,733,733,-,諸港(タイ),"145,346","131,287","14,059",コーチン,"3,379","1,313","2,066",ベイルート,448,396,52,諸港(デンマーク),363,67,296,,
防城,510,30,480,マレーシア,"1,448,357","424,171","1,024,186",マンガロール,202,97,105,トルコ,"37,769","15,032","22,737",イギリス,"312,467","147,959","164,508",,
恵州,553,553,-,クアンタン,"18,591","3,627","14,964",ムンバイ,94,94,-,トラブゾン,292,-,292,フィリクストーエ,"16,973","6,978","9,995",,
九江,"40,258",380,"39,878",ペナン,"264,247","104,132","160,115",ハルディア,"2,775",330,"2,445",ゾングルダク,3,3,-,ロンドン,"1,021",936,85,,
南昌,"3,049",281,"2,768",ポートケラン,"916,044","239,775","676,269",ムンドラ,"57,672","36,746","20,926",イスタンブール,"5,241","2,311","2,930",グラスゴー,44,44,-,,
日照,"64,471",326,"64,145",タワウ,"7,626","4,055","3,571",ナヴァセバ,"171,102","136,496","34,606",イズミト,"7,779","5,216","2,563",マンチェスター,47,47,-,,
蛇口,"1,750,782","64,080","1,686,702",サンダカン,2,2,-,ピパバブ,"31,945","30,310","1,635",イズミル,"1,372","1,032",340,リバプール,174,114,60,,
深洲,"2,158","2,158",-,コタキナバル,"2,030","1,374",656,スーラト,48,48,-,メルシン,"4,491",807,"3,684",サザンプトン,"244,249","95,169","149,080",,
太倉,"1,262,911","187,598","1,075,313",ラブーアン,4,4,-,ハジラ,"3,817",150,"3,667",イスケンデルン,105,105,-,ベルファスト,888,143,745,,
威海,"95,913",534,"95,379",ミーリ,238,178,60,諸港(インド),"81,914","69,425","12,489",ゲムポート,"4,625","1,401","3,224",ニューカッスル,12,12,-,,
蕪湖,"4,730",202,"4,528",ビンツーロー,"1,589",8,"1,581",パキスタン,"33,199","18,611","14,588",ヤリミカ,"1,975","1,165",810,サンダーランド,"26,369","26,369",-,,
塩田,"70,579","10,062","60,517",シブ,628,151,477,カラチ,"22,379","13,585","8,794",諸港(トルコ),"11,886","2,992","8,894",ダンディー,14,14,-,,
営口,"6,040",159,"5,881",クチン,"3,818","3,173",645,カシム,"10,160","4,366","5,794",カタール,"1,951","1,107",844,サウスシールズ,649,649,-,,
鎮江,"23,051",833,"22,218",パシールグダン,"166,106","47,767","118,339",諸港（パキスタン）,660,660,-,ドーハ,153,153,-,プール,18,18,-,,
中山,"101,945","22,793","79,152",バターワーズ,64,64,-,バングラディシュ,"132,201","34,851","97,350",ウムサイド,90,-,90,グリノック,115,-,115,,
珠海,"10,138","4,726","5,412",ジョホーバル,605,605,-,チッタゴン,"128,222","30,872","97,350",諸港(カタール),"1,708",954,754,エイボンマウス,15,15,-,,
仏山,"2,747",735,"2,012",タンジュンペレパス,"59,994","13,183","46,811",諸港（バングラディシュ）,"3,979","3,979",-,キプロス,199,169,30,ブリストル,18,18,-,,
江陰,"7,916","3,034","4,882",諸港(マレーシア),"6,771","6,073",698,スリランカ,"22,326","3,666","18,660",リマソル,139,109,30,グレーンジマス,"5,462","1,664","3,798",,
南海,"12,921",524,"12,397",シンガポール,"1,412,495","225,101","1,187,394",コロンボ,"22,326","3,666","18,660",諸港（キプロス）,60,60,-,イミンガム,70,70,-,,
南沙,"257,678","124,107","133,571",シンガポール,"1,412,473","225,101","1,187,372",イラン,449,449,-,モルディヴ,99,99,-,プリマス,2,2,-,,
容奇,"6,480","2,301","4,179",諸港(シンガポール),22,-,22,諸港(イラン),449,449,-,マレ,99,99,-,諸港(イギリス),"16,327","15,697",630,,
順徳,"5,484",127,"5,357",インドネシア,"1,297,805","409,037","888,768",イラク,751,751,-,バーレーン,"3,206","2,233",973,アイルランド,"9,441","2,875","6,566",,
太平,"1,504","1,504",-,ビンタン,360,-,360,バスラ,13,13,-,マナーマ,8,8,-,ダブリン,"3,969","1,968","2,001",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
