,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
金属機械工業品,,"831,021","254,524","533,709","289,476","307,724","10,088","136,317","355,650","128,594","174,457","75,794","86,672","101,219","135,794","22,140","48,273","137,271","27,735","52,934","31,301",金属機械工業品,
28,鉄鋼,"1,145","1,588",200,"3,001",214,105,440,42,-,829,609,914,3,61,-,"2,440",62,300,"2,074",-,28,鉄鋼
29,鋼材,"13,858","6,805","2,210","10,835",820,739,"2,642","7,936","38,185","6,444","4,563","1,072","2,895",766,714,"4,394","4,612",14,"13,760",729,29,鋼材
30,非鉄金属,"5,248","7,004","1,762","2,909","1,174",216,"5,391",472,593,178,"1,159","1,783","1,039","2,169","7,740","1,881",817,30,"2,446",311,30,非鉄金属
31,金属製品,"34,115","18,917","15,842","18,433","4,321","3,945","6,799","3,557","3,701","7,389","9,873","19,220","12,889","6,085","1,713","3,798","5,373","6,089","6,470","5,531",31,金属製品
32,鉄道車両,177,249,-,-,-,-,1,-,-,-,-,-,1,12,-,-,60,-,-,3,32,鉄道車両
33,完成自動車,525,110,34,972,104,-,166,"3,885","10,004","32,861",256,"10,743",426,616,17,16,87,24,39,-,33,完成自動車
34,その他輸送用車両,100,167,76,118,9,15,97,-,83,64,53,15,24,124,41,93,30,34,36,-,34,その他輸送用車両
35,二輪自動車,"18,842",-,-,25,40,12,332,-,17,4,-,6,-,4,-,351,207,-,14,-,35,二輪自動車
36,自動車部品,"340,909","54,781","366,164","147,770","29,564",91,"16,946","52,237","4,780","74,207","2,000","32,849","4,881","16,162",4,"1,463","73,952","1,211","4,484","7,320",36,自動車部品
37,その他輸送機械,"25,348",432,"10,592",181,"1,305",158,304,"6,883",29,155,794,62,625,906,-,132,"1,074",51,-,144,37,その他輸送機械
38,産業機械,"274,330","90,374","75,842","60,454","224,365","2,366","33,786","242,690","64,046","42,500","34,020","9,457","43,513","42,807","10,263","8,848","37,312","18,063","3,980","7,527",38,産業機械
39,電気機械,"85,318","51,127","48,658","27,087","25,494","1,981","60,496","31,961","5,502","4,925","19,018","4,846","25,084","30,392","1,570","23,030","10,151",507,"13,759","5,494",39,電気機械
40,測量・光学・医療機械,"26,933","21,234","11,848","15,636","19,044",299,"5,031","5,789","1,571","4,601","3,085","3,463","5,018","35,202",49,"1,262","2,892","1,390","5,746","1,895",40,測量・光学・医療機械
41,事務用機器,"3,797","1,672",16,"1,755","1,198",53,"3,320",168,68,266,307,287,"3,971",461,29,311,478,22,-,"2,228",41,事務用機器
42,その他機械,376,64,465,300,72,108,566,30,15,34,57,"1,955",850,27,-,254,164,-,126,119,42,その他機械
化学工業品,,"93,282","352,269","24,452","97,019","80,776","75,072","100,214","31,860","26,745","50,301","82,587","37,111","46,829","48,272","27,955","53,408","18,488","34,100","26,249","40,147",化学工業品,
43,陶磁器,852,242,-,225,294,13,243,-,-,-,41,4,413,50,-,814,14,-,15,8,43,陶磁器
44,セメント,72,2,-,-,15,-,-,-,120,-,7,-,-,30,-,-,11,-,-,-,44,セメント
45,ガラス類,"4,308","12,201",468,184,"2,214",150,"1,192",15,5,98,"2,495",839,"2,000","1,907",163,"1,005","1,126",60,"5,625",660,45,ガラス類
46,窯業品,"4,472","9,470",784,"1,968","2,915",133,"3,871","8,668","10,411","1,302","5,539",601,179,"10,750",485,"1,013",722,245,"1,168",145,46,窯業品
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油
49,その他の石油,205,"2,375",-,"1,128",513,"9,712",542,-,265,335,734,196,114,46,24,"1,963",46,"6,437",154,593,49,その他の石油
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス
52,その他石油製品,284,"1,163",6,237,47,-,35,-,1,180,41,"1,786",41,10,15,121,150,30,15,45,52,その他石油製品
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス
54,石炭製品,-,75,-,-,-,-,-,"1,350",-,-,-,285,45,-,-,15,-,-,225,-,54,石炭製品
55,化学薬品,"18,454","19,900","7,858","32,127","17,818","7,329","1,784","2,373","1,089","7,047","14,480","2,739","9,705","3,804","3,398","4,297","3,312","2,507","4,988",698,55,化学薬品
56,化学肥料,240,30,6,-,9,-,-,1,-,-,61,120,15,-,510,15,1,-,870,-,56,化学肥料
57,その他化学工業品,"64,395","306,811","15,330","61,150","56,951","57,735","92,547","19,453","14,854","41,339","59,189","30,541","34,317","31,675","23,360","44,165","13,106","24,821","13,189","37,998",57,その他化学工業品
軽工業品,,"75,655","17,080","6,627","12,999","24,974","6,739","83,560","28,378","7,545","8,284","11,985","16,184","31,721","6,922","4,287","27,015","10,434","1,141","11,854","5,066",軽工業品,
58,紙・パルプ,"16,161","5,455",331,"8,173","18,394",693,"2,686","26,069","2,297","1,886",717,"8,506","4,945","2,817","2,889","5,789","5,225",916,"10,112","2,573",58,紙・パルプ
59,糸及び紡績半製品,716,415,34,442,68,3,45,251,1,80,17,15,9,230,33,1,16,-,-,45,59,糸及び紡績半製品
60,その他繊維工業品,"8,506","7,702",542,"2,196","1,496","1,705","1,643","1,126","1,700","3,780","1,465","1,180",809,830,198,"1,026",314,225,285,"1,977",60,その他繊維工業品
61,砂糖,42,-,-,-,-,-,26,30,-,-,1,-,13,-,-,151,-,-,-,-,61,砂糖
62,製造食品,"39,239","2,014","5,116","1,959","4,150","3,392","68,531",443,"2,941","2,246","9,405","3,271","22,351","2,705",800,"17,723","3,682",-,"1,420",292,62,製造食品
63,飲料,"10,655",838,603,214,866,506,"10,251",459,582,97,293,782,"2,696",340,367,"2,310","1,197",-,37,179,63,飲料
64,水,329,656,-,-,-,-,373,-,24,195,75,"2,430",868,-,-,4,-,-,-,-,64,水
65,たばこ,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,たばこ
66,その他食料工業品,1,-,1,15,-,440,5,-,-,-,12,-,30,-,-,11,-,-,-,-,66,その他食料工業品
雑工業品,,"175,143","93,901","17,509","38,176","52,634","32,217","47,150","2,750","19,755","10,209","22,101","31,182","25,967","24,575","12,993","28,473","17,878","3,274","5,140","22,180",雑工業品,
67,がん具,"7,705","5,772",3,295,269,527,"3,063",-,95,17,572,"1,696",306,121,141,"2,251","1,280",-,-,542,67,がん具
68,衣服・身廻品・はきもの,"3,843","7,410",291,"6,019","1,988","2,275","5,988",219,366,597,"7,772","14,601","2,496",595,478,"3,234",916,142,74,319,68,衣服・身廻品・はきもの
69,文房具・運動娯楽用品・楽器,"12,122","16,807",441,603,"3,460",623,"7,145",268,"5,044",572,"6,457","1,138","4,428","3,679",226,"3,122","3,699","2,388",597,978,69,文房具・運動娯楽用品・楽器
70,家具装備品,"4,694","12,868","4,613","12,306","2,310",654,"7,299",195,254,579,"1,930",716,"2,872","1,058","1,138","4,990","1,673",113,490,665,70,家具装備品
71,その他日用品,"19,936","7,920","1,208","5,085","6,130","2,609","6,524",61,"1,112","2,091",670,"2,324","6,793","5,330",691,"2,474","1,960",599,382,974,71,その他日用品
72,ゴム製品,"122,198","5,267","7,415","4,819","37,687",806,"8,349","2,007","2,310","2,014","1,612","6,529","1,426","12,648",280,"2,014","6,237",17,"1,908",140,72,ゴム製品
73,木製品,759,515,48,59,113,45,163,-,-,73,"2,193",43,89,532,2,5,20,-,-,185,73,木製品
74,その他製造工業品,"3,886","37,342","3,490","8,990",677,"24,678","8,619",-,"10,574","4,266",895,"4,135","7,557",612,"10,037","10,383","2,093",15,"1,689","18,377",74,その他製造工業品
特殊品,,"15,622","47,407","19,047","97,288","6,544","318,097","38,047",475,"169,182","31,863","51,505","67,008","8,387","4,755","129,419","17,711","5,653","118,135","51,088","41,965",特殊品,
75,金属くず,512,"3,120",-,"3,545",17,"12,453",668,60,75,"1,010","14,264","5,512",231,3,180,30,64,705,"13,923",540,75,金属くず
76,再利用資材,-,"22,105",-,"74,287",204,"293,831","26,143",-,"149,719","25,554","22,945","26,848","1,541",794,"122,521","11,221",560,"113,228","27,125","38,340",76,再利用資材
77,動植物性製造飼肥料,522,94,240,32,-,-,"1,556",45,"1,187",60,"2,059",-,45,48,"1,815",94,111,-,"1,106",-,77,動植物性製造飼肥料
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂
80,輸送用容器,"9,713","15,157","3,018","8,818","1,936",300,"5,091",292,"17,536","3,326","9,967","3,391","2,478","2,422","1,837","3,417",926,"4,188","8,343",696,80,輸送用容器
81,取合せ品,"4,875","6,931","15,789","10,606","4,387","11,513","4,589",78,665,"1,913","2,270","31,257","4,092","1,488","3,066","2,949","3,992",14,591,"2,389",81,取合せ品
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,
