,,,,,,,,,,,,,(単位：トン）,,,,,,,
59,糸及び紡績半製品,"8,966",749,"8,217",-,-,-,"26,755","4,772","21,983",422,92,330,,,,,,,
60,その他繊維工業品,"53,455","6,635","46,820",-,-,-,"156,408","34,185","122,223","18,739","2,321","16,418",,,,,,,
61,砂糖,"6,319",30,"6,289",-,-,-,"33,741",347,"33,394","1,909",-,"1,909",,,,,,,
62,製造食品,"495,128","44,238","450,890",157,37,120,"1,534,795","190,697","1,344,098","90,136","4,459","85,677",,,,,,,
63,飲料,"62,726","8,192","54,534",-,-,-,"521,262","39,525","481,737","4,083",803,"3,280",,,,,,,
64,水,"61,580",631,"60,949",-,-,-,"117,568","6,408","111,160",885,45,840,,,,,,,
65,たばこ,"4,302",86,"4,216",-,-,-,"67,191",147,"67,044",20,-,20,,,,,,,
66,その他食料工業品,"16,630",445,"16,185",210,-,210,"111,657",246,"111,411",315,-,315,,,,,,,
雑工業品,,"1,718,712","182,634","1,536,078","1,085",340,745,"5,144,841","759,315","4,385,526","707,224","24,072","683,152",,,,,,,
67,がん具,"135,527","4,391","131,136",-,-,-,"264,037","17,330","246,707","36,589","1,313","35,276",,,,,,,
68,衣服・身廻品・はきもの,"578,931","59,781","519,150",-,-,-,"2,070,871","59,698","2,011,173","361,487","2,675","358,812",,,,,,,
69,文房具・運動娯楽用品・楽器,"97,747","17,140","80,607",26,1,25,"373,128","73,055","300,073","71,409","5,728","65,681",,,,,,,
70,家具装備品,"402,869","18,474","384,395",48,48,-,"912,094","52,609","859,485","129,493","2,374","127,119",,,,,,,
71,その他日用品,"78,767","11,236","67,531",87,87,-,"254,182","92,230","161,952","24,228","1,940","22,288",,,,,,,
72,ゴム製品,"75,968","24,788","51,180",204,204,-,"569,174","324,464","244,710","17,599","3,994","13,605",,,,,,,
73,木製品,"267,408",565,"266,843",720,-,720,"438,878","5,062","433,816","41,274",150,"41,124",,,,,,,
74,その他製造工業品,"81,495","46,259","35,236",-,-,-,"262,477","134,867","127,610","25,145","5,898","19,247",,,,,,,
特殊品,,"721,899","348,871","373,028","6,653",263,"6,390","2,438,695","1,141,529","1,297,166","262,496","221,955","40,541",,,,,,,
75,金属くず,"26,252","15,215","11,037",-,-,-,"68,887","32,034","36,853","4,323","1,500","2,823",,,,,,,
76,再利用資材,"283,605","268,506","15,099",-,-,-,"886,358","865,032","21,326","201,883","201,313",570,,,,,,,
77,動植物性製造飼肥料,"229,885","6,643","223,242","6,000",-,"6,000","707,575","8,226","699,349","6,423",1,"6,422",,,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
80,輸送用容器,"145,235","30,144","115,091",405,15,390,"585,859","119,309","466,550","39,915","13,112","26,803",,,,,,,
81,取合せ品,"36,922","28,363","8,559",248,248,-,"190,016","116,928","73,088","9,952","6,029","3,923",,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
