,,,,,,,,,,,(単位：トン）,,,
47,重油,-,-,-,-,-,-,-,-,-,-,,,
48,揮発油,-,-,-,-,-,70,-,-,60,-,,,
49,その他の石油,69,870,-,180,975,"3,261","2,484",590,"1,731",-,,,
50,LNG/液化天然ガス,-,15,-,-,-,-,30,-,-,-,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,"1,680",-,-,-,,,
52,その他石油製品,692,225,150,135,342,240,200,171,"1,423",-,,,
53,コークス,-,-,930,-,-,-,-,-,-,-,,,
54,石炭製品,497,-,75,-,45,-,5,-,45,-,,,
55,化学薬品,"49,521","19,684","37,985","3,702","15,445","29,906","33,995","6,480","41,280","7,998",,,
56,化学肥料,"2,294",-,"5,551",-,465,"1,629","2,801",285,"1,461","6,200",,,
57,その他化学工業品,"139,246","259,041","33,437","27,059","68,976","130,776","180,825","15,814","137,076","40,618",,,
軽工業品,,"143,669","414,059","186,276","32,037","137,056","311,968","375,476","108,140","153,634","62,242",,,
58,紙・パルプ,"26,747","2,106","5,255","7,408","35,288","21,651","45,273","17,993","16,977","50,648",,,
59,糸及び紡績半製品,"1,755","2,074",364,365,130,"3,596","6,930",30,60,28,,,
60,その他繊維工業品,"47,136","25,691","17,758","8,936","3,468","6,010","29,229",120,"5,850","9,838",,,
61,砂糖,90,150,400,"1,530",555,180,"1,274","5,942","4,236",-,,,
62,製造食品,"54,246","376,011","159,288","12,212","49,929","157,335","156,951","28,635","82,837","1,629",,,
63,飲料,"12,704","6,812","3,106",977,"21,432","86,293","70,422","6,970","19,767",-,,,
64,水,-,30,-,93,"24,799","16,320","1,029",735,"23,635",-,,,
65,たばこ,8,-,-,516,743,"8,462","63,681",-,-,-,,,
66,その他食料工業品,983,"1,185",105,-,712,"12,121",687,"47,715",272,99,,,
雑工業品,,"1,897,582","246,843","844,214","910,430","601,449","288,040","142,224","66,048","86,236","303,766",,,
67,がん具,"55,037","21,311","8,668","160,917","188,075",914,"2,599",495,"1,296","6,459",,,
68,衣服・身廻品・はきもの,"1,259,776","64,127","636,486","285,327","201,388","169,264","19,796","3,194","23,315","120,018",,,
69,文房具・運動娯楽用品・楽器,"89,174","6,111","23,342","78,773","71,463","15,557","20,381","1,478","13,879","6,633",,,
70,家具装備品,"304,124","63,151","74,277","307,765","67,226","27,193","21,528","4,510","21,201","88,063",,,
71,その他日用品,"48,134","15,581","10,745","30,474","29,463","7,037","18,497","5,532","9,617","52,230",,,
72,ゴム製品,"31,937","67,441","37,645","6,088","13,791","34,196","20,356",453,"3,636","8,277",,,
73,木製品,"57,357","3,711","41,429","8,215","19,486","27,212","19,022","49,360",837,"5,848",,,
74,その他製造工業品,"52,043","5,410","11,622","32,871","10,557","6,667","20,045","1,026","12,455","16,238",,,
特殊品,,"137,386","127,303","59,012","73,247","33,625","42,315","38,679","115,766","276,266","51,012",,,
75,金属くず,469,"1,323",90,131,"1,999","1,206",714,"3,363","9,667",-,,,
76,再利用資材,390,-,-,-,105,"1,369",976,70,"2,239",-,,,
77,動植物性製造飼肥料,"1,983","42,150","5,212",375,"4,241","6,419","3,552","104,945","228,087",30,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,,,
80,輸送用容器,"109,171","81,721","46,897","64,234","20,061","30,636","31,594","7,242","34,447","50,713",,,
81,取合せ品,"25,373","2,109","6,813","8,507","7,219","2,685","1,843",146,"1,826",269,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,,,
