年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成25,2013,2,13114,中野区,Nakano-ku,-,-,1,548261,48767,499494,2784,8299,302,185
平成25,2013,2,13115,杉並区,Suginami-ku,1,1,1,1069627,109988,959639,5470,14398,574,361
平成25,2013,2,13116,豊島区,Toshima-ku,-,-,1,472531,45589,426942,2503,7598,243,241
平成25,2013,2,13117,北区,Kita-ku,-,-,1,552560,51829,500731,2992,8177,303,238
平成25,2013,2,13118,荒川区,Arakawa-ku,-,1,1,325714,29231,296483,2082,5748,199,102
平成25,2013,2,13119,板橋区,Itabashi-ku,1,2,1,844647,96379,748268,4955,12336,456,316
平成25,2013,2,13120,練馬区,Nerima-ku,-,1,1,1276580,105184,1171396,7266,17999,474,344
平成25,2013,2,13121,足立区,Adachi-ku,-,1,1,1390774,123765,1267009,7312,20236,598,426
平成25,2013,2,13122,葛飾区,Katsushika-ku,1,1,1,914901,100807,814094,4776,13465,539,324
平成25,2013,2,13123,江戸川区,Edogawa-ku,-,2,1,1217345,96733,1120612,6636,18973,541,414
平成25,2013,1,,市郡部,shi and gun,3,35,12,10225410,710911,9514499,42123,135738,6437,3293
平成25,2013,2,13201,八王子市,Hachioji-shi,-,14,1,1598700,92878,1505822,6071,21469,1001,355
平成25,2013,2,13202,立川市,Tachikawa-shi,-,-,1,400747,32184,368563,2047,5349,177,106
平成25,2013,2,13204,三鷹市,Mitaka-shi,-,-,-,348718,14250,334468,1651,5188,64,39
平成25,2013,2,13205,青梅市,Ome-shi,-,3,1,582645,30189,552456,3563,7005,565,182
平成25,2013,2,13206,府中市,Fuchu-shi,-,-,1,588936,48155,540781,3025,8400,194,183
平成25,2013,2,13208,調布市,Chofu-shi,-,1,1,410364,11937,398427,1861,6886,106,35
平成25,2013,2,13209,町田市,Machida-shi,-,1,1,1270104,138511,1131593,3863,15308,875,479
平成25,2013,2,13210,小金井市,Koganei-shi,-,-,-,231757,15792,215965,1148,3059,93,99
平成25,2013,2,13211,小平市,Kodaira-shi,-,-,1,406426,26540,379886,1481,4755,166,65
平成25,2013,2,13212,日野市,Hino-shi,-,2,1,510868,30805,480063,1890,7460,334,162
平成25,2013,2,13213,東村山市,Higashimurayama-shi,1,2,-,296164,19955,276209,980,3894,131,107
平成25,2013,2,13214,国分寺市,Kokubunji-shi,-,-,-,257538,15248,242290,1245,3117,79,84
平成25,2013,2,13215,国立市,Kunitachi-shi,-,-,-,175038,9005,166033,922,2240,75,83
平成25,2013,2,13218,福生市,Fussa-shi,-,-,-,158221,7486,150735,614,2175,90,34
平成25,2013,2,13219,狛江市,Komae-shi,-,-,-,155106,12676,142430,691,2484,67,83
平成25,2013,2,13220,東大和市,Higashiyamato-shi,-,1,-,244078,16662,227416,830,3469,128,115
平成25,2013,2,13221,清瀬市,Kiyose-shi,-,-,-,164485,11977,152508,511,1816,100,86
平成25,2013,2,13222,東久留米市,Higashikurume-shi,-,-,1,260820,17369,243451,1062,3427,160,113
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,-,-,1,217807,16865,200942,636,2655,126,59
平成25,2013,2,13224,多摩市,Tama-shi,-,3,1,215695,5454,210241,932,3065,92,94
平成25,2013,2,13225,稲城市,Inagi-shi,-,2,-,172359,2075,170284,871,2457,100,43
平成25,2013,2,13228,あきる野市,Akiruno-shi,-,3,1,377515,19442,358073,1345,5096,440,188
平成25,2013,2,13229,西東京市,Nishitokyo-shi,-,-,-,359889,26910,332979,1619,5121,199,75
平成25,2013,2,13303,瑞穂町,Mizuho-machi,-,1,-,198281,16639,181642,758,2206,108,53
平成25,2013,2,13305,日の出町,Hinode-machi,-,1,-,110546,4634,105912,249,1399,185,134
平成25,2013,2,13308,奥多摩町,Okutama-machi,-,-,-,110618,-,110618,360,929,194,2
平成25,2013,2,,多摩ニュータウン,Tama New Town,-,-,-,386099,51641,334458,1898,5290,555,210
平成25,2013,2,,その他,Others,2,1,-,15886,15632,254,-,19,33,25
平成25,2013,1,99999,都外,Outside Tokyo-to,3,-,-,10725,10704,21,1,17,29,20
,,,,,,,,,,,,,,,
6-5  地域別上水道施設及び付属設備 （平成21～25年度末） ,,,,,,,,,,,,,,,
WATERWORKS FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,,,
(End of Fiscal Years 2009～2013) ,,,,,,,,,,,,,,,
この表は， 都水道局の事業実績である。 区部及び多摩地区26市町に給水するほか， 武蔵野， 昭島， 羽村の 3市に分水している。 ,,,,,,,,,,,,,,,
The table shows business activities of the Bureau of Waterworks,,,,,,,,,,,,,,,
26 cities and towns in the Tama area. Water is also shared with Musashino,,,,,,,,,,,,,,,
　資料：都水道局総務部調査課　　　Source : Bureau of  Waterworks,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市郡部・都外　２:区市町村・多摩ニュータウン・その他）,,,,,,,,,,,,,,,
