年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,2009,146,1863,1968,128,1840
平成25,2013,2,13224,多摩市,Tama-shi,20,2,18,2402,247,2155,2460,236,2224
平成25,2013,2,13225,稲城市,Inagi-shi,13,5,8,1561,504,1057,1589,493,1096
平成25,2013,2,13227,羽村市,Hamura-shi,12,2,10,1230,190,1040,1235,137,1098
平成25,2013,2,13228,あきる野市,Akiruno-shi,15,3,12,1767,200,1567,1750,175,1575
平成25,2013,2,13229,西東京市,Nishitokyo-shi,26,17,9,2569,1732,837,2605,1763,842
平成25,2013,1,13300,郡部,All gun,14,2,12,1310,230,1080,1245,215,1030
平成25,2013,1,13350,島部,All islands,15,13,2,1087,987,100,678,551,127
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成21～25年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2009-2013 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
