年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成24,2012,1,13300,郡部,All gun,4883,1933,2949,83886,33215,50670,227435,90055,137381
平成24,2012,2,13303,瑞穂町,Mizuho-machi,2922,1157,1765,88304,34972,53332,230527,91298,139229
平成24,2012,2,13305,日の出町,Hinode-machi,1413,560,854,82926,32835,50091,245750,97306,148444
平成24,2012,2,13307,檜原村,Hinohara-mura,136,54,82,56686,22478,34208,149320,59210,90110
平成24,2012,2,13308,奥多摩町,Okutama-machi,412,163,249,72537,28665,43872,193115,76316,116799
平成24,2012,1,13350,島部,All islands,2357,935,1422,85916,34084,51831,170243,67539,102704
平成24,2012,2,13361,大島町,Oshima-machi,621,246,375,75636,29954,45682,151633,60047,91586
平成24,2012,2,13362,利島村,Toshima-mura,34,13,21,97993,38499,59494,161455,63431,98024
平成24,2012,2,13363,新島村,Niijima-mura,212,84,128,75822,30034,45788,172357,68273,104084
平成24,2012,2,13364,神津島村,Kozushima-mura,147,58,89,78103,30965,47138,184393,73105,111288
平成24,2012,2,13381,三宅村,Miyake-mura,252,100,151,95361,38071,57290,159621,63726,95896
平成24,2012,2,13382,御蔵島村,Mikurajima-mura,35,14,21,99465,39398,60066,180279,71410,108870
平成24,2012,2,13401,八丈町,Hachijo-machi,610,242,368,75055,29788,45267,145577,57777,87800
平成24,2012,2,13402,青ヶ島村,Aogashima-mura,26,10,16,130604,51391,79213,199449,78480,120969
平成24,2012,2,13421,小笠原村,Ogasawara-mura,421,167,254,145742,57853,87889,295470,117288,178182
,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,
21-8  地域別個人住民税負担額 (平成20～平成24年度) 21-8  INHABITANT TAX ON INDIVIDUALS LEVIED BY DISTRICT ( Fiscal Years 2008-2012 ),,,,,,,,,,,,,,
この表の住民負担額のうち特別区の区域分は都民税及び特別区民税の収入額，その他の区域分は都民税及び市町村税の収入額による。また，負担額の算出に用いた人口及び世帯数は各年度とも10月1日現在のものである。,,,,,,,,,,,,,,
The individual inhabitant tax for the ku area is revenue from the metropolitan and municipal ku inhabitant taxes， and for the other districts is revenue from the metropolitan and municipal shi， machi， mura inhabitant taxes. The populations and houshold numbers used to calculate the levied amounts are as of Oct. 1 of the fiscal years stated.,,,,,,,,,,,,,,
資料：都主税局税制部歳入課「東京都税務統計年報」Source: Bureau of Taxation， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,
