年度(和暦),Fiscal year,路線と地域,District and Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成25,2013,八高線,Hachiko Line,,,,5617,4346,1271
平成25,2013,八高線,Hachiko Line,北八王子,Kita-hachioji,,2957,2425,532
平成25,2013,八高線,Hachiko Line,小宮,Komiya,,1060,740,319
平成25,2013,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
平成25,2013,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1600,1180,420
平成25,2013,東北本線,Musashino Line,,,※,345859,184714,161145
平成25,2013,東北本線,Musashino Line,秋葉原,Akihabara,,87720,40199,47521
平成25,2013,東北本線,Musashino Line,御徒町,Okachimachi,,24672,13480,11191
平成25,2013,東北本線,Musashino Line,上野,Ueno,,66386,32189,34198
平成25,2013,東北本線,Musashino Line,鶯谷,Uguisudani,,8936,4035,4901
平成25,2013,東北本線,Musashino Line,日暮里,Nippori,,37529,20802,16727
平成25,2013,東北本線,Musashino Line,西日暮里,Nishi-nippori,,35503,22283,13220
平成25,2013,東北本線,Musashino Line,田端,Tabata,,16467,9398,7070
平成25,2013,東北本線,Musashino Line,上中里,Kami-nakazato,,2589,1636,953
平成25,2013,東北本線,Musashino Line,王子,Oji,,22290,14582,7708
平成25,2013,東北本線,Musashino Line,東十条,Higashi-jujo,,8081,5064,3018
平成25,2013,東北本線,Musashino Line,赤羽,Akabane,,32756,19093,13663
平成25,2013,東北本線,Musashino Line,尾久,Oku,,2930,1954,976
平成25,2013,山手線,Yamanote Line,,,※,994110,555713,438397
平成25,2013,山手線,Yamanote Line,大崎,Osaki,,52340,34234,18106
平成25,2013,山手線,Yamanote Line,五反田,Gotanda,,48372,28975,19397
平成25,2013,山手線,Yamanote Line,目黒,Meguro,,38886,21744,17142
平成25,2013,山手線,Yamanote Line,恵比寿,Ebisu,,48747,25965,22782
平成25,2013,山手線,Yamanote Line,渋谷,Shibuya,,138167,74103,64064
平成25,2013,山手線,Yamanote Line,原宿,Harajuku,,25866,8451,17416
平成25,2013,山手線,Yamanote Line,新宿,Shinjuku,,274122,146379,127743
平成25,2013,山手線,Yamanote Line,新大久保,Shin-okubo,,14465,6143,8322
平成25,2013,山手線,Yamanote Line,高田馬場,Takadanobaba,,73552,45633,27919
平成25,2013,山手線,Yamanote Line,目白,Mejiro,,13846,8632,5214
平成25,2013,山手線,Yamanote Line,池袋,Ikebukuro,,200878,117525,83353
平成25,2013,山手線,Yamanote Line,大塚,Otsuka,,19397,10575,8822
平成25,2013,山手線,Yamanote Line,巣鴨,Sugamo,,28138,16939,11199
平成25,2013,山手線,Yamanote Line,駒込,Komagome,,17334,10416,6918
平成25,2013,埼京線,Saikyo Line,,,※,38845,25955,12890
平成25,2013,埼京線,Saikyo Line,板橋,Itabashi,,11641,7080,4561
平成25,2013,埼京線,Saikyo Line,十条,Jujo,,13119,9151,3968
平成25,2013,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6408,4482,1926
平成25,2013,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7676,5241,2435
平成25,2013,常磐線,Joban Line,,,※,121593,86833,34760
平成25,2013,常磐線,Joban Line,三河島,Mikawashima,,3738,2550,1189
平成25,2013,常磐線,Joban Line,南千住,Minami-senju,,5836,3833,2003
平成25,2013,常磐線,Joban Line,北千住,Kita-senju,,74251,55315,18936
平成25,2013,常磐線,Joban Line,綾瀬,Ayase,,5589,3776,1813
平成25,2013,常磐線,Joban Line,亀有,Kameari,,14699,9525,5174
平成25,2013,常磐線,Joban Line,金町,Kanamachi,,17479,11834,5645
平成25,2013,総武線,Sobu Line,,,※,168367,106273,62094
平成25,2013,総武線,Sobu Line,両国,Ryogoku,,13869,8229,5640
平成25,2013,総武線,Sobu Line,浅草橋,Asakusabashi,,19465,11921,7543
平成25,2013,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6589,4842,1747
平成25,2013,総武線,Sobu Line,馬喰町,Bakurocho,,8984,6236,2748
平成25,2013,総武線,Sobu Line,錦糸町,Kinshicho,,37786,21091,16694
平成25,2013,総武線,Sobu Line,亀戸,Kameido,,20693,13229,7465
平成25,2013,総武線,Sobu Line,平井,Hirai,,11490,7718,3772
平成25,2013,総武線,Sobu Line,新小岩,Shin-koiwa,,26392,17805,8587
平成25,2013,総武線,Sobu Line,小岩,Koiwa,,23100,15202,7898
平成25,2013,京葉線,Keiyo Line,,,※,47649,29087,18562
平成25,2013,京葉線,Keiyo Line,八丁堀,Hatchobori,,11273,6904,4369
平成25,2013,京葉線,Keiyo Line,越中島,Etchujima,,1668,1090,578
平成25,2013,京葉線,Keiyo Line,潮見,Shiomi,,4146,2735,1411
平成25,2013,京葉線,Keiyo Line,新木場,Shin-kiba,,25854,15844,10010
平成25,2013,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4708,2515,2193
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT,,,,,,,,,
4-8　JRの駅別乗車人員 (平成21～25年度) ,,,,,,,,,
各駅はJRの基準により配列した。 また J R 内の乗り継ぎを除く。 乗り換え駅は主線に載せた。 ,,,,,,,,,
（単位　千人） ,,,,,,,,,
　　注 1) ※印は区部にある駅 （線） を示す。 ,,,,,,,,,
　　　  2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。 ,,,,,,,,,
　　資料：東日本旅客鉄道㈱東京支社総務部企画室 ,,,,,,,,,
4-8  NUMBER OF PASSENGERS ON EAST JAPAN RAILWAY COMPANY TRAINS ,,,,,,,,,
BY STATION ( Fiscal Years 2009～2013 ) ,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line. ,,,,,,,,,
(In thousands) ,,,,,,,,,
　　Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area. ,,,,,,,,,
2) The source is not publicizing figures for stations marked with a ○ because they are unmanned stations. ,,,,,,,,,
　　Source: East Japan Railway Company ,,,,,,,,,
