年次,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 Non-existence of facts about infringement,処理内訳 Breakdown of cases processed／侵犯事実不明確 Uncertainty of facts about infringement,処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
平成25年,2013,4,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,8,-,8,2,6,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,5,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,44,4,40,22,18,-,-,-,-,44,43,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成25年,2013,6,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,21,-,21,7,14,-,-,-,-,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,7,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,その他,Others,22,-,22,8,14,-,-,-,-,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,8,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,その他,Others,,,51,4,47,19,28,-,-,-,-,51,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,9,私人間の侵犯事件,Infringement cases among private citizens,私的制裁,Lynching,,,,,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-
平成25年,2013,10,私人間の侵犯事件,Infringement cases among private citizens,医療に関する侵犯,Infringement related to medical care,,,,,32,2,30,17,13,-,-,-,-,31,25,-,-,-,-,-,-,-,-,6,-,-,-,-,1
平成25年,2013,11,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,精神保健法関係,Related to the Mental Health Act ,,,14,2,12,7,5,-,-,-,-,14,11,-,-,-,-,-,-,-,-,3,-,-,-,1,-
平成25年,2013,12,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,13,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,施設職員によるもの,By staff of facilities,,,15,1,14,9,5,-,-,-,-,15,12,-,-,-,-,-,-,-,-,3,-,-,-,2,-
平成25年,2013,14,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,3,-,3,2,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,15,私人間の侵犯事件,Infringement cases among private citizens,村八分,Social ostracism,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,16,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,女性に関するもの,Against women,,,2,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,17,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,高齢者に関するもの,Against elderly people,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,18,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,障害者に関するもの,Against persons with disabilities,,,17,4,13,5,8,-,-,-,-,16,12,-,-,-,-,-,-,-,1,3,-,-,-,-,1
平成25年,2013,19,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,同和問題に関するもの,Related to Dowa problem,,,3,-,3,3,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成25年,2013,20,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,アイヌの人々に関するもの,Against Ainu people,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,21,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,外国人に関するもの,Against foreigners,,,10,4,6,1,4,-,-,1,-,10,6,-,-,-,-,-,-,-,2,1,-,-,-,2,-
平成25年,2013,22,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,ＨＩＶ感染者等に関するもの,Against HIV-positive patients， etc.,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,23,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,刑を終えた人に関するもの,Against ex-convicts  ,,,2,-,2,-,2,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,24,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,その他,Others,,,16,4,12,7,5,-,-,-,-,16,8,-,-,-,-,-,-,-,-,4,1,1,1,1,-
平成25年,2013,25,私人間の侵犯事件,Infringement cases among private citizens,参政権に対する侵犯,Infringement of suffrage ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,26,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,報道機関等,By media， etc. ,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,27,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,インターネット等によるもの,Via Internet， etc. ,,,132,1,131,97,34,-,-,-,-,122,103,-,17,-,-,-,-,-,-,2,-,1,-,-,10
平成25年,2013,28,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,相隣間におけるもの,Among neighbors,,,16,1,15,7,8,-,-,-,-,16,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,29,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,その他,Others,,,22,2,20,11,9,-,-,-,-,22,20,-,-,-,-,-,-,-,-,2,1,-,-,-,-
平成25年,2013,30,私人間の侵犯事件,Infringement cases among private citizens,集会，結社及び表現の自由に対する侵犯,Infringement of the freedom of gathering， association and expression,,,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,31,私人間の侵犯事件,Infringement cases among private citizens,信教の自由に対する侵犯,Infringement of the freedom of religion,,,,,3,-,3,-,3,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,32,私人間の侵犯事件,Infringement cases among private citizens,教育を受ける権利への侵犯,Infringement of the right of receiving education ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,33,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,不当労働行為,Unfair labor practice,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,34,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,労働基準法違反,Violation of the Labor Standards Act ,,,6,-,6,4,2,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,35,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,その他,Others　　,,,278,9,269,134,134,1,-,-,,272,255,-,-,-,-,-,-,-,-,17,-,-,-,-,6
平成25年,2013,36,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,自力執行,Execution by oneself,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,37,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,小公害,Small pollution,42,-,42,16,26,-,-,-,-,41,39,-,-,-,-,-,-,-,-,2,-,-,-,-,1
平成25年,2013,38,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,その他,Others,97,4,93,28,65,-,-,-,-,96,90,-,-,-,-,-,-,-,-,5,1,-,-,-,1
平成25年,2013,39,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,公害,Pollution,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,40,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,不動産,Real estate,,,6,-,6,4,2,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,41,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,,,90,2,88,44,44,-,-,-,-,86,80,-,-,-,-,-,-,-,-,6,-,-,-,1,4
平成25年,2013,42,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,27,-,27,7,20,-,-,-,-,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,43,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,5,-,5,1,4,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,44,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,17,-,17,8,9,-,-,-,-,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,45,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,11,-,11,2,9,-,-,-,-,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,46,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,その他,Others,26,-,26,9,17,-,-,-,-,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成25年,2013,47,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,セクシュアル・ハラスメント,Sexual harassment,,,22,3,19,11,8,-,-,-,-,22,19,-,-,-,-,-,-,-,-,3,-,-,-,-,-
平成25年,2013,48,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,ストーカー,Stalking,,,37,-,37,21,16,-,-,-,-,37,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,49,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,,,62,3,59,32,27,-,-,-,-,61,57,-,-,-,-,-,-,-,-,2,1,1,-,-,1
平成25年,2013,50,私人間の侵犯事件,Infringement cases among private citizens,組織，多衆の圧力による侵犯,Infringement by organizations or pressure of the masses,,,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,51,私人間の侵犯事件,Infringement cases among private citizens,交通事故,Traffic accidents,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,52,私人間の侵犯事件,Infringement cases among private citizens,犯罪被害者,Victims of crimes,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成25年,2013,53,私人間の侵犯事件,Infringement cases among private citizens,その他,Others,,,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-7  人権侵犯事件の種類別件数 （平成24， 25年） 20-7  CASES OF INFRINGEMENT ON HUMAN RIGHTS BY TYPE ( 2012 and 2013 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京法務局人権擁護部 Source: Tokyo Legal Affairs Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
