地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品 Plastic products,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
2,13111,11,大田区,Ota-ku,1628,23748,10297560,25574985,47961715,21391817,58,3,19,4,11,18,85,21,1,113,14,1,22,40,41,326,127,304,97,51,146,19,69,38,1753,103,230,32,265,274,1080,837,39,1470,283,20,408,493,427,4265,1614,4073,1581,732,2109,426,791,443,4833024,x,614416,86446,187074,405847,1550224,2345025,x,2517107,543772,x,1709762,1913164,1978294,6320148,2664988,8021623,2917655,1461653,4235255,808254,1460823,706026
2,13112,12,世田谷区,Setagaya-ku,182,2387,934151,1988283,4067633,1983036,28,-,8,1,6,6,27,12,-,3,2,-,7,-,5,13,4,8,17,4,19,5,1,6,429,-,61,5,60,35,383,172,-,47,9,-,116,-,81,136,39,78,267,92,171,103,20,83,723779,-,41916,x,119111,20139,641331,379280,-,55939,x,-,567765,-,49499,159814,59792,105518,407627,282475,199716,136721,x,82543
2,13113,13,渋谷区,Shibuya-ku,66,1189,552951,942114,1946124,966493,5,1,4,-,1,1,23,1,-,2,-,1,1,-,-,2,1,-,5,1,8,1,-,8,52,6,37,-,4,11,588,9,-,10,-,47,18,-,-,19,10,-,184,4,98,4,-,88,x,x,40361,-,x,x,1093153,x,-,x,-,x,x,-,-,x,x,-,311563,x,132219,x,-,144197
2,13114,14,中野区,Nakano-ku,102,1131,417278,641501,1438268,760194,13,2,17,-,1,2,27,3,-,-,-,1,1,-,-,9,1,6,4,4,2,2,1,6,218,16,206,-,5,31,163,49,-,-,-,5,5,-,-,98,12,84,85,48,17,8,21,60,284601,x,129836,-,x,x,152453,158384,-,-,-,x,x,-,-,86514,x,134950,174303,70041,x,x,x,103586
2,13115,15,杉並区,Suginami-ku,112,1176,453134,813116,1728769,873221,12,-,6,1,6,3,28,-,-,1,1,1,2,2,-,5,1,4,8,2,10,3,4,12,134,-,83,8,35,26,259,-,-,4,7,4,11,14,-,28,4,47,82,18,232,41,45,94,201889,-,128577,x,33526,32043,381091,-,-,x,x,x,x,x,-,61780,x,71134,81723,x,332733,57650,94040,164034
2,13116,16,豊島区,Toshima-ku,182,3296,1529393,3330985,7253039,3803508,11,-,12,1,4,13,71,5,-,7,3,2,-,-,1,10,3,3,12,2,10,2,-,10,201,-,101,13,58,124,1386,60,-,59,26,11,-,-,10,234,79,459,157,46,121,20,-,131,262135,-,107875,x,81894,148789,2339898,96317,-,38995,25309,x,-,-,x,261335,95375,2879925,285781,x,138412,x,-,285724
2,13117,17,北区,Kita-ku,345,7874,3878517,11178586,23539219,11808505,20,1,16,-,6,20,104,10,-,10,7,11,1,1,4,31,8,21,19,3,16,3,7,26,350,11,162,-,54,321,3751,580,-,65,234,93,10,5,45,331,114,235,283,34,249,60,227,660,314906,x,185344,-,76689,500065,13112277,2690190,-,32744,362393,106148,x,x,76171,608790,270463,638288,871176,32181,510678,132802,584670,2259828
2,13118,18,荒川区,Arakawa-ku,587,6502,2423612,5354758,9593302,4044056,26,2,20,2,20,45,135,9,-,34,13,26,8,3,4,89,12,25,29,5,18,2,5,55,548,53,136,29,134,397,1671,162,-,318,112,262,73,16,35,795,202,254,276,94,302,24,49,560,1203027,x,145842,x,135133,546197,2437835,265759,-,339006,110626,586300,78428,11946,32687,1032810,280309,204511,411810,157724,512675,x,122017,892408
2,13119,19,板橋区,Itabashi-ku,779,18267,8411044,20744230,38616613,17106961,46,-,21,-,13,44,246,31,1,43,5,5,9,8,11,71,14,50,69,11,23,4,15,39,1382,-,373,-,98,602,7786,701,14,501,46,51,407,825,112,711,196,732,1841,110,400,508,332,539,2595207,-,473634,-,171343,789945,12208957,2512674,x,605649,59323,35427,1149756,4765957,312086,796701,492708,1290874,5455255,297552,1020221,x,701509,979328
2,13120,20,練馬区,Nerima-ku,229,3454,1297158,3334616,6536746,3069107,30,-,23,3,11,16,29,4,-,23,1,4,4,1,2,10,2,13,13,2,18,3,4,13,758,-,155,14,136,276,468,70,-,205,4,27,44,6,179,128,36,122,172,27,216,191,31,189,1083084,-,63108,19367,283798,496250,569340,1100101,-,312068,x,43168,405978,x,x,170466,x,156905,180248,x,326575,288665,39685,220149
2,13121,21,足立区,Adachi-ku,1016,13859,5113956,18220148,32681769,13832151,61,-,59,7,53,65,89,25,2,79,23,74,10,10,14,194,39,65,25,7,22,6,22,65,1216,-,559,53,403,923,1074,1104,30,952,250,1118,269,243,222,1840,455,786,851,134,284,141,312,640,2070699,-,520801,63662,592744,1835048,1317228,2760241,x,1082765,275103,2311240,638665,1826257,646859,2538218,669043,1385461,9763781,133843,457810,x,402173,808503
2,13122,22,葛飾区,Katsushika-ku,908,10668,3912532,10025687,18116411,7744967,33,1,35,3,18,44,66,10,-,75,71,38,10,5,9,213,19,94,30,6,29,6,16,77,591,7,328,22,114,767,689,222,-,791,839,565,120,45,92,2250,262,840,377,89,539,166,165,788,2616784,x,459199,15605,80750,1899033,888855,507860,-,1239841,962117,718769,486240,82002,296120,2692027,626850,1141064,560568,92111,883102,x,271750,1160601
2,13123,23,江戸川区,Edogawa-ku,912,11024,4256474,12600278,22090848,9069448,40,-,73,5,35,45,79,11,-,60,17,17,21,32,5,200,46,101,28,7,28,2,21,39,1214,-,630,28,229,713,1094,212,-,656,203,159,242,265,82,2079,454,1479,250,79,272,33,201,450,4331831,-,639251,x,300367,2839836,1291261,444241,-,836520,224352,237621,600714,840118,351725,3734901,651494,2938295,303549,150831,434068,x,268241,613223
1,13200,,市部,All shi,2688,116703,61086522,250568871,433622055,175251567,224,24,62,10,60,47,209,52,5,147,11,3,61,16,37,270,93,310,195,230,293,100,107,122,15294,991,1172,80,1489,1192,5747,2359,83,2444,895,19,1296,541,1005,3920,4829,6309,5336,9134,14933,13937,19297,4401,35352405,14179768,1110798,94530,4913121,2130594,11894752,10021723,612337,3467776,3397418,12351,5134894,3441265,2997907,5743494,19704778,15406520,9797645,29704683,45150799,72760244,118498717,18093536
2,13201,1,八王子市,Hachioji-shi,615,17134,6918697,20193328,41747803,20822970,40,5,27,2,13,9,34,15,2,43,-,-,14,1,8,64,22,78,49,60,66,20,23,20,2357,103,342,20,144,242,1560,834,30,805,-,-,202,5,120,751,377,1876,1496,2339,1846,566,795,324,5383389,253221,397923,x,167376,482840,3218757,4580759,x,1454943,-,-,757679,x,506690,841229,443916,5403151,2591477,8466412,3230444,713012,1966596,583644
2,13202,2,立川市,Tachikawa-shi,103,3653,1443179,3561222,7032724,3412834,13,-,1,-,4,3,13,2,-,4,1,-,3,1,-,6,5,5,7,7,12,4,6,6,690,-,4,-,807,61,523,99,-,161,7,-,24,5,-,83,48,94,137,180,340,173,151,66,785767,-,x,-,3350407,53854,598951,x,-,261841,x,-,30620,x,-,80760,72943,219665,204636,188560,437562,119971,263066,236252
2,13203,3,武蔵野市,Musashino-shi,38,4380,3386473,664157,1259752,576369,6,-,-,-,-,-,7,-,-,2,-,1,1,-,-,-,1,3,6,3,4,-,1,3,59,-,-,-,-,-,102,-,-,10,-,9,17,-,-,-,10,26,69,53,56,-,3951,18,57457,-,-,-,-,-,123765,-,-,x,-,x,x,-,-,-,x,30439,93606,100710,113478,-,x,13724
2,13204,4,三鷹市,Mitaka-shi,100,4387,2474680,8049721,10073170,1951735,6,-,2,-,-,-,16,1,-,4,1,-,1,1,-,11,1,13,13,4,16,5,3,2,148,-,8,-,-,-,255,42,-,48,7,-,6,7,-,159,4,142,224,53,352,2610,297,25,149022,-,x,-,-,-,387424,x,-,75140,x,-,x,x,-,193563,x,140582,487137,103134,799579,7008635,572366,x
2,13205,5,青梅市,Ome-shi,247,9944,5296565,10024436,16486064,6257363,19,2,5,-,3,4,11,3,1,26,1,-,6,4,1,35,10,43,12,18,19,8,9,7,742,90,436,-,14,68,182,61,13,349,18,-,133,108,7,468,186,681,680,1658,773,2551,547,179,886062,x,165174,-,18000,59247,289667,143117,x,442569,x,-,344871,1303076,x,795753,267844,1023107,1463798,4185100,1515537,577618,2528122,249766
2,13206,6,府中市,Fuchu-shi,138,13108,8560277,66250437,79864564,11034701,12,3,2,-,2,1,11,1,1,5,2,-,5,-,7,14,4,7,7,12,26,10,2,4,1154,145,29,-,18,15,332,4,27,52,20,-,81,-,534,123,153,143,238,616,4703,4569,48,104,2366290,5048208,x,-,x,x,1275794,x,x,77424,x,-,434450,-,1761237,203823,284785,496363,364863,1600975,20572623,44633136,x,237513
2,13207,7,昭島市,Akishima-shi,137,8965,5011161,30943745,42839591,11954588,9,-,1,2,5,3,2,1,-,3,-,-,2,1,4,20,4,22,9,9,17,3,14,6,2183,-,4,12,102,39,16,8,-,31,-,-,345,5,34,348,26,619,137,1484,2657,166,666,83,4815341,-,x,x,337010,41097,x,x,-,41391,-,-,x,x,23943,414132,23016,2121204,138396,10545147,10255515,10292762,1722436,79043
2,13208,8,調布市,Chofu-shi,109,2536,1167623,2451698,5041431,2482041,11,1,4,-,3,4,17,2,-,4,-,-,2,1,-,6,5,4,9,9,14,4,2,7,336,64,50,-,21,44,254,18,-,45,-,-,30,13,-,115,72,52,116,102,1080,41,30,53,965862,x,64276,-,12448,75173,266669,x,-,49186,-,-,x,x,-,121515,125333,52008,129896,80424,2245863,46308,x,49225
2,13209,9,町田市,Machida-shi,161,4248,1778826,4179368,8101813,3780413,12,-,4,1,-,4,10,3,1,8,2,-,1,2,4,20,6,9,10,23,14,8,6,13,327,-,54,6,-,310,101,86,13,138,14,-,7,19,58,291,146,237,715,337,405,663,59,262,280434,-,52958,x,-,322469,102629,281902,x,184278,x,-,x,x,126726,582868,287069,795231,1402635,686706,906200,1662765,59507,301091
2,13210,10,小金井市,Koganei-shi,23,431,162125,376111,714291,323198,2,-,1,-,-,1,1,1,-,3,-,-,2,-,-,-,1,3,2,-,2,-,1,3,14,-,6,-,-,16,4,22,-,30,-,-,20,-,-,-,45,25,41,-,10,-,23,175,x,-,x,-,-,x,x,x,-,26302,-,-,x,-,-,-,x,59052,x,-,x,-,x,348315
2,13211,11,小平市,Kodaira-shi,87,4316,2112301,5406652,10486815,4885762,8,-,2,-,5,3,8,1,-,3,3,-,2,-,-,10,5,10,1,10,11,2,-,3,1253,-,26,-,38,54,141,8,-,27,805,-,44,-,-,103,218,137,30,184,148,1081,-,19,1182792,-,x,-,27416,64282,178815,x,-,27948,3316431,-,x,-,-,131228,742459,179240,x,178801,170254,x,-,14588
2,13212,12,日野市,Hino-shi,79,12471,8336078,22171733,76635483,52667204,3,2,1,-,2,3,11,1,-,3,-,-,3,1,1,2,3,5,10,8,9,5,2,4,198,173,4,-,9,22,201,371,-,212,-,-,72,6,5,20,2173,33,265,567,592,159,7371,18,492813,x,x,-,x,27700,339709,x,-,109077,-,-,189990,x,x,x,14118262,33248,399400,1216633,1437043,213360,x,19914
2,13213,13,東村山市,Higashimurayama-shi,98,3007,992507,3665139,6452968,2659247,11,1,2,1,2,2,14,7,-,6,1,-,2,-,2,8,3,7,3,9,9,2,2,4,1016,24,22,5,23,54,390,349,-,80,24,-,53,-,12,126,82,108,14,413,119,19,19,55,2983270,x,x,x,x,x,422586,878872,-,118238,x,-,x,-,x,141574,176601,163779,19650,785597,128692,x,x,184730
2,13214,14,国分寺市,Kokubunji-shi,30,908,549871,786185,2041827,1205612,-,-,2,-,-,-,5,3,-,1,-,-,-,-,-,2,-,2,4,3,2,3,-,3,-,-,13,-,-,-,60,39,-,9,-,-,-,-,-,48,-,26,41,87,11,552,-,22,-,-,x,-,-,-,101152,58960,-,x,-,-,-,-,-,x,-,x,44617,92822,x,1548393,-,90648
2,13215,15,国立市,Kunitachi-shi,25,285,110167,153659,346525,183675,5,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,3,1,4,3,2,3,52,-,-,-,-,-,4,-,-,14,-,-,-,-,-,11,-,8,87,6,35,37,14,17,55940,-,-,-,-,-,x,-,-,x,-,-,-,-,-,x,-,x,87176,x,51995,30122,x,28216
2,13218,16,福生市,Fussa-shi,49,1446,544215,1445954,3240295,1701738,4,2,1,-,-,-,5,1,-,2,-,-,2,-,2,5,1,4,5,2,5,-,6,2,310,38,6,-,-,-,532,5,-,12,-,-,80,-,11,62,8,66,64,10,80,-,147,15,394080,x,x,-,-,-,1714756,x,-,x,-,-,x,-,x,167553,x,89012,140701,x,174045,-,280676,x
