年度,Fiscal year,許可，業種1，組織及び資本金階層,Licensor， Contractor classification 1， organization and size of capital,業種2 等,Contractor classification 2 etc，,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成24,2012,総合工事業,General construction work,土木工事業,Civil engineering work,"1,294","855,825","425,724","263,964","59,303","102,456","430,101","407,205","20,611","2,284","646,572","599,440","18,788","28,345"
平成24,2012,総合工事業,General construction work,造園工事業,Gardening work,380,"36,167","13,807","13,641",86,79,"22,360","22,322",38,-,"35,908","34,958",919,31
平成24,2012,総合工事業,General construction work,水道施設工事業,Plumbing work,269,"181,926","22,113","4,749","1,424","15,940","159,812","63,345","4,350","92,118","67,555","41,618","1,676","24,260"
平成24,2012,総合工事業,General construction work,舗装工事業,Paving work,327,"360,834","63,420","55,890","6,940",590,"297,414","296,125","1,289",-,"516,968","516,617",227,124
平成24,2012,総合工事業,General construction work,しゅんせつ工事業,Dredging work,8,"4,174",259,259,-,-,"3,915","3,915",-,-,"36,571","36,571",-,-
平成24,2012,総合工事業,General construction work,建築工事業,Building work (except wooden buildings),"3,010","5,465,209","4,796,324","158,026","4,484,091","154,207","668,885","234,134","421,472","13,279","697,026","34,527","633,739","28,760"
平成24,2012,総合工事業,General construction work,木造建築工事業,Building work (wooden buildings),"1,475","789,417","787,751",868,"786,880",4,"1,666",40,"1,625",-,"105,406",18,"105,340",48
平成24,2012,職別工事業,Construction work by specialist contractor ,総数,Total,"6,921","701,573","639,355","49,564","566,297","23,495","62,218","31,454","28,331","2,433","1,899,278","290,224","1,585,035","24,019"
平成24,2012,設備工事業,Equipment installation work,総数,Total,"6,669","4,722,909","3,782,240","631,558","1,360,250","1,790,432","940,670","71,005","338,182","531,483","2,865,014","108,974","2,089,732","666,309"
平成24,2012,（再掲）建設業専業会社／組織,(Relisted) Companies exclusively engaged in construction／Organization ,総数,Total,"16,085","13,759,949","10,834,353","1,569,541","8,769,930","494,882","2,925,596","1,966,450","911,550","47,597","5,055,119","1,233,616","3,480,448","341,055"
平成24,2012,（再掲）建設業専業会社／組織,(Relisted) Companies exclusively engaged in construction／Organization ,個人,Sole proprietorship,"1,187","15,734","15,292",589,"14,415",287,442,401,40,-,"12,607",743,"11,275",588
平成24,2012,（再掲）建設業専業会社／組織,(Relisted) Companies exclusively engaged in construction／Organization ,法人,Corporation,"14,898","13,744,215","10,819,061","1,568,951","8,755,515","494,596","2,925,154","1,966,049","911,510","47,597","5,042,512","1,232,873","3,469,172","340,467"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,200万円未満 ,Under 2 million yen,260,"2,606","2,466",510,"1,956",-,140,60,80,-,"7,959",509,"7,451",-
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,200万円～500万円未満 ,2-5 million yen,"3,729","78,901","72,827","11,489","61,304",35,"6,073","2,941","2,914",218,"281,751","95,705","177,284","8,762"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,500万円～1000万円未満 ,5-10 million yen,"1,566","74,929","36,601","1,119","33,913","1,568","38,327","31,554","5,608","1,166","112,190","29,291","53,071","29,828"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,1000万円～3000万円未満 ,10-30 million yen,"7,523","565,283","415,104","26,102","352,875","36,128","150,178","76,588","54,823","18,769","1,121,323","176,468","815,744","129,111"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,3000万円～5000万円未満 ,30-50 million yen,937,"477,937","358,375","18,092","314,588","25,695","119,562","73,217","43,222","3,123","382,394","104,232","241,069","37,093"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,5000万円～1億円未満 ,50-100 million yen,568,"495,617","384,680","80,681","283,292","20,707","110,937","49,528","57,224","4,185","669,138","180,826","423,423","64,889"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,1億円～10億円未満 ,100 million yen to 1 billion yen,225,"1,592,492","1,346,398","141,262","1,048,716","156,420","246,094","138,352","90,329","17,413","928,551","221,375","664,314","42,862"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,10億円～50億円未満 ,1-5 billion yen,46,"1,522,428","1,267,637","194,639","1,034,754","38,244","254,791","170,937","83,086",768,"626,340","100,540","506,550","19,250"
平成24,2012,（再掲）建設業専業会社／資本金階層,(Relisted) Companies exclusively engaged in construction／Size of capital,50億円以上 ,5 billion yen or more,44,"8,934,023","6,934,972","1,095,057","5,624,117","215,798","1,999,051","1,422,872","574,223","1,956","912,866","323,928","580,267","8,671"
平成24,2012,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,"14,719","6,670,461","5,367,453","516,927","4,503,740","346,786","1,303,008","644,928","514,404","143,675",…,…,…,…
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成20～24年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Years 2008-2012 ）,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
