地域階層,地域コード,項番 Item number,地域,district,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by  target)／計 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by  target)／高齢者 Seniors,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by  target)／女性 Women,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／家庭教育 Home education,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／青年 Youth,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／少年 Children,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and Programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and Programs／分野別事業数 Programs by category／行事・大会 Events/Meets,学級・事業数 Classes and Programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and Programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／その他の事業 Others programs
2,13116,16,豊島区,Toshima-ku,17,314,249,-,8,24,25,-,192,4,1,44,1,-,2,8,-,-,5
2,13117,17,北区,Kita-ku,19,335,163,1,1,6,5,19,131,4,1,23,9,116,-,12,6,-,1
2,13118,18,荒川区,Arakawa-ku,13,101,44,-,1,7,-,5,31,3,4,3,1,1,4,13,20,1,7
2,13119,19,板橋区,Itabashi-ku,23,442,303,-,7,84,28,32,152,1,30,11,2,1,-,10,77,2,5
2,13120,20,練馬区,Nerima-ku,24,207,84,1,51,3,9,17,3,3,8,1,4,2,-,17,78,10,-
2,13121,21,足立区,Adachi-ku,34,282,232,-,42,155,1,2,32,19,10,3,-,-,-,5,10,-,3
2,13122,22,葛飾区,Katsushika-ku,24,198,49,-,-,-,1,16,32,1,12,6,4,-,-,77,45,-,4
2,13123,23,江戸川区,Edogawa-ku,14,43,12,-,11,1,-,-,-,7,1,11,1,1,-,6,-,1,3
1,13200,,市部,All shi,372,4740,2723,194,120,424,74,355,1556,79,340,146,46,26,33,776,454,9,108
2,13201,1,八王子市,Hachioji-shi,15,823,686,42,11,196,-,30,407,4,7,5,-,-,-,18,102,-,1
2,13202,2,立川市,Tachikawa-shi,29,272,184,9,24,16,-,15,120,10,32,3,1,4,-,20,6,7,5
2,13203,3,武蔵野市,Musashino-shi,5,157,78,3,-,3,6,15,51,-,31,6,1,-,1,34,-,-,6
2,13204,4,三鷹市,Mitaka-shi,9,112,59,3,-,-,1,10,45,2,14,10,-,-,-,21,-,-,6
2,13205,5,青梅市,Ome-shi,15,251,101,-,1,17,-,31,52,1,2,1,-,-,2,119,20,-,5
2,13206,6,府中市,Fuchu-shi,31,114,46,-,42,-,-,4,-,1,1,15,-,1,-,17,28,-,5
2,13207,7,昭島市,Akishima-shi,19,119,59,25,-,7,-,8,19,15,24,5,1,-,1,12,-,-,2
2,13208,8,調布市,Chofu-shi,21,422,290,31,-,27,24,24,184,3,12,8,3,-,-,49,56,-,1
2,13209,9,町田市,Machida-shi,20,213,97,8,6,10,5,8,60,2,13,15,1,-,-,47,31,-,7
2,13210,10,小金井市,Koganei-shi,12,206,139,5,-,28,17,15,74,1,11,4,2,-,1,38,3,-,7
2,13211,11,小平市,Kodaira-shi,24,233,128,10,2,15,2,11,88,2,22,4,1,4,-,50,18,1,3
2,13212,12,日野市,Hino-shi,14,184,117,9,-,28,1,21,58,2,6,4,3,-,-,14,34,-,4
2,13213,13,東村山市,Higashimurayama-shi,13,144,34,1,-,1,-,5,27,2,2,-,1,5,5,12,81,-,2
2,13214,14,国分寺市,Kokubunji-shi,16,208,139,1,2,22,2,25,87,2,21,3,3,-,6,32,-,-,2
2,13215,15,国立市,Kunitachi-shi,11,102,61,4,2,2,10,1,42,-,2,12,10,-,1,5,3,-,8
2,13218,16,福生市,Fussa-shi,13,134,75,6,11,6,-,9,43,4,17,-,2,-,-,26,5,-,5
2,13219,17,狛江市,Komae-shi,3,35,20,-,5,-,2,8,5,-,2,1,1,-,3,4,-,-,4
2,13220,18,東大和市,Higashiyamato-shi,9,117,42,3,-,7,1,8,23,8,14,8,1,-,-,19,22,-,3
2,13221,19,清瀬市,Kiyose-shi,10,75,31,16,2,-,-,-,13,1,11,3,1,3,1,12,10,1,1
2,13222,20,東久留米市,Higashikurume-shi,6,66,18,-,-,3,-,-,15,1,13,9,2,-,-,21,-,-,2
2,13223,21,武蔵村山市,Musashimurayama-shi,6,27,7,2,-,2,-,-,3,1,2,1,-,-,-,2,6,-,8
2,13224,22,多摩市,Tama-shi,16,109,61,4,-,18,2,9,28,1,22,3,1,-,-,13,-,-,8
2,13225,23,稲城市,Inagi-shi,11,50,19,6,-,7,-,-,6,4,7,-,2,4,4,6,-,-,4
2,13227,24,羽村市,Hamura-shi,8,113,33,2,-,1,-,4,26,1,25,4,1,5,3,16,22,-,3
2,13228,25,あきる野市,Akiruno-shi,22,161,25,2,-,7,-,3,13,11,2,8,1,-,-,104,7,-,3
2,13229,26,西東京市,Nishitokyo-shi,14,293,174,2,12,1,1,91,67,-,25,14,7,-,5,65,-,-,3
1,13300,,郡部,All gun,21,108,34,3,-,-,-,4,27,8,21,9,-,2,1,5,25,-,3
2,13303,1,瑞穂町,Mizuho-machi,9,67,10,3,-,-,-,-,7,7,8,9,-,2,-,5,25,-,1
2,13305,2,日の出町,Hinode-machi,5,24,14,-,-,-,-,-,14,-,9,-,-,-,-,-,-,-,1
2,13307,3,檜原村,Hinohara-mura,2,8,6,-,-,-,-,2,4,1,1,-,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,5,9,4,-,-,-,-,2,2,-,3,-,-,-,1,-,-,-,1
1,13350,,島部,All islands,28,76,40,-,20,-,1,10,9,-,27,2,-,1,-,1,1,-,4
2,13361,1,大島町,Oshima-machi,7,7,-,-,-,-,-,-,-,-,4,1,-,1,-,-,-,-,1
2,13362,2,利島村,Toshima-mura,1,4,1,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-
2,13363,3,新島村,Niijima-mura,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13364,4,神津島村,Kozushima-mura,3,14,-,-,-,-,-,-,-,-,12,-,-,-,-,1,1,-,-
2,13381,5,三宅村,Miyake-mura,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2,13382,6,御蔵島村,Mikurajima-mura,1,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
2,13401,7,八丈町,Hachijo-machi,7,40,37,-,20,-,-,9,8,-,1,-,-,-,-,-,-,-,2
2,13402,8,青ヶ島村,Aogashima-mura,1,4,2,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,1,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,
17-8  社会教育施設数及び社会教育事業数 (平成29年度) 17-8  NUMBER OF SOCIAL EDUCATION FACILITIES AND SOCIAL EDUCATION PROGRAMS ( Fiscal Year 2017),,,,,,,,,,,,,,,,,,,,,,,
注) 施設数は，平成30年5月1日現在の数値である。   ,,,,,,,,,,,,,,,,,,,,,,,
Note: Number of facilities as of May 1， 2018. ,,,,,,,,,,,,,,,,,,,,,,,
資料：都教育庁地域教育支援部生涯学習課 「区市町村生涯学習・社会教育行政データブック」 Source: Office of Education， TMG   ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,
（単位　学級〔学級数〕， 事業〔事業数〕）(Units: Number of classes， number of programs),,,,,,,,,,,,,,,,,,,,,,,
