年度(平成),Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校 Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
30,2018,1,公立 ,Public,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),9,-,…,…,1188,613,575,203,194,9
30,2018,1,公立 ,Public,小学校,Elementary schools,1273,-,24,…,580786,299947,280839,38417,32922,5495
30,2018,1,公立 ,Public,中学校,Junior high schools,611,1,16,15,222876,116150,106726,19112,14972,4140
30,2018,1,公立 ,Public,義務教育学校,Compulsory education schools,7,-,7,…,5977,3104,2873,428,373,55
30,2018,1,公立 ,Public,高等学校,Senior high schools,186,-,…,11,135741,68207,67534,12129,9407,2722
30,2018,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,…,6,5613,2712,2901,548,443,105
30,2018,1,公立 ,Public,大学,Colleges and universities,2,-,-,-,9319,5837,3482,…,703,…
30,2018,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
30,2018,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,-,1556,1405,151,…,129,…
30,2018,1,公立 ,Public,特別支援学校,Special needs schools,62,-,…,…,12732,8307,4425,6236,5727,509
30,2018,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,…,…,1516,713,803,73,43,30
30,2018,1,公立 ,Public,専修学校,Specialized training schools,8,-,…,…,1919,191,1728,1002,172,830
30,2018,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
30,2018,1,私立 ,Private,総数,Total,2056,-,…,…,1270954,632940,638014,…,79170,…
30,2018,1,私立 ,Private,幼稚園,Kindergartens,818,-,…,…,141800,71271,70529,11579,9851,1728
30,2018,1,私立 ,Private,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),21,-,…,…,4624,2336,2288,702,550,152
30,2018,1,私立 ,Private,小学校,Elementary schools,53,-,1,…,25092,10457,14635,1923,1465,458
30,2018,1,私立 ,Private,中学校,Junior high schools,187,-,1,122,74504,34746,39758,8899,4190,4709
30,2018,1,私立 ,Private,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
30,2018,1,私立 ,Private,高等学校,Senior high schools,237,-,…,123,175302,84488,90814,17445,9715,7730
30,2018,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,…,-,-,-,-,-,-,-
30,2018,1,私立 ,Private,大学,Colleges and universities,137,-,-,-,655719,341451,314268,…,42990,…
30,2018,1,私立 ,Private,短期大学,Junior colleges,37,-,-,-,12657,899,11758,3084,788,2296
30,2018,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,-,900,756,144,…,49,…
30,2018,1,私立 ,Private,特別支援学校,Special needs schools,4,-,…,…,219,135,84,108,85,23
30,2018,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,9,-,…,…,9131,5243,3888,1013,186,827
30,2018,1,私立 ,Private,専修学校,Specialized training schools,396,-,…,…,144401,67935,76466,23121,7239,15882
30,2018,1,私立 ,Private,各種学校,Miscellaneous schools,156,-,…,…,26605,13223,13382,3442,2062,1380
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成28～30年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2016-2018 ),,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,,
