年度(平成),Fiscal Year,男女区分 ,male female classification,区分 ,classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
20,2008,女 ,female,体重 (kg) ,Weight (kg),18.5,20.8,23.6,26.4,30,34,38.7,44.1,48.1,49.9,51.3,52.7,52.7
25,2013,女 ,female,体重 (kg) ,Weight (kg),18.6,21,23.5,26.1,30.1,33.8,39,43.5,47,50,51.4,52.1,52.3
30,2018,女 ,female,体重 (kg) ,Weight (kg),18.7,20.9,23.6,26.2,30.1,34.3,39.4,43.7,47.3,49.4,51,51.4,53
10,1998,女 ,female,座高 (㎝),Sitting height (㎝),61.8,64.9,67.4,70.2,72.9,76.1,79.8,82.7,84.2,85,84.6,85.2,85.1
15,2003,女 ,female,座高 (㎝),Sitting height (㎝),61.9,64.6,67.6,70.3,72.6,76.2,79.7,82.4,83.8,84.5,85.2,85.5,85.5
20,2008,女 ,female,座高 (㎝),Sitting height (㎝),61.9,64.6,67.5,69.8,72.8,75.7,79,82.5,84,84.8,85.5,85.7,86.1
25,2013,女 ,female,座高 (㎝),Sitting height (㎝),61.5,64.5,67.3,69.9,73,76,79.5,82.1,83.9,84.8,85.8,86.1,86.3
30,2018,女 ,female,座高 (㎝),Sitting height (㎝),…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
 17-4  幼児，児童及び生徒の年齢別発育平均値 (平成10～平成30年度) 17-4  AVERAGE GROWTH OF INFANTS， CHILDREN， AND STUDENTS BY AGE  ( Fiscal Years 1998～2018 ),,,,,,,,,,,,,,,,,,
この表は学校保健統計調査による。 2段階抽出調査であり，まず，学校を抽出し，その学校から生徒を抽出している 。　,,,,,,,,,,,,,,,,,,
Data in this table are based on the School Health Statistical Survey， a two stage sampling in which a sample of students are surveyed from a sample of schools.,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校保健統計（学校保健統計調査報告書）」 Source: Bureau of General Affairs， TMG　　 ,,,,,,,,,,,,,,,,,,
