店名,業種,住所,取り組み内容1,取り組み内容2,取り組み内容3,取り組み内容4,取り組み内容5,取り組み内容6,取り組み内容7
バーバーイガラシ,理容店,押上一丁目11番5号,乾電池回収,簡易包装,,,,,
ナカムラ理髪店,理容店,押上二丁目12番7-103号,乾電池回収,,,,,,
イトーヨーカドー 曳舟店,スーパー,京島一丁目2番1号,簡易包装,マイバッグ推奨,はかり売り,びん・アルミ缶・スチール缶・牛乳パック・食品トレー・ペットボトル・ペットボトルキャップの回収,食品ロス削減,情報拠点,
尾花クリーニング商会,クリーニング店,京島一丁目9番12号,乾電池回収,針金ハンガーの回収,,,,,
電気湯,浴場,京島三丁目10番10号,乾電池回収,びんの回収,再生可能エネルギー100%の電気の購入,,,,
スタークリーニング商会,クリーニング店,文花一丁目8番8号,乾電池回収,マイバッグ推奨,プラスチックハンガーの回収,,,,
ヘアーサロン文花,理容店,文花一丁目10番7号,乾電池回収,,,,,,
ファッションクリーニング アヤベ,クリーニング店,八広一丁目7番10号,乾電池回収,マイバッグ推奨,プラスチックハンガーの回収,,,,
八広ドライクリーニング,クリーニング店,八広一丁目36番9号,乾電池回収,,,,,,
株式会社越路ランドリー,クリーニング店,八広四丁目51番4号,乾電池回収,マイバッグ推奨,レジ袋削減のためのポイント制度,プラスチックハンガーの回収,,,
オガワ商店,文具・事務用品販売店,八広五丁目29番15号,乾電池回収,,,,,,
下町のせんたくやさん,クリーニング店,立花一丁目23番5-111号,乾電池回収,マイバッグ推奨,プラスチックハンガーの回収,,,,
かめぱん,パン製造販売,立花二丁目1番11号,簡易包装,マイバッグ推奨,はかり売り,,,,
理容バンバ,理容店,立花三丁目2番12号,乾電池回収,,,,,,
有限会社橋本パッケージ,梱包資材販売,立花四丁目13番3号,乾電池回収,,,,,,
有限会社染谷商店,食用廃油リサイクル,東墨田二丁目1番3号,乾電池回収,廃食油回収,廃食油のリサイクル,,,,
そばの里　みつまさ,飲食店,江東橋四丁目20番4号,食品ロス削減,,,,,,
小梅のやぶそば,飲食店,向島三丁目45番15号スプリングハイツ1F,食品ロス削減,,,,,,
居酒屋スナック　友,飲食店,向島三丁目38番10号,食品ロス削減,,,,,,
cafe 883,飲食店,押上二丁目5番4号 1F,食品ロス削減,,,,,,
すず,飲食店,文花二丁目8番6号,食品ロス削減,,,,,,
喫茶＆スナック　BOO,飲食店,業平三丁目16番1号,食品ロス削減,,,,,,
ソウル市場　押上店,飲食店,業平四丁目1番4号 1F,食品ロス削減,,,,,,
幸音,飲食店,押上一丁目13番9号,食品ロス削減,,,,,,
チャボ,飲食店,押上一丁目24番3号,食品ロス削減,,,,,,
ホルモン和,飲食店,押上一丁目18番6号,食品ロス削減,,,,,,
和のごはん　みかづき,飲食店,太平三丁目8番9号,食品ロス削減,,,,,,
肉の山平や,食料品販売店,八広三丁目6番3号,食品ロス削減,,,,,,
和牛処　やまだいら,飲食店,八広三丁目7番1号,食品ロス削減,,,,,,
魚八栄五郎,飲食店・食料品販売店,東向島五丁目12番7号,食品ロス削減,,,,,,
デニーズ墨田立花店,飲食店,立花三丁目1番5号,食品ロス削減,,,,,,
デニーズ墨田堤通り店,飲食店,堤通一丁目19番11号,食品ロス削減,,,,,,
東日本旅客鉄道株式会社　両国駅,運輸業,横網一丁目3番20号,乾電池回収,情報拠点,,,,,
デニーズ錦糸町駅前店,飲食店,江東橋三丁目8番7号 錦糸町駅前プラザビル3階,食品ロス削減,,,,,,
コメダ珈琲店 丸井錦糸町店,飲食店,江東橋三丁目9番10号 丸井錦糸町店2F,食品ロス削減,,,,,,
PEARL LADY 茶BAR 丸井錦糸町店,飲食店,江東橋三丁目9番10号 丸井錦糸町店1F,食品ロス削減,,,,,,
パールホテル両国,宿泊業,横網一丁目2番24号,マイバッグ推奨,情報拠点,,,,,
三代目鳥メロ 錦糸町南口駅前店,飲食店,江東橋三丁目12番8号 O・T・Kビル 3階,食品ロス削減,,,,,,
クリーニングショップ イシカワ,クリーニング店,押上二丁目12番7号,ハンガーの回収,,,,,,
CLEANING イシイ,クリーニング店,東駒形二丁目11番12号,マイバッグ推奨,プラスチックハンガーの回収,,,,,
cafe さぶたけ,飲食店,東向島二丁目31番17号,食品ロス削減,,,,,,
玄米耕房 かめた,食料品販売店,江東橋五丁目13番2号,食品ロス削減,,,,,,
墨田区役所食堂,飲食店,吾妻橋一丁目23番20号,食品ロス削減,,,,,,
