 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,933",616,"10,852","4,249",416,616,"1,555","4,249","1,517",-,"9,297",-
,98.1%,74.9%,94.0%,111.1%,117.8%,74.9%,94.9%,114.1%,93.8%,-,93.9%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"114,758","25,868","786,113","173,003","29,976","25,674","222,810","171,761","84,782",194,"563,303","1,242"
,89.1%,94.4%,95.4%,102.3%,87.9%,94.4%,99.0%,102.3%,89.5%,92.4%,94.0%,93.5%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"8,042","5,177","63,986","35,244","2,134","5,061","15,757","34,627","5,908",116,"48,229",617
,79.6%,134.7%,83.7%,101.1%,72.7%,134.1%,71.9%,100.7%,82.4%,170.6%,88.5%,132.4%
中国(香港含む),"73,990","51,356","473,851","326,886","11,825","51,280","78,774","326,384","62,165",76,"395,077",502
,99.1%,99.3%,94.2%,96.9%,98.5%,99.4%,91.5%,97.0%,99.2%,75.2%,94.8%,56.9%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,891","12,676","153,332","98,903","12,182","10,771","81,933","86,434","10,709","1,905","71,399","12,469"
,86.2%,73.9%,94.8%,78.5%,95.4%,70.3%,108.5%,77.2%,77.6%,104.8%,82.9%,89.1%
内航定期計,"19,258","3,207","125,684","18,520","9,388","1,380","60,875","7,720","9,870","1,827","64,809","10,800"
,87.7%,89.4%,95.1%,57.5%,93.8%,75.3%,99.5%,42.0%,82.6%,104.0%,91.3%,78.0%
北海道,"7,368",282,"46,760","1,615","3,396",282,"22,295","1,477","3,972",-,"24,465",138
,89.7%,64.4%,104.1%,80.2%,83.6%,65.0%,96.7%,77.7%,95.7%,-,111.8%,123.2%
東北,"4,259","1,244","26,748","5,389","2,014",887,"12,662","4,763","2,245",357,"14,086",626
,115.7%,109.2%,116.0%,91.6%,115.5%,84.4%,116.5%,87.9%,115.8%,405.7%,115.6%,134.9%
関東,14,-,206,50,14,-,206,50,-,-,-,-
,-,-,468.2%,35.7%,-,-,-,35.7%,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,502",93,"9,350","1,005",199,88,"1,412",764,"1,303",5,"7,938",241
,68.0%,34.3%,56.1%,13.1%,51.4%,37.9%,48.3%,10.1%,71.5%,12.8%,57.8%,309.0%
近畿,541,97,"4,017",300,155,97,"1,193",294,386,-,"2,824",6
,41.6%,87.4%,52.4%,9.1%,203.9%,103.2%,208.9%,9.2%,31.5%,-,39.8%,4.7%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,428",144,"18,078",871,"1,229",26,"7,529",340,"1,199",118,"10,549",531
,70.8%,145.5%,96.4%,226.2%,97.6%,123.8%,100.3%,435.9%,55.3%,151.3%,93.8%,173.0%
沖縄,"3,146","1,347","20,525","9,290","2,381",-,"15,578",32,765,"1,347","4,947","9,258"
,100.5%,88.0%,99.3%,72.6%,95.7%,-,97.3%,82.1%,118.8%,88.0%,106.2%,72.6%
内航不定期,"3,633","9,469","27,648","80,383","2,794","9,391","21,058","78,714",839,78,"6,590","1,669"
,79.0%,69.8%,93.5%,85.8%,101.5%,69.6%,146.7%,84.1%,45.4%,127.9%,43.3%,1090.8%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
