日付,種別,種類,区分,頭数(頭)
2024-04-05,馬,,本日と畜,0.0
2024-04-05,馬,,上場頭数(生体),0.0
2024-04-05,馬,,上場頭数(搬入),0.0
2024-04-05,豚,,本日と畜,805.0
2024-04-05,豚,,上場頭数(生体),998.0
2024-04-05,豚,,上場頭数(搬入),18.0
2024-04-05,こ牛,,本日と畜,0.0
2024-04-05,こ牛,,上場頭数(生体),0.0
2024-04-05,こ牛,,上場頭数(搬入),0.0
2024-04-08,牛,和牛,本日と畜,328.0
2024-04-08,牛,和牛,上場頭数(生体),332.0
2024-04-08,牛,和牛,上場頭数(搬入),38.0
2024-04-08,牛,交雑種,本日と畜,72.0
2024-04-08,牛,交雑種,上場頭数(生体),63.0
2024-04-08,牛,交雑種,上場頭数(搬入),49.0
2024-04-08,牛,乳牛,本日と畜,0.0
2024-04-08,牛,乳牛,上場頭数(生体),0.0
2024-04-08,牛,乳牛,上場頭数(搬入),49.5
2024-04-08,牛,計,本日と畜,400.0
2024-04-08,牛,計,上場頭数(生体),395.0
2024-04-08,牛,計,上場頭数(搬入),136.5
2024-04-08,馬,,本日と畜,0.0
2024-04-08,馬,,上場頭数(生体),0.0
2024-04-08,馬,,上場頭数(搬入),0.0
2024-04-08,豚,,本日と畜,929.0
2024-04-08,豚,,上場頭数(生体),865.0
2024-04-08,豚,,上場頭数(搬入),16.0
2024-04-08,こ牛,,本日と畜,0.0
2024-04-08,こ牛,,上場頭数(生体),0.0
2024-04-08,こ牛,,上場頭数(搬入),0.0
2024-04-09,牛,和牛,本日と畜,364.0
2024-04-09,牛,和牛,上場頭数(生体),328.0
2024-04-09,牛,和牛,上場頭数(搬入),25.0
2024-04-09,牛,交雑種,本日と畜,34.0
2024-04-09,牛,交雑種,上場頭数(生体),72.0
2024-04-09,牛,交雑種,上場頭数(搬入),1.0
2024-04-09,牛,乳牛,本日と畜,0.0
2024-04-09,牛,乳牛,上場頭数(生体),0.0
2024-04-09,牛,乳牛,上場頭数(搬入),26.0
2024-04-09,牛,計,本日と畜,398.0
2024-04-09,牛,計,上場頭数(生体),400.0
2024-04-09,牛,計,上場頭数(搬入),52.0
2024-04-09,馬,,本日と畜,0.0
2024-04-09,馬,,上場頭数(生体),0.0
2024-04-09,馬,,上場頭数(搬入),0.0
2024-04-09,豚,,本日と畜,625.0
2024-04-09,豚,,上場頭数(生体),974.0
2024-04-09,豚,,上場頭数(搬入),0.0
2024-04-09,こ牛,,本日と畜,0.0
2024-04-09,こ牛,,上場頭数(生体),0.0
2024-04-09,こ牛,,上場頭数(搬入),1.0
2024-04-10,牛,和牛,本日と畜,307.0
2024-04-10,牛,和牛,上場頭数(生体),364.0
2024-04-10,牛,和牛,上場頭数(搬入),122.0
2024-04-10,牛,交雑種,本日と畜,85.0
2024-04-10,牛,交雑種,上場頭数(生体),34.0
2024-04-10,牛,交雑種,上場頭数(搬入),133.0
2024-04-10,牛,乳牛,本日と畜,0.0
2024-04-10,牛,乳牛,上場頭数(生体),0.0
2024-04-10,牛,乳牛,上場頭数(搬入),56.0
2024-04-10,牛,計,本日と畜,392.0
2024-04-10,牛,計,上場頭数(生体),398.0
2024-04-10,牛,計,上場頭数(搬入),311.0
2024-04-10,馬,,本日と畜,0.0
2024-04-10,馬,,上場頭数(生体),0.0
2024-04-10,馬,,上場頭数(搬入),0.0
2024-04-10,豚,,本日と畜,726.0
2024-04-10,豚,,上場頭数(生体),715.0
2024-04-10,豚,,上場頭数(搬入),0.0
2024-04-10,こ牛,,本日と畜,0.0
2024-04-10,こ牛,,上場頭数(生体),0.0
2024-04-10,こ牛,,上場頭数(搬入),1.0
2024-04-11,牛,和牛,本日と畜,325.0
2024-04-11,牛,和牛,上場頭数(生体),307.0
2024-04-11,牛,和牛,上場頭数(搬入),98.0
2024-04-11,牛,交雑種,本日と畜,73.0
2024-04-11,牛,交雑種,上場頭数(生体),85.0
2024-04-11,牛,交雑種,上場頭数(搬入),105.0
2024-04-11,牛,乳牛,本日と畜,0.0
2024-04-11,牛,乳牛,上場頭数(生体),0.0
2024-04-11,牛,乳牛,上場頭数(搬入),54.0
2024-04-11,牛,計,本日と畜,398.0
2024-04-11,牛,計,上場頭数(生体),392.0
2024-04-11,牛,計,上場頭数(搬入),257.0
2024-04-11,馬,,本日と畜,0.0
2024-04-11,馬,,上場頭数(生体),0.0
2024-04-11,馬,,上場頭数(搬入),0.0
2024-04-11,豚,,本日と畜,873.0
2024-04-11,豚,,上場頭数(生体),726.0
2024-04-11,豚,,上場頭数(搬入),0.0
2024-04-11,こ牛,,本日と畜,0.0
2024-04-11,こ牛,,上場頭数(生体),0.0
2024-04-11,こ牛,,上場頭数(搬入),1.0
2024-04-12,牛,和牛,本日と畜,310.0
2024-04-12,牛,和牛,上場頭数(生体),325.0
2024-04-12,牛,和牛,上場頭数(搬入),64.0
2024-04-12,牛,交雑種,本日と畜,87.0
2024-04-12,牛,交雑種,上場頭数(生体),73.0
2024-04-12,牛,交雑種,上場頭数(搬入),47.0
2024-04-12,牛,乳牛,本日と畜,0.0
2024-04-12,牛,乳牛,上場頭数(生体),0.0
2024-04-12,牛,乳牛,上場頭数(搬入),60.5
2024-04-12,牛,計,本日と畜,397.0
2024-04-12,牛,計,上場頭数(生体),398.0
2024-04-12,牛,計,上場頭数(搬入),171.5
2024-04-12,馬,,本日と畜,0.0
2024-04-12,馬,,上場頭数(生体),0.0
2024-04-12,馬,,上場頭数(搬入),0.0
2024-04-12,豚,,本日と畜,766.0
2024-04-12,豚,,上場頭数(生体),975.0
2024-04-12,豚,,上場頭数(搬入),21.0
2024-04-12,こ牛,,本日と畜,0.0
2024-04-12,こ牛,,上場頭数(生体),0.0
2024-04-12,こ牛,,上場頭数(搬入),0.0
2024-04-15,牛,和牛,本日と畜,312.0
2024-04-15,牛,和牛,上場頭数(生体),310.0
2024-04-15,牛,和牛,上場頭数(搬入),49.0
2024-04-15,牛,交雑種,本日と畜,88.0
2024-04-15,牛,交雑種,上場頭数(生体),87.0
2024-04-15,牛,交雑種,上場頭数(搬入),45.0
2024-04-15,牛,乳牛,本日と畜,0.0
2024-04-15,牛,乳牛,上場頭数(生体),0.0
2024-04-15,牛,乳牛,上場頭数(搬入),50.0
2024-04-15,牛,計,本日と畜,400.0
2024-04-15,牛,計,上場頭数(生体),397.0
2024-04-15,牛,計,上場頭数(搬入),144.0
2024-04-15,馬,,本日と畜,0.0
2024-04-15,馬,,上場頭数(生体),0.0
2024-04-15,馬,,上場頭数(搬入),0.0
2024-04-15,豚,,本日と畜,1035.0
2024-04-15,豚,,上場頭数(生体),766.0
2024-04-15,豚,,上場頭数(搬入),17.0
2024-04-15,こ牛,,本日と畜,0.0
2024-04-15,こ牛,,上場頭数(生体),0.0
2024-04-15,こ牛,,上場頭数(搬入),1.0
2024-04-16,牛,和牛,本日と畜,325.0
2024-04-16,牛,和牛,上場頭数(生体),311.0
2024-04-16,牛,和牛,上場頭数(搬入),7.0
2024-04-16,牛,交雑種,本日と畜,74.0
2024-04-16,牛,交雑種,上場頭数(生体),88.0
2024-04-16,牛,交雑種,上場頭数(搬入),1.0
2024-04-16,牛,乳牛,本日と畜,0.0
2024-04-16,牛,乳牛,上場頭数(生体),0.0
2024-04-16,牛,乳牛,上場頭数(搬入),36.0
2024-04-16,牛,計,本日と畜,399.0
2024-04-16,牛,計,上場頭数(生体),399.0
2024-04-16,牛,計,上場頭数(搬入),44.0
2024-04-16,馬,,本日と畜,0.0
2024-04-16,馬,,上場頭数(生体),0.0
2024-04-16,馬,,上場頭数(搬入),0.0
2024-04-16,豚,,本日と畜,809.0
2024-04-16,豚,,上場頭数(生体),1080.0
2024-04-16,豚,,上場頭数(搬入),0.0
2024-04-16,こ牛,,本日と畜,0.0
2024-04-16,こ牛,,上場頭数(生体),0.0
2024-04-16,こ牛,,上場頭数(搬入),1.0
2024-04-17,牛,和牛,本日と畜,318.0
2024-04-17,牛,和牛,上場頭数(生体),325.0
2024-04-17,牛,和牛,上場頭数(搬入),123.0
2024-04-17,牛,交雑種,本日と畜,77.0
2024-04-17,牛,交雑種,上場頭数(生体),73.0
2024-04-17,牛,交雑種,上場頭数(搬入),186.0
2024-04-17,牛,乳牛,本日と畜,0.0
2024-04-17,牛,乳牛,上場頭数(生体),0.0
2024-04-17,牛,乳牛,上場頭数(搬入),45.5
2024-04-17,牛,計,本日と畜,395.0
2024-04-17,牛,計,上場頭数(生体),398.0
2024-04-17,牛,計,上場頭数(搬入),354.5
2024-04-17,馬,,本日と畜,0.0
2024-04-17,馬,,上場頭数(生体),0.0
2024-04-17,馬,,上場頭数(搬入),0.0
2024-04-17,豚,,本日と畜,754.0
2024-04-17,豚,,上場頭数(生体),809.0
2024-04-17,豚,,上場頭数(搬入),2.0
2024-04-17,こ牛,,本日と畜,0.0
2024-04-17,こ牛,,上場頭数(生体),0.0
2024-04-17,こ牛,,上場頭数(搬入),0.0
2024-04-18,牛,和牛,本日と畜,260.0
2024-04-18,牛,和牛,上場頭数(生体),319.0
2024-04-18,牛,和牛,上場頭数(搬入),84.0
2024-04-18,牛,交雑種,本日と畜,126.0
2024-04-18,牛,交雑種,上場頭数(生体),77.0
2024-04-18,牛,交雑種,上場頭数(搬入),107.0
2024-04-18,牛,乳牛,本日と畜,0.0
2024-04-18,牛,乳牛,上場頭数(生体),0.0
2024-04-18,牛,乳牛,上場頭数(搬入),70.0
2024-04-18,牛,計,本日と畜,386.0
2024-04-18,牛,計,上場頭数(生体),396.0
2024-04-18,牛,計,上場頭数(搬入),261.0
2024-04-18,馬,,本日と畜,0.0
2024-04-18,馬,,上場頭数(生体),0.0
2024-04-18,馬,,上場頭数(搬入),0.0
2024-04-18,豚,,本日と畜,925.0
2024-04-18,豚,,上場頭数(生体),754.0
2024-04-18,豚,,上場頭数(搬入),4.0
2024-04-18,こ牛,,本日と畜,0.0
2024-04-18,こ牛,,上場頭数(生体),0.0
2024-04-18,こ牛,,上場頭数(搬入),1.0
2024-04-19,牛,和牛,本日と畜,325.0
2024-04-19,牛,和牛,上場頭数(生体),259.0
2024-04-19,牛,和牛,上場頭数(搬入),72.0
2024-04-19,牛,交雑種,本日と畜,73.0
2024-04-19,牛,交雑種,上場頭数(生体),126.0
2024-04-19,牛,交雑種,上場頭数(搬入),56.0
2024-04-19,牛,乳牛,本日と畜,0.0
2024-04-19,牛,乳牛,上場頭数(生体),0.0
2024-04-19,牛,乳牛,上場頭数(搬入),85.0
2024-04-19,牛,計,本日と畜,398.0
2024-04-19,牛,計,上場頭数(生体),385.0
2024-04-19,牛,計,上場頭数(搬入),213.0
2024-04-19,馬,,本日と畜,0.0
2024-04-19,馬,,上場頭数(生体),0.0
2024-04-19,馬,,上場頭数(搬入),0.0
2024-04-19,豚,,本日と畜,794.0
2024-04-19,豚,,上場頭数(生体),967.0
2024-04-19,豚,,上場頭数(搬入),15.0
2024-04-19,こ牛,,本日と畜,0.0
2024-04-19,こ牛,,上場頭数(生体),0.0
2024-04-19,こ牛,,上場頭数(搬入),1.0
2024-04-22,牛,和牛,本日と畜,302.0
2024-04-22,牛,和牛,上場頭数(生体),326.0
2024-04-22,牛,和牛,上場頭数(搬入),85.0
2024-04-22,牛,交雑種,本日と畜,87.0
2024-04-22,牛,交雑種,上場頭数(生体),73.0
2024-04-22,牛,交雑種,上場頭数(搬入),87.0
2024-04-22,牛,乳牛,本日と畜,0.0
2024-04-22,牛,乳牛,上場頭数(生体),0.0
2024-04-22,牛,乳牛,上場頭数(搬入),38.5
2024-04-22,牛,計,本日と畜,389.0
2024-04-22,牛,計,上場頭数(生体),399.0
2024-04-22,牛,計,上場頭数(搬入),210.5
2024-04-22,馬,,本日と畜,0.0
2024-04-22,馬,,上場頭数(生体),0.0
2024-04-22,馬,,上場頭数(搬入),0.0
2024-04-22,豚,,本日と畜,954.0
2024-04-22,豚,,上場頭数(生体),794.0
2024-04-22,豚,,上場頭数(搬入),17.0
2024-04-22,こ牛,,本日と畜,0.0
2024-04-22,こ牛,,上場頭数(生体),0.0
2024-04-22,こ牛,,上場頭数(搬入),0.0
2024-04-23,牛,和牛,本日と畜,315.0
2024-04-23,牛,和牛,上場頭数(生体),302.0
2024-04-23,牛,和牛,上場頭数(搬入),52.5
2024-04-23,牛,交雑種,本日と畜,65.0
2024-04-23,牛,交雑種,上場頭数(生体),87.0
2024-04-23,牛,交雑種,上場頭数(搬入),2.0
2024-04-23,牛,乳牛,本日と畜,0.0
2024-04-23,牛,乳牛,上場頭数(生体),0.0
2024-04-23,牛,乳牛,上場頭数(搬入),19.0
2024-04-23,牛,計,本日と畜,380.0
2024-04-23,牛,計,上場頭数(生体),389.0
2024-04-23,牛,計,上場頭数(搬入),73.5
2024-04-23,馬,,本日と畜,0.0
2024-04-23,馬,,上場頭数(生体),0.0
2024-04-23,馬,,上場頭数(搬入),0.0
2024-04-23,豚,,本日と畜,822.0
2024-04-23,豚,,上場頭数(生体),999.0
2024-04-23,豚,,上場頭数(搬入),0.0
2024-04-23,こ牛,,本日と畜,0.0
2024-04-23,こ牛,,上場頭数(生体),0.0
2024-04-23,こ牛,,上場頭数(搬入),0.0
2024-04-24,牛,和牛,本日と畜,282.0
2024-04-24,牛,和牛,上場頭数(生体),313.0
2024-04-24,牛,和牛,上場頭数(搬入),86.0
2024-04-24,牛,交雑種,本日と畜,102.0
2024-04-24,牛,交雑種,上場頭数(生体),65.0
2024-04-24,牛,交雑種,上場頭数(搬入),165.0
2024-04-24,牛,乳牛,本日と畜,0.0
2024-04-24,牛,乳牛,上場頭数(生体),0.0
2024-04-24,牛,乳牛,上場頭数(搬入),51.0
2024-04-24,牛,計,本日と畜,384.0
2024-04-24,牛,計,上場頭数(生体),378.0
2024-04-24,牛,計,上場頭数(搬入),302.0
2024-04-24,馬,,本日と畜,0.0
2024-04-24,馬,,上場頭数(生体),0.0
2024-04-24,馬,,上場頭数(搬入),0.0
2024-04-24,豚,,本日と畜,982.0
2024-04-24,豚,,上場頭数(生体),857.0
2024-04-24,豚,,上場頭数(搬入),1.0
2024-04-24,こ牛,,本日と畜,0.0
2024-04-24,こ牛,,上場頭数(生体),0.0
2024-04-24,こ牛,,上場頭数(搬入),0.0
2024-04-25,牛,和牛,本日と畜,141.0
2024-04-25,牛,和牛,上場頭数(生体),279.0
2024-04-25,牛,和牛,上場頭数(搬入),88.0
2024-04-25,牛,交雑種,本日と畜,75.0
2024-04-25,牛,交雑種,上場頭数(生体),102.0
2024-04-25,牛,交雑種,上場頭数(搬入),92.0
2024-04-25,牛,乳牛,本日と畜,0.0
2024-04-25,牛,乳牛,上場頭数(生体),0.0
2024-04-25,牛,乳牛,上場頭数(搬入),52.5
2024-04-25,牛,計,本日と畜,216.0
2024-04-25,牛,計,上場頭数(生体),381.0
2024-04-25,牛,計,上場頭数(搬入),232.5
2024-04-25,馬,,本日と畜,0.0
2024-04-25,馬,,上場頭数(生体),0.0
2024-04-25,馬,,上場頭数(搬入),0.0
2024-04-25,豚,,本日と畜,1017.0
2024-04-25,豚,,上場頭数(生体),982.0
2024-04-25,豚,,上場頭数(搬入),0.0
2024-04-25,こ牛,,本日と畜,0.0
2024-04-25,こ牛,,上場頭数(生体),0.0
2024-04-25,こ牛,,上場頭数(搬入),0.0
2024-04-26,牛,和牛,本日と畜,138.0
2024-04-26,牛,和牛,上場頭数(生体),142.0
2024-04-26,牛,和牛,上場頭数(搬入),65.5
2024-04-26,牛,交雑種,本日と畜,48.0
2024-04-26,牛,交雑種,上場頭数(生体),75.0
2024-04-26,牛,交雑種,上場頭数(搬入),5.0
2024-04-26,牛,乳牛,本日と畜,0.0
2024-04-26,牛,乳牛,上場頭数(生体),0.0
2024-04-26,牛,乳牛,上場頭数(搬入),76.5
2024-04-26,牛,計,本日と畜,186.0
2024-04-26,牛,計,上場頭数(生体),217.0
2024-04-26,牛,計,上場頭数(搬入),147.0
2024-04-26,馬,,本日と畜,0.0
2024-04-26,馬,,上場頭数(生体),0.0
2024-04-26,馬,,上場頭数(搬入),0.0
2024-04-26,豚,,本日と畜,867.0
2024-04-26,豚,,上場頭数(生体),1059.0
2024-04-26,豚,,上場頭数(搬入),11.0
2024-04-26,こ牛,,本日と畜,0.0
2024-04-26,こ牛,,上場頭数(生体),0.0
2024-04-26,こ牛,,上場頭数(搬入),2.0
2024-04-30,牛,和牛,本日と畜,206.0
2024-04-30,牛,和牛,上場頭数(生体),138.0
2024-04-30,牛,和牛,上場頭数(搬入),32.5
2024-04-30,牛,交雑種,本日と畜,95.0
2024-04-30,牛,交雑種,上場頭数(生体),48.0
2024-04-30,牛,交雑種,上場頭数(搬入),17.0
2024-04-30,牛,乳牛,本日と畜,0.0
2024-04-30,牛,乳牛,上場頭数(生体),0.0
2024-04-30,牛,乳牛,上場頭数(搬入),42.0
2024-04-30,牛,計,本日と畜,301.0
2024-04-30,牛,計,上場頭数(生体),186.0
2024-04-30,牛,計,上場頭数(搬入),91.5
2024-04-30,馬,,本日と畜,0.0
2024-04-30,馬,,上場頭数(生体),0.0
2024-04-30,馬,,上場頭数(搬入),0.0
2024-04-30,豚,,本日と畜,905.0
2024-04-30,豚,,上場頭数(生体),867.0
2024-04-30,豚,,上場頭数(搬入),14.0
2024-04-30,こ牛,,本日と畜,0.0
2024-04-30,こ牛,,上場頭数(生体),0.0
2024-04-30,こ牛,,上場頭数(搬入),0.0
2024-05-01,牛,和牛,本日と畜,140.0
2024-05-01,牛,和牛,上場頭数(生体),206.0
2024-05-01,牛,和牛,上場頭数(搬入),31.0
2024-05-01,牛,交雑種,本日と畜,47.0
2024-05-01,牛,交雑種,上場頭数(生体),94.0
2024-05-01,牛,交雑種,上場頭数(搬入),0.0
2024-05-01,牛,乳牛,本日と畜,0.0
2024-05-01,牛,乳牛,上場頭数(生体),0.0
2024-05-01,牛,乳牛,上場頭数(搬入),33.0
2024-05-01,牛,計,本日と畜,187.0
2024-05-01,牛,計,上場頭数(生体),300.0
2024-05-01,牛,計,上場頭数(搬入),64.0
2024-05-01,馬,,本日と畜,0.0
2024-05-01,馬,,上場頭数(生体),0.0
2024-05-01,馬,,上場頭数(搬入),0.0
2024-05-01,豚,,本日と畜,1012.0
2024-05-01,豚,,上場頭数(生体),996.0
2024-05-01,豚,,上場頭数(搬入),4.0
2024-05-01,こ牛,,本日と畜,0.0
2024-05-01,こ牛,,上場頭数(生体),0.0
2024-05-01,こ牛,,上場頭数(搬入),0.0
2024-05-02,牛,和牛,本日と畜,89.0
2024-05-02,牛,和牛,上場頭数(生体),140.0
2024-05-02,牛,和牛,上場頭数(搬入),6.0
2024-05-02,牛,交雑種,本日と畜,101.0
2024-05-02,牛,交雑種,上場頭数(生体),48.0
2024-05-02,牛,交雑種,上場頭数(搬入),10.0
2024-05-02,牛,乳牛,本日と畜,0.0
2024-05-02,牛,乳牛,上場頭数(生体),0.0
2024-05-02,牛,乳牛,上場頭数(搬入),40.0
2024-05-02,牛,計,本日と畜,190.0
2024-05-02,牛,計,上場頭数(生体),188.0
2024-05-02,牛,計,上場頭数(搬入),56.0
2024-05-02,馬,,本日と畜,0.0
2024-05-02,馬,,上場頭数(生体),0.0
2024-05-02,馬,,上場頭数(搬入),0.0
2024-05-02,豚,,本日と畜,761.0
2024-05-02,豚,,上場頭数(生体),1042.0
2024-05-02,豚,,上場頭数(搬入),0.0
2024-05-02,こ牛,,本日と畜,0.0
2024-05-02,こ牛,,上場頭数(生体),0.0
2024-05-02,こ牛,,上場頭数(搬入),1.0
2024-05-03,牛,和牛,本日と畜,0.0
2024-05-03,牛,和牛,上場頭数(生体),0.0
2024-05-03,牛,和牛,上場頭数(搬入),0.0
2024-05-03,牛,交雑種,本日と畜,0.0
2024-05-03,牛,交雑種,上場頭数(生体),0.0
2024-05-03,牛,交雑種,上場頭数(搬入),0.0
2024-05-03,牛,乳牛,本日と畜,0.0
2024-05-03,牛,乳牛,上場頭数(生体),0.0
2024-05-03,牛,乳牛,上場頭数(搬入),0.0
2024-05-03,牛,計,本日と畜,0.0
2024-05-03,牛,計,上場頭数(生体),0.0
2024-05-03,牛,計,上場頭数(搬入),0.0
2024-05-03,馬,,本日と畜,0.0
2024-05-03,馬,,上場頭数(生体),0.0
2024-05-03,馬,,上場頭数(搬入),0.0
2024-05-03,豚,,本日と畜,0.0
2024-05-03,豚,,上場頭数(生体),815.0
2024-05-03,豚,,上場頭数(搬入),0.0
2024-05-03,こ牛,,本日と畜,0.0
2024-05-03,こ牛,,上場頭数(生体),0.0
2024-05-03,こ牛,,上場頭数(搬入),0.0
2024-05-07,牛,和牛,本日と畜,327.0
2024-05-07,牛,和牛,上場頭数(生体),89.0
2024-05-07,牛,和牛,上場頭数(搬入),3.0
2024-05-07,牛,交雑種,本日と畜,73.0
2024-05-07,牛,交雑種,上場頭数(生体),101.0
2024-05-07,牛,交雑種,上場頭数(搬入),1.0
2024-05-07,牛,乳牛,本日と畜,0.0
2024-05-07,牛,乳牛,上場頭数(生体),0.0
2024-05-07,牛,乳牛,上場頭数(搬入),11.0
2024-05-07,牛,計,本日と畜,400.0
2024-05-07,牛,計,上場頭数(生体),190.0
2024-05-07,牛,計,上場頭数(搬入),15.0
2024-05-07,馬,,本日と畜,0.0
2024-05-07,馬,,上場頭数(生体),0.0
2024-05-07,馬,,上場頭数(搬入),0.0
2024-05-07,豚,,本日と畜,898.0
2024-05-07,豚,,上場頭数(生体),0.0
2024-05-07,豚,,上場頭数(搬入),0.0
2024-05-07,こ牛,,本日と畜,0.0
2024-05-07,こ牛,,上場頭数(生体),0.0
2024-05-07,こ牛,,上場頭数(搬入),0.0
2024-05-08,牛,和牛,本日と畜,339.0
2024-05-08,牛,和牛,上場頭数(生体),327.0
2024-05-08,牛,和牛,上場頭数(搬入),55.0
2024-05-08,牛,交雑種,本日と畜,60.0
2024-05-08,牛,交雑種,上場頭数(生体),73.0
2024-05-08,牛,交雑種,上場頭数(搬入),16.0
2024-05-08,牛,乳牛,本日と畜,0.0
2024-05-08,牛,乳牛,上場頭数(生体),0.0
2024-05-08,牛,乳牛,上場頭数(搬入),38.0
2024-05-08,牛,計,本日と畜,399.0
2024-05-08,牛,計,上場頭数(生体),400.0
2024-05-08,牛,計,上場頭数(搬入),109.0
2024-05-08,馬,,本日と畜,0.0
2024-05-08,馬,,上場頭数(生体),0.0
2024-05-08,馬,,上場頭数(搬入),0.0
2024-05-08,豚,,本日と畜,1007.0
2024-05-08,豚,,上場頭数(生体),934.0
2024-05-08,豚,,上場頭数(搬入),2.0
2024-05-08,こ牛,,本日と畜,0.0
2024-05-08,こ牛,,上場頭数(生体),0.0
2024-05-08,こ牛,,上場頭数(搬入),1.0
2024-05-09,牛,和牛,本日と畜,286.0
2024-05-09,牛,和牛,上場頭数(生体),339.0
2024-05-09,牛,和牛,上場頭数(搬入),78.0
2024-05-09,牛,交雑種,本日と畜,112.0
