年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
2016-03,95.3,94,93.5,93.4,95.2,96.4,89.8,98.2,96.8,97.8,95.5
2016-04,94.8,93.9,92,91.8,96.4,97.1,85.2,101.2,95.8,95.6,96.5
2016-05,94.1,93.4,91.6,91.5,93,96.7,101.9,95.6,95,94.9,95.2
2016-06,95.3,94.2,94.4,94.7,93,95.3,91.1,98.3,96.5,96.8,95.1
2016-07,94,94.1,93.7,93.3,96.2,92.6,84,96.3,93.5,93.6,94.2
2016-08,97.6,99.9,102.5,102.6,100.4,95.3,87.2,98.2,95,94.7,95.5
2016-09,95.2,94.8,95.5,95.3,96.3,92,83.3,95.9,97.3,99.4,95.1
2016-10,93.6,92.6,95.5,95.2,97.9,88.1,82.9,90.6,95,95.3,93.7
2016-11,93,92.4,95.8,95.5,97.7,87.3,79.8,90.9,93.9,95.2,92.8
2016-12,98.7,99.1,106.5,107.1,99.7,87.3,80.3,90.5,98.5,99.1,97.8
2017-01,92.1,89.7,94.4,93.9,99.1,79.9,75.2,82.4,95.4,96.9,93.2
2017-02,91.5,89.4,91.7,91.2,97.9,85.2,78.7,88.2,94.4,94.1,93.2
2017-03,93.8,91.7,92.4,91.8,99.5,91.7,84.1,93.9,96.6,98.1,94.5
2017-04,93.3,91.5,93,92.4,99.3,89.8,81.9,92.6,95.4,97.4,92.4
2017-05,92.8,92.1,95.4,95.2,98.6,87.8,80.4,92,93.3,93.9,92.2
2017-06,92.4,90.2,92.7,92,100.6,86.6,77.1,91.4,95.6,95.9,93.9
2017-07,94.3,93.6,95.7,95.6,96.5,88.5,77.3,93.4,94.8,97.4,91.9
2017-08,92.8,91.5,92.8,91.8,101.4,88.7,78.8,92.8,95.1,97.5,91.6
2017-09,93.6,94.4,94.8,93.9,102.8,92.2,81.5,97.2,93.9,96.5,90.6
2017-10,94.6,96.2,97.6,97.7,96.7,94.2,82.3,99.9,92.5,93.5,89.9
2017-11,95.1,96.8,98.5,98,103.5,94.7,84.6,99.3,92.7,96.5,87.7
2017-12,95.5,97.7,99,98.6,102.5,96.1,84.7,101.3,92.6,96.1,87.1
2018-01,93.5,95.1,94.2,94,97.2,94.9,80.8,101.7,91.1,93.9,86.5
2018-02,92.3,91.6,92.9,91.5,105,91.2,86.6,92.2,92.1,95.5,86.2
2018-03,96.1,97.6,98.5,98.1,106.6,96.2,85.9,99.6,93.2,95.1,91.4
2018-04,93.5,95.9,96.1,95.7,102.7,95,85.6,98.8,89.8,94.1,83.9
2018-05,95.9,98.1,98.7,98.2,105.4,96.8,88.2,102,92.9,96.7,87.4
2018-06,93.3,91.9,92.3,91,106.9,92.3,86.2,95.1,93.1,98.6,85.5
2018-07,94.6,96.5,97.8,97.2,105.8,93.3,85.8,96.8,91.9,95.6,86.2
2018-08,95.7,98.8,103,101.3,102.8,92.3,84.4,94.9,91.9,97,84.4
2018-09,95.2,97.7,97.7,97.4,101.8,96.6,81.9,103.7,92.5,97.2,85.3
2018-10,95.3,96.6,94.2,93.1,106.7,100.3,85,107.5,93.8,98.3,86
2018-11,97.1,101,96.8,96.1,106.1,108.8,83.4,122.8,93.3,96.3,88.4
2018-12,95.5,96.8,95.1,94.4,105,99.3,86.1,105.3,94.1,98.4,86.8
2019-01,90.9,92,91.2,89.7,104,92.6,87,94.3,89.7,88.5,88.8
2019-02,93.6,96.4,95.2,94.5,104.8,99.1,87.5,104.2,88,89.9,85.6
2019-03,93.2,95.7,96,95.7,98.9,95.4,83.2,100.5,88.5,90.2,86.4
2019-04,95.5,99.4,102,102.1,103.5,97.6,87.6,102.5,89.9,94.2,85.2
2019-05,93.5,97.9,98.9,98.6,103.3,97.6,94.6,99.2,87.5,89.5,84.2
2019-06,92.6,97,95.7,95.1,102.3,99.6,93.8,102.3,86,87.8,83.3
2019-07,92.8,96.9,96.4,95.8,102.8,97.6,95,98.9,87,89.7,82.6
2019-08,95.4,99.2,98.4,96.7,101.6,100.4,101.1,101.2,90.1,92.9,85.4
2019-09,95,102.1,103.6,104.2,96.9,98.8,96.7,100,84.8,86.7,81.8
2019-10,91.5,96.6,94.3,94.8,96,99.8,94.6,102.3,84.4,87.9,78.4
2019-11,90.4,95.6,94.1,94.1,96.2,95.8,85.6,99.7,83.2,86.5,78.7
2019-12,90.9,98.2,99.8,100.9,88,95,90.2,97.2,81,83.9,76.9
2020-01,89,91,90.3,90.6,87.4,91.6,87.8,92.9,89.5,92.7,82.6
2020-02,89.3,90.5,91.4,92.1,84.9,90.4,85.2,92.6,85.3,89,81.4
2020-03,84.3,86.3,84.9,84.8,85.1,91.6,79.6,96.7,81.5,83.3,79.5
2020-04,80.8,84,86.6,87,83.5,80.4,73.7,83.8,74.2,74.7,74.2
2020-05,74.8,76.6,81.8,81.7,81.7,68.7,49.5,77.6,72,70,74.4
2020-06,76.5,77.6,80.8,80.5,85.1,70.9,53.1,79.7,74.6,71.1,78.8
2020-07,75.2,75.9,76.3,76.7,74.7,74.2,51.5,83.6,74,71,78.1
2020-08,77.7,81.1,81.4,82.1,75.2,77.2,61,84.2,75.3,72.7,77.3
2020-09,75.9,74.2,73.4,73,77.7,75.3,63.2,80.8,77.7,79.7,77
2020-10,79.2,80.4,83.7,84.4,78,75,63.9,79.6,77.4,75.7,80
2020-11,79,81.5,85.3,86.2,75.3,76.7,66.3,81.2,76.7,75.3,79
2020-12,80.1,81.7,85.9,86.9,72.4,75.7,58.5,83.1,76.3,75.4,78.9
2021-01,82.7,86.8,93.1,94.8,74.8,75.7,63.5,81.1,79.9,78.3,80.7
2021-02,83.1,85.7,92.4,94,74.5,73.4,52,81.8,78.5,77.8,77.9
2021-03,83.4,84.5,89.2,90,76,77.1,63.6,82.9,79.7,79.8,79.2
2021-04,87.6,91.2,99,101.2,76.5,78.9,70.8,82.9,80.7,82.1,80.1
2021-05,88.1,94,103.9,106.7,76.2,79.1,73.3,83.6,79.7,81.6,78
2021-06,93.9,100.8,107.2,111.3,77.1,85.1,88.9,86.8,82.9,87.5,77.4
2021-07,89.5,96.1,101.8,104.2,76.7,87.5,85.1,87.4,80.2,84.6,71.7
2021-08,82.2,87,91,92.6,77.5,78.8,67.1,83.5,78.4,79.2,75.6
2021-09,84.5,90.9,98.3,100.1,78.6,74.6,59.9,81,75.4,76.5,75.8
2021-10,84.7,91.4,101.1,103.1,81,75.7,64,80.8,75.5,75.9,74.7
2021-11,86.5,93.9,103.1,105.2,81.8,78.5,72.4,81,76.4,77.6,74.4
2021-12,84.7,91.6,98.5,100,80.2,80.4,78,81.2,73.3,72.8,75
2022-01,85.7,93.7,104.4,106.6,81.9,74.8,61.5,80,75.9,73.1,78.1
2022-02,91,99.7,110.4,112.9,79.1,78.7,75.5,79.3,78.3,77.6,78.8
2022-03,86.9,90,99.1,101.1,76.4,76.4,67.8,80.2,82,83.3,79.5
2022-04,89.5,96.7,106.4,109.2,76.7,80.3,73.1,83.9,77.8,78.6,78.9
2022-05,88.6,95.3,105.1,108.1,74.2,79.4,66.2,87.3,79.4,77.3,81.9
2022-06,91.3,98.7,107.2,110.5,72.2,78.1,72.9,82,79.8,80.7,78.2
2022-07,88.5,95.3,105.1,108.1,73.2,78.9,72.8,80.3,78.8,78.2,78.5
2022-08,89.2,94.8,106.7,109.6,75.8,75.7,66,79.8,81.7,83.9,78.9
2022-09,86,91.3,98.9,101.2,76.6,75.1,70.8,76.7,79.3,79.8,79.9
2022-10,89,95.8,108.5,111.9,75.3,74.8,65.2,79,79.4,79.1,79.6
2022-11,86.6,91.7,101.9,104.2,77.7,74.7,67.3,77.9,79.1,79.2,79
2022-12,90.8,97.4,108.5,111.7,75.4,79.1,70.8,82.8,80.4,80.8,80.5
2023-01,83.2,92,105.3,108.6,71.7,69,48,77.8,72.2,73.2,69.3
2023-02,83.3,90.3,96.8,98.6,73.7,77.4,65.8,82,73.1,75.8,68.4
2023-03,86.1,93.6,103.1,105.5,76.4,79.2,66.6,84.9,73.8,75.4,70.8
2023-04,87,93,99.1,101,78.1,81.9,75.3,85.3,77.3,78.9,77.1
2023-05,79.1,82.5,84.2,84.9,76.7,80.1,64.8,88.9,74.4,78.6,67.8
2023-06,89.3,98.5,105.8,108.1,79.6,80.3,74.6,84.6,75.2,84.5,61.9
2023-07,87.4,98,103.4,105.9,77,89.1,87,88.7,72,80.1,58.1
2023-08,82.5,88.8,92.9,93.9,82.8,82.4,82.1,82.8,73.9,84.6,58.3
2023-09,79.5,84.8,86,87,78.3,81.1,70.2,85.9,72.6,84.8,55.8
2023-10,82.7,91.1,97.1,99,76.6,81.3,79.4,82.3,70.7,78.9,57.6
2023-11,78.3,82.1,84.6,85.8,71.2,78.2,63.6,84.9,72.6,81.2,58.6
2023-12,87.7,95.2,103.7,106.4,76.3,81,55.3,92.7,76.3,86.4,60.9

東京都工業指数 月次指数（平成２７年基準）平成２５年１月～令和５年１２月,,,,,,,,,,,
生産指数（特殊分類別、季節調整済指数）,,,,,,,,,,,
（注）最終月は速報値である。,,,,,,,,,,,
