年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）
実数／男／平成14年１～３月平均,2002,01～03,364,630,261,245,518,104,72,166,101,142,559
実数／男／平成14年４～６月平均,2002,04～06,347,634,241,238,577,99,75,170,89,100,493
実数／男／平成14年７～９月平均,2002,07～09,323,578,298,262,583,91,80,164,78,139,512
実数／男／平成14年10～12月平均,2002,10～12,352,551,271,271,560,87,79,167,75,149,513
実数／男／平成15年１～３月平均,2003,01～03,359,578,314,250,485,98,67,178,101,147,478
実数／男／平成15年４～６月平均,2003,04～06,347,589,390,217,582,131,77,164,85,92,520
実数／男／平成15年７～９月平均,2003,07～09,315,526,370,243,603,98,75,143,94,125,523
実数／男／平成15年10～12月平均,2003,10～12,315,520,274,261,544,123,75,184,98,128,541
実数／男／平成16年１～３月平均,2004,01～03,350,552,330,210,510,117,73,153,108,137,479
実数／男／平成16年４～６月平均,2004,04～06,337,543,345,175,590,108,67,170,78,109,546
実数／男／平成16年７～９月平均,2004,07～09,336,534,337,219,582,92,73,132,96,106,573
実数／男／平成16年10～12月平均,2004,10～12,309,507,295,211,597,141,62,149,93,147,555
実数／男／平成17年１～３月平均,2005,01～03,315,516,318,209,573,99,84,177,105,138,514
実数／男／平成17年４～６月平均,2005,04～06,324,600,295,189,543,123,87,183,91,108,583
実数／男／平成17年７～９月平均,2005,07～09,342,581,319,229,484,98,108,152,113,120,538
実数／男／平成17年10～12月平均,2005,10～12,329,492,323,242,559,131,83,168,99,143,559
実数／男／平成18年１～３月平均,2006,01～03,305,548,342,252,547,110,103,153,90,141,533
実数／男／平成18年４～６月平均,2006,04～06,353,606,358,252,559,117,98,156,102,132,569
実数／男／平成18年７～９月平均,2006,07～09,331,526,348,254,509,120,114,179,125,127,580
実数／男／平成18年10～12月平均,2006,10～12,299,489,310,262,517,128,86,151,99,110,607
実数／男／平成19年１～３月平均,2007,01～03,328,593,402,269,564,120,108,154,109,134,558
実数／男／平成19年４～６月平均,2007,04～06,375,637,375,238,595,127,92,151,113,134,558
実数／男／平成19年７～９月平均,2007,07～09,348,548,358,222,634,143,99,193,128,137,631
実数／男／平成19年10～12月平均,2007,10～12,339,578,372,262,590,149,105,159,115,128,611
実数／男／平成20年１～３月平均,2008,01～03,344,614,397,259,597,149,101,173,104,122,591
実数／男／平成20年４～６月平均,2008,04～06,335,593,355,211,641,165,97,168,100,148,614
実数／男／平成20年７～９月平均,2008,07～09,356,585,399,238,579,153,106,170,141,118,612
実数／女／平成14年平均,2002,,67,244,112,48,473,114,53,178,276,122,408
実数／女／平成15年平均,2003,,66,221,114,54,475,95,56,186,313,127,409
実数／女／平成16年平均,2004,,78,208,117,48,492,116,45,173,330,130,428
実数／女／平成17年平均,2005,,58,219,121,49,494,107,49,173,374,134,429
実数／女／平成18年平均,2006,,59,225,121,54,514,98,55,182,373,137,477
実数／女／平成19年平均,2007,,62,218,134,55,533,108,61,189,356,132,502
実数／女／平成14年１～３月平均,2002,01～03,74,259,106,51,473,104,53,159,276,128,408
実数／女／平成14年４～６月平均,2002,04～06,75,261,127,47,468,109,46,183,290,97,398
実数／女／平成14年７～９月平均,2002,07～09,55,214,104,39,464,129,57,188,278,124,398
実数／女／平成14年10～12月平均,2002,10～12,65,241,109,57,487,113,56,182,260,139,428
実数／女／平成15年１～３月平均,2003,01～03,59,231,99,51,445,81,79,168,282,128,431
実数／女／平成15年４～６月平均,2003,04～06,75,219,138,49,467,83,40,170,313,127,400
実数／女／平成15年７～９月平均,2003,07～09,65,196,111,54,532,113,51,198,341,132,414
実数／女／平成15年10～12月平均,2003,10～12,64,240,106,63,454,102,53,208,317,120,392
実数／女／平成16年１～３月平均,2004,01～03,62,218,124,46,480,109,52,156,292,104,437
実数／女／平成16年４～６月平均,2004,04～06,106,214,138,39,490,105,41,156,316,163,429
実数／女／平成16年７～９月平均,2004,07～09,75,198,109,54,531,121,43,195,338,133,436
実数／女／平成16年10～12月平均,2004,10～12,70,201,96,51,468,128,42,183,373,122,410
実数／女／平成17年１～３月平均,2005,01～03,68,208,135,48,458,103,39,157,337,115,444
実数／女／平成17年４～６月平均,2005,04～06,63,227,129,47,474,86,42,153,398,155,422
実数／女／平成17年７～９月平均,2005,07～09,47,213,119,59,513,117,56,187,382,140,414
実数／女／平成17年10～12月平均,2005,10～12,53,230,103,44,532,121,60,196,381,126,435
実数／女／平成18年１～３月平均,2006,01～03,70,235,118,58,507,96,67,168,321,134,488
実数／女／平成18年４～６月平均,2006,04～06,64,222,120,52,479,85,58,187,396,154,519
実数／女／平成18年７～９月平均,2006,07～09,46,224,145,62,541,108,43,185,395,142,465
実数／女／平成18年10～12月平均,2006,10～12,57,220,101,44,528,103,52,186,379,119,436
実数／女／平成19年１～３月平均,2007,01～03,71,250,114,65,534,93,75,180,330,113,472
実数／女／平成19年４～６月平均,2007,04～06,63,220,126,56,507,92,73,180,354,125,538
実数／女／平成19年７～９月平均,2007,07～09,57,204,154,60,590,124,49,196,362,142,502
実数／女／平成19年10～12月平均,2007,10～12,56,199,141,40,500,122,49,201,378,149,496
実数／女／平成20年１～３月平均,2008,01～03,72,230,141,62,533,124,66,206,339,148,453
実数／女／平成20年４～６月平均,2008,04～06,66,209,117,51,580,125,58,194,377,155,476
実数／女／平成20年７～９月平均,2008,07～09,62,202,126,48,513,131,56,192,399,162,495
対前年・前年同期増減数／男女計／平成15年平均,2003,,-14,-67,72,-5,-4,-2,-1,8,45,-4,-2
対前年・前年同期増減数／男女計／平成16年平均,2004,,11,-33,-8,-46,34,23,-16,-29,16,5,41
対前年・前年同期増減数／男女計／平成17年平均,2005,,-26,25,-8,16,-28,-10,27,19,53,6,12
対前年・前年同期増減数／男女計／平成18年平均,2006,,-4,1,26,42,12,-3,15,-1,1,4,71
対前年・前年同期増減数／男女計／平成19年平均,2007,,28,39,50,-6,82,26,7,11,-5,1,43
対前年・前年同期増減数／男女計／平成15年１～３月平均,2003,01～03,-19,-80,46,6,-61,-28,21,21,6,6,-58
対前年・前年同期増減数／男女計／平成15年４～６月平均,2003,04～06,2,-88,160,-19,4,6,-4,-18,18,21,29
対前年・前年同期増減数／男女計／平成15年７～９月平均,2003,07～09,2,-70,79,-3,88,-10,-11,-11,78,-6,27
対前年・前年同期増減数／男女計／平成15年10～12月平均,2003,10～12,-39,-32,0,-4,-50,25,-6,43,80,-38,-8
対前年・前年同期増減数／男女計／平成16年１～３月平均,2004,01～03,-7,-39,40,-45,60,47,-19,-37,16,-35,6
対前年・前年同期増減数／男女計／平成16年４～６月平均,2004,04～06,21,-50,-45,-52,31,0,-9,-8,-3,53,55
対前年・前年同期増減数／男女計／平成16年７～９月平均,2004,07～09,31,9,-36,-24,-22,2,-10,-14,0,-18,72
対前年・前年同期増減数／男女計／平成16年10～12月平均,2004,10～12,0,-51,10,-62,69,43,-25,-60,51,20,33
対前年・前年同期増減数／男女計／平成17年１～３月平均,2005,01～03,-29,-46,-1,1,41,-24,-4,25,42,13,43
対前年・前年同期増減数／男女計／平成17年４～６月平均,2005,04～06,-58,70,-59,22,-63,-5,22,8,95,-9,30
対前年・前年同期増減数／男女計／平成17年７～９月平均,2005,07～09,-22,63,-7,15,-116,3,48,13,61,21,-56
対前年・前年同期増減数／男女計／平成17年10～12月平均,2005,10～12,3,13,35,24,25,-17,39,31,14,1,28
対前年・前年同期増減数／男女計／平成18年１～３月平均,2006,01～03,-9,59,7,52,23,4,47,-13,-30,21,62
対前年・前年同期増減数／男女計／平成18年４～６月平均,2006,04～06,31,0,54,68,21,-7,26,8,9,23,83
対前年・前年同期増減数／男女計／平成18年７～９月平均,2006,07～09,-12,-44,56,28,52,13,-7,24,25,9,92
対前年・前年同期増減数／男女計／平成18年10～12月平均,2006,10～12,-27,-12,-14,20,-46,-21,-5,-26,-2,-41,50
対前年・前年同期増減数／男女計／平成19年１～３月平均,2007,01～03,25,59,56,24,44,7,14,13,29,-28,10
対前年・前年同期増減数／男女計／平成19年４～６月平均,2007,04～06,22,30,23,-10,64,16,8,-12,-31,-27,8
対前年・前年同期増減数／男女計／平成19年７～９月平均,2007,07～09,28,1,18,-34,175,39,-10,24,-30,10,88
対前年・前年同期増減数／男女計／平成19年10～12月平均,2007,10～12,40,67,103,-4,44,40,16,21,15,48,63
対前年・前年同期増減数／男女計／平成20年１～３月平均,2008,01～03,18,2,22,-12,32,60,-16,44,4,23,14
対前年・前年同期増減数／男女計／平成20年４～６月平均,2008,04～06,-38,-56,-29,-31,119,72,-9,31,9,43,-6
対前年・前年同期増減数／男女計／平成20年７～９月平均,2008,07～09,14,36,14,4,-132,17,15,-27,50,1,-27
対前年・前年同期増減数／男／平成15年平均,2003,,-12,-45,69,-11,-7,17,-3,0,8,-9,-4
対前年・前年同期増減数／男／平成16年平均,2004,,-1,-19,-11,-39,17,3,-4,-16,0,2,23
対前年・前年同期増減数／男／平成17年平均,2005,,-5,13,-13,13,-30,-2,21,19,8,2,11
対前年・前年同期増減数／男／平成18年平均,2006,,-6,-5,27,38,-7,6,10,-10,2,1,23
対前年・前年同期増減数／男／平成19年平均,2007,,26,47,37,-7,63,16,1,4,12,5,17
対前年・前年同期増減数／男／平成15年１～３月平均,2003,01～03,-5,-52,53,5,-33,-6,-5,12,0,5,-81
対前年・前年同期増減数／男／平成15年４～６月平均,2003,04～06,0,-45,149,-21,5,32,2,-6,-4,-8,27
対前年・前年同期増減数／男／平成15年７～９月平均,2003,07～09,-8,-52,72,-19,20,7,-5,-21,16,-14,11
対前年・前年同期増減数／男／平成15年10～12月平均,2003,10～12,-37,-31,3,-10,-16,36,-4,17,23,-21,28
対前年・前年同期増減数／男／平成16年１～３月平均,2004,01～03,-9,-26,16,-40,25,19,6,-25,7,-10,1
対前年・前年同期増減数／男／平成16年４～６月平均,2004,04～06,-10,-46,-45,-42,8,-23,-10,6,-7,17,26
対前年・前年同期増減数／男／平成16年７～９月平均,2004,07～09,21,8,-33,-24,-21,-6,-2,-11,2,-19,50
対前年・前年同期増減数／男／平成16年10～12月平均,2004,10～12,-6,-13,21,-50,53,18,-13,-35,-5,19,14
対前年・前年同期増減数／男／平成17年１～３月平均,2005,01～03,-35,-36,-12,-1,63,-18,11,24,-3,1,35
対前年・前年同期増減数／男／平成17年４～６月平均,2005,04～06,-13,57,-50,14,-47,15,20,13,13,-1,37
対前年・前年同期増減数／男／平成17年７～９月平均,2005,07～09,6,47,-18,10,-98,6,35,20,17,14,-35
対前年・前年同期増減数／男／平成17年10～12月平均,2005,10～12,20,-15,28,31,-38,-10,21,19,6,-4,4
対前年・前年同期増減数／男／平成18年１～３月平均,2006,01～03,-10,32,24,43,-26,11,19,-24,-15,3,19
対前年・前年同期増減数／男／平成18年４～６月平均,2006,04～06,29,6,63,63,16,-6,11,-27,11,24,-14
対前年・前年同期増減数／男／平成18年７～９月平均,2006,07～09,-11,-55,29,25,25,22,6,27,12,7,42
対前年・前年同期増減数／男／平成18年10～12月平均,2006,10～12,-30,-3,-13,20,-42,-3,3,-17,0,-33,48
対前年・前年同期増減数／男／平成19年１～３月平均,2007,01～03,23,45,60,17,17,10,5,1,19,-7,25
対前年・前年同期増減数／男／平成19年４～６月平均,2007,04～06,22,31,17,-14,36,10,-6,-5,11,2,-11
対前年・前年同期増減数／男／平成19年７～９月平均,2007,07～09,17,22,10,-32,125,23,-15,14,3,10,51
対前年・前年同期増減数／男／平成19年10～12月平均,2007,10～12,40,89,62,0,73,21,19,8,16,18,4
対前年・前年同期増減数／男／平成20年１～３月平均,2008,01～03,16,21,-5,-10,33,29,-7,19,-5,-12,33
対前年・前年同期増減数／男／平成20年４～６月平均,2008,04～06,-40,-44,-20,-27,46,38,5,17,-13,14,56
対前年・前年同期増減数／男／平成20年７～９月平均,2008,07～09,8,37,41,16,-55,10,7,-23,13,-19,-19
対前年・前年同期増減数／女／平成15年平均,2003,,-1,-23,2,6,2,-19,3,8,37,5,1
対前年・前年同期増減数／女／平成16年平均,2004,,12,-13,3,-6,17,21,-11,-13,17,3,19
対前年・前年同期増減数／女／平成17年平均,2005,,-20,11,4,1,2,-9,4,0,44,4,1
対前年・前年同期増減数／女／平成18年平均,2006,,1,6,0,5,20,-9,6,9,-1,3,48
対前年・前年同期増減数／女／平成19年平均,2007,,3,-7,13,1,19,10,6,7,-17,-5,25
対前年・前年同期増減数／女／平成15年１～３月平均,2003,01～03,-15,-28,-7,0,-28,-23,26,9,6,0,23
対前年・前年同期増減数／女／平成15年４～６月平均,2003,04～06,0,-42,11,2,-1,-26,-6,-13,23,30,2
対前年・前年同期増減数／女／平成15年７～９月平均,2003,07～09,10,-18,7,15,68,-16,-6,10,63,8,16
対前年・前年同期増減数／女／平成15年10～12月平均,2003,10～12,-1,-1,-3,6,-33,-11,-3,26,57,-19,-36
対前年・前年同期増減数／女／平成16年１～３月平均,2004,01～03,3,-13,25,-5,35,28,-27,-12,10,-24,6
対前年・前年同期増減数／女／平成16年４～６月平均,2004,04～06,31,-5,0,-10,23,22,1,-14,3,36,29
対前年・前年同期増減数／女／平成16年７～９月平均,2004,07～09,10,2,-2,0,-1,8,-8,-3,-3,1,22
対前年・前年同期増減数／女／平成16年10～12月平均,2004,10～12,6,-39,-10,-12,14,26,-11,-25,56,2,18
対前年・前年同期増減数／女／平成17年１～３月平均,2005,01～03,6,-10,11,2,-22,-6,-13,1,45,11,7
対前年・前年同期増減数／女／平成17年４～６月平均,2005,04～06,-43,13,-9,8,-16,-19,1,-3,82,-8,-7
対前年・前年同期増減数／女／平成17年７～９月平均,2005,07～09,-28,15,10,5,-18,-4,13,-8,44,7,-22
対前年・前年同期増減数／女／平成17年10～12月平均,2005,10～12,-17,29,7,-7,64,-7,18,13,8,4,25
対前年・前年同期増減数／女／平成18年１～３月平均,2006,01～03,2,27,-17,10,49,-7,28,11,-16,19,44
対前年・前年同期増減数／女／平成18年４～６月平均,2006,04～06,1,-5,-9,5,5,-1,16,34,-2,-1,97
対前年・前年同期増減数／女／平成18年７～９月平均,2006,07～09,-1,11,26,3,28,-9,-13,-2,13,2,51
対前年・前年同期増減数／女／平成18年10～12月平均,2006,10～12,4,-10,-2,0,-4,-18,-8,-10,-2,-7,1
対前年・前年同期増減数／女／平成19年１～３月平均,2007,01～03,1,15,-4,7,27,-3,8,12,9,-21,-16
対前年・前年同期増減数／女／平成19年４～６月平均,2007,04～06,-1,-2,6,4,28,7,15,-7,-42,-29,19
対前年・前年同期増減数／女／平成19年７～９月平均,2007,07～09,11,-20,9,-2,49,16,6,11,-33,0,37
対前年・前年同期増減数／女／平成19年10～12月平均,2007,10～12,-1,-21,40,-4,-28,19,-3,15,-1,30,60
対前年・前年同期増減数／女／平成20年１～３月平均,2008,01～03,1,-20,27,-3,-1,31,-9,26,9,35,-19
対前年・前年同期増減数／女／平成20年４～６月平均,2008,04～06,3,-11,-9,-5,73,33,-15,14,23,30,-62
対前年・前年同期増減数／女／平成20年７～９月平均,2008,07～09,5,-2,-28,-12,-77,7,7,-4,37,20,-7
,,,,,,,,,,,,,
東京の労働力統計データ（平成20年７～９月平均）,,,,,,,,,,,,,
第５表　主な産業別雇用者数 ,,,,,,,,,,,,,
※サービス業は、他に分類されないものを言う。,,,,,,,,,,,,,
