,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
214,国分寺市,201,201,201,201,201,201,201,201,201,201,0,0,0,0,0
215,国立市,130,130,130,130,130,130,130,130,130,130,0,0,0,0,0
218,福生市,121,120,119,119,118,0,0,0,0,0,121,120,119,119,118
219,狛江市,154,155,156,157,156,0,0,0,0,0,154,155,156,157,156
220,東大和市,147,144,141,142,141,147,144,141,142,141,0,0,0,0,0
221,清瀬市,159,156,154,152,149,0,0,0,0,0,159,156,154,152,149
222,東久留米市,222,220,219,217,216,0,0,0,0,0,222,220,219,217,216
223,武蔵村山市,157,159,161,162,163,0,0,0,0,0,157,159,161,162,163
224,多摩市,254,254,254,254,254,235,235,235,235,235,19,19,19,19,19
225,稲城市,199,202,204,205,206,168,170,172,173,173,31,32,32,32,33
227,羽村市,104,104,103,103,103,104,104,103,103,103,0,0,0,0,0
228,あきる野市,189,189,189,188,187,189,189,189,188,187,0,0,0,0,0
229,西東京市,409,408,408,406,405,0,0,0,0,0,409,408,408,406,405
303,瑞穂町,71,71,71,71,71,71,71,71,71,71,0,0,0,0,0
305,日の出町,29,30,31,32,33,0,0,0,0,0,29,30,31,32,33
307,檜原村,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
308,奥多摩町,36,35,35,34,33,36,35,35,34,33,0,0,0,0,0
361,大島町,,,,,,,,,,,,,,,
362,利島村,,,,,,,,,,,,,,,
363,新島村,0,0,27,27,27,0,0,0,0,0,0,0,27,27,27
364,神津島村,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2
381,三宅村,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0
382,御蔵島村,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
401,八丈町,,,,,,,,,,,,,,,
402,青ヶ島村,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
421,小笠原村,13,13,13,13,13,0,0,0,0,0,13,13,13,13,13
,全区市町村合計,26668,26780,26930,27032,27110,10360,10380,10419,10444,10456,16308,16400,16511,16588,16654
,23区,18512,18628,18738,18843,18935,5464,5490,5518,5546,5566,13048,13138,13220,13297,13369
,多摩,8121,8117,8130,8127,8113,4876,4870,4881,4878,4870,3245,3247,3249,3249,3243
,島しょ,35,35,62,62,62,20,20,20,20,20,15,15,42,42,42
,合計,26668,26780,26930,27032,27110,10360,10380,10419,10444,10456,16308,16400,16511,16588,16654
,実施区市町村数（全62区市町村）,58,58,59,59,59,,,,,,,,,,
