区市町村名,分別回収,拠点回収,ピックアップ,イベント回収,窓口回収,その他,概要,回収場所等,対象品目,令和元年度上半期回収実績
武蔵野市,,,,,,〇,プラットホームでピックアップ回収後、都市鉱山開発事務所にて、市民団体等と連携し分解作業を行い、5品目のリサイクル部品の回収を実施(新施設工事のため休止中:11/14より再開予定）,武蔵野クリーンセンター（都市鉱山開発事務所）,電動機類、基板類、コード類、携帯電話（リチウム電池含む）、ハードディスク,0kg
三鷹市,,〇,,,,,平成26年９月から公共施設に回収ボックスを設置し、携帯電話やデジタルカメラなど小型電子機器等の拠点回収を実施,市民センター（２箇所）、各コミュニティ・センター（７箇所）、リサイクル市民工房（１箇所）,携帯電話端末及びＰＨＳ端末、デジタルカメラ、ゲーム機器などの小型家電（30cm×15cm未満）,携帯電話等 116kg／その他1321kg
三鷹市,,,〇,,,,不燃ごみ（最大辺が３０cm未満）及び粗大ごみとして回収した後、中間処理施設でピックアップしている,ふじみ衛生組合,携帯電話端末及びＰＨＳ端末、デジタルカメラ、ゲーム機、電気毛布、トースター、ステレオミニコンポ、カセットレコーダー、ビデオデッキ、DVDデッキ、加湿器、除湿器、空気清浄器、扇風機、掃除機、炊飯器、電子レンジ等その他家電製品,-
三鷹市,,,〇,,,〇,リネットジャパンと協定締結,宅配便による, パソコン（無料回収）やその他小型家電全般,6770.3㎏
青梅市,,,〇,,,,燃やさないごみ・粗大ごみとして回収した後、ピックアップしている,青梅市リサイクルセンター,カセットデッキ、DVDプレイヤー、ビデオデッキ、キーボード等,119130kg
青梅市,,,,,〇,,リサイクルセンターにて対面回収,青梅市リサイクルセンター,携帯電話、携帯音楽プレーヤー、タブレット端末等電子端末、カメラ（使い捨て除く）、携帯ゲーム機、電子辞書、カーナビ（ＥＴＣ等含む）、補助記憶装置、家電附属品、その他の家電製品,119130kg
青梅市,,,,,,,11月上旬に開催される青梅市産業観光まつり内にて回収ボックスを設置、回収,青梅産業観光まつり会場,携帯電話、携帯音楽プレーヤー、タブレット端末等電子端末、カメラ（使い捨て除く）、携帯ゲーム機、電子辞書、カーナビ（ＥＴＣ等含む）、補助記憶装置、家電附属品、その他の家電製品（30×15センチ以下の投入口に入る大きさ）,119130kg
青梅市,,〇,,,,,市の公共施設に専用の回収ボックスを設置し、市民に直接投函してもらう,市役所、リサイクルセンター、青梅市民センター、長淵市民センター、大門市民センター、梅郷市民センター、沢井市民センター、小曽木市民センター、成木市民センター、東青梅市民センター、新町市民センター、河辺市民センター、今井市民センター、総合体育館,携帯電話、携帯音楽プレーヤー、タブレット端末等電子端末、カメラ（使い捨て除く）、携帯ゲーム機、電子辞書、カーナビ（ＥＴＣ等含む）、補助記憶装置、家電附属品、その他の家電製品（30×15センチ以下の投入口に入る大きさ）,119130kg
青梅市,,,〇,,,,リネットジャパンと協定締結,宅配便による,パソコン、携帯電話、その他小型家電,2994kg
府中市,,,,〇,,,ごみ減量推進課が参加するイベントにて回収。,出展イベント会場,最大辺30㎝未満の家電製品（パソコンリサイクル法、家電リサイクル法対象品目を除く）,25.0kg
府中市,,,,,,〇,リネットジャパンと協定締結,宅配便による,小型家電リサイクル法対象品目,6276.4kg
府中市,,〇,,,,,スペシャルオリンピックス日本応援プログラムに基づき回収,市役所本庁舎,携帯電話、スマートフォン,39.0kg
昭島市,,〇,,,,,市の施設にボックスを設置し、対象品目を限定して、市民に直接投函してもらう,市役所本庁、玉川会館、朝日会館、富士見会館、昭和会館、緑会館、堀向会館、大神会館、福島会館、拝島会館、武蔵野会館、やまのかみ会館、水道部、市民会館・公民館、保健福祉センター、勤労商工市民センター、中神土地区画整理事務所、環境コミュニケーションセンター　全18か所,携帯電話、PHS端末、電話機、デジタルカメラ、ビデオカメラ（家庭用）、ゲーム機（据置型・携帯型)、テープレコーダー（デッキを除く）、デジタルオーディオ（フラッシュメモリ・HDD)、携帯型オーディオ（CD・MD)、電子辞書、ICレコーダー（15cm×30cmの投入口に入るもの）,300kg
昭島市,,,〇,,,,不燃ごみ及び粗大ごみとして回収した後、市の処理施設にてピックアップしている,昭島市環境コミュニケーションセンター,電子レンジ、小型プリンター、ビデオデッキ、掃除機、扇風機、オーディオ・アンプ類等,16239kg
昭島市,,,,,,〇,リネットジャパンと協定締結,宅配便による,重さ20kg以内・３辺合計140㎝以内のダンボールに入る大きさの電子機器,2073kg
調布市,,〇,,,,,市の公共施設に専用回収ボックスを設置し、対象品目を限定して、市民に直接投函してもらう,調布市役所，神代出張所，調布市クリーンセンター，利再来留（リサイクル）館，染地児童館,電話機，タブレット端末，ラジオ・ICレコーダー，デジタルカメラ・ビデオカメラ，携帯音楽プレーヤー，ＵＳＢメモリ等，電子辞書・電卓，電子血圧計・ヘルスゼsanitize][ター，ヘアドライヤー・電気カミソリ，電気時計，ゲーム機，カーナビ，ＡＣアダプター等コード類　等（縦15cm×横30cmの投入口に入るもの）,1608.4kg
調布市,,,,〇,,,出展イベント会場に専用回収ボックスを設置し、対象品目を限定して、市民に直接投函してもらう,出展イベント会場,電話機，タブレット端末，ラジオ・ICレコーダー，デジタルカメラ・ビデオカメラ，携帯音楽プレーヤー，ＵＳＢメモリ等，電子辞書・電卓，電子血圧計・ヘルスゼsanitize][ター，ヘアドライヤー・電気カミソリ，電気時計，ゲーム機，カーナビ，ＡＣアダプター等コード類　等（縦15cm×横30cmの投入口に入るもの）,0.1kg
調布市,,,,,,〇,自治会自主回収連携, 自治会主催の会場,電話機，タブレット端末，ラジオ・ICレコーダー，デジタルカメラ・ビデオカメラ，携帯音楽プレーヤー，ＵＳＢメモリ等，電子辞書・電卓，電子血圧計・ヘルスゼsanitize][ター，ヘアドライヤー・電気カミソリ，電気時計，ゲーム機，カーナビ，ＡＣアダプター等コード類　等（縦15cm×横30cmの投入口に入るもの）,13.9kg
町田市,,,〇,,,,粗大ごみとして収集ならびに持ち込まれたものを、清掃工場にてピックアップしている,町田市清掃工場,パソコンリサイクル法、家電リサイクル法の対象品目以外の家電製品,63560kg
町田市,,〇,,,,,市の施設にボックスを設置し、対象品目を限定して、市民に直接投函してもらう,市役所、忠生市民センター、鶴川市民センター、南市民センター、なるせ駅前市民センター、堺市民センター、小山市民センター、町田リサイクル文化センター、南収集事務所、町田駅前連絡所、鶴川駅前連絡所、木曽山?コミュニティセンター、玉川学園コミュニティセンター、成瀬コミュニティセンター、つくし野コミュニティセンター、木曽森野コミュニティセンター、三輪コミュニティセンター、生涯学習センター、中央図書館、町田市民文学館ことばらんど、総合体育館、サン町田旭体育館、の計２２ヶ所(南町田駅前連絡所、市立室内プール[sanitize]休止中）,タブレット型情報通信端末、電話機、ファクシミリ、ラジオ、デジタルカメラ、ポータブルビデオカメラ、映像機器、電子書籍端末、電子辞書、ゲーム機、付属品等30㎝×15㎝の投入口に入る大きさの小型電子機器、携帯電話、スマートフォン,3111kg 
町田市,,,,,〇,,リサイクル広場（常設、移動、地域）において、対象品目を限定して、市民に直接持参してもらう,リサイクル広場、地域リサイクル広場、移動リサイクル広場（※「移動リサイクル広場」の開催日については、町田市のホームページにてご確認ください。）,タブレット型情報通信端末、電話機、ファクシミリ、ラジオ、デジタルカメラ、ポータブルビデオカメラ、映像機器、電子書籍端末、電子辞書、ゲーム機、付属品等30㎝×15㎝の投入口に入る大きさの小型電子機器、携帯電話、スマートフォン,1553kg 
町田市,,,,,,〇,リネットジャパンと協定締結,宅配便による,タブレット型情報通信端末、電話機、ファクシミリ、ラジオ、デジタルカメラ、ポータブルビデオカメラ、映像機器、電子書籍端末、電子辞書、ゲーム機小型電子機器、パソコン、携帯電話、PHS、付属品等、重さ20kg以内・３辺合計140㎝以内のダンボールに入る大きさの電子機器,13038kg
小金井市,,,〇,,,,粗大ごみ、燃やさないごみとして回収した後、市の中間処理場にてピックアップしている,小金井市中間処理場,オーディオ・アンプ類、デジタルカメラ、ゲーム機、ミシン、携帯電話、ビデオデッキ、音楽用キーボード等,13530kg
小金井市,,〇,,,,,スペシャルオリンピックス応援プログラム携帯電話専用回収ボックス,市役所第２庁舎,携帯電話・スマートフォン, 0kg
小平市,,,,,〇,,資源循環課窓口で対面による回収を実施,リサイクルセンター（環境部資源循環課）,ＡＣアダプタ、ＥＴＣ車載ユニット、ＩＣレコーダー、ＵＳＢメモリ、イヤホン、カーオーディオ、カーナビ、懐中電灯、携帯音楽プレーヤー、携帯型ゲーム機、携帯電話、ケーブル、充電器、据置型ゲーム機、卓上計算機、デジタルカメラ、電気かみそり、電気バリカン、電子血圧計、電子体温計、電子体重計、電子手帳、電動歯ブラシ、電話機、時計、ハードディスク、フィルムカメラ、ヘアーアイロン、ヘアードライヤー、ヘッドホン、ポータブルカーナビ、ポータブルビデオカメラ、補聴器、メモリーカード、ラジオ、リモコン,211
小平市,,,,〇,,,イベントでの回収及び日時・場所を設け、市内拠点で対面による回収を実施,ごみゼロフリーマーケット会場、こだいら環境フェスティバル会場、御幸地域センター,ＡＣアダプタ、ＥＴＣ車載ユニット、ＩＣレコーダー、ＵＳＢメモリ、イヤホン、カーオーディオ、カーナビ、懐中電灯、携帯音楽プレーヤー、携帯型ゲーム機、携帯電話、ケーブル、充電器、据置型ゲーム機、卓上計算機、デジタルカメラ、電気かみそり、電気バリカン、電子血圧計、電子体温計、電子体重計、電子手帳、電動歯ブラシ、電話機、時計、ハードディスク、フィルムカメラ、ヘアーアイロン、ヘアードライヤー、ヘッドホン、ポータブルカーナビ、ポータブルビデオカメラ、補聴器、メモリーカード、ラジオ、リモコン,58
小平市,,〇,,,,,市の施設にボックスを設置し、対象品目を限定して、市民に直接投函してもらう,市役所、東部市民センター、西部市民センター、中央図書館、喜平図書館、上宿図書館、津田図書館、大沼図書館、なかまちテラス、鈴木公民館,ＡＣアダプタ、ＥＴＣ車載ユニット、ＩＣレコーダー、ＵＳＢメモリ、イヤホン、カーオーディオ、カーナビ、懐中電灯、携帯音楽プレーヤー、携帯型ゲーム機、携帯電話、ケーブル、充電器、据置型ゲーム機、卓上計算機、デジタルカメラ、電気かみそり、電気バリカン、電子血圧計、電子体温計、電子体重計、電子手帳、電動歯ブラシ、電話機、時計、ハードディスク、フィルムカメラ、ヘアーアイロン、ヘアードライヤー、ヘッドホン、ポータブルカーナビ、ポータブルビデオカメラ、補聴器、メモリーカード、ラジオ、リモコン,3221
小平市,,,,,,〇,リネットジャパンと協定締結,宅配便による,,2770.2
日野市,,〇,,,,,個人情報の漏洩不安から戸別収集に出せない携帯端末やパソコンを拠点収集で行っている。,市役所1階市民相談窓口、七生支所、豊田駅連絡所、クリーンセンター,回収ボックスの投入口（縦5㎝×横30センチ）に入る携帯端末、デジタルカメラ、ノート型パソコン等,下記に含む
日野市,〇,,,,,,対象品目を指定し、45L以下の中身の見える袋に入れ、道路に面した自宅敷地内（集合住宅は決められた場所）に出してもらう,戸建住宅は道路に面した自宅敷地内、集合住宅は決められた排出場所,（小型家電）携帯電話、携帯音楽プレーヤー類、デジタルカメラ、ビデオカメラ、電子辞書、ICレコーダー、携帯型ゲーム機、ラジオ、CDデッキ、DVDデッキ、ビデオデッキ、ゲーム機、電話、時計、リモコン、炊飯器、ホットプレート、トースター、電気ポット、アイロン、掃除機、電卓、電気シェーバー、扇風機、　パソコン（データ消去を行ったもの）、パソコン用モニター、電子レンジ等／（金属類）スプーン、ナイフ、フォーク、なべ、やかん、フライパン、ホーローなべ、ホーローコップ、調理用鉄板、調理網、調理ざる、針金ハンガー、空の一斗缶、スコップ、ドライバー等の金属工具、金属棒、鉄アレイ、　金属タイヤチェーン,小型家電 30.38t／金属類 38.47t
東村山市,,〇,,,,,市の公共施設に専用回収ボックスを設置し、対象品目（30センチ×15センチ以下）を限定して市民に直接投函してもらう,市役所本庁舎１階ロビー、美住リサイクルショップ、中央公民館、富士見公民館、廻田公民館、萩山公民館、秋津公民館、市民スポーツセンター,携帯電話、ビデオカメラ（放送用除く）、デジタルカメラ、携帯音楽プレーヤー、ＩＣレコーダー、ＵＳＢメモリ、メモリーカード、電子辞書、携帯型ゲーム機器、ＡＣアダプタ,382kg
東村山市,,,,,〇,,窓口にて回収,秋水園ごみ減量推進課,携帯電話、ビデオカメラ（放送用除く）、デジタルカメラ、携帯音楽プレーヤー、ＩＣレコーダー、ＵＳＢメモリ、メモリーカード、電子辞書、携帯型ゲーム機器、ＡＣアダプタ,382kg
東村山市,,,,〇,,,市の専用回収ボックスを設置し、対象品目（30センチ×15センチ以下）を限定して市民に直接投函してもらう,夢ハウスまつり（5月26日）,携帯電話、ビデオカメラ（放送用除く）、デジタルカメラ、携帯音楽プレーヤー、ＩＣレコーダー、ＵＳＢメモリ、メモリーカード、電子辞書、携帯型ゲーム機器、ＡＣアダプタ,382kg
東村山市,,,,,,〇,リネットジャパンと協定締結,宅配便による回収,,1960.9kg
国分寺市,,〇,,,,,市の公共施設に専用回収ボックスを設置し、対象品目（30cm未満）を限定して、市民に直接投函してもらう,市役所、各公民館、各地域センター、ひかりプラザ、いずみプラザ、清掃センター、福祉センター,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子手帳、卓上計算機、ＡＣアダプター等（30cm未満の電気製品）,105270kg
国分寺市,,,〇,,,,もやせないごみ・粗大ごみとして回収した後、清掃センターで手選別を行い、国の認定事業者に売却,戸別収集後，清掃センターでピックアップ,上記品目及び30cm以上の電気製品,105270kg
国分寺市,,,,,,〇,リネットジャパンと協定締結,宅配便による回収,,4543.6kg
国立市,〇,,,,,,直径５０㎝未満の物を小型家電として回収,ごみステーション,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子手帳、卓上計算機、ＡＣアダプター等,69640kg
国立市,〇,,,,,,直径５０㎝以上の物を粗大ごみとして回収し、市施設で分別,戸別収集,電子レンジ、小型プリンター、ビデオデッキ、掃除機、扇風機、オーディオ・アンプ類等,69640kg
国立市,,〇,,,,,専用回収ボックスを設置し、対象品目を限定して市民に直接投函してもらう,国立市役所,上記の品物でボックスに入る物,87kg
国立市,,,,,,〇,リネットジャパンと協定締結し宅配便により回収,宅配便により個別回収,その他上記の品物,2060kg
福生市,〇,,,,,,小型家電として分別収集を実施。収集は４週に１回、戸別収集,戸別収集（戸建て住宅は自宅前、集合住宅は集積所）で回収,一辺が50cm未満の使用済小型家電,41350kg
福生市,,,〇,,,,粗大ごみとして回収した後、市リサイクルセンターにてピックアップしている,粗大ごみとして戸別収集 , 一辺が50cm以上の使用済小型家電,41350kg
福生市,,〇,,,,,ボックスを設置し、対象品目を限定して市民に直接投函してもらう,市役所とリサイクルセンターの２か所,携帯電話、ＰＨＳ、電子辞書、ポータブルカーナビ、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレ[sanitize]ヤー、ゲーム機、電卓、リモコン・ＡＣアダプター等のコード類等,83.1kg
福生市,,,,〇,,,環境課の参加するイベントにて回収,各イベント環境課ブース,携帯電話、ＰＨＳ、電子辞書、ポータブルカーナビ、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレ[sanitize]ヤー、ゲーム機、電卓、リモコン・ＡＣアダプター等のコード類等,83.1kg
狛江市,,,,,〇,,平成25年11月から対象品目・大きさ（15センチ×30センチ以下）を限定して、清掃課窓口にて実験回収を実施,狛江市ビン・缶リサイクルセンター内清掃課,携帯電話（ＰＨＳ端末含む）、タブレット型情報通信端末、ノート型パソコン、デジタルカメラ、ビデオカメラ、ゲーム機、デジタル等携帯音楽プレーヤー、携帯型映像用機器、電子辞書、携帯型ラジオ、ポータブルカーナビ、ＥＴＣユニット、ＩＣレコーダー、電卓、補助記憶装置,148kg
狛江市,,〇,〇,,,,平成26年度より、粗大ごみとして回収した後、手選別を行い、国の認定事業者に売却平成28年度より市内拠点回収分含む,市内全域,家庭で使用した家電製品（家電リサイクル法対象品及び主に繊維製・木製の家電製品は除く）,24130kg
狛江市,,,,〇,,,イベント実験回収を開催して対面による回収を行った,市役所市民ひろば,家庭で使用した家電製品（家電リサイクル法対象品及び主に繊維製・木製の家電製品は除く）,6100kg
東大和市,,〇,,,,,市役所および市内の公共施設に専用の回収ボックスを設置し、対象品目（15品目）と大きさ（10cm×25cm以下）を限定して、市民に直接投函してもらう,市役所１階市民ロビー、中央公民館、狭山公民館、蔵敷公民館、上北台市民センター、桜が丘市民センター、南街市民センター、奈良橋市民センター、清原市民センター,デジタルカメラ、ビデオカメラ、ポータブル音楽プレーヤー、小型ゲーム機、電子辞書、電卓、かみそり、デジタル時計、ＵＳＢメモリ、メモリーカード、ＳＤカード、ＡＣアダプター等附属品類,16090kg
東大和市,,,〇,,,,粗大ごみからのピックアップ回収,戸別収集,概ね50cm以上の家電製品,16090kg
東大和市,,,,,〇,,携帯電話・スマートフォン　リサイクル回収ボックス,市役所ごみ対策課窓口,携帯電話、スマートフォン,10.1kg
清瀬市,,〇,,,,,市役所、市民センター等に専用回収ボックスを設置し、対象品目・大きさ（10センチ×27センチ以下）を限定して、市民に直接投入してもらう,清瀬市役所、清瀬けやきホール、松山地域市民センター、野塩地域市民センター、下宿地域市民センター、中里地域市民センター、竹丘地域市民センター、中清戸地域市民センター、生涯学習センター、市民活動センター、消費生活センター、児童センター、コミュニティプラザひまわり、中央図書館、ごみ減量推進課,ＡＣアダプタ、ＩＣレコーダ、ＣＤ・ＭＤプレーヤー、カメラ、携帯型・据置型ゲーム機、ゲーム用コントローラ、デジタルオーディオプレイヤ、デジタルカメラ、テープレコーダ、電気かみそり、電子体温計、電卓、電動歯ブラシ、電話機、ビデオカメラ、ヘアドライヤ、ヘッドホン及びイヤホン、リモコン,2718個
清瀬市,,,,〇,,,きよせの環境・川まつり（７月）・市民まつり（１０月）のイベント時に、ごみ減量推進課として出店し、小型家電の対面回収を実施,会場内,ＡＣアダプタ、ＩＣレコーダ、ＣＤ・ＭＤプレーヤー、カメラ、携帯型・据置型ゲーム機、ゲーム用コントローラ、デジタルオーディオプレイヤ、デジタルカメラ、テープレコーダ、電気かみそり、電子体温計、電卓、電動歯ブラシ、電話機、ビデオカメラ、ヘアドライヤ、ヘッドホン及びイヤホン、リモコン,-
東久留米市,,〇,,〇,,,市の施設にボックスを設置し、対象品目を限定して、市民に直接投函してもらう。また、環境フェスティバル（６月）及び市民まつり（１１月）にて小型家電の回収を実施,市役所、東部地域センター、南部地域センター、西部地域センター他（合計１６拠点）,デジタルカメラ、ビデオカメラ、据置型ゲーム機、携帯型ゲーム機、ＣＤ・ＭＤプレーヤー、各種ケーブル類、ＩＣレコーダ、パソコン用キーボード、マウス、ルーター・モデム、電卓、リモコン、電子辞書、電話機、携帯用ラジオ、デジタル時計、懐中電灯、ヘアドライヤー、電子血圧計・電子体温計、携帯電話、ノートPC,携帯電話70㎏／ノートPC456kg／その他 2185kg
武蔵村山市,,〇,,〇,,,市の施設にボックスを設置し、対象品目（１８品目）・大きさ（２５センチ×１５センチ）を限定して、市民に直接投函してもらう。また、環境フェスタ（１０月）にて同様に回収を実施,市役所、緑が丘出張所、市民総合センター、情報館「えのき」、中藤地区会館、大南地区会館、三ツ木地区会館、残堀・伊奈平地区会館,携帯電話、ポータブルカーナビ、携帯ラジオ、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレーヤー、ＩＣレコーダー、補聴器、ヘッドホン、電子辞書、電卓、電子血圧計、フイルムカメラ、理容用機器（ヘアードライヤー、ヘアーアイロン、電気かみそり、電気バリカン、電動歯ブラシ）、懐中電灯、時計、携帯ゲーム機、ＡＣアダプター,140kg
武蔵村山市,,,,,,〇,リネットジャパンと協定を締結し、宅配便により回収,宅配便による訪問回収,小型家電リサイクル法対象品目,1110.5kg
多摩市,〇,,,,,,小型家電・金属類として分別回収を実施。収集は月2回、戸別回収,戸別回収（戸建て住宅は自宅前、集合住宅は集積所）で回収,小型家電類：大きさが60cm以下で、5kg未満のコンセント、電池で稼働する小型電化製品／金属類：大きさが60cm以下で、5kg未満の主に金属でできた製品,90.65t ※資源化実績量
多摩市,,,,,,〇,リネットジャパンと協定締結し宅配便により回収（平成28年3月１日に締結）,宅配便による訪問回収,小型家電リサイクル法対象品目,4557.9kg
稲城市,,〇,,,,,市役所や文化センター、家電販売店などにボックスを設置し、対象品目（９品目）を限定して、市民に直接投函してもらう,市役所（１階総合案内横）、中央文化センター、第二文化センター、第三文化センター、第四文化センター、城山文化センター、中央図書館、総合体育館、平尾出張所、Ｉプラザ、ノジマ若葉台店,携帯電話・ＰＨＳ端末、デジタルカメラ・ビデオカメラ、ゲーム機（携帯型、据置型）、携帯音楽プレーヤ、外付記憶装置（ＨＤＤ、ＤＶＤ、フラッシュメモリ等）、ＩＣレコーダ、電子辞書、ポータブルカーナビ、コード・ケーブル・アダプタ類,合計：1355kg／（内訳）・携帯電話・PHS121kg(756台)・その他1234kg
稲城市,,,,,,〇,リネットジャパン㈱と協定締結し、宅配便を活用した回収,宅配便により戸別回収,家庭で使用した家電製品(家電リサイクル法の対象となる物等は除く)。パソコン含む。,合計：3252.4kg／・パソコン1755.8kg（342台）・携帯電話・PHS11.5kg（97台）・その他　1485.1kg
羽村市,,〇,,,,,市内３カ所（市役所、リサイクルセンター、産業福祉センター）に専用回収ボックスを設置し、対象品目を限定して、市民に直接投函してもらう。,市役所、リサイクルセンター、産業福祉センター,携帯電話、電話機、ラジオ、カメラ（デジタルカメラ、ビデオカメラ等）、映像用機器（ビデオデッキ、ＤＶＤデッキ等）、音響機器（ＭＤ/ＣＤプレーヤー、ＩＣレコーダ等）、補助記憶装置（ハードディスク、ＵＳＢメモリ等）、電子書籍端末、電子辞書・電卓、電子血圧計・電子体温計、理容用機器（電気かみそり、ドライヤー等）、懐中電灯、時計、小型ゲーム機、カー用品、これらの付属品（15×30センチ以下の投入口に入る大きさ）,39790kg
羽村市,,,〇,,,,粗大ごみ・燃やせないごみとして回収した後、羽村市リサイクルセンターでピックアップしている,羽村市リサイクルセンター,携帯電話、その他ﾗｼﾞｶｾ、デジタルカメラ、DVDプレーヤ、据置型ゲーム機、CDラジカセ、CDプレーヤ、電話機、ビデオカメラ、携帯音楽プレーヤ(HDD)照明器具・プリンター・ファンヒーター・扇風機・電気ストーブ・掃除機・電子レンジ・冷風機・コタツ（ﾋｰﾀｰ部）等,39790kg
あきる野市,〇,,,,,,小型家電類として分別回収を実施。収集は月2回、戸別回収,戸別回収（戸建て住宅は自宅前、集合住宅は集積所）で回収,大きさ50㎝以下、重さ5㎏以下の家電製品／（例）携帯電話・ＰＨＳ端末、パソコンのモニター、電話機、ファクシミリ、ラジオ、デジタルカメラ、ビデオカメラ、フィルムカメラ、映像用機器、音響機器、電子書籍端末、電子辞書、電卓、ゲーム機、これらの附属品など,14430kg
西東京市,,〇,,,,,電気や電池で動く品目を対象に分別回収を実施。収集は４週に１回。令和元年10月1日から資源物戸別収集に変更したので、戸建て住宅は、玄関先、集合住宅は集積所のカゴに搬出してもらう,資源物集積所（集合住宅）、玄関先（戸建て住宅）,デジタルカメラ、ビデオカメラ、ビデオデッキ、ゲーム機、音楽プレイヤー、電子辞書、カーナビシステム、パソコン周辺機器、電気カミソリ、リモコン　など家電４品目、携帯電話、パソコン、粗大ごみ対象家電以外の製品,141550kg
西東京市,,,〇,,,,粗大ごみからのピックアップ回収 ,,粗大ごみで回収した家電,34570kg
瑞穂町,,〇,,,,,町の公共施設と大型ショッピング店に専用回収ボックスを設置し、対象品目を限定して、市民に直接投函してもらう。,瑞穂町役場庁舎、みずほリサイクルプラザ、寄り合いハウスいこい、長岡コミュニティセンター、元狭山コミュニティセンター、武蔵野コミュニティセンター、ジョイフル本田瑞穂店、ザ・モールみずほ１６店,縦１５cm×横３０cm未満の携帯電話、電話機、ラジオ受信機等３０品目,241kg
瑞穂町,,,,〇,,,町のイベント（産業まつり、環境展）で、小型家電を回収をする。,産業まつり、環境展イベント会場,縦１５cm×横３０cm未満の携帯電話、電話機、ラジオ受信機等３０品目,241kg
瑞穂町,,,〇,,,,燃やせないごみとして戸別収集で回収した後、みずほリサイクルプラザにてピックアップしている。,みずほリサイクルプラザ,家電リサイクル法・パソコンリサイクル対象品目以外の家庭用電気機器類で、５０cm未満のもの,-
日の出町,〇,,,,,,使用済小型電子機器として分別回収を実施。収集は、平成27年12月までは月２回（第２週・第４週火曜日）、平成28年１月より月１回（第３週火曜日）。容器に入れて出されたものを回収。,戸別回収（戸建て住宅は自宅前、集合住宅は集積所）で回収,カメラ、時計、携帯電話など１５品目※一辺の長さが50㎝以下、重さ５㎏未満のもの,-
檜原村,〇,,,,,,小型家電類として分別回収を実施。収集は月2回収集,拠点回収（ごみ集積所）,大きさ50㎝以下、重さ5㎏以下の家電製品／（例）携帯電話・ＰＨＳ端末、パソコンのモニター、電話機、ファクシミリ、ラジオ、デジタルカメラ、ビデオカメラ、フィルムカメラ、映像用機器、音響機器、電子書籍端末、電子辞書、電卓、ゲーム機、これらの附属品など,0.65t
奥多摩町,〇,,,,,,小型家電類として分別回収を実施。収集は月１回、ごみ集積所で拠点回収,拠点回収（ごみ集積所）,大きさ50㎝以下、重さ5㎏以下の家電製品／（例）携帯電話・ＰＨＳ端末、パソコンのモニター、電話機、ファクシミリ、ラジオ、デジタルカメラ、ビデオカメラ、フィルムカメラ、映像用機器、音響機器、電子書籍端末、電子辞書、電卓、ゲーム機、これらの附属品など,1.59t
