,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
122,葛飾区,790,790,789,788,787,790,790,789,788,787,0,0,0,0,0
123,江戸川区,1448,1464,1481,1499,1513,1448,1464,1481,1499,1513,0,0,0,0,0
201,八王子市,1014,1013,1012,1011,1009,977,976,975,974,972,37,37,37,37,37
202,立川市,329,328,327,327,326,329,328,327,327,326,0,0,0,0,0
203,武蔵野市,514,516,517,519,520,514,516,517,519,520,0,0,0,0,0
204,三鷹市,709,709,709,709,709,501,501,501,501,501,208,208,208,208,208
205,青梅市,141,140,139,139,138,141,140,139,139,138,0,0,0,0,0
206,府中市,673,677,680,684,687,673,677,680,684,687,0,0,0,0,0
207,昭島市,135,136,137,137,137,135,136,137,137,137,0,0,0,0,0
208,調布市,606,608,610,612,613,6,6,6,6,6,600,602,604,606,607
209,町田市,926,928,829,931,929,926,928,829,931,929,0,0,0,0,0
210,小金井市,269,270,271,272,272,0,0,0,0,0,269,270,271,272,272
211,小平市,392,392,409,410,412,392,392,409,410,412,0,0,0,0,0
212,日野市,393,417,442,468,497,393,417,442,468,497,0,0,0,0,0
213,東村山市,292,293,292,292,291,292,293,292,292,291,0,0,0,0,0
214,国分寺市,404,404,405,405,405,404,404,405,405,405,0,0,0,0,0
215,国立市,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0
218,福生市,147,146,146,145,144,0,0,0,0,0,147,146,146,145,144
219,狛江市,174,175,176,177,176,0,0,0,0,0,174,175,176,177,176
220,東大和市,128,126,124,124,124,128,126,124,124,124,0,0,0,0,0
221,清瀬市,161,159,157,154,152,0,0,0,0,0,161,159,157,154,152
222,東久留米市,214,213,211,210,208,0,0,0,0,0,214,213,211,210,208
223,武蔵村山市,108,109,111,112,112,0,0,0,0,0,108,109,111,112,112
224,多摩市,321,321,321,321,321,296,296,296,296,296,25,25,25,25,25
225,稲城市,184,187,189,190,190,184,187,189,190,190,0,0,0,0,0
227,羽村市,92,91,91,91,91,92,91,91,91,91,0,0,0,0,0
228,あきる野市,135,135,135,135,135,135,135,135,135,135,0,0,0,0,0
229,西東京市,412,411,411,409,408,0,0,0,0,0,412,411,411,409,408
303,瑞穂町,69,66,62,58,54,37,37,35,33,32,32,29,27,25,22
305,日の出町,21,21,22,23,23,0,0,0,0,0,21,21,22,23,23
307,檜原村,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
308,奥多摩町,11,11,11,11,10,11,11,11,11,10,0,0,0,0,0
361,大島町,,,,,,,,,,,,,,,
362,利島村,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0
363,新島村,,,10,10,10,0,0,0,0,0,0,0,10,10,10
364,神津島村,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
381,三宅村,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0
382,御蔵島村,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
401,八丈町,,,,,,,,,,,,,,,
402,青ヶ島村,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
421,小笠原村,15,15,15,15,15,0,0,0,0,0,15,15,15,15,15
,全区市町村合計,40746,41254,41705,42310,42790,33969,34457,34881,35482,35957,6778,6797,6824,6828,6833
,23区,31481,31961,32458,32933,33396,27128,27585,28066,28534,28983,4354,4376,4392,4399,4413
,多摩,9229,9257,9201,9331,9348,6821,6852,6795,6928,6954,2408,2405,2406,2403,2394
,島しょ,36,36,46,46,46,20,20,20,20,20,16,16,26,26,26
,合計,40746,41254,41705,42310,42790,33969,34457,34881,35482,35957,6778,6797,6824,6828,6833
,実施区市町村数（全62区市町村）,59,59,60,60,60,,,,,,,,,,
