,,特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、指定法人等への引渡見込書）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t),特定分別基準適合物の量の見込み（内、区市町村独自処理予定量）(t)
202,立川市,2263,2260,2256,2250,2245,2263,2260,2256,2250,2245,0,0,0,0,0
203,武蔵野市,1728,1733,1738,1743,1748,1708,1713,1718,1723,1728,20,20,20,20,20
204,三鷹市,5179,5179,5179,5179,5179,1968,1968,1968,1968,1968,3211,3211,3211,3211,3211
205,青梅市,1341,1336,1330,1324,1318,1341,1336,1330,1324,1318,0,0,0,0,0
206,府中市,2944,2973,3003,3033,3064,2944,2973,3003,3033,3064,0,0,0,0,0
207,昭島市,1297,1303,1313,1316,1312,1296,1302,1312,1315,1311,1,1,1,1,1
208,調布市,7010,7031,7049,7063,7075,2664,2672,2679,2684,2689,4346,4359,4370,4379,4386
209,町田市,908,908,908,908,5008,908,908,908,908,5008,0,0,0,0,0
210,小金井市,1822,1828,1833,1837,1841,1822,1828,1833,1837,1841,0,0,0,0,0
211,小平市,555,556,2117,2140,2180,555,556,2117,2140,2180,0,0,0,0,0
212,日野市,156,160,164,169,173,156,160,164,169,173,0,0,0,0,0
213,東村山市,2532,2534,2530,2525,2521,2532,2534,2530,2525,2521,0,0,0,0,0
214,国分寺市,2147,2149,2151,2150,2149,2147,2149,2151,2150,2149,0,0,0,0,0
215,国立市,650,650,650,650,650,650,650,650,650,650,0,0,0,0,0
218,福生市,675,672,668,665,662,607,605,601,598,595,68,67,67,67,67
219,狛江市,,,,,,,,,,,,,,,
220,東大和市,926,902,881,877,874,926,902,881,877,874,0,0,0,0,0
221,清瀬市,999,1009,1024,1033,1044,999,1009,1024,1033,1044,0,0,0,0,0
222,東久留米市,1450,1438,1425,1412,1401,1450,1438,1425,1412,1401,0,0,0,0,0
223,武蔵村山市,789,728,666,673,677,789,728,666,673,677,0,0,0,0,0
224,多摩市,908,908,907,906,905,907,907,906,905,904,1,1,1,1,1
225,稲城市,7,7,7,7,7,0,0,0,0,0,7,7,7,7,7
227,羽村市,647,646,646,645,644,647,646,646,645,644,0,0,0,0,0
228,あきる野市,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
229,西東京市,2436,2473,2513,2536,2561,2436,2473,2513,2536,2561,0,0,0,0,0
303,瑞穂町,340,337,334,330,327,340,337,334,330,327,0,0,0,0,0
305,日の出町,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
307,檜原村,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
308,奥多摩町,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
361,大島町,20,19,19,19,18,0,0,0,0,0,20,19,19,19,18
362,利島村,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
363,新島村,,,,,,,,,,,,,,,
364,神津島村,,,,,,,,,,,,,,,
381,三宅村,,,,,,,,,,,,,,,
382,御蔵島村,,,,,,,,,,,,,,,
401,八丈町,,,,,,,,,,,,,,,
402,青ヶ島村,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
421,小笠原村,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
,全区市町村合計,72356,72543,74266,74504,78821,63113,63262,64952,65155,69441,9243,9279,9314,9349,9380
,23区,27540,27722,27877,28040,28177,26077,26232,26364,26500,26611,1463,1488,1513,1540,1566
,多摩,44792,44798,46366,46441,50622,37033,37027,38585,38652,42827,7759,7771,7781,7789,7795
,島しょ,24,23,23,23,22,3,3,3,3,3,21,20,20,20,19
,合計,72356,72543,74266,74504,78821,63113,63262,64952,65155,69441,9243,9279,9314,9349,9380
,実施区市町村数（全62区市町村）,56,56,56,56,56,,,,,,,,,,
