区市町村名,分別回収,拠点回収,ピックアップ,イベント回収,窓口回収,その他,概要,回収場所等,対象品目,令和元年度上半期回収実績
新宿区,,〇,,,,,区役所本庁舎等の区施設（1２か所）に専用回収ボックスを設置し、対象品目を限定して、区民に直接投函してもらう,四谷特別出張所、箪笥町特別出張所、榎町特別出張所、若松町特別出張所、大久保特別出張所、戸塚特別出張所、落合第一特別出張所、落合第二特別出張所、柏木特別出張所、角筈特別出張所、区役所本庁舎1階、環境学習情報センター,携帯電話、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレーヤー、携帯ゲーム機、ポータブルカーナビ、電子辞書、電卓、リモコン・ケーブル・ACアダプター等の附属品,1057.6 kg
新宿区,,,,,〇,,区の施設（7か所）の窓口に、区民に直接持参してもらう,新宿区役所ごみ減量リサイクル課（本庁舎7F）、新宿リサイクル活動センター、西早稲田リサイクル活動センター、新宿清掃事務所、新宿東清掃センター、歌舞伎町清掃センター、新宿中継・資源センター,携帯電話、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレーヤー、携帯ゲーム機、ポータブルカーナビ、電子辞書、電卓、リモコン・ケーブル・ACアダプター等の附属品,263.4 kg
文京区,,,〇,,,,粗大ごみとして回収した後、区の中継所にてピックアップしている,小石川中継所（文京清掃事務所）,電子レンジ、小型プリンター、ビデオデッキ、掃除機、扇風機、オーディオ・アンプ類等,179020kg（小型家電以外の金属製品も含む総量）
文京区,,,,〇,,,小型家電回収モデル事業として、ステージエコ（みんなのフリーマーケット）開催時（4回）にボックスを設置し、回収した,文京シビックセンター地下2階区民ひろば,携帯電話、携帯音楽プレイヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター（9品目）,13.7kg
文京区,,廃止,,,,,平成28年8月からモデル事業として、移動拠点回収を開始し、区民に直接持ってきてもらっている。29年度はこの事業は廃止している,区立公園16箇所（毎週土曜日1箇所ずつ）,携帯音楽プレイヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、卓上計算機、ＡＣアダプター（7品目）,0kg
文京区,,,,,〇,,携帯電話・スマートフォン専用回収ボックスを設置。平成29年8月から実施。平成31年4月から回収箇所を変更,リサイクル清掃課窓口,携帯電話・スマートフォン,34.9kg
台東区,,〇,,,,,拠点回収として、区の施設にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,台東区役所、台東清掃事務所、環境ふれあい館ひまわり、生涯学習センター、谷中防災コミュニティセンター、台東地区センターの６か所,携帯電話、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、電子辞書、卓上計算機、ポータブルカーナビ、ＡＣアダプター,携帯電話131kg／その他943kg
台東区,,,〇,,,,粗大ごみとして回収した後、区のガレージで選別している,台東区北上野ガレージ,ビデオデッキ、オーディオ、チューナー、オーブン、トースター、電子レンジ、ミシン等,395kg
墨田区,,〇,,,,,区の施設にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,区役所（１階アトリウム）、緑出張所、横川出張所、文花出張所、墨田二丁目出張所、東向島出張所、ひきふね図書館、緑図書館、立花図書館、八広図書館、すみだ清掃事務所、すみだ清掃事務所分室、墨田区総合体育館、すみだ女性センター、社会福祉会館,携帯電話、電話機、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ＩＣレコーダー、コード類（ＡＣアダプター等含む）、電子辞書、電卓、ドライヤー、電気カミソリ　の１２品目,携帯電話 168kg／バッテリー 11kg／小型家電 2491kg／コード類792kg
江東区,,〇,,,,,区施設に回収ボックスを設置し、投入口（15センチ×25センチ）に入る小型家電に限定して、直接投函してもらっている,江東区役所、富岡出張所、小松橋出張所、砂町出張所、南砂出張所、環境学習情報館えこっくる江東、江東図書館、深川図書館、東陽図書館、東雲図書館、亀戸図書館、東大島図書館、江東区文化センター、森下文化センター、古石場文化センター、総合区民センター、亀戸文化センター、東大島文化センター、砂町文化センター、深川江戸資料館、豊洲シビックセンター,15ｃｍ×25ｃｍ以下の小型家電／【例】携帯電話・デジタルカメラ・ビデオカメラ・ポータブル音楽プレーヤー・小型ゲーム機・電子辞書・電卓・カーナビ・ポータブルＤＶＤプレーヤー・携帯用ラジオ・携帯用テレビ・付属品類・ハードディスクドライブ・リモコンなど,-
江東区,,,〇,,,,粗大ごみとして回収した後、区の中継所で選別している,江東区粗大ごみ中継所（江東区清掃事務所）,電子レンジ、ビデオデッキ、電気掃除機、扇風機、オーディオ機器、プリンター(小型卓上型)等,214570kg
品川区,,〇,,,,,拠点回収（毎月第２・第４土曜日）の対象品目として、使用済小型家電も回収31か所　常設箇所6か所,拠点回収箇所：品川第一地域センター、台場小学校、浅間台小学校、城南第二小学校、第三日野小学校、日野学園、大崎第一地域センター、第一日野小学校、品川区清掃事務所、芳水小学校、三木小学校、立会小学校、鈴ヶ森小学校、大井第二地域センター、伊藤学園、品川区役所、大井第一小学校、大井第三地域センター、伊藤小学校、後地小学校、小山小学校、第二延山小学校、京陽小学校、延山小学校、宮前小学校、旗台小学校、大原小学校、豊葉の杜学園、八潮地域センター、源氏前小学校、小山台小学校　全3１か所／常設箇所：総合庁舎2階、清掃事務所品川庁舎・荏原庁舎、総合体育館・戸越体育館、品川図書館、6か所,携帯電話・ＰＨＳ、デジタルカメラ、携帯ゲーム機、電子辞書、デジタルオーディオプレイヤ、ＣＤ／ＭＤプレイヤ、ＩＣレコーダ、カーナビゲーション、ＥＴＣユニット、ＶＩＣＳユニット、ＡＣアダプター、電卓、充電器、リモコン,1985kg
目黒区,,〇,,,,,区内の施設にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,総合庁舎本館１階西口、北部地区サービス事務所、中央地区サービス事務所、南部地区サービス事務所、西部地区サービス事務所、清掃事務所、清掃事業所、目黒区エコプラザ、　駒場住区センター、緑が丘コミュニティセンター本館の全１０か所,携帯電話・スマートフォン、デジタルカメラ、電子辞書、携帯音楽プレーヤー、ポータブルビデオカメラ、卓上計算機、携帯ゲーム機、ポータブルカーナビ、ＡＣアダプターなどのコード類,携帯電話 194kg／その他 2773kg
目黒区,,,〇,,,,粗大ごみとして回収した後、区の中継所で選別している,目黒区粗大中継所 ,レンジ類、ビデオデッキ類、オーディオ機器類,42923kg
大田区,,〇,,,,,区内の施設等にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,区役所１階・８階、大森清掃事務所、調布清掃事務所、蒲田清掃事務所、特別出張所18か所（大森東、大森西、入新井、馬込、池上、新井宿、嶺町、田園調布、鵜の木、久が原、雪谷、千束、六郷、矢口、蒲田西、蒲田東、糀谷、羽田）、入新井駐輪場、蒲田駅東口駐輪場、蒲田駅西口駐輪場、一部区立図書館（大田、大森南、大森東、大森西、久が原、洗足池、羽田、六郷、多摩川、蒲田）、その他区施設（消費者生活センター、南馬込文化センター、池上会館、雪谷文化センター、大田区民プラザ、大田区産業プラザ）,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター、ＵＳＢメモリ,携帯電話 501kg／その他 1483kg
大田区,,,〇,,,,収集又は自己持込みされた粗大ごみから回収,京浜島中継所、糀谷粗大中継所,電子レンジ、ファクシミリ、ビデオデッキ、ＤＶＤレコーダ、ステレオセット、プリンター、電気ミシンなど,小型家電250.49t／その他鉄　377.05t
大田区,,,〇,,,,収集した不燃ごみから回収,区委託民間施設,携帯電話、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター、ＵＳＢメモリ、その他小型家電,携帯電話 488kg／その他 204555kg／その他鉄 269080kg
大田区,,,,〇,,,区民イベント（おおたスポーツ健康フェスタ、全国こどもチャレンジカップ、環境フェア、ＯＴＡふれあいフェスタ、エコフェスタワンダーランド）にて普及啓発及び回収を実施予定,,携帯電話、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター、ＵＳＢメモリ,携帯電話 0kg／その他 0kg
世田谷区,,〇,,,,,区内１０施設に回収ボックスを設置し、対象品目を限定し、区民に直接投函してもらう,世田谷総合支所、北沢総合支所、砧総合支所、玉川総合支所、烏山総合支所、太子堂出張所、松沢まちづくりセンター、喜多見まちづくりセンター、エコプラザ用賀、リサイクル千歳台,携帯電話、タブレット端末、デジタルカメラ、携帯音楽プレイヤー、ＩＣレコーダー、電子辞書、卓上計算機、携帯ゲーム機器、ポータブルビデオカメラ、ポータブルカーナビ、電話機（ファックス機能付きを除く）、ＡＣアダプター※粗大ごみ対象品目は除く,対象品目5300個／その他3435個
世田谷区,,,〇,,,,不燃ごみとして回収した後、区の不燃ごみ中継所で選別している,希望丘中継所,資源として売却可能な小型家電製品、金属類等,資源化量731.07t
世田谷区,,,〇,,,,粗大ごみとして回収した後、区の粗大ごみ中継所で選別している,船橋粗大ごみ中継所、用賀粗大ごみ中継所,資源として売却可能な家電製品、金属類等 ,資源化量605.97t
渋谷区,,〇,,,,,区施設にボックスを設置し、投入口（13センチ×28センチ）に入る小型家電に限定して、区民に直接投函してもらう,区役所庁舎、渋谷区清掃事務所、第二美竹分庁舎、本町リサイクルセンター、新橋出張所、恵比寿社会教育館、代官山スポーツプラザ、上原社会教育館、スポーツセンター、本町図書館、本町出張所、幡ヶ谷社会教育館、千駄ヶ谷社会教育館、中央図書館、地域交流センター大向、長谷戸社会教育館、地域交流センター恵比寿、ケアコミュニティ原宿の丘、YCC代々木八幡コミュニティセンター、西原出張所、文化総合センター大和田、ひがし健康プラザ、はつらつセンター参宮橋、地域交流センター代々木、勤労福祉会館、ホープ就労支援センター、渋谷スポーツ共有プラザ＆ラボすぽっとの全27か所,13ｃｍ×28ｃｍ以下の小型家電／【例】携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター等,携帯電話192kg／その他2764kg
中野区,,〇,,,,,区の施設に回収ボックスを設置し、対象品目を限定して、区民に直接投函してもらう,中野区役所１階ロビー、清掃事務所リサイクル展示室、中央図書館、区民活動センター（15か所）　の全18か所,携帯電話（PHS、スマートフォンを含む）、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ACアダプター・コード類,2177kg
中野区,,,〇,,,,粗大ごみとして回収した後、区の粗大ごみ中継所で、金属含有物と一緒に選別している,丸山粗大ごみ中継所,資源として売却可能な家電製品、金属類等 ,236219kg
中野区,,,〇,,,,不燃ごみについては、民間の資源化施設において選別し、資源化している。平成29年10月1日から「3分の1」を資源化。平成31年4月1日から「全量」を資源化,区委託民間施設,携帯電話（PHS、スマートフォンを含む）、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ACアダプター・コード類、その他小型家電,95336kg
中野区,,,,,,〇,リネットジャパン株式会社と協定を締結し、平成３１年４月１日から実施,宅配便による,重さ20kg以内・３辺合計140㎝以内のダンボールに入る大きさの小型家電,13840kg
杉並区,,〇,,,,,区施設で、対象品目を限定して、ボックスによる回収を行っている。なお、ボックスに入らない大きさのもの（ファクシミリ、炊飯器等）は窓口で回収している。,リサイクルひろば高井戸、柿木図書館,携帯電話、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレーヤー、携帯ゲーム機、電子辞書、ポータブルカーナビ、電卓、ACアダプター等コード類、電話機、ファクシミリ、ラジオ受信機、ヘアードライヤー、電気かみそり、炊飯器,7294kg（イベント回収47.17kg含む）
杉並区,,,,,〇,,区施設で、対象品目を限定して、対面での回収を行っている。,ごみ減量対策課（区役所西棟７階）、杉並清掃事務所・方南支所・高円寺車庫の4か所,携帯電話、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレーヤー、携帯ゲーム機、電子辞書、ポータブルカーナビ、電卓、ACアダプター等コード類、電話機、ファクシミリ、ラジオ受信機、ヘアードライヤー、電気かみそり、炊飯器,7294kg（イベント回収47.17kg含む）
杉並区,,,〇,,,,粗大ごみ、不燃ごみとして回収した後、区内民間施設にて手選別後それぞれピックアップしている。,区委託民間施設,オーディオ機器、電子レンジ、掃除機、空気清浄機、電話機等粗大ごみ及び不燃ごみとして収集される小型家電リサイクル法対象品目全て(パソコンを除く）,粗大資源化量427370kg／不燃資源化量320390kg
杉並区,,,,〇,,,区内各所で開催されるイベントで回収。,永福和泉地域区民センターまつり,携帯電話、デジタルカメラ、ポータブルビデオカメラ、携帯音楽プレーヤー、携帯ゲーム機、電子辞書、ポータブルカーナビ、電卓、ACアダプター等コード類、電話機、ファクシミリ、ラジオ受信機、ヘアードライヤー、電気かみそり、炊飯器,47.17kg
豊島区,,,〇,,,,粗大ごみとして回収した後、金属系粗大ごみを中継所にてピックアップしている,東池袋粗大ごみ中継所,電子レンジ、プリンター、ビデオデッキ、掃除機、扇風機、オーディオ機器等,91017kg
豊島区,,〇,,,,,区内25ヶ所の施設に小型家電回収ボックスを設置。対象品目を限定し、区民に直接投函してもらう。,区役所庁舎、地域区民ひろば、地域文化創造館、豊島清掃事務所、豊島リサイクルセンター、みらい館大明　（全25ヶ所）,30ｾﾝﾁ以下の小型家電／【例】デジタルカメラ、ビデオカメラ、フィルムカメラ、ゲーム機、電子辞書、ラジオ、電卓、リモコン、電話機、形態型音楽プレーヤー、ACアダプター・コード類,2720kg
豊島区,〇,,,,,,不燃ごみとして回収した後、民間の不燃ごみ処理施設で選別している。（平成30年４月から実施）,区委託民間施設,30ｾﾝﾁ以下の小型家電／【例】デジタルカメラ、ビデオカメラ、フィルムカメラ、ゲーム機、電子辞書、ラジオ、電卓、リモコン、電話機、形態型音楽プレーヤー、ACアダプター・コード類,762981kg
北区,,,〇,,,,粗大ごみとして回収した後、中継所にてピックアップしている,自宅前等粗大ごみ収集場所,電子レンジ、プリンター、ビデオデッキ、掃除機、扇風機、オーディオ機器等30cm3以上のもの（金属系粗大ごみと併せて資源化）,224040kg
北区,,,,,,〇,区民には小型家電を含む金属系不燃ごみとその他不燃ごみを別袋で出してもらい、軽小型ダンプ車の荷箱を仕切り、分別積載して収集する。平成31年4月から分別収集後に民間の資源化施設で選別している。,集積所等不燃ごみ収集場所,ドライヤー、時計、デジカゼsanitize]Aゲーム機、電話機等30cm3未満のもの,163651kg
荒川区,,〇,,,,,区の施設にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,区役所、あらかわエコセンター、あらかわリサイクルセンター、男女平等推進センター、荒川山吹ふれあい館、荒木田ふれあい館、石浜ふれあい館、尾久ふれあい館、汐入ふれあい館、西尾久ふれあい館、西日暮里ふれあい館、峡田ふれあい館、東日暮里ふれあい館、町屋ふれあい館、南千住駅前ふれあい館、南千住ふれあい南千住駅前ふれあい館、南千住ふれあい館、夕やけこやけふれあい館、ゆいの森あらかわ、全18か所,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプタ,―kg（平成31年3月～令和元年9月）
荒川区,,,,〇,,,3、6、9月開催フリーマーケット、3月開催リサイクルフェスタ及び5月開催環境・清掃フェスタにて対面回収,各イベント会場,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプタ,携帯電話3.25kg／その他17.18kg（全5回）
荒川区,,,,,〇,,事前予約のうえ、区民が窓口へ持参,あらかわリサイクルセンター、清掃リサイクル事務所,電子レンジ、掃除機、扇風機、プリンター、炊飯器等（概ね５０cm以内の電気コード付家電製品）,4.08t（平成31年4月～令和元年9月）
板橋区,,〇,,,,,区施設に、回収ボックスを設置し、投入口（30センチ×15センチ）に入る小型家電を、区民に直接投函による回収（14か所）,区役所本庁舎地下１階入り口・7階清掃リサイクル課窓口、情報処理センター、板橋東清掃事務所、板橋西清掃事務所、リサイクルプラザ、エコポリスセンター、熱帯環境植物館、赤塚支所、桜川地域センター、仲町ふれあい館、高島平地域センター、清水地域センター、大東文化大学（学生及び関係者専用）,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器など、投入口に入る大きさの小型電子機器類全て,携帯電話 190kg／デジタル小型家電783kg／その他小型家電991kg／コード 542kg
板橋区,,,〇,,,,粗大ごみとして回収した後、区の粗大ごみ中継所にてピックアップしている,西台粗大ごみセンター,粗大ごみ中継所に搬入された小型家電全般（こたつ、電気カーペット、電気毛布、オイルヒーター等を除く）,本体251182kg／コード4091kg
板橋区,,,,〇,,,10月27日「富士見まつり」において回収を行った。,イベント会場,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器など、投入口に入る大きさの小型電子機器類全て,携帯電話 0.8kg／デジタル小型家電3.2kg／その他小型家電3.6kg／コード 3.2kg
板橋区,,,〇,,,,不燃ごみとして回収した後、民間施設で選別している（平成29年度から全量で実施）,区委託民間施設,携帯電話、携帯音楽プレーヤー、携帯ゲーム機、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプター、ＵＳＢメモリ、その他小型家電,資源化量155343kg
練馬区,,〇,,,,,区の施設にボックスを設置し、対象品目を限定して、区民に直接投函してもらう,区役所本庁舎、石神井庁舎、勤労福祉会館、練馬区資源循環センター、豊玉リサイクルセンター、春日町リサイクルセンター、関町リサイクルセンター、大泉リサイクルセンター、石神井清掃事務所、光が丘区民センター、平和台図書館、大泉学園町体育館、桜台体育館、貫井図書館、稲荷山図書館、南大泉図書館の全16カ所,携帯電話、携帯音楽プレーヤー、携帯ゲーム機器、デジタルカメラ、ポータブルビデオカメラ、ポータブルカーナビ、電子辞書、卓上計算機、ＡＣアダプターの９品目,携帯電話 563kg／その他 1470kg
練馬区,,,〇,,,,粗大ごみとして回収した後、区の中継所にてピックアップしている,土支田中継所、資源循環センターの２か所,電子レンジ、ビデオデッキ、掃除機、扇風機、ステレオ等,家電分解品37t／鉄回収 398t
足立区,,〇,,,,,平成29年10月から携帯回収ボックスにおいて回収開始。(平成31年3月末で終了）,足立区役所ほか各区民事務所　区内計17か所,携帯電話,
足立区,,,〇,,,,粗大ごみ、不燃ごみとして回収した後、粗大ごみは中継所、不燃は民間施設にて手選別後それぞれピックアップしている,民間施設３か所,オーディオ機器、電子レンジ、掃除機、空気清浄機、電話機等粗大ごみ及び不燃ごみとして収集される小型家電リサイクル法対象品目28分類全て(パソコンを除く）,粗大 ：676390kg(小型家電を含む金属類の総量)／不燃 ：223640kg
葛飾区,,,〇,,,,粗大ごみとして回収した後、区の粗大ごみ中継所にてピックアップしている,葛飾西粗大ごみ持込ステーション、葛飾東粗大ごみ持込ステーションの２か所,掃除機、扇風機、DVレコーダー・ビデオデッキ類、炊飯器類、プリンター、（ストーブ・ファンヒーター等暖房器具、空気清浄機・加湿器、電子レンジ・オーブンレンジ、オーディオ機器類、食器洗浄機、電話ファクシミリ類、電子調理器具、ワープロ・スキャナー等ＯＡ機器類、アンテナ類、ミシン、マッサージ類、ラジカセ、ポット、その他,144850kg
葛飾区,,〇,,,,,スーパーマーケット等に回収ボックスを設置し、対象品目を限定して、区民に直接投函してもらう,清掃事務所、南綾瀬地区センター、イトーヨーカドー金町店、亀有店、高砂店、西友新小岩店、葛飾区役所、リサイクル清掃課、奥戸総合スポーツセンター,携帯電話、携帯ゲーム機器、携帯音楽プレーヤー、デジタルカメラ、ポータブルビデオカメラ、電卓、ポータブルカーナビ、電子辞書、ＡＣアダプター及びコード類　の９品目,2130kg
葛飾区,,,,〇,,,「かつしかEcoエコフェスタ」を開催し、会場内に回収ボックスを設置し、直接投函による回収を行う。,かつしかエコライフプラザ,携帯電話、携帯ゲーム機器、携帯音楽プレーヤー、デジタルカメラ、ポータブルビデオカメラ、電卓、ポータブルカーナビ、電子辞書、ＡＣアダプター及びコード類　の９品目,拠点回収に含まれる（2.5kg）
江戸川区,,,〇,,,,粗大ごみ及び不燃ごみとして回収した後、区の中継所にてピックアップしている,北部粗大ごみ中継所、南部粗大ごみ中継所、北部不燃ごみ中継所、南部不燃ごみ中継所の４か所,粗大ごみ　電子レンジ、小型プリンター、ビデオデッキ、掃除機、扇風機、オーディオ・アンプ類等／不燃ごみ　携帯ゲーム機、携帯電話、デジタルカメラ等,粗大ごみ261795kg／不燃ごみ530390kg
江戸川区,,,,〇,,, 区内イベント（環境フェア）にて回収,イベント会場,携帯電話（ＰＨＳ含む）・スマートフォン・タブレット端末・デジタルカメラ・携帯ゲーム機の５品目,86.63kg
江戸川区,,,,,〇,,本庁舎・清掃事務所にて回収（アフターメダルプロジェクト）,本庁舎・小岩清掃事務所・葛西清掃事務所・小松川清掃分室の４ヶ所,携帯電話（ＰＨＳ含む）・スマートフォン・タブレット端末・デジタルカメラ・携帯ゲーム機の５品目,86.63kg
