,,,,,,,,,(単位：トン）,,
化学工業品,,"7,790,342","441,029","7,349,313","7,313,340","420,164","6,893,176","477,002",106.5%,,
43,陶磁器,923,506,417,73,53,20,850,1264.4%,,
44,セメント,"2,619,938","31,823","2,588,115","2,349,978","40,646","2,309,332","269,960",111.5%,,
45,ガラス類,"15,628","15,026",602,"15,073","14,732",341,555,103.7%,,
46,窯業品,"68,248","27,285","40,963","57,494","30,432","27,062","10,754",118.7%,,
47,重油,"371,257","176,110","195,147","349,265","163,368","185,897","21,992",106.3%,,
48,石油製品,"4,383,908","21,930","4,361,978","4,212,742","21,924","4,190,818","171,166",104.1%,,
49,LNG/液化天然ガス,78,18,60,-,-,-,78,-,,
50,LPG/液化石油ガス,"6,733","6,548",185,"6,702","6,702",-,31,100.5%,,
51,その他石油製品,"35,537","9,051","26,486","66,304","3,078","63,226","-30,767",53.6%,,
52,コークス,"16,044","2,321","13,723","7,667","6,166","1,501","8,377",209.3%,,
53,石炭製品,20,20,-,-,-,-,20,-,,
54,化学薬品,"111,278","47,042","64,236","104,633","42,532","62,101","6,645",106.4%,,
55,化学肥料,"7,625","3,730","3,895","10,050","3,860","6,190","-2,425",75.9%,,
56,その他化学工業品,"153,125","99,619","53,506","133,359","86,671","46,688","19,766",114.8%,,
軽工業品,,"2,933,848","892,459","2,041,389","2,915,052","827,190","2,087,862","18,796",100.6%,,
57,紙、パルプ,"1,758,825","194,873","1,563,952","1,773,856","175,948","1,597,908","-15,031",99.2%,,
58,糸及び紡績半製品,"10,044",71,"9,973","4,812",130,"4,682","5,232",208.7%,,
59,その他繊維工業品,"4,732","4,037",695,"1,960","1,554",406,"2,772",241.4%,,
60,砂糖,"67,578","15,677","51,901","63,886","9,674","54,212","3,692",105.8%,,
61,製造食品,"299,896","212,483","87,413","309,398","196,485","112,913","-9,502",96.9%,,
62,飲料,"452,837","311,731","141,106","439,317","314,697","124,620","13,520",103.1%,,
63,水,"131,792","112,702","19,090","129,899","108,914","20,985","1,893",101.5%,,
64,たばこ,"22,610","13,030","9,580","19,565","13,975","5,590","3,045",115.6%,,
65,その他食料工業品,"185,534","27,855","157,679","172,359","5,813","166,546","13,175",107.6%,,
雑工業品,,"413,933","323,637","90,296","344,858","239,769","105,089","69,075",120.0%,,
66,がん具,361,286,75,240,235,5,121,150.4%,,
67,衣服、身廻品、はきもの,"21,354","18,189","3,165","5,483","4,394","1,089","15,871",389.5%,,
68,文房具、運動娯楽用品、楽器,"15,270","13,880","1,390","11,382","7,848","3,534","3,888",134.2%,,
69,家具装備品,"29,977","20,980","8,997","22,418","15,253","7,165","7,559",133.7%,,
70,その他日用品,"198,025","169,986","28,039","185,889","132,754","53,135","12,136",106.5%,,
71,ゴム製品,"45,384","26,803","18,581","33,244","16,592","16,652","12,140",136.5%,,
72,木製品,"21,757","20,946",811,"16,597","15,327","1,270","5,160",131.1%,,
73,その他製造工業品,"81,805","52,567","29,238","69,605","47,366","22,239","12,200",117.5%,,
特殊品,,"8,055,617","5,447,297","2,608,320","7,579,747","4,869,377","2,710,370","475,870",106.3%,,
74,金属くず,"32,700","12,385","20,315","24,858","5,796","19,062","7,842",131.5%,,
75,再利用資材,"351,012","331,219","19,793","351,382","331,097","20,285",-370,99.9%,,
76,動植物性製造飼肥料,"57,551","54,312","3,239","29,926","27,199","2,727","27,625",192.3%,,
77,廃棄物,"14,050","4,755","9,295","13,553","4,285","9,268",497,103.7%,,
78,廃土砂,"1,990,989","1,988,532","2,457","1,494,551","1,481,746","12,805","496,438",133.2%,,
79,輸送用容器,"337,285","113,169","224,116","336,831","122,339","214,492",454,100.1%,,
80,取合せ品,"5,272,030","2,942,925","2,329,105","5,328,646","2,896,915","2,431,731","-56,616",98.9%,,
分類不能のもの,,-,-,-,-,-,-,-,-,,
