,,,,,,,,,,,,（単位：隻、総トン）,
大井食品ふ頭（OL）,180 ,"1,034,925 ",138 ,"29,186 ",42 ,"1,005,739 ",96 ,"1,115,560 ",48 ,"10,277 ",48 ,"1,105,283 ",
大井食品ふ頭（OM）,103 ,"900,088 ",-,-,103 ,"900,088 ",104 ,"907,487 ",-,-,104 ,"907,487 ",
大井食品ふ頭（ON）,6 ,"44,522 ",2 ,952 ,4 ,"43,570 ",6 ,"53,441 ",4 ,"31,389 ",2 ,"22,052 ",
若洲内貿ふ頭,145 ,"1,495,474 ",145 ,"1,495,474 ",-,-,144 ,"1,495,576 ",144 ,"1,495,576 ",-,-,
15号地木材ふ頭,42 ,"438,570 ",27 ,"9,118 ",15 ,"429,452 ",47 ,"452,796 ",28 ,"5,876 ",19 ,"446,920 ",
若洲建材ふ頭,372 ,"217,456 ",372 ,"217,456 ",-,-,400 ,"231,435 ",400 ,"231,435 ",-,-,
大井建材ふ頭,"1,046 ","589,983 ","1,046 ","589,983 ",-,-,844 ,"478,540 ",844 ,"478,540 ",-,-,
城南島建設発生土ふ頭,780 ,"527,656 ",780 ,"527,656 ",-,-,648 ,"421,052 ",648 ,"421,052 ",-,-,
中央防波堤内側ばら物ふ頭,56 ,"315,676 ",39 ,"20,145 ",17 ,"295,531 ",58 ,"256,725 ",41 ,"18,116 ",17 ,"238,609 ",
中央防波堤内側建設発生土ふ頭,147 ,"170,410 ",147 ,"170,410 ",-,-,101 ,"79,332 ",101 ,"79,332 ",-,-,
中央防波堤内側内貿ふ頭,291 ,"2,561,340 ",291 ,"2,561,340 ",-,-,296 ,"2,451,771 ",296 ,"2,451,771 ",-,-,
官公庁（晴海）,17 ,"43,519 ",17 ,"43,519 ",-,-,24 ,"80,725 ",24 ,"80,725 ",-,-,
官公庁（月島）,60 ,"11,890 ",60 ,"11,890 ",-,-,71 ,"14,057 ",71 ,"14,057 ",-,-,
官公庁（有明）,13 ,"33,075 ",13 ,"33,075 ",-,-,14 ,"34,958 ",14 ,"34,958 ",-,-,
その他,79 ,"67,185 ",79 ,"67,185 ",-,-,72 ,"55,882 ",72 ,"55,882 ",-,-,
東京港埠頭㈱計,"4,209 ","102,760,897 ","1,168 ","1,659,119 ","3,041 ","101,101,778 ","3,898 ","100,316,133 ",859 ,"910,705 ","3,039 ","99,405,428 ",
青海コンテナふ頭(埠頭㈱),896 ,"24,536,848 ",85 ,"88,673 ",811 ,"24,448,175 ",803 ,"25,004,110 ",46 ,"44,187 ",757 ,"24,959,923 ",
お台場ライナーふ頭,258 ,"2,495,373 ",113 ,"530,137 ",145 ,"1,965,236 ",253 ,"2,114,739 ",78 ,"293,099 ",175 ,"1,821,640 ",
大井コンテナふ頭,"3,055 ","75,728,676 ",970 ,"1,040,309 ","2,085 ","74,688,367 ","2,842 ","73,197,284 ",735 ,"573,419 ","2,107 ","72,623,865 ",
民間計,"7,345 ","9,965,222 ","7,125 ","7,846,926 ",220 ,"2,118,296 ","7,091 ","9,781,340 ","6,860 ","7,578,209 ",231 ,"2,203,131 ",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
