 11 輸入貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,,,,
73,その他製造工業品,"47,689","4,854","12,510","13,531","32,139","1,753","13,058","15,159",73,その他製造工業品,"11,032","1,386","8,754",915,"2,947","1,218","5,197",,,,,,,
特殊品,,"277,540","199,687","123,047","79,639","91,093","113,780","78,524","86,680",特殊品,,"75,566","441,726","270,587","59,037","47,623","41,830","27,614",,,,,,,
74,金属くず,884,"2,093","2,039",105,105,"3,949","2,153","2,006",74,金属くず,-,"3,235","6,885","4,147",225,"1,110",-,,,,,,,
75,再利用資材,345,-,135,-,-,90,"1,408",295,75,再利用資材,-,"23,231","4,489",81,-,-,-,,,,,,,
76,動植物性製造飼肥料,"1,800","60,260","2,986","7,055",240,"101,850","6,606","11,192",76,動植物性製造飼肥料,30,"394,417","222,328","39,631",442,"2,598",392,,,,,,,
77,廃棄物,-,-,-,-,-,-,-,-,77,廃棄物,-,-,-,-,-,-,-,,,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,78,廃土砂,-,-,-,-,-,-,-,,,,,,,
79,輸送用容器,"161,537","95,536","41,458","47,592","61,445","4,753","35,167","25,399",79,輸送用容器,"58,208","16,805","26,496","1,134","33,867","27,197","13,053",,,,,,,
80,取合せ品,"112,974","41,798","76,429","24,887","29,303","3,138","33,190","47,788",80,取合せ品,"17,328","4,038","10,389","14,044","13,089","10,925","14,169",,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,分類不能のもの,,-,-,-,-,-,-,-,,,,,,,
