,,,,,,,,,(単位：トン）,,,,,
20,金属鉱,"5,715",70,"5,645","9,559",1,"9,558","-3,844",59.8%,,,,,
21,砂利、砂,"20,870",793,"20,077","16,773",161,"16,612","4,097",124.4%,,,,,
22,石材,"105,004","1,359","103,645","114,080",979,"113,101","-9,076",92.0%,,,,,
23,原油,"2,250",-,"2,250","2,146",46,"2,100",104,104.8%,,,,,
24,りん鉱石,57,-,57,-,-,-,57,-,,,,,
25,石灰石,854,-,854,"1,296",-,"1,296",-442,65.9%,,,,,
26,原塩,"6,639",55,"6,584","5,703",220,"5,483",936,116.4%,,,,,
27,非金属鉱物,"200,522","15,791","184,731","204,193","12,354","191,839","-3,671",98.2%,,,,,
金属機械工業品,,"13,231,584","5,226,860","8,004,724","12,637,454","4,933,502","7,703,952","594,130",104.7%,,,,,
28,鉄鋼,"81,593","30,513","51,080","53,787","15,324","38,463","27,806",151.7%,,,,,
29,鋼材,"400,509","277,238","123,271","377,722","261,362","116,360","22,787",106.0%,,,,,
30,非鉄金属,"273,223","114,454","158,769","266,128","121,615","144,513","7,095",102.7%,,,,,
31,金属製品,"1,593,038","289,632","1,303,406","1,490,021","255,166","1,234,855","103,017",106.9%,,,,,
32,鉄道車両,"3,769","1,593","2,176","3,716","2,299","1,417",53,101.4%,,,,,
33,完成自動車,"108,387","83,242","25,145","109,933","90,222","19,711","-1,546",98.6%,,,,,
34,その他の輸送用車両,"85,744","3,123","82,621","74,386","2,228","72,158","11,358",115.3%,,,,,
35,二輪自動車,"54,533","8,826","45,707","43,467","5,094","38,373","11,066",125.5%,,,,,
36,自動車部品,"2,235,673","1,479,481","756,192","2,245,903","1,517,068","728,835","-10,230",99.5%,,,,,
37,その他輸送機械,"390,440","45,420","345,020","365,354","49,521","315,833","25,086",106.9%,,,,,
38,産業機械,"3,380,081","1,930,732","1,449,349","3,056,607","1,704,893","1,351,714","323,474",110.6%,,,,,
39,電気機械,"3,878,531","728,048","3,150,483","3,824,401","677,500","3,146,901","54,130",101.4%,,,,,
40,測量・光学・医療器械,"499,899","181,632","318,267","471,329","170,018","301,311","28,570",106.1%,,,,,
41,事務用機械,"198,424","38,233","160,191","195,015","35,026","159,989","3,409",101.7%,,,,,
42,その他機械,"47,740","14,693","33,047","59,685","26,166","33,519","-11,945",80.0%,,,,,
化学工業品,,"5,866,225","2,377,349","3,488,876","5,470,335","2,274,041","3,196,294","395,890",107.2%,,,,,
43,陶磁器,"155,896","10,180","145,716","149,149","9,758","139,391","6,747",104.5%,,,,,
44,セメント,"21,322","8,629","12,693","17,357","9,507","7,850","3,965",122.8%,,,,,
45,ガラス類,"203,514","69,108","134,406","169,946","73,716","96,230","33,568",119.8%,,,,,
46,窯業品,"357,015","109,932","247,083","332,195","101,213","230,982","24,820",107.5%,,,,,
47,重油,-,-,-,-,-,-,-,-,,,,,
48,石油製品,"36,674","20,855","15,819","32,505","22,964","9,541","4,169",112.8%,,,,,
49,LNG/液化天然ガス,318,-,318,-,-,-,318,-,,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,,,,,
51,その他石油製品,"24,615","9,308","15,307","25,841","9,381","16,460","-1,226",95.3%,,,,,
52,コークス,"24,279",-,"24,279","10,168",170,"9,998","14,111",238.8%,,,,,
53,石炭製品,"8,244","7,824",420,"11,372","10,641",731,"-3,128",72.5%,,,,,
54,化学薬品,"952,093","315,884","636,209","891,284","298,622","592,662","60,809",106.8%,,,,,
55,化学肥料,"53,508","4,102","49,406","53,140","7,611","45,529",368,100.7%,,,,,
56,その他化学工業品,"4,028,747","1,821,527","2,207,220","3,777,378","1,730,458","2,046,920","251,369",106.7%,,,,,
軽工業品,,"5,776,494","694,963","5,081,531","5,471,015","645,826","4,825,189","305,479",105.6%,,,,,
57,紙、パルプ,"1,210,245","333,009","877,236","1,201,851","294,417","907,434","8,394",100.7%,,,,,
58,糸及び紡績半製品,"72,221","7,420","64,801","91,054","10,947","80,107","-18,833",79.3%,,,,,
59,その他繊維工業品,"407,028","61,393","345,635","382,385","56,022","326,363","24,643",106.4%,,,,,
60,砂糖,"57,248",511,"56,737","44,395",535,"43,860","12,853",129.0%,,,,,
61,製造食品,"2,739,830","242,776","2,497,054","2,492,446","236,952","2,255,494","247,384",109.9%,,,,,
62,飲料,"835,528","44,667","790,861","787,365","42,877","744,488","48,163",106.1%,,,,,
63,水,"195,419","4,205","191,214","214,543","3,316","211,227","-19,124",91.1%,,,,,
64,たばこ,"81,049",198,"80,851","83,040",130,"82,910","-1,991",97.6%,,,,,
65,その他食料工業品,"177,926",784,"177,142","173,936",630,"173,306","3,990",102.3%,,,,,
雑工業品,,"11,530,615","1,188,632","10,341,983","11,028,268","1,197,136","9,831,132","502,347",104.6%,,,,,
66,がん具,"660,434","17,877","642,557","619,412","18,104","601,308","41,022",106.6%,,,,,
67,衣服、身廻品、はきもの,"4,794,447","178,084","4,616,363","4,631,384","201,277","4,430,107","163,063",103.5%,,,,,
68,文房具、運動娯楽用品、楽器,"814,465","125,446","689,019","802,840","129,395","673,445","11,625",101.4%,,,,,
69,家具装備品,"2,200,550","97,636","2,102,914","2,167,875","112,322","2,055,553","32,675",101.5%,,,,,
70,その他日用品,"582,446","123,270","459,176","546,804","128,000","418,804","35,642",106.5%,,,,,
71,ゴム製品,"793,960","366,336","427,624","725,996","359,225","366,771","67,964",109.4%,,,,,
72,木製品,"1,135,577","10,503","1,125,074","1,052,028","12,722","1,039,306","83,549",107.9%,,,,,
73,その他製造工業品,"548,736","269,480","279,256","481,929","236,091","245,838","66,807",113.9%,,,,,
特殊品,,"6,627,563","3,605,357","3,022,206","6,828,696","3,934,591","2,894,105","-201,133",97.1%,,,,,
74,金属くず,"672,779","607,088","65,691","716,280","659,584","56,696","-43,501",93.9%,,,,,
75,再利用資材,"2,452,886","2,404,593","48,293","2,630,205","2,579,333","50,872","-177,319",93.3%,,,,,
76,動植物性製造飼肥料,"1,076,276","17,190","1,059,086","925,917","11,709","914,208","150,359",116.2%,,,,,
77,廃棄物,-,-,-,-,-,-,-,-,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,,,,,
79,輸送用容器,"1,250,278","187,761","1,062,517","1,181,468","189,283","992,185","68,810",105.8%,,,,,
80,取合せ品,"1,175,344","388,725","786,619","1,374,826","494,682","880,144","-199,482",85.5%,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,
